Date,EQT,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.02
2004-02-13,0,43.78
2004-02-20,0,43.06
2004-02-27,0,43.09
2004-03-05,0,43.81
2004-03-12,0,42.94
2004-03-19,0,42.34
2004-03-26,0,42.65
2004-04-02,0,44.46
2004-04-09,0,
2004-04-16,0,46.50
2004-04-23,0,46.63
2004-04-30,0,46.99
2004-05-07,0,46.34
2004-05-14,0,46.78
2004-05-21,0,47.48
2004-05-28,0,48.40
2004-06-04,0,47.82
2004-06-11,0,
2004-06-18,0,49.98
2004-06-25,0,50.95
2004-07-02,0,51.40
2004-07-09,0,51.39
2004-07-16,0,51.51
2004-07-23,0,50.55
2004-07-30,0,51.28
2004-08-06,47,50.28
2004-08-13,43,50.66
2004-08-20,43,51.32
2004-08-27,43,51.90
2004-09-03,43,52.88
2004-09-10,43,53.05
2004-09-17,48,53.05
2004-09-24,42,52.95
2004-10-01,42,54.77
2004-10-08,42,54.56
2004-10-15,42,55.09
2004-10-22,42,54.56
2004-10-29,0,55.30
2004-11-05,0,56.68
2004-11-12,0,56.53
2004-11-19,0,57.17
2004-11-26,0,59.21
2004-12-03,0,58.37
2004-12-10,100,59.10
2004-12-17,39,60.35
2004-12-24,39,
2004-12-31,39,60.66
2005-01-07,39,58.84
2005-01-14,40,58.45
2005-01-21,33,57.17
2005-01-28,36,56.62
2005-02-04,61,58.10
2005-02-11,46,57.45
2005-02-18,41,59.06
2005-02-25,41,59.50
2005-03-04,55,60.37
2005-03-11,31,59.02
2005-03-18,39,59.46
2005-03-25,47,
2005-04-01,67,57.98
2005-04-08,39,58.22
2005-04-15,39,56.38
2005-04-22,31,57.39
2005-04-29,31,57.64
2005-05-06,31,59.42
2005-05-13,36,59.19
2005-05-20,41,59.32
2005-05-27,36,61.88
2005-06-03,32,66.31
2005-06-10,32,66.64
2005-06-17,35,67.38
2005-06-24,39,67.74
2005-07-01,51,68.63
2005-07-08,51,70.42
2005-07-15,51,70.20
2005-07-22,30,71.28
2005-07-29,36,71.05
2005-08-05,42,69.86
2005-08-12,29,69.93
2005-08-19,55,70.47
2005-08-26,50,72.01
2005-09-02,30,37.83
2005-09-09,43,38.84
2005-09-16,46,38.49
2005-09-23,31,38.34
2005-09-30,32,39.06
2005-10-07,45,38.82
2005-10-14,58,36.48
2005-10-21,54,36.43
2005-10-28,51,38.34
2005-11-04,51,38.23
2005-11-11,31,36.63
2005-11-18,26,37.23
2005-11-25,41,38.65
2005-12-02,59,38.07
2005-12-09,78,37.26
2005-12-16,53,37.10
2005-12-23,76,37.40
2005-12-30,89,36.69
2006-01-06,62,38.54
2006-01-13,48,38.43
2006-01-20,48,38.30
2006-01-27,31,36.73
2006-02-03,25,36.44
2006-02-10,39,34.74
2006-02-17,27,35.08
2006-02-24,27,35.70
2006-03-03,34,36.73
2006-03-10,33,36.23
2006-03-17,41,37.77
2006-03-24,33,36.33
2006-03-31,19,36.51
2006-04-07,45,36.16
2006-04-14,66,
2006-04-21,26,36.66
2006-04-28,42,35.51
2006-05-05,32,35.40
2006-05-12,23,34.69
2006-05-19,21,33.23
2006-05-26,21,33.17
2006-06-02,21,34.50
2006-06-09,27,33.26
2006-06-16,39,33.10
2006-06-23,33,33.22
2006-06-30,25,33.50
2006-07-07,25,33.43
2006-07-14,25,33.74
2006-07-21,33,33.55
2006-07-28,33,35.90
2006-08-04,26,35.68
2006-08-11,28,35.42
2006-08-18,32,35.67
2006-08-25,38,35.44
2006-09-01,23,36.88
2006-09-08,35,36.08
2006-09-15,34,35.55
2006-09-22,41,34.68
2006-09-29,43,34.98
2006-10-06,31,36.11
2006-10-13,21,36.48
2006-10-20,39,37.74
2006-10-27,28,40.92
2006-11-03,36,40.61
2006-11-10,32,41.27
2006-11-17,28,42.30
2006-11-24,49,43.31
2006-12-01,41,43.65
2006-12-08,47,43.70
2006-12-15,44,43.68
2006-12-22,35,41.98
2006-12-29,34,41.75
2007-01-05,34,39.67
2007-01-12,40,41.85
2007-01-19,30,42.32
2007-01-26,38,43.29
2007-02-02,28,43.50
2007-02-09,30,44.26
2007-02-16,26,43.31
2007-02-23,50,43.74
2007-03-02,64,42.03
2007-03-09,52,43.67
2007-03-16,45,44.07
2007-03-23,26,47.45
2007-03-30,19,48.32
2007-04-06,22,
2007-04-13,29,49.86
2007-04-20,33,50.06
2007-04-27,25,52.82
2007-05-04,24,52.18
2007-05-11,32,51.75
2007-05-18,25,51.66
2007-05-25,20,50.39
2007-06-01,33,52.55
2007-06-08,26,51.33
2007-06-15,30,52.27
2007-06-22,33,49.91
2007-06-29,26,49.56
2007-07-06,40,50.45
2007-07-13,27,52.09
2007-07-20,26,52.34
2007-07-27,29,46.51
2007-08-03,33,48.58
2007-08-10,39,52.07
2007-08-17,32,47.81
2007-08-24,35,50.96
2007-08-31,30,49.19
2007-09-07,16,49.38
2007-09-14,27,49.16
2007-09-21,45,50.87
2007-09-28,31,51.87
2007-10-05,29,54.11
2007-10-12,37,56.56
2007-10-19,30,53.11
2007-10-26,25,55.34
2007-11-02,31,55.91
2007-11-09,27,53.38
2007-11-16,28,53.39
2007-11-23,40,53.40
2007-11-30,37,52.86
2007-12-07,38,54.50
2007-12-14,39,52.69
2007-12-21,40,53.10
2007-12-28,28,53.71
2008-01-04,30,53.44
2008-01-11,27,55.02
2008-01-18,30,51.02
2008-01-25,36,50.23
2008-02-01,31,55.50
2008-02-08,35,57.34
2008-02-15,39,58.63
2008-02-22,29,60.95
2008-02-29,40,61.62
2008-03-07,28,62.24
2008-03-14,32,63.10
2008-03-21,33,
2008-03-28,26,58.00
2008-04-04,33,60.50
2008-04-11,32,61.85
2008-04-18,29,67.96
2008-04-25,29,68.53
2008-05-02,26,67.12
2008-05-09,31,72.81
2008-05-16,24,72.48
2008-05-23,32,71.93
2008-05-30,21,70.23
2008-06-06,31,71.93
2008-06-13,23,68.05
2008-06-20,28,68.16
2008-06-27,25,67.32
2008-07-04,24,
2008-07-11,29,64.00
2008-07-18,25,58.19
2008-07-25,23,51.80
2008-08-01,30,52.29
2008-08-08,26,48.08
2008-08-15,31,50.12
2008-08-22,17,50.48
2008-08-29,26,49.91
2008-09-05,35,44.23
2008-09-12,33,43.21
2008-09-19,23,42.97
2008-09-26,26,39.91
2008-10-03,29,30.99
2008-10-10,36,22.99
2008-10-17,30,25.84
2008-10-24,33,28.41
2008-10-31,26,34.71
2008-11-07,37,31.42
2008-11-14,35,30.00
2008-11-21,37,27.79
2008-11-28,38,33.37
2008-12-05,42,28.44
2008-12-12,35,31.34
2008-12-19,33,31.61
2008-12-26,24,31.79
2009-01-02,14,34.67
2009-01-09,33,33.85
2009-01-16,28,33.00
2009-01-23,31,35.83
2009-01-30,32,34.23
2009-02-06,28,38.63
2009-02-13,20,36.50
2009-02-20,24,30.43
2009-02-27,28,30.75
2009-03-06,34,28.57
2009-03-13,30,31.34
2009-03-20,33,33.32
2009-03-27,26,33.06
2009-04-03,32,33.48
2009-04-10,22,
2009-04-17,30,34.68
2009-04-24,29,34.52
2009-05-01,30,34.62
2009-05-08,24,38.95
2009-05-15,20,35.56
2009-05-22,23,35.96
2009-05-29,25,37.25
2009-06-05,21,36.88
2009-06-12,25,38.13
2009-06-19,21,36.31
2009-06-26,28,34.28
2009-07-03,27,
2009-07-10,27,32.22
2009-07-17,26,35.16
2009-07-24,30,37.42
2009-07-31,23,38.38
2009-08-07,34,39.56
2009-08-14,25,40.19
2009-08-21,34,41.50
2009-08-28,25,40.78
2009-09-04,29,39.48
2009-09-11,27,42.60
2009-09-18,30,41.99
2009-09-25,34,41.30
2009-10-02,27,40.88
2009-10-09,34,43.62
2009-10-16,27,45.26
2009-10-23,34,44.54
2009-10-30,37,41.86
2009-11-06,26,41.95
2009-11-13,23,42.44
2009-11-20,22,40.54
2009-11-27,29,40.70
2009-12-04,25,41.45
2009-12-11,49,41.89
2009-12-18,39,43.33
2009-12-25,24,
2010-01-01,24,
2010-01-08,28,44.29
2010-01-15,32,43.66
2010-01-22,91,42.16
2010-01-29,38,44.02
2010-02-05,37,42.89
2010-02-12,28,43.00
2010-02-19,29,45.12
2010-02-26,30,43.76
2010-03-05,29,47.33
2010-03-12,34,43.90
2010-03-19,27,41.72
2010-03-26,27,40.29
2010-04-02,22,
2010-04-09,34,44.81
2010-04-16,27,43.76
2010-04-23,31,45.60
2010-04-30,32,43.49
2010-05-07,24,39.78
2010-05-14,27,42.28
2010-05-21,29,38.35
2010-05-28,23,39.19
2010-06-04,36,38.10
2010-06-11,27,40.72
2010-06-18,30,40.97
2010-06-25,27,38.07
2010-07-02,30,35.35
2010-07-09,24,37.07
2010-07-16,23,35.99
2010-07-23,28,37.18
2010-07-30,28,36.68
2010-08-06,27,38.96
2010-08-13,30,36.15
2010-08-20,31,33.54
2010-08-27,35,33.37
2010-09-03,34,34.48
2010-09-10,28,34.42
2010-09-17,23,33.89
2010-09-24,27,33.78
2010-10-01,29,36.41
2010-10-08,36,37.29
2010-10-15,27,37.96
2010-10-22,23,37.42
2010-10-29,31,37.44
2010-11-05,19,38.36
2010-11-12,32,40.82
2010-11-19,29,41.02
2010-11-26,25,40.21
2010-12-03,31,42.79
2010-12-10,26,43.05
2010-12-17,25,44.05
2010-12-24,22,
2010-12-31,23,44.84
2011-01-07,27,45.62
2011-01-14,30,46.99
2011-01-21,35,45.88
2011-01-28,34,46.55
2011-02-04,27,48.38
2011-02-11,30,48.28
2011-02-18,32,47.63
2011-02-25,31,48.72
2011-03-04,30,47.55
2011-03-11,32,44.64
2011-03-18,31,46.87
2011-03-25,33,49.20
2011-04-01,27,50.17
2011-04-08,27,49.41
2011-04-15,32,47.00
2011-04-22,28,
2011-04-29,27,52.62
2011-05-06,28,51.03
2011-05-13,31,50.39
2011-05-20,27,51.06
2011-05-27,29,53.34
2011-06-03,31,53.11
2011-06-10,28,52.55
2011-06-17,25,50.31
2011-06-24,28,49.18
2011-07-01,33,53.42
2011-07-08,35,54.51
2011-07-15,29,57.50
2011-07-22,40,62.83
2011-07-29,34,63.48
2011-08-05,26,53.97
2011-08-12,36,54.74
2011-08-19,24,52.22
2011-08-26,25,54.53
2011-09-02,27,58.12
2011-09-09,26,59.03
2011-09-16,31,61.73
2011-09-23,32,54.92
2011-09-30,33,53.36
2011-10-07,30,55.80
2011-10-14,34,63.04
2011-10-21,38,67.60
2011-10-28,37,65.93
2011-11-04,31,63.45
2011-11-11,30,64.83
2011-11-18,33,59.01
2011-11-25,31,55.35
2011-12-02,36,60.89
2011-12-09,39,56.64
2011-12-16,33,54.34
2011-12-23,37,55.97
2011-12-30,19,54.79
2012-01-06,27,55.79
2012-01-13,35,48.80
2012-01-20,37,46.30
2012-01-27,36,48.78
2012-02-03,40,49.93
2012-02-10,30,49.01
2012-02-17,32,52.65
2012-02-24,27,54.04
2012-03-02,24,53.13
2012-03-09,36,51.88
2012-03-16,24,50.18
2012-03-23,28,49.42
2012-03-30,30,48.21
2012-04-06,31,
2012-04-13,26,46.18
2012-04-20,32,46.67
2012-04-27,27,47.83
2012-05-04,26,48.99
2012-05-11,32,50.00
2012-05-18,28,45.97
2012-05-25,27,46.90
2012-06-01,28,44.72
2012-06-08,23,46.16
2012-06-15,49,48.59
2012-06-22,34,51.15
2012-06-29,43,53.63
2012-07-06,36,53.95
2012-07-13,30,55.06
2012-07-20,30,56.53
2012-07-27,28,56.99
2012-08-03,22,54.20
2012-08-10,30,55.72
2012-08-17,33,56.45
2012-08-24,32,53.99
2012-08-31,24,53.96
2012-09-07,27,55.16
2012-09-14,35,59.25
2012-09-21,29,58.25
2012-09-28,28,59.00
2012-10-05,27,59.83
2012-10-12,32,60.32
2012-10-19,31,60.17
2012-10-26,33,62.42
2012-11-02,26,60.53
2012-11-09,29,58.65
2012-11-16,28,60.21
2012-11-23,24,62.74
2012-11-30,28,60.06
2012-12-07,37,58.83
2012-12-14,29,56.67
2012-12-21,33,60.10
2012-12-28,21,58.13
2013-01-04,27,60.42
2013-01-11,31,58.42
2013-01-18,31,59.50
2013-01-25,32,61.95
2013-02-01,33,59.55
2013-02-08,26,61.83
2013-02-15,36,59.37
2013-02-22,34,60.56
2013-03-01,28,63.92
2013-03-08,29,65.26
2013-03-15,29,66.70
2013-03-22,34,66.89
2013-03-29,30,
2013-04-05,25,67.44
2013-04-12,29,68.91
2013-04-19,36,66.66
2013-04-26,31,73.85
2013-05-03,28,75.13
2013-05-10,29,75.81
2013-05-17,34,79.04
2013-05-24,26,80.58
2013-05-31,29,79.88
2013-06-07,31,81.42
2013-06-14,33,79.69
2013-06-21,32,79.66
2013-06-28,32,79.37
2013-07-05,40,79.94
2013-07-12,34,82.18
2013-07-19,29,83.52
2013-07-26,29,85.25
2013-08-02,27,86.87
2013-08-09,30,84.63
2013-08-16,33,83.63
2013-08-23,38,85.30
2013-08-30,29,85.72
2013-09-06,27,84.74
2013-09-13,30,88.12
2013-09-20,33,91.25
2013-09-27,31,90.37
2013-10-04,37,87.57
2013-10-11,32,88.95
2013-10-18,34,89.62
2013-10-25,38,87.80
2013-11-01,51,85.49
2013-11-08,47,83.38
2013-11-15,33,85.11
2013-11-22,35,87.65
2013-11-29,28,85.11
2013-12-06,28,85.67
2013-12-13,30,87.60
2013-12-20,34,88.73
2013-12-27,21,90.22
2014-01-03,24,87.58
2014-01-10,34,86.02
2014-01-17,40,87.62
2014-01-24,43,90.70
2014-01-31,47,92.81
2014-02-07,56,94.25
2014-02-14,43,97.67
2014-02-21,54,100.81
2014-02-28,47,102.29
2014-03-07,43,100.65
2014-03-14,43,102.35
2014-03-21,36,103.29
2014-03-28,39,98.53
2014-04-04,49,103.20
2014-04-11,49,102.03
2014-04-18,40,
2014-04-25,46,105.25
2014-05-02,43,
