Date,ESRX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,68.69
2004-02-13,0,70.58
2004-02-20,0,66.95
2004-02-27,0,72.99
2004-03-05,0,75.16
2004-03-12,0,73.53
2004-03-19,0,73.91
2004-03-26,0,73.23
2004-04-02,0,75.36
2004-04-09,0,
2004-04-16,0,77.22
2004-04-23,0,79.51
2004-04-30,0,77.34
2004-05-07,0,74.95
2004-05-14,0,76.71
2004-05-21,0,76.71
2004-05-28,0,78.34
2004-06-04,0,78.81
2004-06-11,0,
2004-06-18,0,77.65
2004-06-25,0,77.05
2004-07-02,0,73.00
2004-07-09,0,73.47
2004-07-16,0,75.45
2004-07-23,0,74.34
2004-07-30,0,65.60
2004-08-06,0,60.21
2004-08-13,0,60.63
2004-08-20,0,60.99
2004-08-27,0,64.22
2004-09-03,0,63.82
2004-09-10,0,63.48
2004-09-17,0,63.54
2004-09-24,0,64.30
2004-10-01,0,65.52
2004-10-08,0,64.64
2004-10-15,0,62.43
2004-10-22,0,60.77
2004-10-29,0,64.01
2004-11-05,0,72.00
2004-11-12,0,76.23
2004-11-19,0,73.65
2004-11-26,0,69.51
2004-12-03,0,74.22
2004-12-10,0,79.30
2004-12-17,0,75.25
2004-12-24,0,
2004-12-31,0,76.44
2005-01-07,0,76.84
2005-01-14,0,77.33
2005-01-21,0,73.85
2005-01-28,0,73.58
2005-02-04,0,76.39
2005-02-11,0,74.58
2005-02-18,0,76.85
2005-02-25,0,76.73
2005-03-04,0,84.82
2005-03-11,0,85.85
2005-03-18,0,82.55
2005-03-25,0,
2005-04-01,0,85.42
2005-04-08,0,85.95
2005-04-15,0,85.27
2005-04-22,0,88.20
2005-04-29,0,89.64
2005-05-06,0,91.91
2005-05-13,0,92.08
2005-05-20,0,93.68
2005-05-27,0,92.84
2005-06-03,0,93.88
2005-06-10,0,94.17
2005-06-17,0,104.50
2005-06-24,0,101.20
2005-07-01,0,49.87
2005-07-08,0,49.40
2005-07-15,0,49.30
2005-07-22,0,48.39
2005-07-29,0,52.30
2005-08-05,0,54.51
2005-08-12,0,54.75
2005-08-19,0,56.70
2005-08-26,0,57.71
2005-09-02,0,56.98
2005-09-09,0,60.37
2005-09-16,0,61.74
2005-09-23,0,59.67
2005-09-30,0,62.20
2005-10-07,0,62.29
2005-10-14,0,61.16
2005-10-21,0,63.74
2005-10-28,0,74.29
2005-11-04,0,79.31
2005-11-11,0,77.76
2005-11-18,0,79.45
2005-11-25,0,80.74
2005-12-02,0,87.83
2005-12-09,0,89.56
2005-12-16,0,88.05
2005-12-23,0,86.25
2005-12-30,0,83.80
2006-01-06,0,89.82
2006-01-13,0,88.12
2006-01-20,0,86.10
2006-01-27,0,92.42
2006-02-03,0,91.90
2006-02-10,0,91.91
2006-02-17,0,92.85
2006-02-24,0,88.12
2006-03-03,0,87.12
2006-03-10,0,87.67
2006-03-17,0,90.37
2006-03-24,0,88.74
2006-03-31,0,87.90
2006-04-07,0,85.39
2006-04-14,0,
2006-04-21,0,84.26
2006-04-28,0,78.07
2006-05-05,0,75.16
2006-05-12,0,73.49
2006-05-19,0,73.89
2006-05-26,0,73.68
2006-06-02,0,73.72
2006-06-09,0,69.34
2006-06-16,0,68.08
2006-06-23,0,67.27
2006-06-30,0,71.74
2006-07-07,0,70.42
2006-07-14,0,69.85
2006-07-21,0,73.05
2006-07-28,0,76.48
2006-08-04,0,77.00
2006-08-11,0,83.38
2006-08-18,0,82.56
2006-08-25,0,81.75
2006-09-01,0,84.21
2006-09-08,0,81.29
2006-09-15,0,82.68
2006-09-22,0,79.62
2006-09-29,0,75.45
2006-10-06,0,73.92
2006-10-13,0,68.98
2006-10-20,0,72.22
2006-10-27,90,64.97
2006-11-03,0,61.61
2006-11-10,0,62.41
2006-11-17,0,67.66
2006-11-24,0,67.01
2006-12-01,0,68.48
2006-12-08,0,70.74
2006-12-15,0,68.66
2006-12-22,0,72.33
2006-12-29,0,71.60
2007-01-05,0,68.86
2007-01-12,0,64.83
2007-01-19,0,66.77
2007-01-26,0,69.94
2007-02-02,0,70.44
2007-02-09,0,73.31
2007-02-16,0,77.77
2007-02-23,0,78.63
2007-03-02,0,73.43
2007-03-09,0,77.07
2007-03-16,0,82.48
2007-03-23,0,83.70
2007-03-30,0,80.72
2007-04-06,0,
2007-04-13,0,87.34
2007-04-20,0,88.81
2007-04-27,64,95.57
2007-05-04,0,96.00
2007-05-11,0,94.29
2007-05-18,0,98.75
2007-05-25,0,99.19
2007-06-01,0,102.20
2007-06-08,0,97.90
2007-06-15,0,101.16
2007-06-22,0,98.22
2007-06-29,0,50.01
2007-07-06,0,53.33
2007-07-13,0,54.12
2007-07-20,0,53.46
2007-07-27,0,49.66
2007-08-03,0,50.23
2007-08-10,0,50.95
2007-08-17,0,50.04
2007-08-24,0,54.61
2007-08-31,0,54.75
2007-09-07,0,54.06
2007-09-14,0,53.20
2007-09-21,0,53.88
2007-09-28,0,55.82
2007-10-05,0,55.74
2007-10-12,0,58.73
2007-10-19,0,59.65
2007-10-26,0,61.37
2007-11-02,0,65.05
2007-11-09,0,62.22
2007-11-16,0,65.38
2007-11-23,0,64.83
2007-11-30,0,67.75
2007-12-07,0,71.78
2007-12-14,0,70.65
2007-12-21,0,71.09
2007-12-28,0,72.93
2008-01-04,0,73.52
2008-01-11,57,71.35
2008-01-18,0,69.20
2008-01-25,0,62.06
2008-02-01,0,66.30
2008-02-08,0,62.54
2008-02-15,0,63.70
2008-02-22,0,66.31
2008-02-29,61,59.10
2008-03-07,52,58.51
2008-03-14,52,56.43
2008-03-21,44,
2008-03-28,44,63.51
2008-04-04,49,66.96
2008-04-11,55,63.95
2008-04-18,60,68.76
2008-04-25,66,73.71
2008-05-02,71,69.59
2008-05-09,48,70.79
2008-05-16,0,71.11
2008-05-23,0,69.76
2008-05-30,0,72.11
2008-06-06,0,70.17
2008-06-13,0,68.33
2008-06-20,0,63.38
2008-06-27,0,62.54
2008-07-04,0,
2008-07-11,0,63.03
2008-07-18,0,62.82
2008-07-25,0,67.14
2008-08-01,0,70.70
2008-08-08,0,72.65
2008-08-15,0,75.00
2008-08-22,0,73.93
2008-08-29,0,73.41
2008-09-05,0,71.77
2008-09-12,0,75.64
2008-09-19,0,74.36
2008-09-26,0,74.88
2008-10-03,0,69.84
2008-10-10,41,54.57
2008-10-17,0,60.35
2008-10-24,0,53.18
2008-10-31,0,60.61
2008-11-07,0,59.87
2008-11-14,0,58.49
2008-11-21,0,53.72
2008-11-28,0,57.51
2008-12-05,0,58.58
2008-12-12,0,57.48
2008-12-19,0,61.35
2008-12-26,0,59.21
2009-01-02,0,56.69
2009-01-09,0,52.72
2009-01-16,0,53.25
2009-01-23,0,53.26
2009-01-30,0,53.76
2009-02-06,0,58.13
2009-02-13,0,57.88
2009-02-20,0,56.27
2009-02-27,0,50.30
2009-03-06,0,46.19
2009-03-13,32,48.27
2009-03-20,37,46.50
2009-03-27,43,43.89
2009-04-03,48,48.63
2009-04-10,54,
2009-04-17,59,59.75
2009-04-24,55,58.45
2009-05-01,55,63.37
2009-05-08,32,61.29
2009-05-15,33,58.67
2009-05-22,33,59.53
2009-05-29,34,64.05
2009-06-05,34,63.34
2009-06-12,0,62.92
2009-06-19,0,66.39
2009-06-26,0,67.79
2009-07-03,0,
2009-07-10,0,64.72
2009-07-17,0,66.05
2009-07-24,0,70.56
2009-07-31,0,70.04
2009-08-07,0,66.91
2009-08-14,0,67.05
2009-08-21,0,70.86
2009-08-28,0,72.60
2009-09-04,0,74.16
2009-09-11,0,78.44
2009-09-18,29,78.93
2009-09-25,32,77.03
2009-10-02,34,75.92
2009-10-09,37,79.44
2009-10-16,39,81.35
2009-10-23,30,80.70
2009-10-30,52,79.92
2009-11-06,30,85.30
2009-11-13,0,84.95
2009-11-20,0,85.09
2009-11-27,0,85.74
2009-12-04,0,87.02
2009-12-11,0,87.07
2009-12-18,43,84.38
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,91.65
2010-01-15,0,90.04
2010-01-22,0,85.20
2010-01-29,0,83.86
2010-02-05,0,84.82
2010-02-12,0,86.43
2010-02-19,0,90.12
2010-02-26,53,96.01
2010-03-05,29,99.45
2010-03-12,29,98.94
2010-03-19,29,100.73
2010-03-26,29,100.62
2010-04-02,26,
2010-04-09,26,103.31
2010-04-16,25,100.78
2010-04-23,25,104.19
2010-04-30,25,100.13
2010-05-07,26,97.15
2010-05-14,27,101.69
2010-05-21,28,100.59
2010-05-28,40,100.60
2010-06-04,53,99.13
2010-06-11,65,52.67
2010-06-18,33,52.02
2010-06-25,27,49.63
2010-07-02,27,45.60
2010-07-09,27,46.95
2010-07-16,31,46.94
2010-07-23,36,43.07
2010-07-30,48,45.18
2010-08-06,43,46.35
2010-08-13,33,45.93
2010-08-20,26,45.36
2010-08-27,24,44.72
2010-09-03,24,44.08
2010-09-10,24,45.68
2010-09-17,24,46.37
2010-09-24,24,49.60
2010-10-01,23,48.83
2010-10-08,26,48.30
2010-10-15,29,48.37
2010-10-22,32,49.00
2010-10-29,35,48.52
2010-11-05,35,52.77
2010-11-12,27,52.22
2010-11-19,25,53.38
2010-11-26,0,52.51
2010-12-03,0,54.20
2010-12-10,0,54.76
2010-12-17,0,54.91
2010-12-24,0,
2010-12-31,0,54.05
2011-01-07,0,56.25
2011-01-14,0,57.59
2011-01-21,0,58.02
2011-01-28,0,56.16
2011-02-04,0,57.13
2011-02-11,0,58.27
2011-02-18,20,56.77
2011-02-25,21,55.43
2011-03-04,22,56.15
2011-03-11,22,52.50
2011-03-18,23,52.11
2011-03-25,24,54.50
2011-04-01,21,56.17
2011-04-08,21,56.15
2011-04-15,29,55.44
2011-04-22,37,
2011-04-29,46,56.74
2011-05-06,18,57.93
2011-05-13,21,59.92
2011-05-20,23,59.98
2011-05-27,26,58.48
2011-06-03,28,56.73
2011-06-10,0,56.41
2011-06-17,0,55.68
2011-06-24,0,52.94
2011-07-01,0,53.96
2011-07-08,0,54.57
2011-07-15,22,51.96
2011-07-22,64,57.30
2011-07-29,27,54.26
2011-08-05,20,49.57
2011-08-12,20,46.69
2011-08-19,19,44.89
2011-08-26,19,45.39
2011-09-02,23,45.34
2011-09-09,26,43.67
2011-09-16,30,41.29
2011-09-23,16,38.71
2011-09-30,16,37.07
2011-10-07,39,39.46
2011-10-14,28,40.18
2011-10-21,24,39.14
2011-10-28,39,46.70
2011-11-04,26,45.21
2011-11-11,18,47.68
2011-11-18,20,43.97
2011-11-25,16,42.15
2011-12-02,30,46.61
2011-12-09,20,45.99
2011-12-16,19,43.52
2011-12-23,19,45.25
2011-12-30,19,44.69
2012-01-06,19,49.39
2012-01-13,34,49.15
2012-01-20,23,51.90
2012-01-27,29,51.44
2012-02-03,28,52.08
2012-02-10,38,50.17
2012-02-17,27,52.18
2012-02-24,36,52.41
2012-03-02,37,53.65
2012-03-09,23,54.18
2012-03-16,23,54.34
2012-03-23,22,52.71
2012-03-30,36,54.18
2012-04-06,100,
2012-04-13,69,56.98
2012-04-20,64,57.88
2012-04-27,34,56.00
2012-05-04,35,54.23
2012-05-11,48,55.10
2012-05-18,27,50.88
2012-05-25,42,52.63
2012-06-01,22,50.67
2012-06-08,31,53.19
2012-06-15,24,54.34
2012-06-22,30,52.96
2012-06-29,25,55.83
2012-07-06,29,54.06
2012-07-13,26,57.35
2012-07-20,25,57.21
2012-07-27,41,57.95
2012-08-03,19,56.72
2012-08-10,45,61.92
2012-08-17,32,60.86
2012-08-24,19,61.76
2012-08-31,15,62.62
2012-09-07,15,63.30
2012-09-14,20,62.84
2012-09-21,33,63.36
2012-09-28,28,62.63
2012-10-05,27,64.96
2012-10-12,17,63.56
2012-10-19,23,62.56
2012-10-26,22,62.24
2012-11-02,14,62.02
2012-11-09,81,53.35
2012-11-16,46,52.13
2012-11-23,27,52.24
2012-11-30,31,53.85
2012-12-07,38,53.99
2012-12-14,31,54.76
2012-12-21,31,54.22
2012-12-28,21,52.93
2013-01-04,27,55.00
2013-01-11,27,55.60
2013-01-18,25,55.15
2013-01-25,19,54.16
2013-02-01,37,54.81
2013-02-08,33,55.74
2013-02-15,39,55.57
2013-02-22,51,55.63
2013-03-01,26,57.36
2013-03-08,42,58.81
2013-03-15,28,59.77
2013-03-22,38,57.93
2013-03-29,28,
2013-04-05,37,57.00
2013-04-12,39,56.30
2013-04-19,30,55.35
2013-04-26,27,57.91
2013-05-03,55,61.56
2013-05-10,42,61.40
2013-05-17,36,61.87
2013-05-24,33,62.68
2013-05-31,30,62.12
2013-06-07,33,62.50
2013-06-14,26,61.94
2013-06-21,23,61.96
2013-06-28,24,61.74
2013-07-05,18,62.95
2013-07-12,26,65.30
2013-07-19,33,66.50
2013-07-26,35,67.66
2013-08-02,65,65.15
2013-08-09,33,65.18
2013-08-16,29,64.61
2013-08-23,18,64.84
2013-08-30,28,63.88
2013-09-06,23,65.52
2013-09-13,31,65.73
2013-09-20,57,62.05
2013-09-27,32,61.93
2013-10-04,37,62.53
2013-10-11,29,63.06
2013-10-18,32,63.76
2013-10-25,43,60.88
2013-11-01,40,62.37
2013-11-08,29,64.20
2013-11-15,24,65.34
2013-11-22,36,66.39
2013-11-29,20,67.35
2013-12-06,28,66.95
2013-12-13,30,66.62
2013-12-20,24,68.96
2013-12-27,26,70.60
2014-01-03,23,70.00
2014-01-10,27,72.86
2014-01-17,25,73.62
2014-01-24,32,73.32
2014-01-31,28,74.69
2014-02-07,30,74.38
2014-02-14,33,76.75
2014-02-21,59,74.01
2014-02-28,37,75.31
2014-03-07,37,78.30
2014-03-14,33,77.36
2014-03-21,27,76.99
2014-03-28,25,75.52
2014-04-04,26,73.28
2014-04-11,33,72.15
2014-04-18,27,
2014-04-25,30,71.04
2014-05-02,0,
