Date,EW,Price
2004-01-09,44,
2004-01-16,36,
2004-01-23,38,
2004-01-30,38,
2004-02-06,39,33.28
2004-02-13,36,33.28
2004-02-20,45,32.38
2004-02-27,42,32.20
2004-03-05,39,32.29
2004-03-12,47,30.58
2004-03-19,39,30.76
2004-03-26,41,30.85
2004-04-02,36,32.15
2004-04-09,49,
2004-04-16,36,33.63
2004-04-23,40,35.19
2004-04-30,40,34.46
2004-05-07,38,34.80
2004-05-14,38,35.02
2004-05-21,30,35.52
2004-05-28,30,36.25
2004-06-04,27,35.99
2004-06-11,43,
2004-06-18,44,35.69
2004-06-25,41,35.06
2004-07-02,39,33.84
2004-07-09,42,33.11
2004-07-16,40,33.27
2004-07-23,41,33.43
2004-07-30,39,35.17
2004-08-06,42,33.36
2004-08-13,36,33.63
2004-08-20,34,34.56
2004-08-27,37,35.30
2004-09-03,36,36.39
2004-09-10,43,35.51
2004-09-17,32,36.25
2004-09-24,38,35.88
2004-10-01,43,33.57
2004-10-08,41,33.39
2004-10-15,36,32.81
2004-10-22,41,33.88
2004-10-29,36,34.18
2004-11-05,42,35.36
2004-11-12,47,35.99
2004-11-19,40,35.52
2004-11-26,38,37.13
2004-12-03,41,39.47
2004-12-10,40,41.75
2004-12-17,42,41.57
2004-12-24,38,
2004-12-31,45,41.26
2005-01-07,40,40.05
2005-01-14,40,41.18
2005-01-21,43,41.03
2005-01-28,37,40.17
2005-02-04,41,40.60
2005-02-11,40,42.57
2005-02-18,41,41.86
2005-02-25,44,42.75
2005-03-04,44,43.93
2005-03-11,33,43.42
2005-03-18,38,43.38
2005-03-25,38,
2005-04-01,37,43.23
2005-04-08,41,42.49
2005-04-15,44,41.85
2005-04-22,46,42.62
2005-04-29,51,44.04
2005-05-06,45,45.73
2005-05-13,38,45.06
2005-05-20,48,45.97
2005-05-27,49,46.29
2005-06-03,40,46.76
2005-06-10,49,44.96
2005-06-17,44,43.28
2005-06-24,44,42.31
2005-07-01,41,43.00
2005-07-08,39,42.19
2005-07-15,46,40.90
2005-07-22,41,44.46
2005-07-29,33,45.87
2005-08-05,42,44.54
2005-08-12,42,44.02
2005-08-19,40,43.01
2005-08-26,43,43.12
2005-09-02,54,43.80
2005-09-09,48,43.95
2005-09-16,38,43.98
2005-09-23,49,43.32
2005-09-30,44,44.41
2005-10-07,39,43.05
2005-10-14,44,41.92
2005-10-21,46,42.54
2005-10-28,44,41.34
2005-11-04,42,41.90
2005-11-11,44,42.13
2005-11-18,47,41.69
2005-11-25,43,41.30
2005-12-02,45,41.90
2005-12-09,47,41.50
2005-12-16,46,42.03
2005-12-23,46,42.03
2005-12-30,47,41.61
2006-01-06,45,42.46
2006-01-13,44,42.98
2006-01-20,44,42.20
2006-01-27,46,42.55
2006-02-03,42,46.20
2006-02-10,46,43.62
2006-02-17,43,42.39
2006-02-24,51,42.03
2006-03-03,49,42.50
2006-03-10,44,41.79
2006-03-17,49,42.60
2006-03-24,46,44.82
2006-03-31,49,43.50
2006-04-07,49,43.26
2006-04-14,37,
2006-04-21,47,45.50
2006-04-28,46,44.44
2006-05-05,45,44.32
2006-05-12,40,43.98
2006-05-19,46,44.24
2006-05-26,51,44.00
2006-06-02,49,45.07
2006-06-09,48,45.08
2006-06-16,40,45.41
2006-06-23,36,44.31
2006-06-30,49,45.43
2006-07-07,44,44.91
2006-07-14,41,44.21
2006-07-21,51,45.15
2006-07-28,46,43.98
2006-08-04,47,44.70
2006-08-11,49,45.20
2006-08-18,47,46.13
2006-08-25,45,46.50
2006-09-01,47,46.68
2006-09-08,41,46.69
2006-09-15,48,46.95
2006-09-22,49,46.26
2006-09-29,50,46.59
2006-10-06,52,47.45
2006-10-13,49,46.97
2006-10-20,49,44.40
2006-10-27,50,44.04
2006-11-03,47,43.35
2006-11-10,50,43.19
2006-11-17,46,44.06
2006-11-24,46,44.93
2006-12-01,48,45.97
2006-12-08,49,46.60
2006-12-15,42,48.02
2006-12-22,52,47.28
2006-12-29,45,47.04
2007-01-05,52,47.90
2007-01-12,47,49.28
2007-01-19,48,49.26
2007-01-26,51,51.02
2007-02-02,48,51.83
2007-02-09,50,50.59
2007-02-16,50,52.41
2007-02-23,55,51.70
2007-03-02,51,50.31
2007-03-09,51,49.69
2007-03-16,53,48.77
2007-03-23,54,49.76
2007-03-30,53,50.70
2007-04-06,49,
2007-04-13,54,52.27
2007-04-20,54,51.95
2007-04-27,55,48.86
2007-05-04,56,48.81
2007-05-11,60,49.09
2007-05-18,60,49.82
2007-05-25,61,50.38
2007-06-01,54,50.38
2007-06-08,54,49.68
2007-06-15,53,49.30
2007-06-22,49,49.14
2007-06-29,48,49.34
2007-07-06,53,50.25
2007-07-13,48,49.90
2007-07-20,52,50.01
2007-07-27,55,46.44
2007-08-03,52,46.35
2007-08-10,47,46.26
2007-08-17,48,47.00
2007-08-24,51,48.04
2007-08-31,52,48.30
2007-09-07,47,48.30
2007-09-14,54,47.87
2007-09-21,51,48.75
2007-09-28,58,49.31
2007-10-05,51,51.52
2007-10-12,52,49.77
2007-10-19,50,49.63
2007-10-26,53,49.49
2007-11-02,52,50.19
2007-11-09,55,49.90
2007-11-16,51,50.44
2007-11-23,55,49.69
2007-11-30,63,49.45
2007-12-07,62,48.49
2007-12-14,59,48.98
2007-12-21,50,47.62
2007-12-28,46,46.18
2008-01-04,55,45.31
2008-01-11,50,45.87
2008-01-18,58,46.51
2008-01-25,54,45.69
2008-02-01,52,46.45
2008-02-08,55,44.24
2008-02-15,55,42.79
2008-02-22,60,43.02
2008-02-29,64,43.61
2008-03-07,57,43.45
2008-03-14,56,44.01
2008-03-21,57,
2008-03-28,55,44.86
2008-04-04,55,45.79
2008-04-11,55,46.43
2008-04-18,59,48.21
2008-04-25,62,56.01
2008-05-02,62,55.55
2008-05-09,64,55.81
2008-05-16,64,56.62
2008-05-23,64,55.61
2008-05-30,59,57.71
2008-06-06,57,59.67
2008-06-13,54,60.24
2008-06-20,55,60.40
2008-06-27,60,62.26
2008-07-04,53,
2008-07-11,60,64.58
2008-07-18,59,66.17
2008-07-25,61,62.18
2008-08-01,62,62.25
2008-08-08,57,59.05
2008-08-15,57,58.85
2008-08-22,57,60.56
2008-08-29,58,59.21
2008-09-05,58,56.39
2008-09-12,53,57.00
2008-09-19,60,60.21
2008-09-26,57,58.46
2008-10-03,55,57.09
2008-10-10,59,49.50
2008-10-17,57,50.33
2008-10-24,54,50.94
2008-10-31,57,52.84
2008-11-07,56,53.25
2008-11-14,58,53.31
2008-11-21,60,48.59
2008-11-28,57,49.77
2008-12-05,58,48.47
2008-12-12,63,48.57
2008-12-19,58,53.13
2008-12-26,54,54.01
2009-01-02,66,55.99
2009-01-09,57,55.66
2009-01-16,62,57.32
2009-01-23,64,56.86
2009-01-30,67,57.49
2009-02-06,67,61.10
2009-02-13,67,62.93
2009-02-20,66,61.10
2009-02-27,73,55.61
2009-03-06,74,54.89
2009-03-13,67,61.40
2009-03-20,68,60.88
2009-03-27,74,62.47
2009-04-03,71,58.12
2009-04-10,76,
