Date,EXPD,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,39.90
2004-02-13,0,39.29
2004-02-20,0,38.18
2004-02-27,0,38.48
2004-03-05,0,38.63
2004-03-12,0,36.74
2004-03-19,0,36.26
2004-03-26,0,38.17
2004-04-02,0,40.51
2004-04-09,0,
2004-04-16,0,41.23
2004-04-23,0,41.06
2004-04-30,0,40.21
2004-05-07,0,42.94
2004-05-14,0,43.18
2004-05-21,0,44.04
2004-05-28,0,45.44
2004-06-04,0,46.47
2004-06-11,0,
2004-06-18,0,48.19
2004-06-25,0,48.85
2004-07-02,0,48.05
2004-07-09,0,48.87
2004-07-16,0,49.53
2004-07-23,0,46.25
2004-07-30,0,46.41
2004-08-06,0,45.80
2004-08-13,0,46.29
2004-08-20,0,48.37
2004-08-27,0,48.81
2004-09-03,0,49.11
2004-09-10,0,49.75
2004-09-17,0,50.92
2004-09-24,0,51.38
2004-10-01,0,52.97
2004-10-08,0,53.60
2004-10-15,0,54.50
2004-10-22,0,56.51
2004-10-29,0,57.10
2004-11-05,0,53.89
2004-11-12,0,51.23
2004-11-19,0,50.84
2004-11-26,0,53.50
2004-12-03,0,53.93
2004-12-10,0,53.35
2004-12-17,0,53.01
2004-12-24,0,
2004-12-31,0,55.88
2005-01-07,0,56.45
2005-01-14,0,55.16
2005-01-21,0,54.42
2005-01-28,0,56.19
2005-02-04,0,56.31
2005-02-11,0,55.64
2005-02-18,0,54.99
2005-02-25,0,55.95
2005-03-04,0,55.67
2005-03-11,0,56.75
2005-03-18,0,54.25
2005-03-25,0,
2005-04-01,0,52.86
2005-04-08,0,51.13
2005-04-15,0,48.17
2005-04-22,0,49.57
2005-04-29,0,49.11
2005-05-06,0,48.73
2005-05-13,0,47.90
2005-05-20,0,51.39
2005-05-27,0,52.18
2005-06-03,0,52.05
2005-06-10,0,49.63
2005-06-17,0,51.11
2005-06-24,0,49.77
2005-07-01,0,50.22
2005-07-08,0,51.08
2005-07-15,0,53.20
2005-07-22,0,55.33
2005-07-29,0,55.05
2005-08-05,0,53.74
2005-08-12,0,55.13
2005-08-19,0,54.14
2005-08-26,0,53.93
2005-09-02,0,54.95
2005-09-09,0,53.94
2005-09-16,0,55.18
2005-09-23,0,54.29
2005-09-30,0,56.78
2005-10-07,0,55.47
2005-10-14,0,54.99
2005-10-21,0,56.73
2005-10-28,0,59.67
2005-11-04,0,66.78
2005-11-11,0,69.00
2005-11-18,0,70.83
2005-11-25,0,71.82
2005-12-02,0,71.32
2005-12-09,0,69.54
2005-12-16,0,67.92
2005-12-23,0,69.50
2005-12-30,0,67.51
2006-01-06,0,67.67
2006-01-13,0,66.87
2006-01-20,0,67.28
2006-01-27,0,71.35
2006-02-03,0,73.04
2006-02-10,0,75.76
2006-02-17,0,76.05
2006-02-24,0,77.99
2006-03-03,0,79.22
2006-03-10,0,80.65
2006-03-17,0,82.86
2006-03-24,0,83.09
2006-03-31,0,86.39
2006-04-07,0,90.75
2006-04-14,0,
2006-04-21,84,90.05
2006-04-28,87,85.61
2006-05-05,90,106.55
2006-05-12,100,103.02
2006-05-19,87,97.10
2006-05-26,87,98.62
2006-06-02,87,103.03
2006-06-09,87,96.07
2006-06-16,77,99.35
2006-06-23,77,103.80
2006-06-30,77,56.01
2006-07-07,77,54.55
2006-07-14,73,50.65
2006-07-21,73,45.30
2006-07-28,73,46.07
2006-08-04,73,41.30
2006-08-11,79,39.10
2006-08-18,0,42.70
2006-08-25,0,38.76
2006-09-01,0,40.85
2006-09-08,0,39.26
2006-09-15,0,44.33
2006-09-22,0,43.17
2006-09-29,0,44.58
2006-10-06,0,45.34
2006-10-13,0,46.94
2006-10-20,77,47.65
2006-10-27,80,47.02
2006-11-03,83,46.09
2006-11-10,53,46.65
2006-11-17,0,46.65
2006-11-24,0,46.83
2006-12-01,0,45.01
2006-12-08,0,43.68
2006-12-15,0,43.33
2006-12-22,0,40.43
2006-12-29,0,40.50
2007-01-05,0,41.78
2007-01-12,0,43.94
2007-01-19,0,44.19
2007-01-26,0,41.33
2007-02-02,0,44.00
2007-02-09,0,44.44
2007-02-16,47,45.10
2007-02-23,0,47.01
2007-03-02,0,45.08
2007-03-09,0,44.76
2007-03-16,0,42.01
2007-03-23,0,43.20
2007-03-30,0,41.32
2007-04-06,0,
2007-04-13,0,41.60
2007-04-20,0,41.50
2007-04-27,0,42.75
2007-05-04,44,45.92
2007-05-11,53,44.49
2007-05-18,56,44.30
2007-05-25,0,42.82
2007-06-01,0,44.65
2007-06-08,0,42.59
2007-06-15,0,42.30
2007-06-22,0,41.46
2007-06-29,0,41.30
2007-07-06,0,41.76
2007-07-13,41,45.71
2007-07-20,0,46.42
2007-07-27,0,44.81
2007-08-03,0,44.85
2007-08-10,0,47.78
2007-08-17,0,45.15
2007-08-24,62,45.78
2007-08-31,0,44.17
2007-09-07,0,42.44
2007-09-14,0,43.68
2007-09-21,0,44.80
2007-09-28,0,47.30
2007-10-05,0,50.05
2007-10-12,39,50.19
2007-10-19,40,47.45
2007-10-26,41,48.95
2007-11-02,42,50.64
2007-11-09,43,45.36
2007-11-16,45,44.47
2007-11-23,49,43.64
2007-11-30,47,46.92
2007-12-07,0,48.38
2007-12-14,0,45.85
2007-12-21,0,46.32
2007-12-28,0,45.77
2008-01-04,0,41.21
2008-01-11,0,40.57
2008-01-18,0,43.51
2008-01-25,31,44.74
2008-02-01,33,46.97
2008-02-08,35,43.60
2008-02-15,37,41.36
2008-02-22,32,40.83
2008-02-29,32,39.32
2008-03-07,32,39.76
2008-03-14,32,39.70
2008-03-21,53,
2008-03-28,30,44.00
2008-04-04,31,47.84
2008-04-11,32,45.34
2008-04-18,34,48.65
2008-04-25,35,46.70
2008-05-02,36,48.95
2008-05-09,47,46.93
2008-05-16,40,47.19
2008-05-23,40,44.27
2008-05-30,40,47.08
2008-06-06,32,45.58
2008-06-13,32,44.18
2008-06-20,0,42.90
2008-06-27,0,42.85
2008-07-04,0,
2008-07-11,0,41.45
2008-07-18,0,44.21
2008-07-25,36,37.14
2008-08-01,39,33.76
2008-08-08,42,35.75
2008-08-15,33,36.72
2008-08-22,35,36.23
2008-08-29,29,36.09
2008-09-05,29,34.14
2008-09-12,29,35.41
2008-09-19,29,38.40
2008-09-26,39,36.17
2008-10-03,38,33.00
2008-10-10,38,27.86
2008-10-17,38,29.91
2008-10-24,27,28.19
2008-10-31,29,32.65
2008-11-07,48,33.43
2008-11-14,24,30.68
2008-11-21,31,29.13
2008-11-28,34,33.43
2008-12-05,36,33.03
2008-12-12,26,31.81
2008-12-19,26,32.05
2008-12-26,26,32.16
2009-01-02,26,34.43
2009-01-09,26,31.52
2009-01-16,25,29.21
2009-01-23,25,28.43
2009-01-30,23,27.81
2009-02-06,22,30.55
2009-02-13,22,31.40
2009-02-20,23,29.39
2009-02-27,25,27.55
2009-03-06,35,24.60
2009-03-13,30,26.74
2009-03-20,32,27.28
2009-03-27,34,28.72
2009-04-03,26,30.66
2009-04-10,29,
2009-04-17,31,33.87
2009-04-24,24,33.89
2009-05-01,35,34.61
2009-05-08,24,33.51
2009-05-15,23,32.11
2009-05-22,23,31.69
2009-05-29,23,32.81
2009-06-05,23,34.10
2009-06-12,23,34.25
2009-06-19,27,33.02
2009-06-26,29,33.06
2009-07-03,30,
2009-07-10,32,31.66
2009-07-17,24,31.05
2009-07-24,24,33.51
2009-07-31,24,33.93
2009-08-07,24,32.99
2009-08-14,24,32.33
2009-08-21,24,33.49
2009-08-28,24,33.06
2009-09-04,24,33.08
2009-09-11,22,35.79
2009-09-18,24,37.00
2009-09-25,26,35.10
2009-10-02,29,33.53
2009-10-09,31,33.52
2009-10-16,23,34.74
2009-10-23,27,33.08
2009-10-30,31,32.22
2009-11-06,35,31.62
2009-11-13,0,32.19
2009-11-20,0,32.18
2009-11-27,0,32.10
2009-12-04,0,33.07
2009-12-11,0,32.64
2009-12-18,0,34.69
2009-12-25,0,
2010-01-01,0,
2010-01-08,21,34.65
2010-01-15,27,34.47
2010-01-22,0,34.58
2010-01-29,0,34.10
2010-02-05,0,33.03
2010-02-12,0,32.87
2010-02-19,0,34.32
2010-02-26,23,36.47
2010-03-05,16,36.58
2010-03-12,16,37.21
2010-03-19,18,38.61
2010-03-26,20,36.67
2010-04-02,23,
2010-04-09,21,37.20
2010-04-16,21,39.40
2010-04-23,21,40.66
2010-04-30,25,40.71
2010-05-07,35,38.63
2010-05-14,19,40.99
2010-05-21,19,38.30
2010-05-28,20,38.24
2010-06-04,22,37.14
2010-06-11,24,37.91
2010-06-18,19,38.62
2010-06-25,17,36.61
2010-07-02,24,33.97
2010-07-09,31,35.91
2010-07-16,39,38.66
2010-07-23,31,41.38
2010-07-30,37,42.64
2010-08-06,36,43.89
2010-08-13,23,40.71
2010-08-20,28,41.65
2010-08-27,23,40.63
2010-09-03,30,43.12
2010-09-10,20,43.65
2010-09-17,25,44.20
2010-09-24,20,45.60
2010-10-01,23,46.13
2010-10-08,20,47.61
2010-10-15,19,49.48
2010-10-22,39,49.57
2010-10-29,36,49.36
2010-11-05,39,51.78
2010-11-12,44,51.09
2010-11-19,37,51.85
2010-11-26,29,52.85
2010-12-03,40,55.60
2010-12-10,30,56.12
2010-12-17,33,55.35
2010-12-24,23,
2010-12-31,29,54.60
2011-01-07,30,54.18
2011-01-14,25,54.42
2011-01-21,19,53.44
2011-01-28,27,50.62
2011-02-04,21,51.17
2011-02-11,33,53.69
2011-02-18,30,54.83
2011-02-25,31,47.67
2011-03-04,30,48.50
2011-03-11,21,48.36
2011-03-18,17,47.57
2011-03-25,17,48.25
2011-04-01,21,50.81
2011-04-08,28,50.44
2011-04-15,16,51.43
2011-04-22,21,
2011-04-29,23,54.27
2011-05-06,20,53.53
2011-05-13,25,53.07
2011-05-20,19,53.00
2011-05-27,27,51.96
2011-06-03,29,50.39
2011-06-10,22,47.03
2011-06-17,21,47.54
2011-06-24,17,47.58
2011-07-01,25,52.43
2011-07-08,32,52.34
2011-07-15,23,49.45
2011-07-22,23,50.52
2011-07-29,21,47.72
2011-08-05,45,43.86
2011-08-12,32,44.34
2011-08-19,23,40.33
2011-08-26,21,43.85
2011-09-02,23,43.08
2011-09-09,18,42.06
2011-09-16,16,44.33
2011-09-23,13,40.45
2011-09-30,16,40.55
2011-10-07,14,42.64
2011-10-14,13,44.45
2011-10-21,16,45.64
2011-10-28,16,47.22
2011-11-04,16,44.21
2011-11-11,13,45.53
2011-11-18,14,42.82
2011-11-25,23,40.00
2011-12-02,22,42.11
2011-12-09,13,41.73
2011-12-16,17,40.37
2011-12-23,20,41.07
2011-12-30,11,40.96
2012-01-06,11,41.66
2012-01-13,14,42.69
2012-01-20,14,44.41
2012-01-27,12,44.50
2012-02-03,12,44.56
2012-02-10,17,43.03
2012-02-17,15,44.32
2012-02-24,24,43.34
2012-03-02,15,44.32
2012-03-09,13,44.33
2012-03-16,19,45.81
2012-03-23,22,46.26
2012-03-30,14,46.51
2012-04-06,15,
2012-04-13,12,46.33
2012-04-20,16,41.96
2012-04-27,33,39.90
2012-05-04,16,39.50
2012-05-11,21,38.72
2012-05-18,17,37.32
2012-05-25,20,38.47
2012-06-01,26,37.45
2012-06-08,15,39.36
2012-06-15,10,39.48
2012-06-22,15,38.73
2012-06-29,18,38.75
2012-07-06,10,38.28
2012-07-13,10,37.67
2012-07-20,14,37.05
2012-07-27,14,36.06
2012-08-03,11,36.10
2012-08-10,12,36.68
2012-08-17,17,38.29
2012-08-24,15,37.71
2012-08-31,18,36.61
2012-09-07,10,37.78
2012-09-14,18,39.16
2012-09-21,16,36.78
2012-09-28,15,36.35
2012-10-05,9,35.55
2012-10-12,18,34.78
2012-10-19,12,35.32
2012-10-26,12,36.43
2012-11-02,14,36.91
2012-11-09,16,36.73
2012-11-16,16,35.76
2012-11-23,10,37.18
2012-11-30,15,37.42
2012-12-07,15,37.34
2012-12-14,10,38.22
2012-12-21,12,39.73
2012-12-28,11,39.03
2013-01-04,11,41.82
2013-01-11,20,42.70
2013-01-18,14,42.87
2013-01-25,16,43.54
2013-02-01,18,43.03
2013-02-08,17,43.34
2013-02-15,11,42.26
2013-02-22,11,40.81
2013-03-01,19,38.82
2013-03-08,15,38.69
2013-03-15,19,38.44
2013-03-22,22,36.54
2013-03-29,24,
2013-04-05,18,36.21
2013-04-12,15,36.70
2013-04-19,12,35.34
2013-04-26,12,35.42
2013-05-03,24,37.11
2013-05-10,14,38.43
2013-05-17,18,38.53
2013-05-24,22,39.33
2013-05-31,19,39.03
2013-06-07,13,38.62
2013-06-14,19,38.28
2013-06-21,19,37.05
2013-06-28,12,38.04
2013-07-05,17,38.52
2013-07-12,21,40.00
2013-07-19,17,41.20
2013-07-26,19,40.80
2013-08-02,20,41.19
2013-08-09,16,40.79
2013-08-16,17,40.03
2013-08-23,19,41.25
2013-08-30,19,40.56
2013-09-06,20,42.90
2013-09-13,30,44.28
2013-09-20,31,44.81
2013-09-27,22,44.14
2013-10-04,16,43.03
2013-10-11,18,43.45
2013-10-18,18,43.91
2013-10-25,21,45.88
2013-11-01,25,45.40
2013-11-08,27,42.42
2013-11-15,14,43.33
2013-11-22,22,43.62
2013-11-29,18,43.44
2013-12-06,15,43.44
2013-12-13,11,43.02
2013-12-20,21,43.55
2013-12-27,16,44.16
2014-01-03,14,43.25
2014-01-10,15,43.61
2014-01-17,12,43.77
2014-01-24,18,42.00
2014-01-31,15,40.86
2014-02-07,12,40.66
2014-02-14,14,41.86
2014-02-21,12,41.58
2014-02-28,22,39.51
2014-03-07,18,39.82
2014-03-14,13,38.98
2014-03-21,13,38.95
2014-03-28,17,39.21
2014-04-04,12,39.44
2014-04-11,12,38.90
2014-04-18,11,
2014-04-25,10,40.05
2014-05-02,0,
