Date,FAST,Price
2004-01-09,38,
2004-01-16,37,
2004-01-23,37,
2004-01-30,37,
2004-02-06,36,49.53
2004-02-13,36,48.99
2004-02-20,37,48.49
2004-02-27,38,48.44
2004-03-05,37,48.43
2004-03-12,38,44.69
2004-03-19,35,47.84
2004-03-26,36,49.80
2004-04-02,35,52.96
2004-04-09,35,
2004-04-16,33,55.20
2004-04-23,35,55.45
2004-04-30,36,54.85
2004-05-07,35,51.46
2004-05-14,36,50.11
2004-05-21,34,49.46
2004-05-28,38,51.76
2004-06-04,34,52.81
2004-06-11,33,
2004-06-18,32,55.01
2004-06-25,33,55.19
2004-07-02,33,55.56
2004-07-09,32,54.74
2004-07-16,32,60.82
2004-07-23,33,59.02
2004-07-30,31,62.38
2004-08-06,32,58.53
2004-08-13,31,59.33
2004-08-20,31,61.89
2004-08-27,30,61.52
2004-09-03,30,63.10
2004-09-10,31,59.05
2004-09-17,30,59.01
2004-09-24,32,57.04
2004-10-01,30,57.00
2004-10-08,32,57.84
2004-10-15,33,52.61
2004-10-22,32,54.45
2004-10-29,30,55.23
2004-11-05,31,57.67
2004-11-12,31,61.00
2004-11-19,31,60.29
2004-11-26,30,62.32
2004-12-03,32,63.19
2004-12-10,33,61.44
2004-12-17,32,61.81
2004-12-24,29,
2004-12-31,28,61.56
2005-01-07,31,61.19
2005-01-14,32,60.52
2005-01-21,32,59.79
2005-01-28,31,60.01
2005-02-04,31,61.44
2005-02-11,33,60.57
2005-02-18,31,57.66
2005-02-25,31,58.69
2005-03-04,32,57.95
2005-03-11,31,57.72
2005-03-18,30,56.66
2005-03-25,31,
2005-04-01,31,55.40
2005-04-08,31,55.43
2005-04-15,31,51.13
2005-04-22,30,53.16
2005-04-29,31,53.52
2005-05-06,31,54.29
2005-05-13,30,52.96
2005-05-20,31,56.36
2005-05-27,30,57.27
2005-06-03,29,58.86
2005-06-10,29,59.10
2005-06-17,30,62.12
2005-06-24,30,58.96
2005-07-01,30,61.37
2005-07-08,29,62.43
2005-07-15,30,63.40
2005-07-22,30,63.16
2005-07-29,29,65.64
2005-08-05,29,64.91
2005-08-12,29,63.61
2005-08-19,30,61.63
2005-08-26,28,60.43
2005-09-02,28,61.58
2005-09-09,28,62.50
2005-09-16,29,62.03
2005-09-23,28,59.93
2005-09-30,29,61.09
2005-10-07,30,61.56
2005-10-14,30,66.91
2005-10-21,29,68.63
2005-10-28,28,68.65
2005-11-04,28,73.19
2005-11-11,29,78.79
2005-11-18,29,41.19
2005-11-25,27,41.14
2005-12-02,29,40.38
2005-12-09,28,39.74
2005-12-16,28,40.16
2005-12-23,26,39.68
2005-12-30,26,39.13
2006-01-06,28,40.37
2006-01-13,29,40.08
2006-01-20,29,38.37
2006-01-27,29,38.49
2006-02-03,30,39.63
2006-02-10,30,41.06
2006-02-17,29,42.17
2006-02-24,30,43.35
2006-03-03,30,43.77
2006-03-10,29,42.41
2006-03-17,29,46.13
2006-03-24,30,45.48
2006-03-31,28,47.34
2006-04-07,29,46.64
2006-04-14,29,
2006-04-21,29,47.10
2006-04-28,28,46.81
2006-05-05,31,47.14
2006-05-12,29,46.70
2006-05-19,29,43.31
2006-05-26,30,42.95
2006-06-02,31,44.56
2006-06-09,33,40.15
2006-06-16,39,39.34
2006-06-23,40,38.83
2006-06-30,35,40.29
2006-07-07,35,38.67
2006-07-14,36,35.35
2006-07-21,37,33.23
2006-07-28,34,35.29
2006-08-04,33,36.93
2006-08-11,30,35.02
2006-08-18,31,37.06
2006-08-25,29,35.28
2006-09-01,28,36.63
2006-09-08,28,36.75
2006-09-15,28,39.58
2006-09-22,28,38.07
2006-09-29,30,38.59
2006-10-06,31,39.58
2006-10-13,29,42.58
2006-10-20,28,41.40
2006-10-27,28,40.72
2006-11-03,28,37.40
2006-11-10,28,36.70
2006-11-17,28,37.41
2006-11-24,27,37.18
2006-12-01,28,36.46
2006-12-08,26,35.77
2006-12-15,26,35.50
2006-12-22,26,34.99
2006-12-29,26,35.88
2007-01-05,28,36.43
2007-01-12,27,37.81
2007-01-19,27,36.74
2007-01-26,27,35.49
2007-02-02,27,38.18
2007-02-09,27,36.41
2007-02-16,26,36.72
2007-02-23,27,37.15
2007-03-02,27,34.75
2007-03-09,27,35.55
2007-03-16,26,34.97
2007-03-23,27,36.24
2007-03-30,28,35.05
2007-04-06,27,
2007-04-13,26,39.48
2007-04-20,26,40.52
2007-04-27,27,41.65
2007-05-04,27,41.80
2007-05-11,27,41.59
2007-05-18,26,42.35
2007-05-25,27,42.47
2007-06-01,27,42.96
2007-06-08,27,41.06
2007-06-15,27,42.22
2007-06-22,26,41.80
2007-06-29,27,41.86
2007-07-06,26,42.44
2007-07-13,26,47.32
2007-07-20,27,47.50
2007-07-27,26,45.83
2007-08-03,26,44.82
2007-08-10,26,47.89
2007-08-17,27,46.25
2007-08-24,25,46.14
2007-08-31,25,45.61
2007-09-07,24,43.48
2007-09-14,26,43.80
2007-09-21,27,44.87
2007-09-28,26,45.41
2007-10-05,26,48.90
2007-10-12,25,45.11
2007-10-19,26,41.67
2007-10-26,25,43.18
2007-11-02,25,43.88
2007-11-09,25,40.11
2007-11-16,25,39.11
2007-11-23,27,38.47
2007-11-30,28,39.64
2007-12-07,29,42.63
2007-12-14,25,42.57
2007-12-21,25,41.94
2007-12-28,25,40.77
2008-01-04,27,37.59
2008-01-11,29,34.69
2008-01-18,27,33.61
2008-01-25,26,39.07
2008-02-01,27,41.91
2008-02-08,27,40.89
2008-02-15,26,41.03
2008-02-22,27,41.90
2008-02-29,26,40.66
2008-03-07,27,39.27
2008-03-14,26,41.82
2008-03-21,27,
2008-03-28,27,45.76
2008-04-04,26,47.89
2008-04-11,27,49.69
2008-04-18,27,50.01
2008-04-25,27,49.52
2008-05-02,27,51.76
2008-05-09,27,49.81
2008-05-16,27,50.90
2008-05-23,27,45.50
2008-05-30,27,49.44
2008-06-06,27,48.77
2008-06-13,27,48.51
2008-06-20,26,48.69
2008-06-27,28,44.77
2008-07-04,27,
2008-07-11,28,43.97
2008-07-18,27,49.29
2008-07-25,29,48.31
2008-08-01,27,48.42
2008-08-08,27,50.60
2008-08-15,28,50.85
2008-08-22,28,51.48
2008-08-29,30,51.93
2008-09-05,29,50.85
2008-09-12,28,53.57
2008-09-19,28,53.62
2008-09-26,28,50.38
2008-10-03,29,41.96
2008-10-10,29,37.22
2008-10-17,27,37.82
2008-10-24,27,31.93
2008-10-31,26,40.26
2008-11-07,26,36.46
2008-11-14,28,33.32
2008-11-21,28,35.59
2008-11-28,27,38.51
2008-12-05,27,35.49
2008-12-12,27,31.90
2008-12-19,27,33.96
2008-12-26,27,34.02
2009-01-02,31,36.51
2009-01-09,31,33.03
2009-01-16,30,33.15
2009-01-23,29,32.47
2009-01-30,30,34.18
2009-02-06,30,37.13
2009-02-13,29,34.49
2009-02-20,29,32.19
2009-02-27,30,30.12
2009-03-06,31,26.38
2009-03-13,32,29.44
2009-03-20,34,29.19
2009-03-27,39,32.80
2009-04-03,56,37.00
2009-04-10,69,
2009-04-17,53,35.65
2009-04-24,42,37.35
2009-05-01,40,37.56
2009-05-08,36,36.62
2009-05-15,34,33.59
2009-05-22,34,32.27
2009-05-29,32,33.22
2009-06-05,31,34.19
2009-06-12,31,34.73
2009-06-19,31,33.33
2009-06-26,30,33.43
2009-07-03,30,
2009-07-10,30,31.73
2009-07-17,32,33.09
2009-07-24,33,35.64
2009-07-31,34,35.57
2009-08-07,32,38.54
2009-08-14,32,36.81
2009-08-21,31,37.17
2009-08-28,31,36.64
2009-09-04,30,37.16
2009-09-11,30,37.80
2009-09-18,34,38.98
2009-09-25,32,38.66
2009-10-02,31,36.64
2009-10-09,31,39.39
2009-10-16,30,38.75
2009-10-23,29,37.60
2009-10-30,28,34.50
2009-11-06,29,36.40
2009-11-13,28,36.91
2009-11-20,29,37.01
2009-11-27,28,37.02
2009-12-04,29,38.93
2009-12-11,30,39.01
2009-12-18,27,39.95
2009-12-25,28,
2010-01-01,30,
2010-01-08,30,46.98
2010-01-15,30,45.86
2010-01-22,30,42.55
2010-01-29,29,41.48
2010-02-05,30,41.99
2010-02-12,30,41.83
2010-02-19,30,43.87
2010-02-26,30,44.37
2010-03-05,30,45.70
2010-03-12,30,45.27
2010-03-19,30,46.98
2010-03-26,31,48.28
2010-04-02,31,
2010-04-09,32,51.15
2010-04-16,30,54.32
2010-04-23,30,56.20
2010-04-30,30,54.69
2010-05-07,30,50.22
2010-05-14,31,53.66
2010-05-21,30,50.35
2010-05-28,30,50.44
2010-06-04,30,49.41
2010-06-11,30,51.71
2010-06-18,30,54.67
2010-06-25,29,52.25
2010-07-02,30,49.22
2010-07-09,30,52.07
2010-07-16,32,47.66
2010-07-23,33,49.36
2010-07-30,31,49.08
2010-08-06,32,51.16
2010-08-13,33,48.16
2010-08-20,34,48.01
2010-08-27,32,45.96
2010-09-03,30,49.36
2010-09-10,30,50.92
2010-09-17,30,51.54
2010-09-24,30,53.41
2010-10-01,29,53.38
2010-10-08,29,54.52
2010-10-15,30,52.10
2010-10-22,29,52.90
2010-10-29,30,51.48
2010-11-05,30,53.74
2010-11-12,31,52.33
2010-11-19,30,52.47
2010-11-26,29,54.02
2010-12-03,30,57.78
2010-12-10,30,59.17
2010-12-17,36,59.54
2010-12-24,32,
2010-12-31,33,59.91
2011-01-07,35,59.28
2011-01-14,34,59.89
2011-01-21,34,59.51
2011-01-28,33,57.76
2011-02-04,32,61.58
2011-02-11,34,63.36
2011-02-18,31,63.70
2011-02-25,31,61.51
2011-03-04,31,61.85
2011-03-11,33,61.82
2011-03-18,32,60.93
2011-03-25,33,63.21
2011-04-01,34,65.85
2011-04-08,38,67.33
2011-04-15,40,64.95
2011-04-22,47,
2011-04-29,67,67.09
2011-05-06,81,66.36
2011-05-13,69,66.61
2011-05-20,59,65.71
2011-05-27,50,32.85
2011-06-03,46,31.36
2011-06-10,43,30.97
2011-06-17,43,32.81
2011-06-24,41,33.42
2011-07-01,41,36.65
2011-07-08,41,36.63
2011-07-15,42,34.30
2011-07-22,41,34.25
2011-07-29,41,33.65
2011-08-05,41,31.59
2011-08-12,40,32.35
2011-08-19,42,29.86
2011-08-26,43,32.17
2011-09-02,40,32.06
2011-09-09,38,32.31
2011-09-16,38,36.31
2011-09-23,37,34.45
2011-09-30,38,33.28
2011-10-07,40,33.55
2011-10-14,38,33.40
2011-10-21,35,35.51
2011-10-28,35,38.62
2011-11-04,35,40.27
2011-11-11,34,41.18
2011-11-18,34,40.04
2011-11-25,33,38.42
2011-12-02,34,41.60
2011-12-09,33,42.05
2011-12-16,32,41.42
