Date,FDO,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,36.70
2004-02-13,0,38.50
2004-02-20,0,38.54
2004-02-27,0,38.04
2004-03-05,0,37.03
2004-03-12,0,35.90
2004-03-19,0,33.25
2004-03-26,0,35.03
2004-04-02,0,34.92
2004-04-09,0,
2004-04-16,0,33.55
2004-04-23,0,33.27
2004-04-30,0,32.14
2004-05-07,0,29.13
2004-05-14,0,28.13
2004-05-21,0,29.51
2004-05-28,0,31.36
2004-06-04,0,32.47
2004-06-11,0,
2004-06-18,0,32.72
2004-06-25,0,31.88
2004-07-02,0,29.96
2004-07-09,0,29.49
2004-07-16,0,28.25
2004-07-23,0,27.79
2004-07-30,0,27.86
2004-08-06,0,25.95
2004-08-13,0,25.60
2004-08-20,0,26.89
2004-08-27,0,26.63
2004-09-03,0,26.50
2004-09-10,0,27.40
2004-09-17,0,28.14
2004-09-24,0,28.67
2004-10-01,0,26.60
2004-10-08,72,26.35
2004-10-15,77,26.58
2004-10-22,82,27.22
2004-10-29,87,29.55
2004-11-05,0,30.69
2004-11-12,0,31.26
2004-11-19,0,30.99
2004-11-26,0,31.48
2004-12-03,0,29.01
2004-12-10,0,29.02
2004-12-17,0,29.13
2004-12-24,0,
2004-12-31,0,31.23
2005-01-07,0,30.80
2005-01-14,0,32.40
2005-01-21,0,31.72
2005-01-28,0,32.73
2005-02-04,0,34.80
2005-02-11,0,33.46
2005-02-18,0,32.43
2005-02-25,0,32.74
2005-03-04,0,32.25
2005-03-11,0,31.41
2005-03-18,0,30.05
2005-03-25,0,
2005-04-01,0,29.65
2005-04-08,0,28.97
2005-04-15,0,27.85
2005-04-22,0,27.59
2005-04-29,0,26.98
2005-05-06,0,24.05
2005-05-13,0,24.13
2005-05-20,0,26.92
2005-05-27,0,25.55
2005-06-03,0,24.67
2005-06-10,0,24.35
2005-06-17,0,25.37
2005-06-24,60,26.06
2005-07-01,60,26.43
2005-07-08,60,25.61
2005-07-15,60,25.33
2005-07-22,54,25.53
2005-07-29,0,25.80
2005-08-05,0,23.16
2005-08-12,0,21.83
2005-08-19,0,21.11
2005-08-26,0,20.24
2005-09-02,46,19.96
2005-09-09,48,21.38
2005-09-16,51,21.24
2005-09-23,52,19.78
2005-09-30,42,19.87
2005-10-07,42,20.76
2005-10-14,42,21.63
2005-10-21,49,21.96
2005-10-28,56,21.51
2005-11-04,42,23.43
2005-11-11,42,24.02
2005-11-18,42,23.24
2005-11-25,41,23.11
2005-12-02,41,23.09
2005-12-09,50,22.32
2005-12-16,38,22.95
2005-12-23,41,25.13
2005-12-30,44,24.79
2006-01-06,48,24.39
2006-01-13,38,24.66
2006-01-20,38,24.10
2006-01-27,38,24.23
2006-02-03,41,23.74
2006-02-10,41,24.02
2006-02-17,33,25.21
2006-02-24,37,25.51
2006-03-03,43,25.81
2006-03-10,48,25.51
2006-03-17,48,26.42
2006-03-24,62,27.01
2006-03-31,76,26.60
2006-04-07,55,26.10
2006-04-14,34,
2006-04-21,40,25.40
2006-04-28,38,25.00
2006-05-05,43,26.10
2006-05-12,35,26.72
2006-05-19,50,26.00
2006-05-26,44,25.37
2006-06-02,35,24.69
2006-06-09,35,23.98
2006-06-16,49,24.41
2006-06-23,64,24.46
2006-06-30,46,24.43
2006-07-07,46,23.22
2006-07-14,38,21.75
2006-07-21,38,22.07
2006-07-28,38,22.48
2006-08-04,31,23.58
2006-08-11,34,23.15
2006-08-18,44,24.63
2006-08-25,48,23.58
2006-09-01,40,26.29
2006-09-08,29,26.75
2006-09-15,45,28.90
2006-09-22,49,28.03
2006-09-29,57,29.24
2006-10-06,38,29.20
2006-10-13,43,29.75
2006-10-20,37,30.01
2006-10-27,34,29.81
2006-11-03,55,27.66
2006-11-10,33,27.67
2006-11-17,49,28.45
2006-11-24,38,28.43
2006-12-01,39,28.00
2006-12-08,46,28.58
2006-12-15,54,28.97
2006-12-22,29,29.76
2006-12-29,38,29.33
2007-01-05,38,28.95
2007-01-12,37,30.30
2007-01-19,52,32.13
2007-01-26,50,31.18
2007-02-02,36,32.50
2007-02-09,35,31.20
2007-02-16,45,31.01
2007-02-23,36,30.14
2007-03-02,53,28.72
2007-03-09,56,28.78
2007-03-16,43,28.94
2007-03-23,47,29.70
2007-03-30,64,29.62
2007-04-06,45,
2007-04-13,45,30.73
2007-04-20,62,31.96
2007-04-27,54,31.86
2007-05-04,54,32.63
2007-05-11,65,33.16
2007-05-18,64,33.51
2007-05-25,52,33.38
2007-06-01,46,33.86
2007-06-08,80,34.34
2007-06-15,70,35.06
2007-06-22,68,34.11
2007-06-29,44,34.32
2007-07-06,35,34.60
2007-07-13,56,34.80
2007-07-20,59,34.52
2007-07-27,38,30.24
2007-08-03,45,28.26
2007-08-10,56,26.11
2007-08-17,60,27.00
2007-08-24,57,28.15
2007-08-31,62,29.28
2007-09-07,55,28.00
2007-09-14,83,28.59
2007-09-21,57,27.13
2007-09-28,49,26.56
2007-10-05,59,27.29
2007-10-12,52,27.41
2007-10-19,58,24.56
2007-10-26,52,25.34
2007-11-02,51,23.61
2007-11-09,51,22.53
2007-11-16,55,22.13
2007-11-23,57,22.82
2007-11-30,58,23.55
2007-12-07,46,20.30
2007-12-14,60,18.53
2007-12-21,48,19.48
2007-12-28,44,18.99
2008-01-04,52,17.00
2008-01-11,53,15.90
2008-01-18,48,17.69
2008-01-25,45,18.23
2008-02-01,67,21.65
2008-02-08,58,19.66
2008-02-15,70,19.77
2008-02-22,59,20.04
2008-02-29,59,19.15
2008-03-07,60,18.80
2008-03-14,51,18.52
2008-03-21,57,
2008-03-28,53,19.12
2008-04-04,62,20.38
2008-04-11,51,19.18
2008-04-18,85,20.51
2008-04-25,60,21.65
2008-05-02,48,22.08
2008-05-09,62,21.56
2008-05-16,60,21.65
2008-05-23,66,19.50
2008-05-30,59,21.40
2008-06-06,62,22.20
2008-06-13,43,21.59
2008-06-20,59,19.40
2008-06-27,75,19.42
2008-07-04,59,
2008-07-11,63,22.57
2008-07-18,58,23.81
2008-07-25,65,22.74
2008-08-01,56,24.06
2008-08-08,60,24.92
2008-08-15,65,25.37
2008-08-22,64,24.56
2008-08-29,56,24.92
2008-09-05,46,27.17
2008-09-12,76,27.27
2008-09-19,62,27.93
2008-09-26,58,26.95
2008-10-03,61,24.55
2008-10-10,76,22.30
2008-10-17,89,24.66
2008-10-24,60,25.05
2008-10-31,69,26.91
2008-11-07,50,26.36
2008-11-14,73,26.67
2008-11-21,73,25.38
2008-11-28,63,27.78
2008-12-05,62,25.09
2008-12-12,57,24.51
2008-12-19,40,25.32
2008-12-26,54,24.75
2009-01-02,43,25.99
2009-01-09,61,27.50
2009-01-16,59,28.40
2009-01-23,55,27.45
2009-01-30,62,27.77
2009-02-06,72,26.92
2009-02-13,54,26.61
2009-02-20,55,27.02
2009-02-27,58,27.44
2009-03-06,59,30.36
2009-03-13,70,31.52
2009-03-20,66,30.86
2009-03-27,67,33.63
2009-04-03,78,31.90
2009-04-10,75,
2009-04-17,57,32.82
2009-04-24,57,32.79
2009-05-01,62,32.14
2009-05-08,64,30.32
2009-05-15,51,30.29
2009-05-22,64,29.90
2009-05-29,66,30.27
2009-06-05,59,30.86
2009-06-12,50,29.49
2009-06-19,49,29.02
2009-06-26,84,28.90
2009-07-03,45,
2009-07-10,55,30.18
2009-07-17,57,30.73
2009-07-24,52,31.11
2009-07-31,59,31.42
2009-08-07,52,31.41
2009-08-14,52,29.35
2009-08-21,65,29.72
2009-08-28,47,30.68
2009-09-04,66,28.76
2009-09-11,71,27.27
2009-09-18,52,26.42
2009-09-25,58,26.32
2009-10-02,63,26.63
2009-10-09,71,28.64
2009-10-16,47,28.36
2009-10-23,40,29.17
2009-10-30,65,28.30
2009-11-06,51,28.59
2009-11-13,53,29.63
2009-11-20,59,30.38
2009-11-27,50,31.02
2009-12-04,55,28.28
2009-12-11,56,28.20
2009-12-18,47,28.29
2009-12-25,48,
2010-01-01,36,
2010-01-08,58,30.14
2010-01-15,50,30.61
2010-01-22,57,30.36
2010-01-29,55,30.88
2010-02-05,47,31.06
2010-02-12,50,31.63
2010-02-19,58,32.48
2010-02-26,62,32.99
2010-03-05,54,35.47
2010-03-12,57,35.38
2010-03-19,53,35.82
2010-03-26,48,36.93
2010-04-02,57,
2010-04-09,54,38.49
2010-04-16,57,38.41
2010-04-23,64,40.28
2010-04-30,68,39.56
2010-05-07,56,38.96
2010-05-14,52,40.20
2010-05-21,59,41.26
2010-05-28,59,40.74
2010-06-04,61,38.17
2010-06-11,55,38.57
2010-06-18,62,39.40
2010-06-25,49,38.16
2010-07-02,58,38.62
2010-07-09,50,36.00
2010-07-16,52,38.12
2010-07-23,51,39.47
2010-07-30,46,41.35
2010-08-06,54,42.00
2010-08-13,57,42.92
2010-08-20,65,42.83
2010-08-27,61,43.34
2010-09-03,53,42.51
2010-09-10,45,42.60
2010-09-17,43,43.46
2010-09-24,50,43.40
2010-10-01,54,44.30
2010-10-08,52,45.51
2010-10-15,49,45.57
2010-10-22,56,45.42
2010-10-29,46,46.17
2010-11-05,41,48.43
2010-11-12,52,48.36
2010-11-19,49,48.84
2010-11-26,42,50.67
2010-12-03,41,51.07
2010-12-10,41,49.76
2010-12-17,49,49.58
2010-12-24,42,
2010-12-31,33,49.71
2011-01-07,64,43.90
2011-01-14,52,43.22
2011-01-21,54,43.80
2011-01-28,42,42.48
2011-02-04,55,41.51
2011-02-11,53,44.16
2011-02-18,76,52.55
2011-02-25,47,50.54
2011-03-04,57,50.55
2011-03-11,57,51.27
2011-03-18,45,51.26
2011-03-25,54,52.02
2011-04-01,52,51.53
2011-04-08,56,51.75
2011-04-15,57,51.99
2011-04-22,51,
2011-04-29,44,54.21
2011-05-06,53,53.05
2011-05-13,53,51.94
2011-05-20,58,53.65
2011-05-27,52,55.56
2011-06-03,41,52.38
2011-06-10,40,52.36
2011-06-17,49,52.60
2011-06-24,53,52.26
2011-07-01,48,54.01
2011-07-08,49,54.49
2011-07-15,48,52.40
2011-07-22,53,54.14
2011-07-29,49,53.11
2011-08-05,49,48.53
2011-08-12,45,49.19
2011-08-19,44,48.61
2011-08-26,55,47.55
2011-09-02,60,51.91
2011-09-09,49,50.28
2011-09-16,52,53.43
2011-09-23,52,54.64
2011-09-30,59,50.86
2011-10-07,52,52.82
2011-10-14,58,54.40
2011-10-21,51,59.10
2011-10-28,51,58.02
2011-11-04,57,58.97
2011-11-11,53,58.73
2011-11-18,47,56.72
2011-11-25,51,55.80
2011-12-02,51,58.70
2011-12-09,41,57.86
2011-12-16,54,57.92
2011-12-23,48,58.76
2011-12-30,51,57.66
2012-01-06,48,53.63
2012-01-13,51,53.79
2012-01-20,46,54.78
2012-01-27,54,55.68
2012-02-03,55,57.51
2012-02-10,82,57.65
2012-02-17,100,54.88
2012-02-24,55,54.33
2012-03-02,58,54.49
2012-03-09,56,57.48
2012-03-16,52,56.67
2012-03-23,55,57.68
2012-03-30,61,63.28
2012-04-06,49,
2012-04-13,51,64.26
2012-04-20,59,68.34
2012-04-27,41,69.00
2012-05-04,60,68.07
2012-05-11,72,69.27
2012-05-18,43,64.16
2012-05-25,50,67.60
2012-06-01,55,67.15
2012-06-08,53,69.58
2012-06-15,51,73.26
2012-06-22,55,70.43
2012-06-29,42,66.48
2012-07-06,56,69.58
2012-07-13,55,67.47
2012-07-20,55,66.77
2012-07-27,49,66.63
2012-08-03,49,66.17
2012-08-10,34,63.71
2012-08-17,42,64.93
2012-08-24,58,62.35
2012-08-31,50,63.64
2012-09-07,49,63.27
2012-09-14,49,64.20
2012-09-21,50,64.15
2012-09-28,49,66.30
2012-10-05,51,69.02
2012-10-12,43,66.40
2012-10-19,43,65.10
2012-10-26,66,65.60
2012-11-02,46,65.93
2012-11-09,48,66.50
2012-11-16,41,66.54
2012-11-23,40,70.10
2012-11-30,39,71.20
2012-12-07,44,71.00
2012-12-14,44,65.86
2012-12-21,40,63.04
2012-12-28,31,62.70
2013-01-04,44,56.65
2013-01-11,55,56.44
2013-01-18,51,58.37
2013-01-25,45,58.55
2013-02-01,48,56.09
2013-02-08,43,57.35
2013-02-15,41,55.94
2013-02-22,42,56.68
2013-03-01,43,58.69
2013-03-08,46,58.78
2013-03-15,52,59.42
2013-03-22,50,61.37
2013-03-29,37,
2013-04-05,45,59.40
2013-04-12,46,61.05
2013-04-19,45,62.59
2013-04-26,52,62.94
2013-05-03,55,62.37
2013-05-10,46,63.08
2013-05-17,51,64.30
2013-05-24,44,63.65
2013-05-31,38,61.15
2013-06-07,41,62.01
2013-06-14,40,63.23
2013-06-21,44,62.08
2013-06-28,44,62.31
2013-07-05,38,63.82
2013-07-12,48,68.40
2013-07-19,45,67.70
2013-07-26,37,68.52
2013-08-02,39,70.56
2013-08-09,33,71.47
2013-08-16,42,71.25
2013-08-23,41,72.28
2013-08-30,41,71.19
2013-09-06,35,70.78
2013-09-13,33,72.10
2013-09-20,39,73.34
2013-09-27,42,72.58
2013-10-04,41,72.55
2013-10-11,41,69.71
2013-10-18,36,69.56
2013-10-25,38,69.58
2013-11-01,41,69.55
2013-11-08,43,67.50
2013-11-15,42,70.02
2013-11-22,37,70.54
2013-11-29,39,69.77
2013-12-06,44,65.98
2013-12-13,36,63.96
2013-12-20,33,64.49
2013-12-27,33,64.99
2014-01-03,35,66.41
2014-01-10,45,67.48
2014-01-17,45,65.56
2014-01-24,36,62.95
2014-01-31,37,61.82
2014-02-07,40,62.66
2014-02-14,38,63.43
2014-02-21,44,65.71
2014-02-28,53,65.50
2014-03-07,44,63.02
2014-03-14,44,60.29
2014-03-21,37,60.20
2014-03-28,40,57.76
2014-04-04,40,58.04
2014-04-11,44,56.10
2014-04-18,41,
2014-04-25,42,58.31
2014-05-02,40,
