Date,FITB,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,58.57
2004-02-13,0,57.78
2004-02-20,0,57.31
2004-02-27,0,56.02
2004-03-05,0,56.82
2004-03-12,0,55.29
2004-03-19,0,55.75
2004-03-26,0,55.59
2004-04-02,0,54.50
2004-04-09,0,
2004-04-16,0,54.69
2004-04-23,0,55.17
2004-04-30,0,53.72
2004-05-07,0,51.54
2004-05-14,0,53.11
2004-05-21,0,53.40
2004-05-28,0,54.29
2004-06-04,0,54.25
2004-06-11,0,
2004-06-18,0,54.20
2004-06-25,0,53.56
2004-07-02,0,53.37
2004-07-09,0,52.51
2004-07-16,0,50.18
2004-07-23,0,50.00
2004-07-30,0,49.36
2004-08-06,0,47.86
2004-08-13,0,46.86
2004-08-20,0,49.87
2004-08-27,0,50.43
2004-09-03,0,49.69
2004-09-10,0,48.50
2004-09-17,0,49.72
2004-09-24,0,49.33
2004-10-01,0,49.83
2004-10-08,0,49.60
2004-10-15,0,48.76
2004-10-22,0,47.82
2004-10-29,0,49.19
2004-11-05,0,51.03
2004-11-12,0,51.47
2004-11-19,0,51.01
2004-11-26,0,51.11
2004-12-03,0,47.99
2004-12-10,0,46.64
2004-12-17,0,47.12
2004-12-24,0,
2004-12-31,0,47.30
2005-01-07,0,45.95
2005-01-14,0,44.51
2005-01-21,0,46.01
2005-01-28,0,45.80
2005-02-04,0,48.09
2005-02-11,0,47.59
2005-02-18,0,45.70
2005-02-25,0,45.30
2005-03-04,0,45.88
2005-03-11,0,44.14
2005-03-18,0,42.37
2005-03-25,0,
2005-04-01,0,42.85
2005-04-08,0,42.90
2005-04-15,0,40.96
2005-04-22,0,41.80
2005-04-29,0,43.50
2005-05-06,0,43.51
2005-05-13,0,43.43
2005-05-20,0,43.34
2005-05-27,0,43.23
2005-06-03,0,41.97
2005-06-10,0,42.00
2005-06-17,0,41.57
2005-06-24,0,41.82
2005-07-01,0,41.06
2005-07-08,0,42.23
2005-07-15,0,42.22
2005-07-22,0,42.37
2005-07-29,0,43.10
2005-08-05,0,42.85
2005-08-12,0,43.26
2005-08-19,0,43.01
2005-08-26,0,41.36
2005-09-02,0,41.29
2005-09-09,0,41.37
2005-09-16,0,39.54
2005-09-23,0,37.57
2005-09-30,0,36.75
2005-10-07,0,35.82
2005-10-14,0,36.53
2005-10-21,25,38.01
2005-10-28,0,40.46
2005-11-04,0,40.40
2005-11-11,0,41.32
2005-11-18,0,40.46
2005-11-25,0,42.22
2005-12-02,0,40.29
2005-12-09,0,40.09
2005-12-16,0,39.44
2005-12-23,0,38.92
2005-12-30,0,37.72
2006-01-06,0,38.84
2006-01-13,0,38.93
2006-01-20,0,36.66
2006-01-27,0,38.29
2006-02-03,0,36.67
2006-02-10,0,37.64
2006-02-17,0,38.52
2006-02-24,0,39.17
2006-03-03,0,38.39
2006-03-10,0,37.77
2006-03-17,0,39.21
2006-03-24,0,40.70
2006-03-31,0,39.36
2006-04-07,0,39.36
2006-04-14,0,
2006-04-21,0,39.23
2006-04-28,0,40.42
2006-05-05,0,39.93
2006-05-12,0,38.83
2006-05-19,0,38.22
2006-05-26,0,38.22
2006-06-02,0,38.81
2006-06-09,0,38.90
2006-06-16,0,37.54
2006-06-23,0,36.35
2006-06-30,0,36.95
2006-07-07,0,36.85
2006-07-14,0,36.25
2006-07-21,0,37.89
2006-07-28,0,38.50
2006-08-04,0,39.01
2006-08-11,0,39.16
2006-08-18,0,39.93
2006-08-25,0,39.45
2006-09-01,0,39.47
2006-09-08,0,39.05
2006-09-15,0,38.71
2006-09-22,0,38.55
2006-09-29,0,38.08
2006-10-06,0,37.97
2006-10-13,0,39.06
2006-10-20,0,39.37
2006-10-27,0,39.53
2006-11-03,0,39.51
2006-11-10,0,40.20
2006-11-17,0,40.79
2006-11-24,0,39.93
2006-12-01,0,39.33
2006-12-08,0,39.71
2006-12-15,0,40.87
2006-12-22,0,40.90
2006-12-29,0,40.93
2007-01-05,0,40.18
2007-01-12,0,40.03
2007-01-19,0,39.59
2007-01-26,0,39.11
2007-02-02,0,40.33
2007-02-09,0,40.46
2007-02-16,0,40.98
2007-02-23,0,40.58
2007-03-02,0,39.99
2007-03-09,0,39.96
2007-03-16,0,39.35
2007-03-23,0,40.13
2007-03-30,0,38.69
2007-04-06,0,
2007-04-13,0,38.43
2007-04-20,0,40.16
2007-04-27,15,40.84
2007-05-04,11,41.12
2007-05-11,11,41.12
2007-05-18,11,41.16
2007-05-25,11,42.93
2007-06-01,11,42.78
2007-06-08,0,42.39
2007-06-15,0,42.75
2007-06-22,0,41.35
2007-06-29,0,39.77
2007-07-06,0,40.08
2007-07-13,0,40.79
2007-07-20,0,38.69
2007-07-27,0,36.78
2007-08-03,0,36.09
2007-08-10,0,39.22
2007-08-17,13,38.03
2007-08-24,0,37.01
2007-08-31,0,35.69
2007-09-07,0,34.79
2007-09-14,0,34.77
2007-09-21,0,35.23
2007-09-28,0,33.88
2007-10-05,0,35.08
2007-10-12,0,33.04
2007-10-19,9,29.97
2007-10-26,8,29.62
2007-11-02,8,29.84
2007-11-09,8,28.83
2007-11-16,8,27.81
2007-11-23,9,28.04
2007-11-30,9,29.91
2007-12-07,10,29.78
2007-12-14,11,26.60
2007-12-21,11,27.06
2007-12-28,11,25.24
2008-01-04,11,23.78
2008-01-11,11,24.36
2008-01-18,8,22.60
2008-01-25,8,24.49
2008-02-01,9,28.06
2008-02-08,0,25.67
2008-02-15,0,25.62
2008-02-22,0,24.72
2008-02-29,0,22.90
2008-03-07,0,22.00
2008-03-14,13,21.84
2008-03-21,12,
2008-03-28,11,20.82
2008-04-04,12,22.71
2008-04-11,13,20.86
2008-04-18,14,20.95
2008-04-25,10,21.78
2008-05-02,11,22.65
2008-05-09,11,20.77
2008-05-16,11,20.48
2008-05-23,12,19.26
2008-05-30,13,18.70
2008-06-06,11,16.74
2008-06-13,17,13.17
2008-06-20,34,10.11
2008-06-27,26,10.23
2008-07-04,17,
2008-07-11,17,12.48
2008-07-18,26,13.53
2008-07-25,28,13.72
2008-08-01,14,13.99
2008-08-08,17,15.68
2008-08-15,23,15.07
2008-08-22,18,14.63
2008-08-29,11,15.78
2008-09-05,8,16.16
2008-09-12,11,15.31
2008-09-19,14,18.88
2008-09-26,19,16.16
2008-10-03,53,13.22
2008-10-10,29,10.40
2008-10-17,20,12.24
2008-10-24,25,8.07
2008-10-31,34,10.85
2008-11-07,14,10.69
2008-11-14,19,9.54
2008-11-21,11,7.49
2008-11-28,13,9.56
2008-12-05,19,8.26
2008-12-12,11,7.82
2008-12-19,12,7.65
2008-12-26,12,7.77
2009-01-02,9,8.59
2009-01-09,11,7.49
2009-01-16,9,5.43
2009-01-23,22,2.91
2009-01-30,24,2.39
2009-02-06,35,2.63
2009-02-13,45,2.00
2009-02-20,35,1.03
2009-02-27,60,2.11
2009-03-06,46,1.29
2009-03-13,52,1.75
2009-03-20,47,2.13
2009-03-27,46,2.35
2009-04-03,60,3.28
2009-04-10,48,
2009-04-17,80,4.83
2009-04-24,69,3.71
2009-05-01,55,3.85
2009-05-08,100,8.49
2009-05-15,99,7.10
2009-05-22,56,6.89
2009-05-29,30,6.90
2009-06-05,45,7.13
2009-06-12,44,8.03
2009-06-19,40,7.34
2009-06-26,30,6.95
2009-07-03,29,
2009-07-10,29,6.54
2009-07-17,36,7.01
2009-07-24,43,8.49
2009-07-31,41,9.50
2009-08-07,42,9.71
2009-08-14,36,10.53
2009-08-21,28,10.91
2009-08-28,26,10.82
2009-09-04,29,10.52
2009-09-11,23,9.78
2009-09-18,22,10.24
2009-09-25,26,9.59
2009-10-02,16,9.36
2009-10-09,18,10.24
2009-10-16,16,9.98
2009-10-23,27,10.34
2009-10-30,26,8.94
2009-11-06,22,9.17
2009-11-13,19,9.74
2009-11-20,17,9.97
2009-11-27,12,9.57
2009-12-04,11,10.44
2009-12-11,14,10.18
2009-12-18,14,9.82
2009-12-25,13,
2010-01-01,10,
2010-01-08,15,11.09
2010-01-15,14,11.36
2010-01-22,18,12.10
2010-01-29,15,12.44
2010-02-05,10,11.26
2010-02-12,14,11.61
2010-02-19,7,12.23
2010-02-26,12,12.21
2010-03-05,13,12.73
2010-03-12,11,13.15
2010-03-19,11,13.30
2010-03-26,22,13.20
2010-04-02,17,
2010-04-09,17,14.10
2010-04-16,13,14.20
2010-04-23,19,15.12
2010-04-30,9,14.92
2010-05-07,18,13.31
2010-05-14,11,14.08
2010-05-21,13,13.19
2010-05-28,8,13.00
2010-06-04,10,12.50
2010-06-11,10,13.36
2010-06-18,10,13.58
2010-06-25,5,13.37
2010-07-02,5,11.82
2010-07-09,7,13.48
2010-07-16,8,12.17
2010-07-23,15,12.29
2010-07-30,11,12.71
2010-08-06,15,12.69
2010-08-13,11,12.13
2010-08-20,9,11.56
2010-08-27,12,11.18
2010-09-03,11,11.93
2010-09-10,9,12.09
2010-09-17,13,12.23
2010-09-24,11,12.24
2010-10-01,14,11.90
2010-10-08,11,12.38
2010-10-15,9,12.13
2010-10-22,11,12.86
2010-10-29,13,12.56
2010-11-05,15,13.03
2010-11-12,9,12.87
2010-11-19,9,12.26
2010-11-26,7,11.86
2010-12-03,12,13.27
2010-12-10,13,14.57
2010-12-17,13,14.07
2010-12-24,10,
2010-12-31,7,14.68
2011-01-07,10,14.68
2011-01-14,12,14.95
2011-01-21,13,14.60
2011-01-28,10,14.64
2011-02-04,10,15.39
2011-02-11,11,15.46
2011-02-18,12,14.99
2011-02-25,10,14.60
2011-03-04,8,13.90
2011-03-11,11,13.89
2011-03-18,6,14.03
2011-03-25,8,13.85
2011-04-01,6,13.99
2011-04-08,8,13.70
2011-04-15,6,13.80
2011-04-22,8,
2011-04-29,7,13.27
2011-05-06,12,12.99
2011-05-13,5,12.49
2011-05-20,8,12.72
2011-05-27,6,12.93
2011-06-03,7,12.39
2011-06-10,4,12.25
2011-06-17,5,12.55
2011-06-24,7,12.18
2011-07-01,6,12.97
2011-07-08,4,12.56
2011-07-15,7,12.05
2011-07-22,6,12.81
2011-07-29,10,12.65
2011-08-05,6,11.26
2011-08-12,12,9.55
2011-08-19,6,9.28
2011-08-26,8,10.05
2011-09-02,4,9.62
2011-09-09,5,9.81
2011-09-16,6,10.67
2011-09-23,7,9.84
2011-09-30,6,10.10
2011-10-07,5,10.58
2011-10-14,8,11.34
2011-10-21,6,11.66
2011-10-28,6,12.31
2011-11-04,4,12.01
2011-11-11,9,12.18
2011-11-18,6,11.89
2011-11-25,4,10.97
2011-12-02,5,12.12
2011-12-09,7,12.51
2011-12-16,5,12.07
2011-12-23,10,12.84
2011-12-30,5,12.72
2012-01-06,3,13.49
2012-01-13,6,14.03
2012-01-20,6,13.17
2012-01-27,5,13.23
2012-02-03,6,13.59
2012-02-10,7,13.35
2012-02-17,6,13.80
2012-02-24,6,13.60
2012-03-02,7,13.61
2012-03-09,9,13.76
2012-03-16,11,14.33
2012-03-23,14,14.14
2012-03-30,17,14.05
2012-04-06,19,
2012-04-13,8,14.02
2012-04-20,9,13.95
2012-04-27,7,14.39
2012-05-04,5,13.99
2012-05-11,7,14.07
2012-05-18,6,13.35
2012-05-25,6,13.52
2012-06-01,3,12.52
2012-06-08,4,12.93
2012-06-15,5,13.18
2012-06-22,6,13.27
2012-06-29,6,13.40
2012-07-06,5,13.38
2012-07-13,6,13.69
2012-07-20,5,13.64
2012-07-27,6,14.24
2012-08-03,6,14.07
2012-08-10,4,14.29
2012-08-17,3,14.40
2012-08-24,7,14.81
2012-08-31,5,15.14
2012-09-07,7,15.31
2012-09-14,5,15.78
2012-09-21,5,15.58
2012-09-28,4,15.51
2012-10-05,4,15.99
2012-10-12,4,15.27
2012-10-19,5,15.02
2012-10-26,2,14.49
2012-11-02,4,14.38
2012-11-09,7,14.16
2012-11-16,3,14.10
2012-11-23,4,14.89
2012-11-30,4,14.64
2012-12-07,5,14.54
2012-12-14,5,14.36
2012-12-21,4,15.12
2012-12-28,3,14.99
2013-01-04,5,15.69
2013-01-11,5,15.47
2013-01-18,7,16.38
2013-01-25,6,16.37
2013-02-01,6,16.49
2013-02-08,5,16.61
2013-02-15,3,16.05
2013-02-22,3,15.80
2013-03-01,3,15.83
2013-03-08,4,16.34
2013-03-15,5,16.61
2013-03-22,6,16.29
2013-03-29,2,
2013-04-05,4,16.02
2013-04-12,7,16.49
2013-04-19,4,16.40
2013-04-26,4,16.76
2013-05-03,5,17.10
2013-05-10,6,17.71
2013-05-17,6,18.25
2013-05-24,5,18.25
2013-05-31,9,18.20
2013-06-07,7,18.42
2013-06-14,4,18.31
2013-06-21,4,17.70
2013-06-28,3,18.05
2013-07-05,3,18.67
2013-07-12,8,18.98
2013-07-19,7,19.02
2013-07-26,6,19.37
2013-08-02,6,19.69
2013-08-09,4,19.30
2013-08-16,5,19.16
2013-08-23,6,19.20
2013-08-30,5,18.29
2013-09-06,6,18.47
2013-09-13,5,18.38
2013-09-20,5,18.39
2013-09-27,6,18.08
2013-10-04,5,18.19
2013-10-11,4,18.20
2013-10-18,4,19.28
2013-10-25,5,19.08
2013-11-01,6,18.99
2013-11-08,7,20.01
2013-11-15,6,19.94
2013-11-22,7,20.58
2013-11-29,7,20.32
2013-12-06,5,20.34
2013-12-13,4,20.09
2013-12-20,4,20.81
2013-12-27,7,20.92
2014-01-03,6,20.92
2014-01-10,8,21.53
2014-01-17,8,21.55
2014-01-24,8,21.32
2014-01-31,9,21.02
2014-02-07,7,21.10
2014-02-14,8,21.63
2014-02-21,8,21.44
2014-02-28,7,21.70
2014-03-07,8,22.63
2014-03-14,7,22.34
2014-03-21,8,23.39
2014-03-28,11,22.72
2014-04-04,9,22.92
2014-04-11,14,21.56
2014-04-18,15,
2014-04-25,8,20.75
2014-05-02,0,
