Date,FMC Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,35.32
2004-02-13,0,37.81
2004-02-20,0,36.73
2004-02-27,0,37.45
2004-03-05,0,39.73
2004-03-12,0,38.25
2004-03-19,0,37.30
2004-03-26,0,37.09
2004-04-02,0,43.00
2004-04-09,0,
2004-04-16,0,42.54
2004-04-23,0,44.14
2004-04-30,0,42.89
2004-05-07,0,40.06
2004-05-14,0,39.97
2004-05-21,0,39.03
2004-05-28,0,40.57
2004-06-04,0,41.55
2004-06-11,0,
2004-06-18,0,41.39
2004-06-25,0,43.08
2004-07-02,0,41.98
2004-07-09,0,41.45
2004-07-16,0,39.90
2004-07-23,0,39.25
2004-07-30,0,43.95
2004-08-06,0,41.71
2004-08-13,0,42.00
2004-08-20,0,43.94
2004-08-27,0,45.92
2004-09-03,0,46.35
2004-09-10,0,47.00
2004-09-17,0,46.20
2004-09-24,0,47.21
2004-10-01,0,49.04
2004-10-08,0,48.18
2004-10-15,0,47.70
2004-10-22,0,46.65
2004-10-29,0,43.85
2004-11-05,0,46.41
2004-11-12,0,48.56
2004-11-19,0,48.39
2004-11-26,0,49.12
2004-12-03,0,48.92
2004-12-10,0,46.80
2004-12-17,0,48.10
2004-12-24,0,
2004-12-31,0,48.30
2005-01-07,0,44.98
2005-01-14,0,45.10
2005-01-21,0,44.47
2005-01-28,0,46.40
2005-02-04,0,48.00
2005-02-11,0,46.75
2005-02-18,0,48.31
2005-02-25,0,50.15
2005-03-04,0,51.94
2005-03-11,0,51.85
2005-03-18,0,51.46
2005-03-25,100,
2005-04-01,0,53.13
2005-04-08,0,52.07
2005-04-15,0,48.14
2005-04-22,0,48.95
2005-04-29,0,49.00
2005-05-06,85,52.09
2005-05-13,0,51.30
2005-05-20,0,55.16
2005-05-27,0,56.00
2005-06-03,0,56.37
2005-06-10,0,55.99
2005-06-17,80,57.41
2005-06-24,0,55.28
2005-07-01,0,56.65
2005-07-08,0,58.83
2005-07-15,0,60.55
2005-07-22,0,62.60
2005-07-29,0,60.48
2005-08-05,0,60.69
2005-08-12,0,60.33
2005-08-19,0,57.86
2005-08-26,0,56.35
2005-09-02,0,56.65
2005-09-09,0,58.79
2005-09-16,0,58.00
2005-09-23,0,56.04
2005-09-30,0,57.22
2005-10-07,0,52.91
2005-10-14,0,50.83
2005-10-21,0,51.59
2005-10-28,0,53.48
2005-11-04,0,51.56
2005-11-11,0,51.52
2005-11-18,0,49.20
2005-11-25,0,52.81
2005-12-02,0,55.41
2005-12-09,0,54.05
2005-12-16,0,52.67
2005-12-23,0,53.60
2005-12-30,0,53.17
2006-01-06,0,55.07
2006-01-13,0,54.26
2006-01-20,0,52.20
2006-01-27,0,55.74
2006-02-03,0,56.43
2006-02-10,0,59.92
2006-02-17,0,62.56
2006-02-24,0,61.19
2006-03-03,0,61.42
2006-03-10,0,61.10
2006-03-17,0,62.54
2006-03-24,0,62.00
2006-03-31,0,61.98
2006-04-07,0,61.94
2006-04-14,0,
2006-04-21,0,63.77
2006-04-28,0,63.56
2006-05-05,0,66.07
2006-05-12,0,64.79
2006-05-19,0,63.13
2006-05-26,0,63.72
2006-06-02,0,66.44
2006-06-09,0,62.42
2006-06-16,0,63.97
2006-06-23,0,63.85
2006-06-30,0,64.39
2006-07-07,0,64.17
2006-07-14,0,61.70
2006-07-21,0,60.38
2006-07-28,0,62.35
2006-08-04,0,58.86
2006-08-11,0,58.44
2006-08-18,0,61.62
2006-08-25,0,60.30
2006-09-01,64,61.54
2006-09-08,49,61.68
2006-09-15,49,62.77
2006-09-22,49,61.65
2006-09-29,49,64.07
2006-10-06,39,67.04
2006-10-13,39,68.15
2006-10-20,39,68.17
2006-10-27,55,68.83
2006-11-03,0,68.54
2006-11-10,0,69.58
2006-11-17,0,70.04
2006-11-24,0,71.58
2006-12-01,0,71.20
2006-12-08,0,72.90
2006-12-15,0,75.23
2006-12-22,0,74.88
2006-12-29,0,76.55
2007-01-05,0,74.12
2007-01-12,0,77.60
2007-01-19,44,77.13
2007-01-26,0,76.73
2007-02-02,0,77.15
2007-02-09,0,73.00
2007-02-16,0,75.57
2007-02-23,0,76.88
2007-03-02,0,72.87
2007-03-09,32,74.03
2007-03-16,32,74.18
2007-03-23,32,77.98
2007-03-30,31,75.43
2007-04-06,31,
2007-04-13,31,74.82
2007-04-20,31,76.37
2007-04-27,41,77.17
2007-05-04,32,83.08
2007-05-11,32,84.95
2007-05-18,32,85.04
2007-05-25,34,83.81
2007-06-01,37,84.96
2007-06-08,40,84.93
2007-06-15,43,86.15
2007-06-22,29,85.01
2007-06-29,29,89.39
2007-07-06,30,90.80
2007-07-13,32,91.84
2007-07-20,29,92.50
2007-07-27,29,87.71
2007-08-03,29,89.21
2007-08-10,29,84.93
2007-08-17,30,87.00
2007-08-24,30,87.85
2007-08-31,29,90.00
2007-09-07,29,89.89
2007-09-14,29,47.04
2007-09-21,29,50.91
2007-09-28,28,52.02
2007-10-05,30,52.45
2007-10-12,32,52.91
2007-10-19,34,52.55
2007-10-26,32,53.81
2007-11-02,32,56.95
2007-11-09,26,55.14
2007-11-16,31,52.12
2007-11-23,36,52.16
2007-11-30,41,54.72
2007-12-07,39,54.63
2007-12-14,39,53.61
2007-12-21,27,54.35
2007-12-28,27,54.98
2008-01-04,27,53.22
2008-01-11,23,52.06
2008-01-18,29,49.96
2008-01-25,26,50.51
2008-02-01,22,53.41
2008-02-08,28,49.89
2008-02-15,35,55.31
2008-02-22,25,56.45
2008-02-29,25,56.61
2008-03-07,25,54.21
2008-03-14,25,56.20
2008-03-21,27,
2008-03-28,32,55.83
2008-04-04,25,58.77
2008-04-11,25,59.93
2008-04-18,25,63.50
2008-04-25,23,63.96
2008-05-02,23,62.21
2008-05-09,23,67.22
2008-05-16,23,69.66
2008-05-23,34,69.06
2008-05-30,29,73.98
2008-06-06,20,75.03
2008-06-13,23,76.78
2008-06-20,25,78.51
2008-06-27,28,76.76
2008-07-04,31,
2008-07-11,25,69.45
2008-07-18,30,71.18
2008-07-25,29,65.56
2008-08-01,29,74.19
2008-08-08,25,71.15
2008-08-15,28,73.64
2008-08-22,23,73.60
2008-08-29,28,73.54
2008-09-05,23,67.50
2008-09-12,24,68.42
2008-09-19,42,63.63
2008-09-26,20,57.75
2008-10-03,20,45.50
2008-10-10,20,32.87
2008-10-17,18,36.30
2008-10-24,19,30.75
2008-10-31,16,43.54
2008-11-07,29,44.15
2008-11-14,24,37.00
2008-11-21,24,34.51
2008-11-28,24,43.70
2008-12-05,24,39.22
2008-12-12,30,44.47
2008-12-19,27,42.64
2008-12-26,27,42.36
2009-01-02,27,45.42
2009-01-09,18,45.17
2009-01-16,36,45.13
2009-01-23,18,45.65
2009-01-30,22,44.62
2009-02-06,26,51.18
2009-02-13,19,47.56
2009-02-20,18,43.72
2009-02-27,33,40.43
2009-03-06,19,35.93
2009-03-13,28,39.26
2009-03-20,20,40.16
2009-03-27,50,42.99
2009-04-03,80,48.18
2009-04-10,28,
2009-04-17,25,46.14
2009-04-24,17,46.12
2009-05-01,28,49.10
2009-05-08,23,49.91
2009-05-15,24,48.47
2009-05-22,17,51.30
2009-05-29,18,54.35
2009-06-05,16,52.94
2009-06-12,28,52.45
2009-06-19,25,48.80
2009-06-26,27,47.37
2009-07-03,20,
2009-07-10,26,41.19
2009-07-17,17,43.84
2009-07-24,23,45.75
2009-07-31,42,48.64
2009-08-07,26,50.45
2009-08-14,35,50.96
2009-08-21,32,50.16
2009-08-28,35,49.40
2009-09-04,24,49.17
2009-09-11,18,53.86
2009-09-18,18,57.99
2009-09-25,32,55.43
2009-10-02,20,52.70
2009-10-09,34,54.99
2009-10-16,31,55.60
2009-10-23,21,54.88
2009-10-30,22,51.10
2009-11-06,17,52.15
2009-11-13,31,54.99
2009-11-20,30,56.33
2009-11-27,20,55.32
2009-12-04,27,56.43
2009-12-11,27,56.16
2009-12-18,13,55.85
2009-12-25,17,
2010-01-01,20,
2010-01-08,29,55.97
2010-01-15,27,53.21
2010-01-22,28,52.71
2010-01-29,25,50.94
2010-02-05,25,53.11
2010-02-12,16,55.68
2010-02-19,24,57.39
2010-02-26,27,57.17
2010-03-05,20,59.81
2010-03-12,21,60.30
2010-03-19,18,59.99
2010-03-26,20,60.30
2010-04-02,17,
2010-04-09,17,64.26
2010-04-16,18,63.99
2010-04-23,40,65.15
2010-04-30,18,63.64
2010-05-07,14,62.80
2010-05-14,16,62.35
2010-05-21,18,59.62
2010-05-28,15,60.55
2010-06-04,22,58.23
2010-06-11,21,61.91
2010-06-18,23,62.44
2010-06-25,24,60.31
2010-07-02,17,56.55
2010-07-09,14,59.44
2010-07-16,18,58.03
2010-07-23,21,60.41
2010-07-30,16,62.49
2010-08-06,19,64.21
2010-08-13,14,60.72
2010-08-20,20,61.84
2010-08-27,15,63.06
2010-09-03,24,65.26
2010-09-10,16,64.21
2010-09-17,19,67.36
2010-09-24,21,68.10
2010-10-01,17,67.83
2010-10-08,12,69.33
2010-10-15,15,70.53
2010-10-22,17,70.18
2010-10-29,22,73.10
2010-11-05,15,76.88
2010-11-12,19,75.21
2010-11-19,20,77.23
2010-11-26,10,79.09
2010-12-03,11,80.22
2010-12-10,16,81.40
2010-12-17,11,79.75
2010-12-24,13,
2010-12-31,11,79.89
2011-01-07,11,76.81
2011-01-14,18,77.75
2011-01-21,16,76.10
2011-01-28,17,75.01
2011-02-04,10,80.21
2011-02-11,14,81.59
2011-02-18,14,81.15
2011-02-25,21,76.04
2011-03-04,11,77.98
2011-03-11,10,75.87
2011-03-18,13,76.92
2011-03-25,12,83.47
2011-04-01,20,86.12
2011-04-08,22,85.22
2011-04-15,22,85.35
2011-04-22,20,
2011-04-29,16,88.28
2011-05-06,11,84.71
2011-05-13,16,83.71
2011-05-20,13,83.93
2011-05-27,14,83.43
2011-06-03,14,79.68
2011-06-10,23,78.31
2011-06-17,15,79.24
2011-06-24,18,83.10
2011-07-01,16,87.53
2011-07-08,10,88.71
2011-07-15,15,87.42
2011-07-22,17,91.68
2011-07-29,11,87.57
2011-08-05,14,77.65
2011-08-12,17,75.10
2011-08-19,13,67.09
2011-08-26,14,72.53
2011-09-02,10,72.55
2011-09-09,13,71.13
2011-09-16,13,77.19
2011-09-23,17,68.83
2011-09-30,12,69.16
2011-10-07,16,71.02
2011-10-14,10,76.97
2011-10-21,16,75.90
2011-10-28,16,82.42
2011-11-04,17,83.50
2011-11-11,19,83.44
2011-11-18,14,80.22
2011-11-25,9,76.79
2011-12-02,15,82.56
2011-12-09,10,84.77
2011-12-16,8,84.49
2011-12-23,11,87.37
2011-12-30,10,86.04
2012-01-06,10,87.97
2012-01-13,12,90.13
2012-01-20,11,91.53
2012-01-27,17,92.96
2012-02-03,13,95.00
2012-02-10,11,91.18
2012-02-17,14,96.62
2012-02-24,23,98.56
2012-03-02,17,100.00
2012-03-09,11,99.12
2012-03-16,14,99.90
2012-03-23,21,99.46
2012-03-30,19,105.86
2012-04-06,14,
2012-04-13,13,104.78
2012-04-20,16,107.14
2012-04-27,15,112.05
2012-05-04,15,106.07
2012-05-11,18,105.99
2012-05-18,12,96.24
2012-05-25,17,51.39
2012-06-01,14,49.02
2012-06-08,20,51.93
2012-06-15,14,50.31
2012-06-22,12,50.38
2012-06-29,12,53.48
2012-07-06,14,52.57
2012-07-13,18,53.66
2012-07-20,13,54.53
2012-07-27,18,55.26
2012-08-03,19,53.97
2012-08-10,20,54.61
2012-08-17,14,54.93
2012-08-24,16,54.21
2012-08-31,13,54.32
2012-09-07,19,55.95
2012-09-14,15,58.55
2012-09-21,17,57.68
2012-09-28,19,55.38
2012-10-05,18,56.21
2012-10-12,14,53.63
2012-10-19,17,55.13
2012-10-26,18,54.28
2012-11-02,9,54.12
2012-11-09,15,53.22
2012-11-16,15,51.64
2012-11-23,12,54.80
2012-11-30,13,55.46
2012-12-07,14,53.08
2012-12-14,10,56.79
2012-12-21,14,58.01
2012-12-28,9,57.27
2013-01-04,10,59.13
2013-01-11,13,61.40
2013-01-18,13,60.61
2013-01-25,17,61.87
2013-02-01,17,62.42
2013-02-08,16,59.82
2013-02-15,17,59.47
2013-02-22,17,58.71
2013-03-01,15,59.90
2013-03-08,19,61.12
2013-03-15,8,60.00
2013-03-22,14,57.45
2013-03-29,16,
2013-04-05,12,55.45
2013-04-12,14,58.43
2013-04-19,12,57.88
2013-04-26,14,59.89
2013-05-03,16,59.57
2013-05-10,14,61.95
2013-05-17,20,63.35
2013-05-24,14,63.51
2013-05-31,8,62.71
2013-06-07,15,62.87
2013-06-14,12,62.57
2013-06-21,12,62.58
2013-06-28,17,61.06
2013-07-05,10,62.32
2013-07-12,18,62.12
2013-07-19,12,63.48
2013-07-26,16,63.44
2013-08-02,15,67.26
2013-08-09,11,65.68
2013-08-16,18,65.44
2013-08-23,11,66.57
2013-08-30,9,66.61
2013-09-06,13,67.80
2013-09-13,15,70.17
2013-09-20,13,71.36
2013-09-27,13,71.52
2013-10-04,16,72.12
2013-10-11,15,72.24
2013-10-18,13,73.41
2013-10-25,16,74.34
2013-11-01,20,72.82
2013-11-08,18,73.42
2013-11-15,13,75.10
2013-11-22,13,72.92
2013-11-29,11,72.86
2013-12-06,11,74.40
2013-12-13,13,73.31
2013-12-20,16,73.04
2013-12-27,9,75.46
2014-01-03,9,74.27
2014-01-10,12,74.22
2014-01-17,17,75.52
2014-01-24,17,71.62
2014-01-31,13,70.63
2014-02-07,12,71.52
2014-02-14,14,72.93
2014-02-21,8,72.70
2014-02-28,12,77.18
2014-03-07,16,77.87
2014-03-14,17,78.99
2014-03-21,13,78.90
2014-03-28,11,76.45
2014-04-04,15,76.73
2014-04-11,9,74.30
2014-04-18,12,
2014-04-25,12,75.60
2014-05-02,0,
