Date,FRX,Price
2004-01-09,81,
2004-01-16,99,
2004-01-23,90,
2004-01-30,86,
2004-02-06,86,75.54
2004-02-13,64,74.56
2004-02-20,58,72.75
2004-02-27,73,75.48
2004-03-05,78,76.98
2004-03-12,82,70.84
2004-03-19,86,71.05
2004-03-26,55,69.50
2004-04-02,55,73.52
2004-04-09,70,
2004-04-16,79,72.86
2004-04-23,87,66.15
2004-04-30,69,64.48
2004-05-07,68,65.53
2004-05-14,56,63.34
2004-05-21,63,59.20
2004-05-28,48,63.39
2004-06-04,60,63.95
2004-06-11,72,
2004-06-18,58,62.99
2004-06-25,58,58.46
2004-07-02,84,57.21
2004-07-09,95,51.65
2004-07-16,76,52.16
2004-07-23,49,49.63
2004-07-30,62,50.29
2004-08-06,74,45.49
2004-08-13,87,45.76
2004-08-20,62,48.17
2004-08-27,69,47.36
2004-09-03,54,42.80
2004-09-10,90,42.96
2004-09-17,85,45.09
2004-09-24,67,44.79
2004-10-01,74,45.86
2004-10-08,84,46.00
2004-10-15,75,47.52
2004-10-22,60,42.91
2004-10-29,51,44.60
2004-11-05,72,42.95
2004-11-12,94,43.64
2004-11-19,54,40.29
2004-11-26,56,38.71
2004-12-03,75,40.07
2004-12-10,57,42.17
2004-12-17,81,46.22
2004-12-24,59,
2004-12-31,61,44.86
2005-01-07,64,42.31
2005-01-14,64,42.17
2005-01-21,71,40.40
2005-01-28,66,41.04
2005-02-04,78,41.50
2005-02-11,75,42.06
2005-02-18,85,42.31
2005-02-25,100,42.95
2005-03-04,82,43.88
2005-03-11,97,39.80
2005-03-18,62,37.15
2005-03-25,75,
2005-04-01,93,36.71
2005-04-08,53,32.93
2005-04-15,51,34.61
2005-04-22,55,35.71
2005-04-29,57,35.68
2005-05-06,49,35.45
2005-05-13,52,36.91
2005-05-20,81,38.80
2005-05-27,64,38.80
2005-06-03,38,37.99
2005-06-10,85,38.99
2005-06-17,56,40.64
2005-06-24,64,39.14
2005-07-01,80,38.51
2005-07-08,48,40.10
2005-07-15,77,42.31
2005-07-22,70,40.40
2005-07-29,54,39.92
2005-08-05,79,40.67
2005-08-12,69,40.09
2005-08-19,78,42.68
2005-08-26,60,44.20
2005-09-02,64,44.43
2005-09-09,58,44.80
2005-09-16,57,43.54
2005-09-23,53,42.65
2005-09-30,61,38.97
2005-10-07,62,37.87
2005-10-14,64,36.22
2005-10-21,80,36.35
2005-10-28,56,37.35
2005-11-04,73,39.23
2005-11-11,44,38.51
2005-11-18,47,38.55
2005-11-25,44,39.51
2005-12-02,58,39.73
2005-12-09,69,40.54
2005-12-16,54,41.11
2005-12-23,43,41.69
2005-12-30,34,40.68
2006-01-06,53,40.28
2006-01-13,51,44.24
2006-01-20,60,43.13
2006-01-27,74,44.77
2006-02-03,67,47.76
2006-02-10,63,45.80
2006-02-17,75,46.89
2006-02-24,41,46.91
2006-03-03,51,45.37
2006-03-10,66,45.50
2006-03-17,58,44.71
2006-03-24,63,42.73
2006-03-31,57,44.63
2006-04-07,47,43.98
2006-04-14,65,
2006-04-21,74,43.71
2006-04-28,37,40.38
2006-05-05,72,40.93
2006-05-12,41,39.18
2006-05-19,60,38.09
2006-05-26,32,37.47
2006-06-02,29,38.03
2006-06-09,71,37.12
2006-06-16,41,37.74
2006-06-23,68,37.56
2006-06-30,45,38.69
2006-07-07,49,38.86
2006-07-14,57,44.40
2006-07-21,73,42.80
2006-07-28,70,46.61
2006-08-04,56,46.39
2006-08-11,62,46.75
2006-08-18,38,48.07
2006-08-25,67,49.11
2006-09-01,46,50.29
2006-09-08,50,47.97
2006-09-15,60,49.75
2006-09-22,33,49.82
2006-09-29,47,50.61
2006-10-06,63,51.85
2006-10-13,63,52.75
2006-10-20,47,51.47
2006-10-27,42,47.88
2006-11-03,42,47.30
2006-11-10,50,46.81
2006-11-17,44,47.85
2006-11-24,43,49.45
2006-12-01,36,49.11
2006-12-08,37,51.38
2006-12-15,60,51.50
2006-12-22,58,50.67
2006-12-29,32,50.60
2007-01-05,42,50.20
2007-01-12,58,53.73
