Date,FTI,Price
2004-01-09,83,
2004-01-16,80,
2004-01-23,100,
2004-01-30,92,
2004-02-06,74,24.26
2004-02-13,59,25.23
2004-02-20,72,25.05
2004-02-27,48,26.30
2004-03-05,62,27.95
2004-03-12,48,27.21
2004-03-19,63,26.70
2004-03-26,60,26.44
2004-04-02,61,26.90
2004-04-09,54,
2004-04-16,62,28.22
2004-04-23,64,27.90
2004-04-30,60,27.25
2004-05-07,49,25.66
2004-05-14,42,26.20
2004-05-21,59,25.59
2004-05-28,61,26.97
2004-06-04,50,26.70
2004-06-11,58,
2004-06-18,67,27.96
2004-06-25,60,28.00
2004-07-02,70,28.71
2004-07-09,69,28.85
2004-07-16,66,30.06
2004-07-23,66,29.25
2004-07-30,85,30.00
2004-08-06,67,28.68
2004-08-13,90,28.91
2004-08-20,71,30.75
2004-08-27,84,30.61
2004-09-03,70,31.70
2004-09-10,68,31.77
2004-09-17,71,32.55
2004-09-24,56,33.05
2004-10-01,54,33.84
2004-10-08,61,34.01
2004-10-15,49,33.02
2004-10-22,58,33.03
2004-10-29,56,30.23
2004-11-05,41,29.65
2004-11-12,59,30.33
2004-11-19,55,32.05
2004-11-26,56,33.03
2004-12-03,64,31.38
2004-12-10,59,31.74
2004-12-17,66,31.88
2004-12-24,56,
2004-12-31,58,32.20
2005-01-07,72,29.44
2005-01-14,78,31.36
2005-01-21,73,30.50
2005-01-28,69,30.44
2005-02-04,69,31.39
2005-02-11,58,33.55
2005-02-18,81,33.89
2005-02-25,65,34.31
2005-03-04,81,35.87
2005-03-11,58,33.96
2005-03-18,74,33.94
2005-03-25,55,
2005-04-01,66,33.76
2005-04-08,55,32.62
2005-04-15,49,30.49
2005-04-22,60,32.28
2005-04-29,52,30.33
2005-05-06,54,31.58
2005-05-13,54,29.18
2005-05-20,74,29.93
2005-05-27,60,32.33
2005-06-03,68,31.71
2005-06-10,59,31.88
2005-06-17,62,32.70
2005-06-24,64,31.99
2005-07-01,65,32.00
2005-07-08,79,32.52
2005-07-15,98,33.45
2005-07-22,89,35.95
2005-07-29,86,36.25
2005-08-05,83,39.25
2005-08-12,76,40.25
2005-08-19,81,38.04
2005-08-26,79,37.76
2005-09-02,72,40.24
2005-09-09,71,40.32
2005-09-16,64,39.56
2005-09-23,53,39.08
2005-09-30,53,42.11
2005-10-07,54,39.13
2005-10-14,52,37.65
2005-10-21,53,34.96
2005-10-28,55,35.91
2005-11-04,54,36.91
2005-11-11,69,36.98
2005-11-18,54,39.19
2005-11-25,60,41.35
2005-12-02,44,42.46
2005-12-09,40,42.92
2005-12-16,51,42.00
2005-12-23,54,43.17
2005-12-30,47,42.92
2006-01-06,74,47.60
2006-01-13,73,46.99
2006-01-20,71,48.18
2006-01-27,76,48.83
2006-02-03,71,49.18
2006-02-10,65,46.24
2006-02-17,59,46.45
2006-02-24,57,47.31
2006-03-03,63,49.00
2006-03-10,60,46.99
2006-03-17,64,49.54
2006-03-24,56,50.71
2006-03-31,59,51.22
2006-04-07,54,51.80
2006-04-14,60,
2006-04-21,53,56.13
2006-04-28,54,54.58
2006-05-05,62,59.92
2006-05-12,59,68.27
2006-05-19,52,62.78
2006-05-26,47,64.78
2006-06-02,58,68.12
2006-06-09,52,62.72
2006-06-16,50,60.96
2006-06-23,52,62.44
2006-06-30,58,67.46
2006-07-07,69,67.82
2006-07-14,83,69.50
2006-07-21,78,63.27
2006-07-28,64,61.70
2006-08-04,80,64.76
2006-08-11,81,61.69
2006-08-18,74,61.98
2006-08-25,67,61.90
2006-09-01,72,59.16
2006-09-08,53,58.51
2006-09-15,53,55.04
2006-09-22,50,51.77
2006-09-29,62,53.70
2006-10-06,59,53.24
2006-10-13,58,56.10
2006-10-20,59,59.50
2006-10-27,53,59.80
2006-11-03,62,59.77
2006-11-10,59,59.50
2006-11-17,66,57.76
2006-11-24,69,57.65
2006-12-01,51,60.65
2006-12-08,52,62.76
2006-12-15,59,63.04
2006-12-22,54,62.19
2006-12-29,62,61.63
2007-01-05,79,56.29
2007-01-12,87,57.75
2007-01-19,78,58.86
2007-01-26,78,59.80
2007-02-02,76,62.68
2007-02-09,69,62.90
2007-02-16,72,66.12
2007-02-23,75,67.55
2007-03-02,71,65.40
2007-03-09,71,66.96
2007-03-16,68,66.57
2007-03-23,59,68.91
2007-03-30,59,69.76
2007-04-06,56,
2007-04-13,50,72.06
2007-04-20,57,69.27
2007-04-27,52,72.61
2007-05-04,53,72.96
2007-05-11,55,73.44
2007-05-18,52,75.14
2007-05-25,50,74.81
2007-06-01,52,75.63
2007-06-08,60,73.89
2007-06-15,55,76.80
2007-06-22,68,79.24
2007-06-29,61,79.22
2007-07-06,72,83.01
2007-07-13,75,88.73
2007-07-20,68,93.51
2007-07-27,70,90.26
2007-08-03,76,88.22
2007-08-10,82,92.93
2007-08-17,73,86.84
2007-08-24,72,91.29
2007-08-31,71,94.70
2007-09-07,65,49.99
2007-09-14,70,55.28
2007-09-21,62,56.74
2007-09-28,64,57.66
2007-10-05,60,57.21
2007-10-12,57,63.46
2007-10-19,60,58.41
2007-10-26,55,64.96
2007-11-02,74,60.65
2007-11-09,65,58.84
2007-11-16,70,54.54
2007-11-23,71,55.76
2007-11-30,62,55.58
2007-12-07,58,58.21
2007-12-14,48,57.74
2007-12-21,47,56.13
2007-12-28,51,58.85
2008-01-04,70,63.28
2008-01-11,88,59.93
2008-01-18,81,53.38
2008-01-25,75,52.66
2008-02-01,74,48.84
2008-02-08,78,48.20
2008-02-15,71,50.95
2008-02-22,69,54.53
2008-02-29,66,56.66
2008-03-07,62,55.77
2008-03-14,53,58.30
2008-03-21,62,
2008-03-28,63,56.44
2008-04-04,57,61.70
2008-04-11,60,61.81
2008-04-18,60,70.04
2008-04-25,59,68.61
2008-05-02,58,66.81
2008-05-09,53,77.85
2008-05-16,57,78.57
2008-05-23,57,75.55
2008-05-30,59,71.85
2008-06-06,58,75.21
2008-06-13,67,75.49
2008-06-20,57,76.84
2008-06-27,67,75.13
2008-07-04,68,
2008-07-11,77,73.62
2008-07-18,69,68.59
2008-07-25,70,68.29
2008-08-01,69,58.43
2008-08-08,75,52.97
2008-08-15,68,51.94
2008-08-22,66,53.06
2008-08-29,55,53.56
2008-09-05,62,48.88
2008-09-12,62,50.18
2008-09-19,51,52.77
2008-09-26,52,48.38
2008-10-03,56,40.53
2008-10-10,53,34.63
2008-10-17,46,36.68
2008-10-24,63,30.65
2008-10-31,59,34.99
2008-11-07,62,31.75
2008-11-14,63,27.18
2008-11-21,54,22.97
2008-11-28,46,27.47
2008-12-05,47,24.06
2008-12-12,47,23.60
2008-12-19,50,23.10
2008-12-26,45,22.70
2009-01-02,63,25.32
2009-01-09,63,26.86
2009-01-16,75,26.23
2009-01-23,74,28.06
2009-01-30,70,29.59
2009-02-06,63,29.79
2009-02-13,64,27.98
2009-02-20,68,26.29
2009-02-27,59,26.49
2009-03-06,62,24.33
2009-03-13,64,27.08
2009-03-20,61,31.32
2009-03-27,63,32.21
2009-04-03,47,34.84
2009-04-10,49,
2009-04-17,51,37.29
2009-04-24,44,36.13
2009-05-01,51,34.92
2009-05-08,55,38.76
2009-05-15,56,35.59
2009-05-22,46,38.57
2009-05-29,56,41.62
2009-06-05,58,42.00
2009-06-12,65,40.84
2009-06-19,55,37.52
2009-06-26,62,37.81
2009-07-03,61,
2009-07-10,70,35.18
2009-07-17,75,39.29
2009-07-24,75,41.36
2009-07-31,65,43.50
2009-08-07,63,43.65
2009-08-14,64,44.58
2009-08-21,69,47.93
2009-08-28,64,48.67
2009-09-04,57,47.66
2009-09-11,49,51.54
2009-09-18,57,54.36
2009-09-25,52,51.79
2009-10-02,53,49.96
2009-10-09,56,55.26
2009-10-16,50,57.23
2009-10-23,47,57.67
2009-10-30,53,52.60
2009-11-06,54,56.63
2009-11-13,52,57.08
2009-11-20,50,54.37
2009-11-27,52,53.83
2009-12-04,46,54.90
2009-12-11,44,54.49
2009-12-18,38,57.56
2009-12-25,36,
2010-01-01,46,
2010-01-08,59,60.90
2010-01-15,69,58.80
2010-01-22,65,54.23
2010-01-29,67,53.17
2010-02-05,58,53.61
2010-02-12,56,57.43
2010-02-19,55,55.09
2010-02-26,58,56.17
2010-03-05,61,61.52
2010-03-12,59,62.17
2010-03-19,50,60.18
2010-03-26,50,61.64
2010-04-02,47,
2010-04-09,46,67.36
2010-04-16,52,65.98
2010-04-23,60,69.80
2010-04-30,48,67.69
2010-05-07,55,59.27
2010-05-14,51,61.43
2010-05-21,51,59.00
2010-05-28,52,58.15
2010-06-04,53,49.30
2010-06-11,55,52.56
2010-06-18,60,55.15
2010-06-25,56,53.92
2010-07-02,53,54.52
2010-07-09,59,61.62
2010-07-16,66,59.30
2010-07-23,66,63.74
2010-07-30,63,63.28
2010-08-06,66,63.91
2010-08-13,65,61.97
2010-08-20,65,61.63
2010-08-27,61,63.94
2010-09-03,57,66.58
2010-09-10,54,65.89
2010-09-17,55,65.17
2010-09-24,55,67.55
2010-10-01,49,69.40
2010-10-08,48,70.82
2010-10-15,48,72.90
2010-10-22,51,72.30
2010-10-29,51,72.10
2010-11-05,57,78.06
2010-11-12,57,76.71
2010-11-19,47,82.80
2010-11-26,43,83.50
2010-12-03,45,88.86
2010-12-10,40,87.81
2010-12-17,39,86.44
2010-12-24,37,
2010-12-31,47,88.91
2011-01-07,65,86.05
2011-01-14,71,88.79
2011-01-21,68,86.19
2011-01-28,67,91.84
2011-02-04,73,95.06
2011-02-11,61,89.48
2011-02-18,58,93.03
2011-02-25,55,92.64
2011-03-04,50,95.74
2011-03-11,47,91.17
2011-03-18,41,90.53
2011-03-25,44,94.75
2011-04-01,47,48.90
2011-04-08,45,48.01
2011-04-15,45,45.71
2011-04-22,39,
2011-04-29,42,46.48
2011-05-06,44,42.04
2011-05-13,39,42.27
2011-05-20,45,42.30
2011-05-27,45,44.07
2011-06-03,44,43.52
2011-06-10,45,40.89
2011-06-17,46,40.03
2011-06-24,49,39.77
2011-07-01,48,44.49
2011-07-08,54,45.07
2011-07-15,55,44.19
2011-07-22,61,46.16
2011-07-29,67,45.60
2011-08-05,62,39.96
2011-08-12,54,40.71
2011-08-19,54,38.56
2011-08-26,50,41.64
2011-09-02,42,42.36
2011-09-09,50,42.01
2011-09-16,49,43.21
2011-09-23,48,38.72
2011-09-30,46,37.60
2011-10-07,50,40.12
2011-10-14,44,43.70
2011-10-21,49,44.13
2011-10-28,45,47.12
2011-11-04,45,46.72
2011-11-11,52,47.74
2011-11-18,47,48.84
2011-11-25,45,46.37
2011-12-02,43,53.18
2011-12-09,43,51.86
2011-12-16,37,49.41
2011-12-23,36,51.88
2011-12-30,42,52.23
2012-01-06,58,51.57
2012-01-13,61,51.37
2012-01-20,61,52.66
2012-01-27,60,52.78
2012-02-03,53,53.41
2012-02-10,49,54.01
2012-02-17,49,51.38
2012-02-24,49,52.27
2012-03-02,49,50.62
2012-03-09,49,51.84
2012-03-16,45,52.34
2012-03-23,40,48.45
2012-03-30,43,50.42
2012-04-06,43,
2012-04-13,45,47.12
2012-04-20,45,47.40
2012-04-27,43,47.01
2012-05-04,42,44.28
2012-05-11,44,44.84
2012-05-18,38,41.35
2012-05-25,43,41.72
2012-06-01,42,38.71
2012-06-08,43,40.67
2012-06-15,46,42.13
2012-06-22,48,39.00
2012-06-29,46,39.23
2012-07-06,54,40.83
2012-07-13,59,40.32
2012-07-20,54,42.09
2012-07-27,49,46.85
2012-08-03,49,47.20
2012-08-10,47,48.11
2012-08-17,50,47.97
2012-08-24,48,47.21
2012-08-31,45,46.84
2012-09-07,46,48.54
2012-09-14,48,49.96
2012-09-21,47,48.76
2012-09-28,46,46.30
2012-10-05,43,43.89
2012-10-12,43,44.02
2012-10-19,43,44.37
2012-10-26,43,40.44
2012-11-02,40,40.51
2012-11-09,43,40.85
2012-11-16,45,40.20
2012-11-23,44,41.75
2012-11-30,37,40.86
2012-12-07,33,42.15
2012-12-14,36,40.60
2012-12-21,36,41.71
2012-12-28,34,40.81
2013-01-04,47,43.64
2013-01-11,58,44.30
2013-01-18,54,45.99
2013-01-25,56,46.80
2013-02-01,50,47.84
2013-02-08,46,48.62
2013-02-15,49,51.80
2013-02-22,46,51.87
2013-03-01,41,51.50
2013-03-08,45,51.55
2013-03-15,40,52.59
2013-03-22,40,52.39
2013-03-29,41,
2013-04-05,40,51.68
2013-04-12,38,52.80
2013-04-19,36,49.22
2013-04-26,40,52.89
2013-05-03,39,55.41
2013-05-10,42,56.00
2013-05-17,39,57.54
2013-05-24,39,56.74
2013-05-31,44,55.66
2013-06-07,44,56.22
2013-06-14,43,55.62
2013-06-21,43,55.01
2013-06-28,48,55.68
2013-07-05,44,56.34
2013-07-12,45,58.35
2013-07-19,43,57.82
2013-07-26,43,54.55
2013-08-02,47,55.11
2013-08-09,41,53.93
2013-08-16,56,53.25
2013-08-23,53,55.11
2013-08-30,45,53.63
2013-09-06,43,54.71
2013-09-13,47,54.40
2013-09-20,44,56.37
2013-09-27,40,55.33
2013-10-04,39,57.11
2013-10-11,41,57.35
2013-10-18,39,59.34
2013-10-25,39,51.13
2013-11-01,41,50.41
2013-11-08,44,49.75
2013-11-15,44,49.54
2013-11-22,44,49.04
2013-11-29,37,48.10
2013-12-06,35,50.72
2013-12-13,37,51.56
2013-12-20,38,52.30
2013-12-27,32,51.90
2014-01-03,46,51.90
2014-01-10,56,52.31
2014-01-17,59,51.00
2014-01-24,56,49.40
2014-01-31,58,49.44
2014-02-07,49,48.37
2014-02-14,50,51.24
2014-02-21,43,50.02
2014-02-28,44,50.24
2014-03-07,43,53.27
2014-03-14,38,51.35
2014-03-21,40,52.54
2014-03-28,38,52.41
2014-04-04,36,54.69
2014-04-11,40,52.16
2014-04-18,36,
2014-04-25,37,56.80
2014-05-02,43,
