Date,Facebook,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,0,
2005-02-04,0,
2005-02-11,0,
2005-02-18,0,
2005-02-25,0,
2005-03-04,0,
2005-03-11,0,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,0,
2005-05-13,0,
2005-05-20,0,
2005-05-27,0,
2005-06-03,0,
2005-06-10,0,
2005-06-17,0,
2005-06-24,0,
2005-07-01,0,
2005-07-08,0,
2005-07-15,0,
2005-07-22,0,
2005-07-29,0,
2005-08-05,0,
2005-08-12,0,
2005-08-19,0,
2005-08-26,0,
2005-09-02,0,
2005-09-09,0,
2005-09-16,0,
2005-09-23,0,
2005-09-30,0,
2005-10-07,0,
2005-10-14,0,
2005-10-21,0,
2005-10-28,0,
2005-11-04,0,
2005-11-11,0,
2005-11-18,0,
2005-11-25,0,
2005-12-02,0,
2005-12-09,0,
2005-12-16,0,
2005-12-23,0,
2005-12-30,0,
2006-01-06,0,
2006-01-13,0,
2006-01-20,0,
2006-01-27,0,
2006-02-03,0,
2006-02-10,0,
2006-02-17,0,
2006-02-24,0,
2006-03-03,0,
2006-03-10,0,
2006-03-17,0,
2006-03-24,0,
2006-03-31,0,
2006-04-07,0,
2006-04-14,0,
2006-04-21,0,
2006-04-28,0,
2006-05-05,0,
2006-05-12,0,
2006-05-19,0,
2006-05-26,0,
2006-06-02,0,
2006-06-09,0,
2006-06-16,0,
2006-06-23,0,
2006-06-30,0,
2006-07-07,0,
2006-07-14,0,
2006-07-21,0,
2006-07-28,0,
2006-08-04,0,
2006-08-11,0,
2006-08-18,0,
2006-08-25,0,
2006-09-01,0,
2006-09-08,0,
2006-09-15,0,
2006-09-22,0,
2006-09-29,0,
2006-10-06,0,
2006-10-13,0,
2006-10-20,0,
2006-10-27,0,
2006-11-03,1,
2006-11-10,1,
2006-11-17,1,
2006-11-24,1,
2006-12-01,1,
2006-12-08,1,
2006-12-15,1,
2006-12-22,1,
2006-12-29,1,
2007-01-05,1,
2007-01-12,1,
2007-01-19,1,
2007-01-26,1,
2007-02-02,1,
2007-02-09,1,
2007-02-16,1,
2007-02-23,1,
2007-03-02,1,
2007-03-09,1,
2007-03-16,1,
2007-03-23,1,
2007-03-30,1,
2007-04-06,1,
2007-04-13,1,
2007-04-20,1,
2007-04-27,2,
2007-05-04,2,
2007-05-11,2,
2007-05-18,2,
2007-05-25,2,
2007-06-01,2,
2007-06-08,2,
2007-06-15,2,
2007-06-22,2,
2007-06-29,2,
2007-07-06,2,
2007-07-13,3,
2007-07-20,3,
2007-07-27,3,
2007-08-03,3,
2007-08-10,3,
2007-08-17,3,
2007-08-24,3,
2007-08-31,3,
2007-09-07,3,
2007-09-14,4,
2007-09-21,4,
2007-09-28,4,
2007-10-05,4,
2007-10-12,4,
2007-10-19,4,
2007-10-26,5,
2007-11-02,5,
2007-11-09,5,
2007-11-16,5,
2007-11-23,6,
2007-11-30,6,
2007-12-07,6,
2007-12-14,6,
2007-12-21,6,
2007-12-28,6,
2008-01-04,6,
2008-01-11,6,
2008-01-18,6,
2008-01-25,6,
2008-02-01,6,
2008-02-08,6,
2008-02-15,6,
2008-02-22,6,
2008-02-29,6,
2008-03-07,6,
2008-03-14,6,
2008-03-21,6,
2008-03-28,6,
2008-04-04,6,
2008-04-11,6,
2008-04-18,6,
2008-04-25,7,
2008-05-02,7,
2008-05-09,7,
2008-05-16,8,
2008-05-23,8,
2008-05-30,8,
2008-06-06,8,
2008-06-13,9,
2008-06-20,9,
2008-06-27,9,
2008-07-04,9,
2008-07-11,10,
2008-07-18,10,
2008-07-25,11,
2008-08-01,12,
2008-08-08,11,
2008-08-15,11,
2008-08-22,11,
2008-08-29,12,
2008-09-05,13,
2008-09-12,13,
2008-09-19,13,
2008-09-26,14,
2008-10-03,14,
2008-10-10,14,
2008-10-17,15,
2008-10-24,15,
2008-10-31,16,
2008-11-07,17,
2008-11-14,18,
2008-11-21,19,
2008-11-28,19,
2008-12-05,19,
2008-12-12,20,
2008-12-19,21,
2008-12-26,24,
2009-01-02,25,
2009-01-09,23,
2009-01-16,25,
2009-01-23,26,
2009-01-30,26,
2009-02-06,28,
2009-02-13,28,
2009-02-20,28,
2009-02-27,29,
2009-03-06,29,
2009-03-13,28,
2009-03-20,29,
2009-03-27,29,
2009-04-03,31,
2009-04-10,32,
2009-04-17,32,
2009-04-24,32,
2009-05-01,32,
2009-05-08,32,
2009-05-15,32,
2009-05-22,33,
2009-05-29,34,
2009-06-05,34,
2009-06-12,35,
2009-06-19,36,
2009-06-26,35,
2009-07-03,37,
2009-07-10,37,
2009-07-17,39,
2009-07-24,39,
2009-07-31,40,
2009-08-07,41,
2009-08-14,40,
2009-08-21,42,
2009-08-28,45,
2009-09-04,43,
2009-09-11,45,
2009-09-18,46,
2009-09-25,45,
2009-10-02,44,
2009-10-09,47,
2009-10-16,46,
2009-10-23,47,
2009-10-30,47,
2009-11-06,48,
2009-11-13,48,
2009-11-20,49,
2009-11-27,51,
2009-12-04,48,
2009-12-11,49,
2009-12-18,50,
2009-12-25,56,
2010-01-01,57,
2010-01-08,52,
2010-01-15,53,
2010-01-22,55,
2010-01-29,56,
2010-02-05,56,
2010-02-12,57,
2010-02-19,57,
2010-02-26,56,
2010-03-05,56,
2010-03-12,57,
2010-03-19,57,
2010-03-26,59,
2010-04-02,60,
2010-04-09,61,
2010-04-16,61,
2010-04-23,62,
2010-04-30,59,
2010-05-07,61,
2010-05-14,60,
2010-05-21,62,
2010-05-28,60,
2010-06-04,60,
2010-06-11,59,
2010-06-18,62,
2010-06-25,62,
2010-07-02,63,
2010-07-09,62,
2010-07-16,62,
2010-07-23,64,
2010-07-30,64,
2010-08-06,65,
2010-08-13,65,
2010-08-20,65,
2010-08-27,65,
2010-09-03,67,
2010-09-10,67,
2010-09-17,65,
2010-09-24,71,
2010-10-01,66,
2010-10-08,68,
2010-10-15,69,
2010-10-22,69,
2010-10-29,69,
2010-11-05,68,
2010-11-12,69,
2010-11-19,70,
2010-11-26,68,
2010-12-03,69,
2010-12-10,69,
2010-12-17,70,
2010-12-24,74,
2010-12-31,77,
2011-01-07,73,
2011-01-14,70,
2011-01-21,74,
2011-01-28,73,
2011-02-04,74,
2011-02-11,75,
2011-02-18,74,
2011-02-25,71,
2011-03-04,73,
2011-03-11,71,
2011-03-18,73,
2011-03-25,72,
2011-04-01,74,
2011-04-08,74,
2011-04-15,73,
2011-04-22,75,
2011-04-29,77,
2011-05-06,72,
2011-05-13,69,
2011-05-20,71,
2011-05-27,69,
2011-06-03,73,
2011-06-10,70,
2011-06-17,73,
2011-06-24,73,
2011-07-01,73,
2011-07-08,75,
2011-07-15,76,
2011-07-22,74,
2011-07-29,76,
2011-08-05,77,
2011-08-12,77,
2011-08-19,72,
2011-08-26,75,
2011-09-02,76,
2011-09-09,76,
2011-09-16,76,
2011-09-23,75,
2011-09-30,75,
2011-10-07,74,
2011-10-14,73,
2011-10-21,74,
2011-10-28,75,
2011-11-04,74,
2011-11-11,74,
2011-11-18,72,
2011-11-25,73,
2011-12-02,72,
2011-12-09,72,
2011-12-16,75,
2011-12-23,76,
2011-12-30,80,
2012-01-06,74,
2012-01-13,71,
2012-01-20,76,
2012-01-27,75,
2012-02-03,77,
2012-02-10,75,
2012-02-17,74,
2012-02-24,76,
2012-03-02,77,
2012-03-09,77,
2012-03-16,74,
2012-03-23,76,
2012-03-30,74,
2012-04-06,76,
2012-04-13,75,
2012-04-20,74,
2012-04-27,74,
2012-05-04,74,
2012-05-11,74,
2012-05-18,74,38.23
2012-05-25,73,31.91
2012-06-01,77,27.72
2012-06-08,75,27.10
2012-06-15,75,30.01
2012-06-22,76,33.05
2012-06-29,77,31.10
2012-07-06,76,31.73
2012-07-13,74,30.72
2012-07-20,74,28.76
2012-07-27,76,23.71
2012-08-03,75,21.09
2012-08-10,73,21.81
2012-08-17,75,19.05
2012-08-24,76,19.41
2012-08-31,75,18.06
2012-09-07,76,18.98
2012-09-14,72,22.00
2012-09-21,74,22.86
2012-09-28,74,21.66
2012-10-05,83,20.91
2012-10-12,95,19.52
2012-10-19,94,19.00
2012-10-26,91,21.94
2012-11-02,94,21.18
2012-11-09,94,19.21
2012-11-16,93,23.56
2012-11-23,93,24.00
2012-11-30,93,28.00
2012-12-07,92,27.49
2012-12-14,93,26.81
2012-12-21,93,26.26
2012-12-28,100,25.91
2013-01-04,99,28.76
2013-01-11,92,31.72
2013-01-18,92,29.66
2013-01-25,92,31.54
2013-02-01,93,29.73
2013-02-08,89,28.55
2013-02-15,90,28.32
2013-02-22,88,27.13
2013-03-01,87,27.78
2013-03-08,88,27.96
2013-03-15,89,26.65
2013-03-22,89,25.73
2013-03-29,91,
2013-04-05,91,27.39
2013-04-12,91,27.40
2013-04-19,88,25.73
2013-04-26,88,26.85
2013-05-03,87,28.31
2013-05-10,88,26.68
2013-05-17,87,26.25
2013-05-24,88,24.31
2013-05-31,89,24.35
2013-06-07,91,23.29
2013-06-14,91,23.63
2013-06-21,91,24.53
2013-06-28,89,24.88
2013-07-05,91,24.37
2013-07-12,90,25.91
2013-07-19,89,25.88
2013-07-26,87,34.01
2013-08-02,87,38.05
2013-08-09,85,38.50
2013-08-16,86,37.08
2013-08-23,86,40.55
2013-08-30,85,41.29
2013-09-06,84,43.95
2013-09-13,83,44.31
2013-09-20,81,47.49
2013-09-27,82,51.24
2013-10-04,80,51.04
2013-10-11,79,49.11
2013-10-18,79,54.22
2013-10-25,77,51.95
2013-11-01,79,49.75
2013-11-08,78,47.53
2013-11-15,78,49.01
2013-11-22,77,46.23
2013-11-29,75,47.01
2013-12-06,76,47.94
2013-12-13,73,53.32
2013-12-20,74,55.12
2013-12-27,80,55.44
2014-01-03,76,54.56
2014-01-10,72,57.94
2014-01-17,71,56.30
2014-01-24,71,54.45
2014-01-31,72,62.57
2014-02-07,72,64.32
2014-02-14,71,67.09
2014-02-21,70,68.59
2014-02-28,70,68.46
2014-03-07,71,69.80
2014-03-14,71,67.72
2014-03-21,72,67.24
2014-03-28,70,60.01
2014-04-04,69,56.75
2014-04-11,68,58.53
2014-04-18,70,
2014-04-25,70,57.71
2014-05-02,69,
