Date,FedEx Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,66.13
2004-02-13,0,68.91
2004-02-20,0,69.01
2004-02-27,0,68.68
2004-03-05,0,69.50
2004-03-12,0,67.84
2004-03-19,0,71.28
2004-03-26,0,72.79
2004-04-02,0,76.07
2004-04-09,0,
2004-04-16,0,74.50
2004-04-23,0,74.15
2004-04-30,0,71.91
2004-05-07,0,71.62
2004-05-14,0,71.00
2004-05-21,0,70.64
2004-05-28,0,73.58
2004-06-04,0,74.22
2004-06-11,0,
2004-06-18,0,78.23
2004-06-25,0,79.83
2004-07-02,0,80.50
2004-07-09,0,79.94
2004-07-16,0,80.80
2004-07-23,0,80.57
2004-07-30,0,81.88
2004-08-06,0,78.14
2004-08-13,0,76.43
2004-08-20,0,79.30
2004-08-27,0,81.33
2004-09-03,0,83.01
2004-09-10,0,85.66
2004-09-17,0,88.11
2004-09-24,0,84.59
2004-10-01,0,86.26
2004-10-08,0,85.94
2004-10-15,0,86.20
2004-10-22,0,87.78
2004-10-29,0,91.12
2004-11-05,0,91.94
2004-11-12,0,95.37
2004-11-19,0,94.05
2004-11-26,0,95.71
2004-12-03,0,96.70
2004-12-10,0,98.85
2004-12-17,0,100.01
2004-12-24,0,
2004-12-31,0,98.49
2005-01-07,0,94.91
2005-01-14,0,93.32
2005-01-21,0,90.34
2005-01-28,0,94.43
2005-02-04,0,96.36
2005-02-11,0,98.01
2005-02-18,0,97.35
2005-02-25,0,98.44
2005-03-04,0,99.60
2005-03-11,0,99.73
2005-03-18,0,96.13
2005-03-25,0,
2005-04-01,0,92.35
2005-04-08,0,91.02
2005-04-15,0,83.95
2005-04-22,0,85.61
2005-04-29,0,84.95
2005-05-06,0,86.70
2005-05-13,0,84.61
2005-05-20,0,88.31
2005-05-27,0,89.88
2005-06-03,0,90.69
2005-06-10,0,86.44
2005-06-17,0,87.32
2005-06-24,0,80.10
2005-07-01,0,82.24
2005-07-08,0,83.96
2005-07-15,0,83.04
2005-07-22,0,85.10
2005-07-29,0,84.09
2005-08-05,0,84.60
2005-08-12,0,84.65
2005-08-19,0,84.77
2005-08-26,0,81.68
2005-09-02,0,80.51
2005-09-09,0,79.76
2005-09-16,0,80.19
2005-09-23,0,83.10
2005-09-30,0,87.13
2005-10-07,0,87.40
2005-10-14,0,87.60
2005-10-21,0,88.53
2005-10-28,0,90.63
2005-11-04,0,93.54
2005-11-11,0,96.00
2005-11-18,0,97.80
2005-11-25,0,98.18
2005-12-02,0,97.82
2005-12-09,0,98.08
2005-12-16,0,99.90
2005-12-23,0,104.56
2005-12-30,0,103.39
2006-01-06,0,102.59
2006-01-13,0,100.00
2006-01-20,0,99.95
2006-01-27,0,102.46
2006-02-03,0,98.49
2006-02-10,0,99.75
2006-02-17,0,105.05
2006-02-24,0,107.16
2006-03-03,0,111.50
2006-03-10,0,112.01
2006-03-17,0,114.94
2006-03-24,0,111.81
2006-03-31,0,112.94
2006-04-07,0,117.10
2006-04-14,0,
2006-04-21,0,115.39
2006-04-28,0,115.13
2006-05-05,0,119.31
2006-05-12,0,115.06
2006-05-19,0,109.34
2006-05-26,0,107.49
2006-06-02,0,111.13
2006-06-09,0,106.57
2006-06-16,0,109.64
2006-06-23,0,115.04
2006-06-30,0,116.86
2006-07-07,0,114.40
2006-07-14,0,109.01
2006-07-21,0,108.49
2006-07-28,0,105.29
2006-08-04,0,104.51
2006-08-11,0,98.34
2006-08-18,0,103.88
2006-08-25,0,99.15
2006-09-01,0,101.82
2006-09-08,0,100.71
2006-09-15,0,105.90
2006-09-22,0,106.03
2006-09-29,0,108.68
2006-10-06,0,112.30
2006-10-13,0,113.98
2006-10-20,0,116.20
2006-10-27,0,114.03
2006-11-03,0,112.07
2006-11-10,0,114.75
2006-11-17,0,117.44
2006-11-24,0,117.36
2006-12-01,0,114.87
2006-12-08,0,115.30
2006-12-15,0,115.06
2006-12-22,0,107.47
2006-12-29,0,108.62
2007-01-05,0,107.53
2007-01-12,0,108.86
2007-01-19,0,110.98
2007-01-26,0,109.89
2007-02-02,0,114.98
2007-02-09,0,113.39
2007-02-16,0,117.05
2007-02-23,0,120.97
2007-03-02,0,112.50
2007-03-09,0,114.67
2007-03-16,0,111.14
2007-03-23,0,112.71
2007-03-30,0,107.43
2007-04-06,0,
2007-04-13,0,107.91
2007-04-20,0,109.03
2007-04-27,0,107.22
2007-05-04,0,109.50
2007-05-11,0,108.26
2007-05-18,0,106.55
2007-05-25,0,105.96
2007-06-01,0,111.29
2007-06-08,0,109.40
2007-06-15,0,111.37
2007-06-22,0,109.96
2007-06-29,0,110.97
2007-07-06,0,110.84
2007-07-13,0,117.25
2007-07-20,0,115.67
2007-07-27,0,109.63
2007-08-03,0,108.56
2007-08-10,0,109.04
2007-08-17,0,108.00
2007-08-24,0,111.08
2007-08-31,0,109.68
2007-09-07,0,108.21
2007-09-14,0,109.18
2007-09-21,0,104.10
2007-09-28,0,104.75
2007-10-05,0,106.06
2007-10-12,0,107.51
2007-10-19,0,103.32
2007-10-26,0,103.94
2007-11-02,0,102.43
2007-11-09,0,99.74
2007-11-16,0,96.80
2007-11-23,0,93.60
2007-11-30,0,98.47
2007-12-07,0,100.22
2007-12-14,0,95.92
2007-12-21,0,94.29
2007-12-28,0,90.62
2008-01-04,0,84.10
2008-01-11,0,84.04
2008-01-18,0,84.01
2008-01-25,0,89.96
2008-02-01,0,93.42
2008-02-08,100,88.00
2008-02-15,0,87.92
2008-02-22,0,89.09
2008-02-29,0,88.13
2008-03-07,0,86.70
2008-03-14,0,84.80
2008-03-21,0,
2008-03-28,0,91.27
2008-04-04,0,96.87
2008-04-11,0,92.90
2008-04-18,0,96.71
2008-04-25,0,94.46
2008-05-02,0,96.86
2008-05-09,0,90.37
2008-05-16,0,90.95
2008-05-23,0,86.83
2008-05-30,0,91.71
2008-06-06,0,88.86
2008-06-13,0,85.98
2008-06-20,0,80.54
2008-06-27,0,77.25
2008-07-04,0,
2008-07-11,0,73.94
2008-07-18,0,79.52
2008-07-25,0,79.49
2008-08-01,0,77.34
2008-08-08,0,88.16
2008-08-15,0,87.85
2008-08-22,0,82.68
2008-08-29,0,82.82
2008-09-05,0,82.28
2008-09-12,70,90.84
2008-09-19,70,90.08
2008-09-26,70,81.56
2008-10-03,83,78.00
2008-10-10,0,68.36
2008-10-17,0,62.55
2008-10-24,0,56.81
2008-10-31,0,65.37
2008-11-07,0,64.58
2008-11-14,90,64.37
2008-11-21,76,60.91
2008-11-28,76,70.65
2008-12-05,76,73.71
2008-12-12,73,61.34
2008-12-19,78,63.59
2008-12-26,0,60.97
2009-01-02,0,64.44
2009-01-09,0,60.32
2009-01-16,0,58.58
2009-01-23,0,54.12
2009-01-30,0,50.94
2009-02-06,96,55.27
2009-02-13,66,51.81
2009-02-20,66,46.96
2009-02-27,58,43.21
2009-03-06,58,35.76
2009-03-13,58,38.00
2009-03-20,58,41.90
2009-03-27,58,45.68
2009-04-03,58,50.02
2009-04-10,93,
2009-04-17,66,53.25
2009-04-24,58,56.06
2009-05-01,59,55.13
2009-05-08,57,60.06
2009-05-15,57,52.98
2009-05-22,56,52.84
2009-05-29,56,55.43
2009-06-05,56,57.11
2009-06-12,0,54.39
2009-06-19,0,51.45
2009-06-26,0,55.41
2009-07-03,0,
2009-07-10,0,54.88
2009-07-17,57,60.47
2009-07-24,75,64.98
2009-07-31,66,67.84
2009-08-07,66,67.86
2009-08-14,66,66.01
2009-08-21,66,67.87
2009-08-28,66,69.86
2009-09-04,52,70.86
2009-09-11,52,77.32
2009-09-18,52,76.17
2009-09-25,68,73.38
2009-10-02,56,73.58
2009-10-09,56,77.48
2009-10-16,56,80.05
2009-10-23,54,77.10
2009-10-30,54,72.69
2009-11-06,54,77.12
2009-11-13,53,81.97
2009-11-20,53,81.78
2009-11-27,53,82.65
2009-12-04,53,87.93
2009-12-11,73,87.94
2009-12-18,54,84.95
2009-12-25,54,
2010-01-01,54,
2010-01-08,54,84.99
2010-01-15,54,85.11
2010-01-22,54,80.29
2010-01-29,53,78.35
2010-02-05,45,76.69
2010-02-12,53,78.55
2010-02-19,43,81.76
2010-02-26,43,84.76
2010-03-05,47,86.95
2010-03-12,50,86.18
2010-03-19,53,91.05
2010-03-26,57,91.35
2010-04-02,60,
2010-04-09,64,91.26
2010-04-16,71,93.87
2010-04-23,79,92.81
2010-04-30,49,90.01
2010-05-07,49,83.14
2010-05-14,45,85.91
2010-05-21,63,83.06
2010-05-28,90,83.49
2010-06-04,60,79.37
2010-06-11,72,80.63
2010-06-18,78,78.70
2010-06-25,63,75.96
2010-07-02,55,71.41
2010-07-09,44,74.22
2010-07-16,56,74.61
2010-07-23,69,78.96
2010-07-30,43,82.55
2010-08-06,52,85.32
2010-08-13,43,80.80
2010-08-20,43,81.23
2010-08-27,41,80.46
2010-09-03,52,82.75
2010-09-10,45,84.16
2010-09-17,63,82.28
2010-09-24,55,84.23
2010-10-01,57,85.64
2010-10-08,38,88.69
2010-10-15,38,89.62
2010-10-22,60,88.86
2010-10-29,48,87.72
2010-11-05,48,90.00
2010-11-12,48,87.32
2010-11-19,44,86.79
2010-11-26,40,87.50
2010-12-03,40,95.00
2010-12-10,40,93.98
2010-12-17,54,93.07
2010-12-24,55,
2010-12-31,57,93.01
2011-01-07,58,93.15
2011-01-14,41,95.83
2011-01-21,72,93.34
2011-01-28,40,90.48
2011-02-04,42,91.74
2011-02-11,74,95.42
2011-02-18,52,98.32
2011-02-25,52,89.88
2011-03-04,36,88.69
2011-03-11,53,90.71
2011-03-18,36,89.28
2011-03-25,53,90.28
2011-04-01,33,95.00
2011-04-08,33,91.16
2011-04-15,38,92.58
2011-04-22,43,
2011-04-29,48,95.67
2011-05-06,40,95.65
2011-05-13,50,93.58
2011-05-20,52,93.82
2011-05-27,55,91.90
2011-06-03,58,90.15
2011-06-10,45,85.38
2011-06-17,49,86.99
2011-06-24,33,91.87
2011-07-01,33,96.52
2011-07-08,36,97.56
2011-07-15,40,92.20
2011-07-22,49,92.79
2011-07-29,43,86.88
2011-08-05,43,82.36
2011-08-12,36,80.48
2011-08-19,37,73.16
2011-08-26,39,75.72
2011-09-02,41,74.90
2011-09-09,42,73.40
2011-09-16,39,76.40
2011-09-23,36,67.30
2011-09-30,60,67.68
2011-10-07,36,71.06
2011-10-14,37,75.74
2011-10-21,53,79.34
2011-10-28,38,84.25
2011-11-04,54,82.01
2011-11-11,52,82.23
2011-11-18,37,81.22
2011-11-25,48,76.08
2011-12-02,59,82.14
2011-12-09,37,83.24
2011-12-16,51,84.89
2011-12-23,38,84.92
2011-12-30,37,83.51
2012-01-06,48,85.49
2012-01-13,40,90.37
2012-01-20,40,91.57
2012-01-27,42,92.95
2012-02-03,39,94.54
2012-02-10,42,95.27
2012-02-17,26,92.99
2012-02-24,39,90.24
2012-03-02,29,90.78
2012-03-09,32,91.79
2012-03-16,31,94.34
2012-03-23,34,92.38
2012-03-30,42,91.96
2012-04-06,32,
2012-04-13,26,88.03
2012-04-20,26,89.67
2012-04-27,38,88.24
2012-05-04,29,89.30
2012-05-11,51,87.80
2012-05-18,54,85.07
2012-05-25,39,89.28
2012-06-01,28,85.25
2012-06-08,28,87.57
2012-06-15,33,87.63
2012-06-22,36,90.54
2012-06-29,36,91.61
2012-07-06,31,91.28
2012-07-13,31,92.35
2012-07-20,43,90.08
2012-07-27,39,90.89
2012-08-03,26,89.82
2012-08-10,26,87.80
2012-08-17,29,90.00
2012-08-24,28,89.07
2012-08-31,28,87.63
2012-09-07,28,87.38
2012-09-14,37,90.15
2012-09-21,44,84.39
2012-09-28,39,84.62
2012-10-05,44,86.47
2012-10-12,47,90.40
2012-10-19,32,92.11
2012-10-26,47,90.69
2012-11-02,39,92.64
2012-11-09,32,89.73
2012-11-16,37,86.13
2012-11-23,37,87.73
2012-11-30,36,89.53
2012-12-07,36,89.36
2012-12-14,50,90.09
2012-12-21,30,92.74
2012-12-28,43,90.39
2013-01-04,36,94.91
2013-01-11,46,97.40
2013-01-18,49,99.82
2013-01-25,41,102.57
2013-02-01,51,102.76
2013-02-08,34,106.41
2013-02-15,26,106.42
2013-02-22,35,105.82
2013-03-01,41,105.38
2013-03-08,45,107.80
2013-03-15,27,109.07
2013-03-22,47,98.48
2013-03-29,41,
2013-04-05,27,95.50
2013-04-12,33,96.33
2013-04-19,29,92.39
2013-04-26,37,94.18
2013-05-03,25,94.52
2013-05-10,50,100.12
2013-05-17,27,100.05
2013-05-24,37,97.82
2013-05-31,35,96.34
2013-06-07,41,99.78
2013-06-14,48,99.12
2013-06-21,31,96.46
2013-06-28,31,98.58
2013-07-05,36,98.96
2013-07-12,21,102.29
2013-07-19,27,108.03
2013-07-26,34,104.58
2013-08-02,25,109.15
2013-08-09,53,108.22
2013-08-16,44,108.68
2013-08-23,42,110.69
2013-08-30,25,107.36
2013-09-06,46,108.16
2013-09-13,35,107.24
2013-09-20,37,116.83
2013-09-27,52,113.77
2013-10-04,41,114.73
2013-10-11,36,115.87
2013-10-18,32,126.44
2013-10-25,32,132.06
2013-11-01,47,134.65
2013-11-08,45,132.57
2013-11-15,23,138.65
2013-11-22,36,137.07
2013-11-29,27,138.70
2013-12-06,32,139.39
2013-12-13,46,137.90
2013-12-20,39,142.71
2013-12-27,22,143.43
2014-01-03,22,140.05
2014-01-10,22,142.63
2014-01-17,31,140.51
2014-01-24,27,134.58
2014-01-31,44,133.32
2014-02-07,30,131.76
2014-02-14,21,133.92
2014-02-21,41,134.90
2014-02-28,32,133.33
2014-03-07,44,137.43
2014-03-14,25,136.76
2014-03-21,34,136.79
2014-03-28,34,132.01
2014-04-04,39,134.35
2014-04-11,38,131.23
2014-04-18,28,
2014-04-25,26,134.21
2014-05-02,0,
