Date,Forest Laboratories,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,100,
2004-02-06,81,75.54
2004-02-13,0,74.56
2004-02-20,0,72.75
2004-02-27,0,75.48
2004-03-05,0,76.98
2004-03-12,0,70.84
2004-03-19,0,71.05
2004-03-26,0,69.50
2004-04-02,0,73.52
2004-04-09,0,
2004-04-16,0,72.86
2004-04-23,0,66.15
2004-04-30,0,64.48
2004-05-07,0,65.53
2004-05-14,0,63.34
2004-05-21,68,59.20
2004-05-28,0,63.39
2004-06-04,0,63.95
2004-06-11,0,
2004-06-18,0,62.99
2004-06-25,0,58.46
2004-07-02,0,57.21
2004-07-09,0,51.65
2004-07-16,0,52.16
2004-07-23,0,49.63
2004-07-30,0,50.29
2004-08-06,0,45.49
2004-08-13,0,45.76
2004-08-20,0,48.17
2004-08-27,0,47.36
2004-09-03,0,42.80
2004-09-10,0,42.96
2004-09-17,0,45.09
2004-09-24,0,44.79
2004-10-01,0,45.86
2004-10-08,0,46.00
2004-10-15,0,47.52
2004-10-22,0,42.91
2004-10-29,0,44.60
2004-11-05,62,42.95
2004-11-12,63,43.64
2004-11-19,63,40.29
2004-11-26,64,38.71
2004-12-03,64,40.07
2004-12-10,0,42.17
2004-12-17,0,46.22
2004-12-24,0,
2004-12-31,0,44.86
2005-01-07,0,42.31
2005-01-14,0,42.17
2005-01-21,0,40.40
2005-01-28,0,41.04
2005-02-04,0,41.50
2005-02-11,0,42.06
2005-02-18,0,42.31
2005-02-25,0,42.95
2005-03-04,0,43.88
2005-03-11,0,39.80
2005-03-18,46,37.15
2005-03-25,55,
2005-04-01,57,36.71
2005-04-08,50,32.93
2005-04-15,50,34.61
2005-04-22,50,35.71
2005-04-29,0,35.68
2005-05-06,0,35.45
2005-05-13,0,36.91
2005-05-20,0,38.80
2005-05-27,0,38.80
2005-06-03,0,37.99
2005-06-10,0,38.99
2005-06-17,0,40.64
2005-06-24,0,39.14
2005-07-01,0,38.51
2005-07-08,0,40.10
2005-07-15,0,42.31
2005-07-22,0,40.40
2005-07-29,58,39.92
2005-08-05,44,40.67
2005-08-12,44,40.09
2005-08-19,0,42.68
2005-08-26,0,44.20
2005-09-02,0,44.43
2005-09-09,0,44.80
2005-09-16,0,43.54
2005-09-23,0,42.65
2005-09-30,0,38.97
2005-10-07,0,37.87
2005-10-14,0,36.22
2005-10-21,40,36.35
2005-10-28,0,37.35
2005-11-04,0,39.23
2005-11-11,0,38.51
2005-11-18,0,38.55
2005-11-25,0,39.51
2005-12-02,37,39.73
2005-12-09,0,40.54
2005-12-16,0,41.11
2005-12-23,0,41.69
2005-12-30,0,40.68
2006-01-06,0,40.28
2006-01-13,0,44.24
2006-01-20,44,43.13
2006-01-27,0,44.77
2006-02-03,0,47.76
2006-02-10,0,45.80
2006-02-17,0,46.89
2006-02-24,0,46.91
2006-03-03,0,45.37
2006-03-10,0,45.50
2006-03-17,0,44.71
2006-03-24,32,42.73
2006-03-31,32,44.63
2006-04-07,32,43.98
2006-04-14,32,
2006-04-21,32,43.71
2006-04-28,32,40.38
2006-05-05,0,40.93
2006-05-12,0,39.18
2006-05-19,0,38.09
2006-05-26,0,37.47
2006-06-02,0,38.03
2006-06-09,0,37.12
2006-06-16,0,37.74
2006-06-23,0,37.56
2006-06-30,0,38.69
2006-07-07,0,38.86
2006-07-14,0,44.40
2006-07-21,0,42.80
2006-07-28,0,46.61
2006-08-04,0,46.39
2006-08-11,0,46.75
2006-08-18,0,48.07
2006-08-25,0,49.11
2006-09-01,0,50.29
2006-09-08,0,47.97
2006-09-15,0,49.75
2006-09-22,0,49.82
2006-09-29,0,50.61
2006-10-06,0,51.85
2006-10-13,0,52.75
2006-10-20,0,51.47
2006-10-27,26,47.88
2006-11-03,22,47.30
2006-11-10,22,46.81
2006-11-17,22,47.85
2006-11-24,0,49.45
2006-12-01,0,49.11
2006-12-08,0,51.38
2006-12-15,0,51.50
2006-12-22,0,50.67
2006-12-29,0,50.60
2007-01-05,25,50.20
2007-01-12,27,53.73
2007-01-19,41,54.83
2007-01-26,32,55.41
2007-02-02,32,57.08
2007-02-09,0,54.03
2007-02-16,0,54.61
2007-02-23,0,54.42
2007-03-02,0,50.85
2007-03-09,0,51.81
2007-03-16,0,50.55
2007-03-23,27,52.10
2007-03-30,25,51.44
2007-04-06,0,
2007-04-13,0,54.97
2007-04-20,0,55.07
2007-04-27,0,54.17
2007-05-04,0,52.20
2007-05-11,0,52.48
2007-05-18,0,52.67
2007-05-25,39,51.96
2007-06-01,26,50.22
2007-06-08,18,47.83
2007-06-15,20,48.04
2007-06-22,23,45.30
2007-06-29,26,45.65
2007-07-06,23,46.25
2007-07-13,23,46.45
2007-07-20,25,42.98
2007-07-27,26,41.20
2007-08-03,21,39.63
2007-08-10,22,38.95
2007-08-17,23,37.17
2007-08-24,17,37.91
2007-08-31,20,37.63
2007-09-07,23,39.70
2007-09-14,23,37.06
2007-09-21,23,37.24
2007-09-28,23,37.29
2007-10-05,23,39.37
2007-10-12,23,38.83
2007-10-19,28,37.73
2007-10-26,18,38.95
2007-11-02,18,39.02
2007-11-09,16,37.37
2007-11-16,13,36.85
2007-11-23,19,36.77
2007-11-30,24,38.55
2007-12-07,30,37.85
2007-12-14,18,36.06
2007-12-21,16,36.52
2007-12-28,14,37.16
2008-01-04,14,35.93
2008-01-11,14,37.68
2008-01-18,19,40.97
2008-01-25,17,38.44
2008-02-01,15,40.69
2008-02-08,17,40.25
2008-02-15,19,40.46
2008-02-22,21,41.08
2008-02-29,18,39.77
2008-03-07,19,38.20
2008-03-14,20,38.22
2008-03-21,18,
2008-03-28,14,39.32
2008-04-04,14,40.87
2008-04-11,17,39.71
2008-04-18,20,35.84
2008-04-25,14,34.84
2008-05-02,14,34.48
2008-05-09,14,33.90
2008-05-16,14,34.53
2008-05-23,15,34.54
2008-05-30,15,35.91
2008-06-06,22,34.46
2008-06-13,16,33.16
2008-06-20,13,31.95
2008-06-27,14,33.35
2008-07-04,18,
2008-07-11,15,35.38
2008-07-18,20,36.54
2008-07-25,16,35.14
2008-08-01,14,35.07
2008-08-08,14,38.45
2008-08-15,14,38.71
2008-08-22,20,37.12
2008-08-29,16,35.69
2008-09-05,23,30.19
2008-09-12,25,29.37
2008-09-19,22,28.91
2008-09-26,12,28.44
2008-10-03,23,26.27
2008-10-10,25,21.80
2008-10-17,14,22.82
2008-10-24,29,21.86
2008-10-31,12,23.23
2008-11-07,17,23.36
2008-11-14,20,22.97
2008-11-21,21,20.31
2008-11-28,22,24.18
2008-12-05,23,23.77
2008-12-12,13,24.54
2008-12-19,16,24.67
2008-12-26,15,24.62
2009-01-02,15,26.26
2009-01-09,19,24.94
2009-01-16,29,25.76
2009-01-23,33,24.77
2009-01-30,14,25.04
2009-02-06,21,26.21
2009-02-13,28,25.84
2009-02-20,17,24.70
2009-02-27,27,21.44
2009-03-06,21,19.12
2009-03-13,35,20.79
2009-03-20,31,21.13
2009-03-27,18,21.75
2009-04-03,23,22.14
2009-04-10,22,
2009-04-17,11,22.98
2009-04-24,15,21.28
2009-05-01,21,21.87
2009-05-08,16,23.14
2009-05-15,16,22.91
2009-05-22,22,22.94
2009-05-29,19,23.69
2009-06-05,17,23.66
2009-06-12,19,24.21
2009-06-19,15,24.42
2009-06-26,13,25.23
2009-07-03,14,
2009-07-10,16,23.80
2009-07-17,22,24.75
2009-07-24,19,26.03
2009-07-31,20,25.83
2009-08-07,22,26.28
2009-08-14,28,27.54
2009-08-21,16,28.78
2009-08-28,20,29.11
2009-09-04,20,28.66
2009-09-11,15,29.09
2009-09-18,19,28.95
2009-09-25,14,28.51
2009-10-02,13,28.49
2009-10-09,15,29.88
2009-10-16,16,29.66
2009-10-23,18,27.88
2009-10-30,17,27.67
2009-11-06,17,28.67
2009-11-13,16,28.35
2009-11-20,26,29.57
2009-11-27,17,30.56
2009-12-04,11,31.20
2009-12-11,23,31.31
2009-12-18,10,31.72
2009-12-25,11,
2010-01-01,10,
2010-01-08,16,31.04
2010-01-15,19,30.66
2010-01-22,14,29.43
2010-01-29,15,29.64
2010-02-05,18,28.80
2010-02-12,14,29.10
2010-02-19,17,29.35
2010-02-26,14,29.88
2010-03-05,23,30.10
2010-03-12,16,31.26
2010-03-19,16,31.06
2010-03-26,21,31.08
2010-04-02,15,
2010-04-09,25,28.25
2010-04-16,20,27.80
2010-04-23,22,27.40
2010-04-30,14,27.26
2010-05-07,18,26.57
2010-05-14,18,26.54
2010-05-21,16,26.12
2010-05-28,13,25.88
2010-06-04,14,25.01
2010-06-11,14,25.86
2010-06-18,16,27.30
2010-06-25,13,27.63
2010-07-02,20,27.11
2010-07-09,9,28.39
2010-07-16,21,27.96
2010-07-23,26,28.28
2010-07-30,17,27.75
2010-08-06,13,27.80
2010-08-13,19,27.88
2010-08-20,20,27.60
2010-08-27,21,28.00
2010-09-03,17,29.56
2010-09-10,15,29.74
2010-09-17,18,31.25
2010-09-24,18,31.35
2010-10-01,17,31.04
2010-10-08,18,31.92
2010-10-15,20,33.31
2010-10-22,14,33.92
2010-10-29,19,33.05
2010-11-05,20,33.24
2010-11-12,13,32.62
2010-11-19,10,32.48
2010-11-26,10,31.85
2010-12-03,16,32.31
2010-12-10,15,32.68
2010-12-17,17,32.71
2010-12-24,11,
2010-12-31,12,31.98
2011-01-07,15,31.69
2011-01-14,21,31.44
2011-01-21,20,31.66
2011-01-28,21,31.99
2011-02-04,14,33.25
2011-02-11,10,33.62
2011-02-18,14,34.33
2011-02-25,16,31.88
2011-03-04,13,32.47
2011-03-11,17,31.93
2011-03-18,11,30.60
2011-03-25,17,31.39
2011-04-01,14,32.80
2011-04-08,8,32.85
2011-04-15,16,33.94
2011-04-22,23,
2011-04-29,27,33.16
2011-05-06,17,34.26
2011-05-13,13,34.23
2011-05-20,14,35.37
2011-05-27,18,35.78
2011-06-03,12,36.90
2011-06-10,21,37.95
2011-06-17,17,38.68
2011-06-24,19,39.33
2011-07-01,20,40.17
2011-07-08,17,39.37
2011-07-15,17,38.46
2011-07-22,16,38.53
2011-07-29,18,37.06
2011-08-05,17,33.72
2011-08-12,15,34.25
2011-08-19,14,32.83
2011-08-26,14,33.31
2011-09-02,13,33.10
2011-09-09,15,32.75
2011-09-16,17,33.18
2011-09-23,10,30.87
2011-09-30,11,30.79
2011-10-07,16,31.75
2011-10-14,12,32.56
2011-10-21,21,31.25
2011-10-28,12,31.78
2011-11-04,9,30.49
2011-11-11,14,30.52
2011-11-18,15,29.28
2011-11-25,10,28.63
2011-12-02,12,29.89
2011-12-09,9,29.66
2011-12-16,9,29.03
2011-12-23,10,30.45
2011-12-30,7,30.26
2012-01-06,12,30.60
2012-01-13,14,30.90
2012-01-20,13,32.17
2012-01-27,14,31.78
2012-02-03,13,31.85
2012-02-10,19,31.54
2012-02-17,10,32.03
2012-02-24,11,32.29
2012-03-02,12,32.47
2012-03-09,12,33.45
2012-03-16,15,33.55
2012-03-23,12,34.16
2012-03-30,13,34.69
2012-04-06,12,
2012-04-13,14,33.45
2012-04-20,11,33.87
2012-04-27,13,34.92
2012-05-04,10,33.93
2012-05-11,12,34.24
2012-05-18,10,33.20
2012-05-25,11,33.38
2012-06-01,10,34.29
2012-06-08,10,35.69
2012-06-15,16,34.45
2012-06-22,14,34.09
2012-06-29,13,34.99
2012-07-06,11,35.48
2012-07-13,13,35.36
2012-07-20,9,34.90
2012-07-27,14,34.04
2012-08-03,13,33.54
2012-08-10,11,33.76
2012-08-17,20,34.21
2012-08-24,20,34.68
2012-08-31,15,34.69
2012-09-07,8,35.37
2012-09-14,16,34.87
2012-09-21,8,35.69
2012-09-28,12,35.61
2012-10-05,8,37.42
2012-10-12,13,36.28
2012-10-19,12,34.90
2012-10-26,12,34.17
2012-11-02,10,34.14
2012-11-09,13,33.15
2012-11-16,13,32.32
2012-11-23,6,33.32
2012-11-30,12,35.46
2012-12-07,9,35.72
2012-12-14,10,35.70
2012-12-21,7,35.19
2012-12-28,7,34.84
2013-01-04,8,37.07
2013-01-11,14,38.11
2013-01-18,10,36.77
2013-01-25,10,36.79
2013-02-01,9,36.48
2013-02-08,12,35.51
2013-02-15,9,36.00
2013-02-22,6,36.67
2013-03-01,8,36.76
2013-03-08,14,37.90
2013-03-15,10,38.04
2013-03-22,12,37.78
2013-03-29,12,
2013-04-05,10,37.52
2013-04-12,12,37.99
2013-04-19,11,35.91
2013-04-26,13,37.03
2013-05-03,10,37.57
2013-05-10,13,38.26
2013-05-17,16,38.53
2013-05-24,17,39.23
2013-05-31,11,39.75
2013-06-07,11,40.45
2013-06-14,9,41.08
2013-06-21,16,40.83
2013-06-28,14,41.00
2013-07-05,9,42.39
2013-07-12,11,43.92
2013-07-19,13,43.76
2013-07-26,21,44.41
2013-08-02,13,44.71
2013-08-09,8,43.81
2013-08-16,13,42.43
2013-08-23,11,42.80
2013-08-30,13,42.53
2013-09-06,10,43.21
2013-09-13,14,44.12
2013-09-20,11,44.27
2013-09-27,8,43.17
2013-10-04,7,43.27
2013-10-11,10,43.30
2013-10-18,13,44.44
2013-10-25,13,47.34
2013-11-01,13,47.15
2013-11-08,8,48.00
2013-11-15,13,51.66
2013-11-22,15,51.58
2013-11-29,6,51.31
2013-12-06,23,56.91
2013-12-13,13,55.46
2013-12-20,15,57.32
2013-12-27,8,59.60
2014-01-03,10,59.62
2014-01-10,26,69.00
2014-01-17,15,68.74
2014-01-24,13,64.95
2014-01-31,12,66.30
2014-02-07,14,68.89
2014-02-14,15,71.39
2014-02-21,69,96.88
2014-02-28,23,97.57
2014-03-07,19,94.68
2014-03-14,16,95.51
2014-03-21,16,91.00
2014-03-28,15,91.54
2014-04-04,11,90.56
2014-04-11,16,86.76
2014-04-18,13,
2014-04-25,15,89.84
2014-05-02,25,
