Date,GAS,Price
2004-01-09,29,
2004-01-16,30,
2004-01-23,30,
2004-01-30,30,
2004-02-06,29,28.92
2004-02-13,28,28.68
2004-02-20,29,27.91
2004-02-27,30,28.68
2004-03-05,31,28.58
2004-03-12,29,28.59
2004-03-19,31,28.51
2004-03-26,29,28.06
2004-04-02,32,29.22
2004-04-09,29,
2004-04-16,31,28.27
2004-04-23,33,28.20
2004-04-30,33,28.60
2004-05-07,34,27.81
2004-05-14,40,27.22
2004-05-21,43,27.15
2004-05-28,38,28.20
2004-06-04,35,28.02
2004-06-11,33,
2004-06-18,30,28.93
2004-06-25,29,28.70
2004-07-02,30,29.13
2004-07-09,29,29.17
2004-07-16,28,29.13
2004-07-23,30,28.66
2004-07-30,30,29.55
2004-08-06,31,29.29
2004-08-13,30,29.01
2004-08-20,31,29.74
2004-08-27,31,30.20
2004-09-03,30,30.70
2004-09-10,31,30.99
2004-09-17,29,31.24
2004-09-24,31,30.41
2004-10-01,31,30.96
2004-10-08,32,30.85
2004-10-15,31,30.68
2004-10-22,31,30.42
2004-10-29,32,31.20
2004-11-05,30,31.75
2004-11-12,29,32.25
2004-11-19,31,32.32
2004-11-26,29,33.11
2004-12-03,31,33.06
2004-12-10,28,32.85
2004-12-17,28,33.48
2004-12-24,26,
2004-12-31,25,33.24
2005-01-07,27,32.28
2005-01-14,29,32.84
2005-01-21,28,33.40
2005-01-28,29,34.35
2005-02-04,28,35.86
2005-02-11,29,35.82
2005-02-18,29,34.89
2005-02-25,27,34.65
2005-03-04,29,35.63
2005-03-11,29,34.53
2005-03-18,30,34.82
2005-03-25,32,
2005-04-01,31,34.80
2005-04-08,34,35.17
2005-04-15,33,34.35
2005-04-22,32,35.36
2005-04-29,31,34.60
2005-05-06,31,34.65
2005-05-13,29,33.75
2005-05-20,29,34.75
2005-05-27,30,34.99
2005-06-03,28,35.85
2005-06-10,28,36.15
2005-06-17,28,37.47
2005-06-24,30,37.20
2005-07-01,30,39.10
2005-07-08,29,38.62
2005-07-15,30,38.30
2005-07-22,29,37.90
2005-07-29,29,38.45
2005-08-05,29,37.53
2005-08-12,34,36.83
2005-08-19,44,36.02
2005-08-26,38,35.69
2005-09-02,100,37.26
2005-09-09,52,37.91
2005-09-16,38,37.50
2005-09-23,48,36.35
2005-09-30,39,37.11
2005-10-07,37,35.27
2005-10-14,35,34.31
2005-10-21,33,33.10
2005-10-28,34,34.15
2005-11-04,31,35.77
2005-11-11,31,36.07
2005-11-18,32,35.87
2005-11-25,30,36.05
2005-12-02,31,35.93
2005-12-09,30,33.99
2005-12-16,28,35.30
2005-12-23,26,34.95
2005-12-30,25,34.81
2006-01-06,29,35.69
2006-01-13,30,35.69
2006-01-20,28,35.63
2006-01-27,30,36.25
2006-02-03,29,35.59
2006-02-10,28,35.48
2006-02-17,28,34.98
2006-02-24,29,35.68
2006-03-03,30,35.64
2006-03-10,29,35.29
2006-03-17,29,35.71
2006-03-24,28,35.59
2006-03-31,29,36.05
2006-04-07,29,35.28
2006-04-14,31,
2006-04-21,38,35.31
2006-04-28,41,35.38
2006-05-05,38,36.24
2006-05-12,34,35.45
2006-05-19,32,35.12
2006-05-26,31,35.79
2006-06-02,30,37.12
2006-06-09,30,36.94
2006-06-16,29,36.74
2006-06-23,29,36.93
2006-06-30,28,38.12
2006-07-07,28,37.81
2006-07-14,31,37.41
2006-07-21,31,38.01
2006-07-28,32,39.20
2006-08-04,31,37.17
2006-08-11,32,36.14
2006-08-18,31,35.83
2006-08-25,28,35.63
2006-09-01,30,36.19
2006-09-08,29,35.57
2006-09-15,31,35.25
2006-09-22,31,35.73
2006-09-29,30,36.50
2006-10-06,30,36.56
2006-10-13,29,37.13
2006-10-20,28,37.55
2006-10-27,28,37.45
2006-11-03,28,37.61
2006-11-10,27,37.75
2006-11-17,27,37.93
2006-11-24,25,37.74
2006-12-01,27,38.56
2006-12-08,26,39.30
2006-12-15,25,39.44
2006-12-22,23,38.92
2006-12-29,21,38.91
2007-01-05,25,38.80
2007-01-12,27,39.00
2007-01-19,27,38.68
2007-01-26,27,38.79
2007-02-02,26,41.15
2007-02-09,26,41.10
2007-02-16,25,42.04
2007-02-23,27,42.23
2007-03-02,26,40.60
2007-03-09,26,40.00
2007-03-16,26,40.34
2007-03-23,26,42.20
2007-03-30,27,42.72
2007-04-06,26,
2007-04-13,27,44.05
2007-04-20,28,43.34
2007-04-27,28,44.12
2007-05-04,31,43.62
2007-05-11,30,43.46
2007-05-18,33,43.45
2007-05-25,34,41.80
2007-06-01,30,42.54
2007-06-08,29,40.53
2007-06-15,27,40.58
2007-06-22,26,39.84
2007-06-29,26,40.48
2007-07-06,26,40.83
2007-07-13,27,41.30
2007-07-20,27,40.38
2007-07-27,26,37.90
2007-08-03,26,37.79
2007-08-10,25,38.35
2007-08-17,25,37.79
2007-08-24,24,39.58
2007-08-31,24,39.71
2007-09-07,24,39.01
2007-09-14,25,39.95
2007-09-21,26,40.04
2007-09-28,25,39.62
2007-10-05,25,40.68
2007-10-12,25,40.06
2007-10-19,26,38.25
2007-10-26,26,38.72
2007-11-02,27,38.26
2007-11-09,30,38.01
2007-11-16,30,36.93
2007-11-23,31,36.14
2007-11-30,31,37.08
2007-12-07,29,38.32
2007-12-14,25,36.25
2007-12-21,25,37.17
2007-12-28,21,37.42
2008-01-04,26,36.80
2008-01-11,27,38.39
2008-01-18,27,36.69
2008-01-25,26,36.88
2008-02-01,27,38.46
2008-02-08,27,36.92
2008-02-15,26,36.38
2008-02-22,27,35.65
2008-02-29,29,34.68
2008-03-07,28,34.55
2008-03-14,31,34.43
2008-03-21,29,
2008-03-28,28,33.85
2008-04-04,30,34.05
2008-04-11,29,33.85
2008-04-18,33,35.39
2008-04-25,37,35.10
2008-05-02,38,34.97
2008-05-09,37,35.82
2008-05-16,39,35.72
2008-05-23,41,35.20
2008-05-30,40,35.70
2008-06-06,39,35.89
2008-06-13,42,34.23
2008-06-20,38,34.29
2008-06-27,36,33.94
2008-07-04,35,
2008-07-11,35,33.80
2008-07-18,35,33.34
2008-07-25,34,33.53
2008-08-01,36,33.50
2008-08-08,32,33.14
2008-08-15,32,32.43
2008-08-22,29,32.82
2008-08-29,29,33.06
2008-09-05,30,31.94
2008-09-12,40,33.09
2008-09-19,37,33.78
2008-09-26,37,32.30
2008-10-03,35,31.30
2008-10-10,34,26.27
2008-10-17,34,27.25
2008-10-24,34,27.44
2008-10-31,34,30.40
2008-11-07,31,29.08
2008-11-14,32,28.65
2008-11-21,32,28.32
2008-11-28,28,30.11
2008-12-05,30,28.40
2008-12-12,29,29.76
2008-12-19,26,29.56
2008-12-26,22,29.61
2009-01-02,24,31.62
2009-01-09,29,31.33
2009-01-16,28,31.32
2009-01-23,27,30.73
2009-01-30,27,30.83
2009-02-06,27,33.50
2009-02-13,26,31.45
2009-02-20,26,28.48
2009-02-27,26,27.74
2009-03-06,26,24.70
2009-03-13,25,25.62
2009-03-20,25,27.12
2009-03-27,26,26.89
2009-04-03,26,27.35
2009-04-10,26,
2009-04-17,26,27.12
2009-04-24,26,28.56
2009-05-01,25,31.41
2009-05-08,26,30.62
2009-05-15,26,29.02
2009-05-22,27,28.46
2009-05-29,26,28.92
2009-06-05,27,30.57
2009-06-12,26,31.31
2009-06-19,26,31.59
2009-06-26,24,31.55
2009-07-03,25,
2009-07-10,26,30.87
2009-07-17,26,32.07
2009-07-24,25,34.13
2009-07-31,26,33.62
2009-08-07,26,34.07
2009-08-14,25,34.35
2009-08-21,25,34.94
2009-08-28,25,34.22
2009-09-04,26,33.46
2009-09-11,25,34.29
2009-09-18,25,35.11
2009-09-25,25,34.76
2009-10-02,26,34.84
2009-10-09,26,36.10
2009-10-16,26,36.86
2009-10-23,27,36.48
2009-10-30,25,34.96
2009-11-06,26,35.26
2009-11-13,25,34.40
2009-11-20,26,33.79
2009-11-27,25,34.60
2009-12-04,26,35.79
2009-12-11,26,36.70
2009-12-18,25,36.69
2009-12-25,21,
2010-01-01,22,
2010-01-08,28,35.97
