Date,GD,Price
2004-01-09,97,
2004-01-16,83,
2004-01-23,92,
2004-01-30,85,
2004-02-06,81,96.88
2004-02-13,100,95.94
2004-02-20,93,94.43
2004-02-27,81,92.12
2004-03-05,85,90.68
2004-03-12,84,87.91
2004-03-19,83,86.28
2004-03-26,81,87.50
2004-04-02,84,90.54
2004-04-09,78,
2004-04-16,71,92.36
2004-04-23,77,94.81
2004-04-30,75,93.62
2004-05-07,73,93.44
2004-05-14,75,95.19
2004-05-21,76,93.45
2004-05-28,75,95.63
2004-06-04,73,97.41
2004-06-11,75,
2004-06-18,78,99.68
2004-06-25,82,100.60
2004-07-02,83,97.56
2004-07-09,75,100.90
2004-07-16,75,97.00
2004-07-23,72,97.42
2004-07-30,68,98.82
2004-08-06,70,95.51
2004-08-13,83,94.56
2004-08-20,65,97.44
2004-08-27,73,98.39
2004-09-03,69,97.70
2004-09-10,68,97.28
2004-09-17,65,99.39
2004-09-24,74,99.76
2004-10-01,79,102.75
2004-10-08,68,100.15
2004-10-15,71,99.99
2004-10-22,66,100.01
2004-10-29,80,102.12
2004-11-05,69,106.85
2004-11-12,63,108.03
2004-11-19,71,106.44
2004-11-26,66,108.23
2004-12-03,62,109.83
2004-12-10,68,106.50
2004-12-17,64,106.35
2004-12-24,69,
2004-12-31,69,104.60
2005-01-07,64,99.81
2005-01-14,62,101.42
2005-01-21,68,100.51
2005-01-28,68,103.23
2005-02-04,56,103.91
2005-02-11,58,106.67
2005-02-18,72,106.00
2005-02-25,61,105.58
2005-03-04,67,105.83
2005-03-11,67,108.38
2005-03-18,70,106.10
2005-03-25,64,
2005-04-01,55,107.85
2005-04-08,62,108.05
2005-04-15,58,103.89
2005-04-22,63,103.50
2005-04-29,61,105.05
2005-05-06,56,106.48
2005-05-13,60,105.43
2005-05-20,59,108.10
2005-05-27,56,107.95
2005-06-03,61,108.26
2005-06-10,62,111.25
2005-06-17,62,112.04
2005-06-24,65,109.46
2005-07-01,58,109.95
2005-07-08,57,109.04
2005-07-15,57,112.31
2005-07-22,54,116.77
2005-07-29,58,115.19
2005-08-05,54,115.02
2005-08-12,55,113.59
2005-08-19,53,115.61
2005-08-26,56,114.85
2005-09-02,56,114.14
2005-09-09,47,116.35
2005-09-16,58,117.10
2005-09-23,53,119.94
2005-09-30,56,119.55
2005-10-07,53,119.59
2005-10-14,59,120.08
2005-10-21,55,116.54
2005-10-28,56,116.65
2005-11-04,60,116.38
2005-11-11,51,116.35
2005-11-18,59,117.21
2005-11-25,53,115.90
2005-12-02,54,113.55
2005-12-09,59,112.78
2005-12-16,55,114.43
2005-12-23,54,114.95
2005-12-30,55,114.05
2006-01-06,55,116.17
2006-01-13,53,117.20
2006-01-20,55,115.09
2006-01-27,57,118.50
2006-02-03,58,116.83
2006-02-10,60,119.89
2006-02-17,57,121.33
2006-02-24,56,121.90
2006-03-03,52,127.81
2006-03-10,57,126.30
2006-03-17,56,130.66
2006-03-24,54,131.27
2006-03-31,53,63.98
2006-04-07,52,64.94
2006-04-14,56,
2006-04-21,53,67.88
2006-04-28,52,65.62
2006-05-05,51,68.65
2006-05-12,53,65.20
2006-05-19,52,64.47
2006-05-26,53,62.70
2006-06-02,55,64.07
2006-06-09,55,63.37
2006-06-16,50,66.12
2006-06-23,51,65.40
2006-06-30,46,65.46
2006-07-07,51,66.52
2006-07-14,50,68.61
2006-07-21,48,67.44
2006-07-28,50,67.26
2006-08-04,49,67.76
2006-08-11,51,67.63
2006-08-18,52,68.76
2006-08-25,53,67.36
2006-09-01,50,68.16
2006-09-08,45,69.37
2006-09-15,48,71.69
2006-09-22,48,70.61
2006-09-29,52,71.67
2006-10-06,45,75.36
2006-10-13,54,76.09
2006-10-20,49,72.17
2006-10-27,49,70.91
2006-11-03,50,70.53
2006-11-10,49,70.35
2006-11-17,50,73.91
2006-11-24,48,73.65
2006-12-01,49,74.81
2006-12-08,46,74.14
2006-12-15,47,72.52
2006-12-22,49,73.98
2006-12-29,44,74.35
2007-01-05,50,74.59
2007-01-12,52,80.09
2007-01-19,48,79.53
2007-01-26,51,78.05
2007-02-02,49,78.67
2007-02-09,53,79.56
2007-02-16,53,79.25
2007-02-23,48,79.05
2007-03-02,50,75.46
2007-03-09,49,77.32
2007-03-16,51,77.55
2007-03-23,52,77.63
2007-03-30,51,76.40
2007-04-06,49,
2007-04-13,48,76.72
2007-04-20,47,79.55
2007-04-27,48,80.27
2007-05-04,48,79.69
2007-05-11,46,80.15
2007-05-18,48,81.26
2007-05-25,53,78.86
2007-06-01,49,79.88
2007-06-08,51,80.58
2007-06-15,53,80.25
2007-06-22,48,78.02
2007-06-29,48,78.22
2007-07-06,46,79.75
2007-07-13,47,79.98
2007-07-20,47,80.65
2007-07-27,54,79.33
2007-08-03,45,79.48
2007-08-10,47,77.31
2007-08-17,44,77.48
2007-08-24,46,79.20
2007-08-31,47,78.56
2007-09-07,43,78.14
2007-09-14,47,81.12
2007-09-21,49,82.96
2007-09-28,46,84.47
2007-10-05,45,84.06
2007-10-12,47,89.01
2007-10-19,46,85.47
2007-10-26,44,91.23
2007-11-02,46,90.13
