Date,GLW,Price
2004-01-09,0,
2004-01-16,33,
2004-01-23,32,
2004-01-30,32,
2004-02-06,32,12.62
2004-02-13,32,12.41
2004-02-20,38,12.90
2004-02-27,0,12.55
2004-03-05,0,12.73
2004-03-12,0,11.32
2004-03-19,0,10.57
2004-03-26,0,11.06
2004-04-02,0,11.87
2004-04-09,0,
2004-04-16,0,10.48
2004-04-23,0,12.13
2004-04-30,0,11.03
2004-05-07,0,11.57
2004-05-14,0,11.31
2004-05-21,0,11.90
2004-05-28,0,12.39
2004-06-04,0,12.30
2004-06-11,0,
2004-06-18,0,12.41
2004-06-25,41,12.71
2004-07-02,0,12.53
2004-07-09,0,12.09
2004-07-16,0,11.71
2004-07-23,0,12.05
2004-07-30,0,12.36
2004-08-06,0,11.12
2004-08-13,0,9.55
2004-08-20,0,10.73
2004-08-27,0,10.21
2004-09-03,0,10.09
2004-09-10,0,11.12
2004-09-17,0,11.27
2004-09-24,0,11.45
2004-10-01,0,11.53
2004-10-08,0,10.25
2004-10-15,0,10.43
2004-10-22,0,10.74
2004-10-29,0,11.45
2004-11-05,0,12.38
2004-11-12,0,12.24
2004-11-19,27,12.46
2004-11-26,23,12.50
2004-12-03,23,11.89
2004-12-10,0,11.23
2004-12-17,0,11.53
2004-12-24,0,
2004-12-31,0,11.77
2005-01-07,0,11.88
2005-01-14,25,11.77
2005-01-21,20,11.52
2005-01-28,20,10.74
2005-02-04,20,11.32
2005-02-11,24,11.92
2005-02-18,28,11.67
2005-02-25,19,11.68
2005-03-04,19,11.28
2005-03-11,19,11.30
2005-03-18,0,11.10
2005-03-25,0,
2005-04-01,0,11.14
2005-04-08,0,11.98
2005-04-15,0,11.10
2005-04-22,0,12.32
2005-04-29,22,13.75
2005-05-06,35,14.76
2005-05-13,31,15.11
2005-05-20,36,14.70
2005-05-27,40,15.50
2005-06-03,45,16.07
2005-06-10,40,15.96
2005-06-17,43,16.62
2005-06-24,34,16.60
2005-07-01,36,16.89
2005-07-08,33,16.95
2005-07-15,31,17.29
2005-07-22,49,17.68
2005-07-29,34,19.05
2005-08-05,49,19.60
2005-08-12,37,19.34
2005-08-19,37,18.92
2005-08-26,54,19.20
2005-09-02,28,19.84
2005-09-09,21,20.80
2005-09-16,49,20.25
2005-09-23,51,19.07
2005-09-30,41,19.33
2005-10-07,45,18.54
2005-10-14,43,18.17
2005-10-21,55,18.56
2005-10-28,52,19.04
2005-11-04,54,20.29
2005-11-11,55,20.11
2005-11-18,50,20.95
2005-11-25,38,20.93
2005-12-02,26,20.85
2005-12-09,29,21.16
2005-12-16,54,20.99
2005-12-23,43,20.13
2005-12-30,40,19.66
2006-01-06,41,21.19
2006-01-13,100,24.80
2006-01-20,52,23.88
2006-01-27,74,24.88
2006-02-03,65,24.51
2006-02-10,72,23.46
2006-02-17,74,24.28
2006-02-24,64,24.70
2006-03-03,77,26.64
2006-03-10,61,25.26
2006-03-17,69,26.87
2006-03-24,59,27.67
2006-03-31,67,26.92
2006-04-07,54,26.22
2006-04-14,65,
2006-04-21,57,29.09
2006-04-28,76,27.63
2006-05-05,54,28.24
2006-05-12,45,24.99
2006-05-19,41,24.50
2006-05-26,48,24.77
2006-06-02,33,24.94
2006-06-09,34,22.27
2006-06-16,58,22.13
2006-06-23,59,21.56
2006-06-30,46,24.19
2006-07-07,29,22.15
2006-07-14,40,21.96
2006-07-21,42,21.90
2006-07-28,52,19.13
2006-08-04,39,18.28
2006-08-11,41,18.95
2006-08-18,51,20.99
2006-08-25,48,21.80
2006-09-01,54,22.00
2006-09-08,35,21.74
2006-09-15,44,23.07
2006-09-22,45,23.87
2006-09-29,42,24.41
2006-10-06,49,24.59
2006-10-13,28,25.20
2006-10-20,39,23.26
2006-10-27,66,20.59
2006-11-03,43,20.51
2006-11-10,47,20.12
2006-11-17,43,21.21
2006-11-24,32,21.37
2006-12-01,38,21.02
2006-12-08,31,20.70
2006-12-15,41,19.49
2006-12-22,29,18.91
2006-12-29,36,18.71
2007-01-05,41,19.04
2007-01-12,45,20.03
2007-01-19,40,19.33
2007-01-26,58,21.20
2007-02-02,48,21.09
2007-02-09,53,21.59
2007-02-16,52,21.72
2007-02-23,41,21.61
2007-03-02,37,20.30
2007-03-09,38,21.37
2007-03-16,38,21.77
2007-03-23,30,22.99
2007-03-30,33,22.74
2007-04-06,27,
2007-04-13,35,23.74
2007-04-20,29,23.48
2007-04-27,44,24.40
2007-05-04,37,23.96
2007-05-11,37,23.73
2007-05-18,32,23.92
2007-05-25,37,24.16
2007-06-01,34,25.65
2007-06-08,40,25.59
2007-06-15,33,26.34
2007-06-22,33,25.49
2007-06-29,25,25.55
2007-07-06,32,25.82
2007-07-13,47,27.05
2007-07-20,37,26.53
2007-07-27,47,23.54
2007-08-03,42,23.54
2007-08-10,38,23.45
2007-08-17,43,23.00
2007-08-24,41,23.97
2007-08-31,25,23.37
2007-09-07,37,24.71
2007-09-14,33,23.73
2007-09-21,36,23.97
2007-09-28,32,24.65
2007-10-05,30,26.01
2007-10-12,32,26.08
2007-10-19,36,24.67
2007-10-26,38,23.62
2007-11-02,44,23.91
2007-11-09,34,21.31
2007-11-16,47,23.34
2007-11-23,34,23.03
2007-11-30,45,24.29
2007-12-07,40,24.92
2007-12-14,26,24.19
2007-12-21,34,24.03
2007-12-28,23,24.11
2008-01-04,33,22.44
2008-01-11,45,22.59
2008-01-18,29,22.20
2008-01-25,39,22.37
2008-02-01,37,24.61
2008-02-08,39,23.53
2008-02-15,31,23.08
2008-02-22,21,23.65
2008-02-29,23,23.23
2008-03-07,22,22.83
2008-03-14,28,23.29
2008-03-21,23,
2008-03-28,31,24.12
2008-04-04,31,25.56
2008-04-11,27,24.86
2008-04-18,32,25.70
2008-04-25,32,25.92
2008-05-02,47,27.00
2008-05-09,27,26.08
2008-05-16,28,27.36
2008-05-23,24,27.05
2008-05-30,25,27.34
2008-06-06,24,26.55
2008-06-13,26,27.50
2008-06-20,26,25.26
2008-06-27,23,23.45
2008-07-04,22,
2008-07-11,30,20.28
2008-07-18,37,20.20
2008-07-25,27,20.50
2008-08-01,34,20.34
2008-08-08,28,20.68
2008-08-15,29,21.20
2008-08-22,20,21.46
2008-08-29,26,20.54
2008-09-05,35,16.69
2008-09-12,22,16.48
2008-09-19,29,17.09
2008-09-26,36,16.13
2008-10-03,27,14.81
2008-10-10,43,12.37
2008-10-17,24,12.24
2008-10-24,30,10.65
2008-10-31,33,10.83
2008-11-07,25,10.41
2008-11-14,24,8.91
2008-11-21,32,8.04
2008-11-28,25,9.01
2008-12-05,21,8.54
2008-12-12,26,8.45
2008-12-19,25,8.79
2008-12-26,15,8.86
2009-01-02,18,10.05
2009-01-09,21,10.70
2009-01-16,24,9.70
2009-01-23,19,10.00
2009-01-30,26,10.11
2009-02-06,20,11.73
2009-02-13,16,11.56
2009-02-20,20,9.81
2009-02-27,22,10.55
2009-03-06,19,10.14
2009-03-13,19,11.71
2009-03-20,22,12.43
2009-03-27,29,13.56
2009-04-03,29,15.96
2009-04-10,21,
2009-04-17,23,15.27
2009-04-24,20,15.33
2009-05-01,26,14.29
2009-05-08,21,14.57
2009-05-15,18,13.88
2009-05-22,20,14.24
2009-05-29,17,14.70
2009-06-05,21,15.58
2009-06-12,16,15.89
2009-06-19,18,15.30
2009-06-26,20,16.37
2009-07-03,20,
2009-07-10,19,14.76
2009-07-17,22,16.63
2009-07-24,20,17.00
2009-07-31,22,17.00
2009-08-07,15,16.95
2009-08-14,15,15.87
2009-08-21,15,16.09
2009-08-28,15,15.91
2009-09-04,18,15.32
2009-09-11,14,16.05
2009-09-18,17,15.27
