Date,GM,Price
2004-01-09,42,
2004-01-16,47,
2004-01-23,42,
2004-01-30,40,
2004-02-06,40,
2004-02-13,40,
2004-02-20,41,
2004-02-27,39,
2004-03-05,41,
2004-03-12,40,
2004-03-19,39,
2004-03-26,42,
2004-04-02,40,
2004-04-09,37,
2004-04-16,40,
2004-04-23,39,
2004-04-30,39,
2004-05-07,39,
2004-05-14,38,
2004-05-21,39,
2004-05-28,38,
2004-06-04,38,
2004-06-11,35,
2004-06-18,34,
2004-06-25,37,
2004-07-02,37,
2004-07-09,38,
2004-07-16,40,
2004-07-23,39,
2004-07-30,38,
2004-08-06,39,
2004-08-13,38,
2004-08-20,37,
2004-08-27,38,
2004-09-03,37,
2004-09-10,38,
2004-09-17,38,
2004-09-24,38,
2004-10-01,38,
2004-10-08,38,
2004-10-15,40,
2004-10-22,37,
2004-10-29,38,
2004-11-05,36,
2004-11-12,37,
2004-11-19,36,
2004-11-26,33,
2004-12-03,37,
2004-12-10,38,
2004-12-17,35,
2004-12-24,37,
2004-12-31,34,
2005-01-07,36,
2005-01-14,40,
2005-01-21,38,
2005-01-28,39,
2005-02-04,39,
2005-02-11,39,
2005-02-18,39,
2005-02-25,37,
2005-03-04,39,
2005-03-11,40,
2005-03-18,39,
2005-03-25,45,
2005-04-01,40,
2005-04-08,39,
2005-04-15,45,
2005-04-22,44,
2005-04-29,45,
2005-05-06,45,
2005-05-13,44,
2005-05-20,40,
2005-05-27,38,
2005-06-03,42,
2005-06-10,52,
2005-06-17,47,
2005-06-24,48,
2005-07-01,45,
2005-07-08,45,
2005-07-15,48,
2005-07-22,46,
2005-07-29,48,
2005-08-05,45,
2005-08-12,43,
2005-08-19,45,
2005-08-26,41,
2005-09-02,44,
2005-09-09,39,
2005-09-16,39,
2005-09-23,42,
2005-09-30,41,
2005-10-07,40,
2005-10-14,42,
2005-10-21,43,
2005-10-28,42,
2005-11-04,40,
2005-11-11,40,
2005-11-18,45,
2005-11-25,50,
2005-12-02,41,
2005-12-09,40,
2005-12-16,41,
2005-12-23,40,
2005-12-30,42,
2006-01-06,40,
2006-01-13,47,
2006-01-20,43,
2006-01-27,47,
2006-02-03,45,
2006-02-10,44,
2006-02-17,42,
2006-02-24,43,
2006-03-03,44,
2006-03-10,43,
2006-03-17,41,
2006-03-24,46,
2006-03-31,46,
2006-04-07,45,
2006-04-14,44,
2006-04-21,43,
2006-04-28,42,
2006-05-05,44,
2006-05-12,43,
2006-05-19,41,
2006-05-26,43,
2006-06-02,42,
2006-06-09,40,
2006-06-16,41,
2006-06-23,40,
2006-06-30,45,
2006-07-07,45,
2006-07-14,44,
2006-07-21,45,
2006-07-28,43,
2006-08-04,44,
2006-08-11,41,
2006-08-18,45,
2006-08-25,43,
2006-09-01,41,
2006-09-08,43,
2006-09-15,44,
2006-09-22,43,
2006-09-29,43,
2006-10-06,42,
2006-10-13,43,
2006-10-20,40,
2006-10-27,43,
2006-11-03,41,
2006-11-10,41,
2006-11-17,41,
2006-11-24,40,
2006-12-01,42,
2006-12-08,40,
2006-12-15,39,
2006-12-22,38,
2006-12-29,39,
2007-01-05,41,
2007-01-12,45,
2007-01-19,41,
2007-01-26,41,
2007-02-02,41,
2007-02-09,44,
2007-02-16,42,
2007-02-23,43,
2007-03-02,41,
2007-03-09,42,
2007-03-16,43,
2007-03-23,41,
2007-03-30,42,
2007-04-06,41,
2007-04-13,42,
2007-04-20,42,
2007-04-27,43,
2007-05-04,43,
2007-05-11,39,
2007-05-18,42,
2007-05-25,41,
2007-06-01,41,
2007-06-08,41,
2007-06-15,39,
2007-06-22,39,
2007-06-29,42,
2007-07-06,41,
2007-07-13,42,
2007-07-20,42,
2007-07-27,42,
2007-08-03,42,
2007-08-10,41,
2007-08-17,42,
2007-08-24,41,
2007-08-31,42,
2007-09-07,41,
2007-09-14,41,
2007-09-21,42,
2007-09-28,51,
2007-10-05,42,
2007-10-12,41,
2007-10-19,40,
2007-10-26,40,
2007-11-02,42,
2007-11-09,42,
2007-11-16,40,
2007-11-23,42,
2007-11-30,43,
2007-12-07,44,
2007-12-14,38,
2007-12-21,38,
2007-12-28,36,
2008-01-04,38,
2008-01-11,39,
2008-01-18,41,
2008-01-25,39,
2008-02-01,39,
2008-02-08,38,
2008-02-15,42,
2008-02-22,40,
2008-02-29,39,
2008-03-07,40,
2008-03-14,38,
2008-03-21,39,
2008-03-28,41,
2008-04-04,39,
2008-04-11,37,
2008-04-18,37,
2008-04-25,39,
2008-05-02,40,
2008-05-09,37,
2008-05-16,38,
2008-05-23,38,
2008-05-30,37,
2008-06-06,43,
2008-06-13,39,
2008-06-20,39,
2008-06-27,45,
2008-07-04,45,
2008-07-11,43,
2008-07-18,46,
2008-07-25,43,
2008-08-01,43,
2008-08-08,42,
2008-08-15,45,
2008-08-22,46,
2008-08-29,43,
2008-09-05,40,
2008-09-12,40,
2008-09-19,45,
