Date,GOOG,Price
2004-01-09,5,
2004-01-16,7,
2004-01-23,8,
2004-01-30,7,
2004-02-06,7,
2004-02-13,8,
2004-02-20,5,
2004-02-27,7,
2004-03-05,6,
2004-03-12,7,
2004-03-19,6,
2004-03-26,6,
2004-04-02,6,
2004-04-09,7,
2004-04-16,6,
2004-04-23,6,
2004-04-30,6,
2004-05-07,7,
2004-05-14,6,
2004-05-21,6,
2004-05-28,7,
2004-06-04,5,
2004-06-11,6,
2004-06-18,5,
2004-06-25,5,
2004-07-02,6,
2004-07-09,6,
2004-07-16,7,
2004-07-23,6,
2004-07-30,12,
2004-08-06,9,
2004-08-13,10,
2004-08-20,53,
2004-08-27,31,
2004-09-03,21,
2004-09-10,16,
2004-09-17,17,
2004-09-24,15,
2004-10-01,15,
2004-10-08,15,
2004-10-15,15,
2004-10-22,20,
2004-10-29,22,
2004-11-05,23,
2004-11-12,20,
2004-11-19,18,
2004-11-26,17,
2004-12-03,16,
2004-12-10,16,
2004-12-17,15,
2004-12-24,13,
2004-12-31,12,
2005-01-07,16,
2005-01-14,14,
2005-01-21,11,
2005-01-28,16,
2005-02-04,19,
2005-02-11,16,
2005-02-18,17,
2005-02-25,16,
2005-03-04,12,
2005-03-11,15,
2005-03-18,16,
2005-03-25,14,
2005-04-01,15,
2005-04-08,25,
2005-04-15,15,
2005-04-22,23,
2005-04-29,22,
2005-05-06,22,
2005-05-13,20,
2005-05-20,23,
2005-05-27,32,
2005-06-03,31,
2005-06-10,36,
2005-06-17,32,
2005-06-24,33,
2005-07-01,38,
2005-07-08,30,
2005-07-15,30,
2005-07-22,39,
2005-07-29,50,
2005-08-05,29,
2005-08-12,28,
2005-08-19,33,
2005-08-26,30,
2005-09-02,26,
2005-09-09,22,
2005-09-16,28,
2005-09-23,29,
2005-09-30,30,
2005-10-07,28,
2005-10-14,29,
2005-10-21,42,
2005-10-28,42,
2005-11-04,45,
2005-11-11,43,
2005-11-18,43,
2005-11-25,40,
2005-12-02,49,
2005-12-09,44,
2005-12-16,43,
2005-12-23,45,
2005-12-30,40,
2006-01-06,51,
2006-01-13,54,
2006-01-20,59,
2006-01-27,61,
2006-02-03,90,
2006-02-10,60,
2006-02-17,63,
2006-02-24,49,
2006-03-03,64,
2006-03-10,48,
2006-03-17,45,
2006-03-24,49,
2006-03-31,45,
2006-04-07,42,
2006-04-14,39,
2006-04-21,50,
2006-04-28,44,
2006-05-05,40,
2006-05-12,38,
2006-05-19,35,
2006-05-26,34,
2006-06-02,31,
2006-06-09,30,
2006-06-16,32,
2006-06-23,30,
2006-06-30,35,
2006-07-07,31,
2006-07-14,34,
2006-07-21,49,
2006-07-28,36,
2006-08-04,34,
2006-08-11,33,
2006-08-18,33,
2006-08-25,32,
2006-09-01,32,
2006-09-08,28,
2006-09-15,34,
2006-09-22,34,
2006-09-29,31,
2006-10-06,34,
2006-10-13,44,
2006-10-20,47,
2006-10-27,47,
2006-11-03,42,
2006-11-10,37,
2006-11-17,40,
2006-11-24,41,
2006-12-01,41,
2006-12-08,36,
2006-12-15,35,
2006-12-22,37,
2006-12-29,40,
2007-01-05,36,
2007-01-12,37,
2007-01-19,35,
2007-01-26,39,
2007-02-02,49,
2007-02-09,39,
2007-02-16,38,
2007-02-23,36,
2007-03-02,39,
2007-03-09,39,
2007-03-16,37,
2007-03-23,35,
2007-03-30,32,
2007-04-06,32,
2007-04-13,35,
2007-04-20,45,
2007-04-27,38,
2007-05-04,36,
2007-05-11,32,
2007-05-18,33,
2007-05-25,34,
2007-06-01,36,
2007-06-08,40,
2007-06-15,34,
2007-06-22,35,
2007-06-29,34,
2007-07-06,35,
2007-07-13,38,
2007-07-20,48,
2007-07-27,39,
2007-08-03,36,
2007-08-10,37,
2007-08-17,37,
2007-08-24,36,
2007-08-31,34,
2007-09-07,32,
2007-09-14,33,
2007-09-21,33,
2007-09-28,37,
2007-10-05,38,
2007-10-12,47,
2007-10-19,51,
2007-10-26,45,
2007-11-02,55,
2007-11-09,62,
2007-11-16,53,
2007-11-23,50,
2007-11-30,54,
2007-12-07,48,
2007-12-14,42,
2007-12-21,40,
2007-12-28,34,
2008-01-04,34,
2008-01-11,37,
2008-01-18,33,
2008-01-25,44,
2008-02-01,53,
2008-02-08,49,
2008-02-15,39,
2008-02-22,34,
2008-02-29,45,
2008-03-07,41,
2008-03-14,43,
2008-03-21,42,
2008-03-28,40,
2008-04-04,38,
2008-04-11,37,
2008-04-18,51,
2008-04-25,43,
2008-05-02,40,
2008-05-09,42,
2008-05-16,37,
2008-05-23,36,
2008-05-30,32,
2008-06-06,35,
2008-06-13,36,
2008-06-20,34,
2008-06-27,35,
2008-07-04,32,
2008-07-11,34,
2008-07-18,44,
2008-07-25,37,
2008-08-01,35,
2008-08-08,33,
2008-08-15,34,
2008-08-22,33,
2008-08-29,33,
2008-09-05,39,
2008-09-12,33,
2008-09-19,39,
2008-09-26,34,
2008-10-03,50,
2008-10-10,48,
2008-10-17,51,
2008-10-24,40,
2008-10-31,37,
2008-11-07,36,
2008-11-14,40,
2008-11-21,38,
2008-11-28,33,
2008-12-05,31,
2008-12-12,34,
2008-12-19,32,
2008-12-26,32,
2009-01-02,28,
2009-01-09,32,
2009-01-16,35,
2009-01-23,38,
2009-01-30,37,
2009-02-06,38,
2009-02-13,36,
2009-02-20,35,
2009-02-27,37,
2009-03-06,33,
2009-03-13,34,
2009-03-20,38,
2009-03-27,38,
2009-04-03,39,
2009-04-10,39,
2009-04-17,42,
2009-04-24,39,
2009-05-01,38,
2009-05-08,38,
2009-05-15,38,
2009-05-22,37,
2009-05-29,33,
2009-06-05,36,
2009-06-12,35,
2009-06-19,34,
2009-06-26,35,
2009-07-03,33,
2009-07-10,37,
