Date,General Motors,Price
2004-01-09,65,
2004-01-16,64,
2004-01-23,65,
2004-01-30,58,
2004-02-06,63,
2004-02-13,55,
2004-02-20,55,
2004-02-27,57,
2004-03-05,51,
2004-03-12,55,
2004-03-19,60,
2004-03-26,56,
2004-04-02,60,
2004-04-09,51,
2004-04-16,49,
2004-04-23,57,
2004-04-30,56,
2004-05-07,55,
2004-05-14,47,
2004-05-21,56,
2004-05-28,54,
2004-06-04,52,
2004-06-11,52,
2004-06-18,53,
2004-06-25,49,
2004-07-02,47,
2004-07-09,53,
2004-07-16,53,
2004-07-23,54,
2004-07-30,56,
2004-08-06,50,
2004-08-13,53,
2004-08-20,49,
2004-08-27,50,
2004-09-03,47,
2004-09-10,49,
2004-09-17,50,
2004-09-24,52,
2004-10-01,51,
2004-10-08,51,
2004-10-15,63,
2004-10-22,54,
2004-10-29,54,
2004-11-05,50,
2004-11-12,47,
2004-11-19,53,
2004-11-26,46,
2004-12-03,49,
2004-12-10,46,
2004-12-17,44,
2004-12-24,42,
2004-12-31,42,
2005-01-07,47,
2005-01-14,55,
2005-01-21,50,
2005-01-28,48,
2005-02-04,51,
2005-02-11,51,
2005-02-18,50,
2005-02-25,46,
2005-03-04,48,
2005-03-11,53,
2005-03-18,57,
2005-03-25,63,
2005-04-01,54,
2005-04-08,58,
2005-04-15,59,
2005-04-22,70,
2005-04-29,58,
2005-05-06,63,
2005-05-13,58,
2005-05-20,49,
2005-05-27,43,
2005-06-03,51,
2005-06-10,68,
2005-06-17,59,
2005-06-24,57,
2005-07-01,49,
2005-07-08,51,
2005-07-15,52,
2005-07-22,53,
2005-07-29,48,
2005-08-05,48,
2005-08-12,46,
2005-08-19,46,
2005-08-26,47,
2005-09-02,50,
2005-09-09,42,
2005-09-16,40,
2005-09-23,42,
2005-09-30,48,
2005-10-07,41,
2005-10-14,53,
2005-10-21,49,
2005-10-28,46,
2005-11-04,41,
2005-11-11,42,
2005-11-18,49,
2005-11-25,66,
2005-12-02,46,
2005-12-09,38,
2005-12-16,40,
2005-12-23,37,
2005-12-30,35,
2006-01-06,41,
2006-01-13,49,
2006-01-20,41,
2006-01-27,46,
2006-02-03,45,
2006-02-10,47,
2006-02-17,38,
2006-02-24,40,
2006-03-03,53,
2006-03-10,43,
2006-03-17,40,
2006-03-24,46,
2006-03-31,44,
2006-04-07,46,
2006-04-14,37,
2006-04-21,40,
2006-04-28,42,
2006-05-05,36,
2006-05-12,38,
2006-05-19,35,
2006-05-26,34,
2006-06-02,37,
2006-06-09,33,
2006-06-16,33,
2006-06-23,34,
2006-06-30,42,
2006-07-07,39,
2006-07-14,35,
2006-07-21,43,
2006-07-28,41,
2006-08-04,36,
2006-08-11,33,
2006-08-18,32,
2006-08-25,33,
2006-09-01,31,
2006-09-08,31,
2006-09-15,36,
2006-09-22,35,
2006-09-29,31,
2006-10-06,32,
2006-10-13,32,
2006-10-20,29,
2006-10-27,34,
2006-11-03,33,
2006-11-10,31,
2006-11-17,33,
2006-11-24,29,
2006-12-01,34,
2006-12-08,32,
2006-12-15,28,
2006-12-22,26,
2006-12-29,27,
2007-01-05,31,
2007-01-12,34,
2007-01-19,29,
2007-01-26,30,
2007-02-02,31,
2007-02-09,32,
2007-02-16,31,
2007-02-23,30,
2007-03-02,30,
2007-03-09,33,
2007-03-16,30,
2007-03-23,29,
2007-03-30,28,
2007-04-06,28,
2007-04-13,29,
2007-04-20,34,
2007-04-27,33,
2007-05-04,31,
2007-05-11,28,
2007-05-18,30,
2007-05-25,27,
2007-06-01,28,
2007-06-08,27,
2007-06-15,26,
2007-06-22,26,
2007-06-29,25,
2007-07-06,26,
2007-07-13,28,
2007-07-20,28,
2007-07-27,26,
2007-08-03,27,
2007-08-10,26,
2007-08-17,28,
2007-08-24,26,
2007-08-31,26,
2007-09-07,24,
2007-09-14,28,
2007-09-21,29,
2007-09-28,37,
2007-10-05,28,
2007-10-12,26,
2007-10-19,27,
2007-10-26,28,
2007-11-02,28,
2007-11-09,29,
2007-11-16,26,
2007-11-23,27,
2007-11-30,29,
2007-12-07,26,
2007-12-14,23,
2007-12-21,21,
2007-12-28,17,
2008-01-04,23,
2008-01-11,26,
2008-01-18,26,
2008-01-25,26,
2008-02-01,25,
2008-02-08,24,
2008-02-15,31,
2008-02-22,30,
2008-02-29,28,
2008-03-07,27,
2008-03-14,27,
2008-03-21,24,
2008-03-28,26,
2008-04-04,26,
2008-04-11,25,
2008-04-18,24,
2008-04-25,26,
2008-05-02,24,
2008-05-09,22,
2008-05-16,22,
2008-05-23,21,
2008-05-30,22,
2008-06-06,28,
2008-06-13,23,
2008-06-20,22,
2008-06-27,29,
2008-07-04,31,
2008-07-11,28,
2008-07-18,34,
2008-07-25,26,
2008-08-01,27,
2008-08-08,26,
2008-08-15,23,
2008-08-22,25,
2008-08-29,24,
2008-09-05,23,
2008-09-12,24,
2008-09-19,28,
2008-09-26,24,
2008-10-03,23,
2008-10-10,41,
2008-10-17,37,
2008-10-24,31,
2008-10-31,29,
2008-11-07,35,
2008-11-14,65,
2008-11-21,61,
