Date,Goodyear Tire & Rubber,Price
2004-01-09,71,
2004-01-16,46,
2004-01-23,73,
2004-01-30,71,
2004-02-06,71,9.97
2004-02-13,74,8.71
2004-02-20,73,8.15
2004-02-27,73,8.42
2004-03-05,69,8.48
2004-03-12,69,7.90
2004-03-19,73,7.61
2004-03-26,65,7.54
2004-04-02,73,9.01
2004-04-09,91,
2004-04-16,65,8.90
2004-04-23,83,9.23
2004-04-30,79,8.71
2004-05-07,72,8.47
2004-05-14,69,8.02
2004-05-21,75,8.24
2004-05-28,100,8.70
2004-06-04,60,8.66
2004-06-11,67,
2004-06-18,78,9.89
2004-06-25,62,9.85
2004-07-02,86,9.33
2004-07-09,69,9.59
2004-07-16,63,9.65
2004-07-23,85,10.14
2004-07-30,82,10.95
2004-08-06,66,10.40
2004-08-13,75,10.49
2004-08-20,79,10.91
2004-08-27,67,10.83
2004-09-03,77,11.67
2004-09-10,65,11.54
2004-09-17,91,10.97
2004-09-24,75,10.63
2004-10-01,87,10.86
2004-10-08,67,10.12
2004-10-15,83,9.61
2004-10-22,99,9.62
2004-10-29,81,10.08
2004-11-05,85,11.80
2004-11-12,96,11.66
2004-11-19,86,12.21
2004-11-26,93,12.50
2004-12-03,95,13.08
2004-12-10,74,12.72
2004-12-17,65,14.24
2004-12-24,92,
2004-12-31,97,14.66
2005-01-07,65,14.70
2005-01-14,60,15.32
2005-01-21,75,14.52
2005-01-28,53,15.37
2005-02-04,72,14.42
2005-02-11,59,14.00
2005-02-18,54,13.79
2005-02-25,48,14.71
2005-03-04,63,14.53
2005-03-11,56,14.76
2005-03-18,76,13.65
2005-03-25,62,
2005-04-01,64,13.06
2005-04-08,75,12.80
2005-04-15,55,11.47
2005-04-22,66,11.77
2005-04-29,66,11.87
2005-05-06,66,13.29
2005-05-13,51,13.50
2005-05-20,73,14.19
2005-05-27,71,14.59
2005-06-03,80,14.30
2005-06-10,62,14.25
2005-06-17,71,14.86
2005-06-24,69,14.24
2005-07-01,74,15.12
2005-07-08,71,15.30
2005-07-15,75,15.90
2005-07-22,73,16.12
2005-07-29,90,17.41
2005-08-05,86,18.49
2005-08-12,75,17.54
2005-08-19,85,17.08
2005-08-26,73,16.55
2005-09-02,75,16.57
2005-09-09,74,16.74
2005-09-16,67,16.24
2005-09-23,76,15.50
2005-09-30,72,15.59
2005-10-07,82,14.14
2005-10-14,81,13.94
2005-10-21,75,13.60
2005-10-28,82,15.24
2005-11-04,85,15.74
2005-11-11,93,15.59
2005-11-18,94,16.13
2005-11-25,92,16.97
2005-12-02,86,17.09
2005-12-09,79,17.11
2005-12-16,61,17.50
2005-12-23,77,17.90
2005-12-30,65,17.38
2006-01-06,50,18.47
2006-01-13,51,18.25
2006-01-20,55,17.63
2006-01-27,57,18.87
2006-02-03,57,15.21
2006-02-10,50,14.91
2006-02-17,56,14.87
2006-02-24,66,14.55
2006-03-03,51,13.42
2006-03-10,54,13.18
2006-03-17,57,13.73
2006-03-24,60,14.02
2006-03-31,65,14.48
2006-04-07,67,13.89
2006-04-14,64,
2006-04-21,67,13.90
2006-04-28,59,14.00
2006-05-05,59,15.20
2006-05-12,58,14.50
2006-05-19,62,13.53
2006-05-26,70,13.04
2006-06-02,61,12.58
2006-06-09,58,11.81
2006-06-16,61,11.67
2006-06-23,64,10.99
2006-06-30,68,11.10
2006-07-07,63,10.60
2006-07-14,66,9.99
2006-07-21,67,9.94
2006-07-28,69,10.57
2006-08-04,77,11.79
2006-08-11,76,11.30
2006-08-18,74,11.69
2006-08-25,70,12.16
2006-09-01,60,13.77
2006-09-08,65,14.57
2006-09-15,60,14.22
2006-09-22,80,14.35
2006-09-29,65,14.50
2006-10-06,76,14.46
2006-10-13,84,14.56
2006-10-20,83,14.70
2006-10-27,88,14.96
2006-11-03,91,15.28
2006-11-10,86,18.02
2006-11-17,85,18.00
2006-11-24,77,17.89
2006-12-01,85,16.80
