Date,HIG,Price
2004-01-09,23,
2004-01-16,31,
2004-01-23,36,
2004-01-30,28,
2004-02-06,39,65.15
2004-02-13,24,65.50
2004-02-20,25,65.42
2004-02-27,30,65.50
2004-03-05,28,65.89
2004-03-12,36,64.02
2004-03-19,28,63.93
2004-03-26,27,62.70
2004-04-02,23,65.71
2004-04-09,37,
2004-04-16,30,64.46
2004-04-23,26,63.74
2004-04-30,28,61.08
2004-05-07,29,63.50
2004-05-14,31,63.00
2004-05-21,21,64.95
2004-05-28,36,66.12
2004-06-04,21,65.66
2004-06-11,33,
2004-06-18,25,67.60
2004-06-25,28,67.92
2004-07-02,18,68.16
2004-07-09,25,66.52
2004-07-16,29,64.77
2004-07-23,19,62.40
2004-07-30,35,65.10
2004-08-06,29,61.33
2004-08-13,31,58.54
2004-08-20,22,60.60
2004-08-27,27,61.33
2004-09-03,27,61.23
2004-09-10,32,61.43
2004-09-17,32,63.50
2004-09-24,28,63.10
2004-10-01,34,63.08
2004-10-08,32,62.95
2004-10-15,27,56.30
2004-10-22,30,55.03
2004-10-29,29,58.48
2004-11-05,33,61.74
2004-11-12,24,62.00
2004-11-19,26,63.65
2004-11-26,23,64.70
2004-12-03,26,65.55
2004-12-10,25,65.71
2004-12-17,31,67.20
2004-12-24,25,
2004-12-31,21,69.31
2005-01-07,30,67.50
2005-01-14,25,67.76
2005-01-21,28,66.32
2005-01-28,32,66.13
2005-02-04,31,71.17
2005-02-11,33,73.76
2005-02-18,28,71.23
2005-02-25,29,72.90
2005-03-04,31,72.93
2005-03-11,34,70.98
2005-03-18,31,70.19
2005-03-25,28,
2005-04-01,25,67.25
2005-04-08,36,68.61
2005-04-15,25,66.75
2005-04-22,26,66.40
2005-04-29,36,72.37
2005-05-06,29,74.16
2005-05-13,27,71.60
2005-05-20,23,73.08
2005-05-27,31,74.87
2005-06-03,23,74.05
2005-06-10,24,74.27
2005-06-17,33,76.36
2005-06-24,28,76.08
2005-07-01,23,75.59
2005-07-08,22,76.81
2005-07-15,31,78.41
2005-07-22,35,79.27
2005-07-29,29,80.57
2005-08-05,27,77.15
2005-08-12,31,77.69
2005-08-19,30,76.62
2005-08-26,32,74.71
2005-09-02,29,74.30
2005-09-09,26,76.31
2005-09-16,28,76.28
2005-09-23,35,75.15
2005-09-30,32,77.17
2005-10-07,22,77.02
2005-10-14,34,74.57
2005-10-21,36,74.85
2005-10-28,32,78.33
2005-11-04,34,84.02
2005-11-11,28,86.46
2005-11-18,33,88.00
2005-11-25,29,87.95
2005-12-02,30,88.03
2005-12-09,36,86.18
2005-12-16,27,86.52
2005-12-23,22,86.28
2005-12-30,27,85.89
2006-01-06,25,88.83
2006-01-13,30,87.69
2006-01-20,32,85.37
2006-01-27,34,84.86
2006-02-03,31,80.75
2006-02-10,28,80.94
2006-02-17,30,83.65
2006-02-24,28,83.29
2006-03-03,34,82.03
2006-03-10,31,81.55
2006-03-17,32,82.60
2006-03-24,30,80.98
2006-03-31,32,80.55
2006-04-07,29,82.27
2006-04-14,31,
2006-04-21,34,85.02
2006-04-28,25,91.93
2006-05-05,30,90.47
2006-05-12,34,90.99
2006-05-19,29,87.90
2006-05-26,32,88.05
2006-06-02,25,88.90
2006-06-09,30,86.55
2006-06-16,29,83.80
2006-06-23,29,82.30
2006-06-30,27,84.60
2006-07-07,26,83.48
2006-07-14,30,80.97
2006-07-21,34,84.01
2006-07-28,37,85.50
2006-08-04,34,82.59
2006-08-11,41,80.61
2006-08-18,51,84.51
2006-08-25,49,83.87
2006-09-01,43,85.20
2006-09-08,44,84.23
2006-09-15,45,87.04
2006-09-22,53,84.94
2006-09-29,58,86.75
2006-10-06,57,89.77
2006-10-13,55,89.85
2006-10-20,48,89.20
2006-10-27,58,87.25
2006-11-03,61,86.48
2006-11-10,54,85.78
2006-11-17,50,88.42
2006-11-24,53,86.67
2006-12-01,48,84.73
2006-12-08,60,86.94
2006-12-15,47,92.01
2006-12-22,49,92.45
2006-12-29,46,93.31
2007-01-05,47,91.67
2007-01-12,47,91.27
2007-01-19,52,92.27
2007-01-26,51,93.31
2007-02-02,54,96.06
2007-02-09,48,95.27
2007-02-16,49,97.09
2007-02-23,44,96.48
2007-03-02,41,94.23
2007-03-09,47,95.84
2007-03-16,47,94.16
2007-03-23,45,96.41
2007-03-30,42,95.58
2007-04-06,39,
2007-04-13,44,96.82
2007-04-20,50,99.02
2007-04-27,45,103.32
2007-05-04,50,103.73
2007-05-11,45,105.34
2007-05-18,55,104.45
2007-05-25,55,103.20
2007-06-01,52,103.00
2007-06-08,47,99.66
2007-06-15,55,102.12
2007-06-22,56,98.30
2007-06-29,56,98.51
2007-07-06,54,99.33
2007-07-13,52,98.40
2007-07-20,56,95.68
2007-07-27,68,91.90
2007-08-03,54,88.25
2007-08-10,58,87.87
2007-08-17,65,90.15
2007-08-24,65,91.72
2007-08-31,64,88.91
2007-09-07,76,87.68
2007-09-14,81,88.10
2007-09-21,93,91.69
2007-09-28,100,92.55
2007-10-05,96,98.02
2007-10-12,90,97.22
2007-10-19,79,91.66
2007-10-26,80,98.56
2007-11-02,76,94.19
2007-11-09,76,91.50
2007-11-16,79,93.00
2007-11-23,87,90.78
2007-11-30,80,95.32
2007-12-07,90,94.18
2007-12-14,80,88.55
2007-12-21,71,88.30
2007-12-28,74,87.15
2008-01-04,75,82.95
2008-01-11,71,83.67
2008-01-18,70,76.85
2008-01-25,72,75.13
2008-02-01,73,81.50
2008-02-08,71,74.39
2008-02-15,63,72.48
2008-02-22,66,74.37
2008-02-29,64,69.90
