Date,HRL,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,27.50
2004-02-13,0,27.58
2004-02-20,0,28.00
2004-02-27,0,27.72
2004-03-05,0,28.85
2004-03-12,0,28.94
2004-03-19,0,28.11
2004-03-26,0,28.31
2004-04-02,0,29.63
2004-04-09,0,
2004-04-16,0,29.77
2004-04-23,0,31.04
2004-04-30,0,30.49
2004-05-07,0,30.40
2004-05-14,0,29.94
2004-05-21,0,30.22
2004-05-28,0,31.25
2004-06-04,0,30.86
2004-06-11,0,
2004-06-18,0,29.58
2004-06-25,0,31.63
2004-07-02,0,30.69
2004-07-09,0,30.50
2004-07-16,0,30.10
2004-07-23,0,29.06
2004-07-30,0,29.68
2004-08-06,0,27.71
2004-08-13,0,27.57
2004-08-20,0,26.00
2004-08-27,0,26.99
2004-09-03,0,27.65
2004-09-10,0,27.89
2004-09-17,0,27.02
2004-09-24,0,26.71
2004-10-01,0,26.88
2004-10-08,0,26.61
2004-10-15,0,26.39
2004-10-22,0,26.77
2004-10-29,0,28.11
2004-11-05,0,29.10
2004-11-12,0,31.87
2004-11-19,0,30.45
2004-11-26,0,30.73
2004-12-03,0,30.80
2004-12-10,0,29.75
2004-12-17,0,29.37
2004-12-24,0,
2004-12-31,0,31.35
2005-01-07,0,30.42
2005-01-14,0,29.99
2005-01-21,0,31.17
2005-01-28,0,30.63
2005-02-04,0,32.20
2005-02-11,0,31.35
2005-02-18,0,31.97
2005-02-25,0,31.02
2005-03-04,0,31.93
2005-03-11,80,30.54
2005-03-18,69,31.33
2005-03-25,57,
2005-04-01,57,30.96
2005-04-08,57,30.80
2005-04-15,57,30.12
2005-04-22,57,30.50
2005-04-29,0,31.14
2005-05-06,0,31.97
2005-05-13,0,32.56
2005-05-20,0,32.86
2005-05-27,0,29.99
2005-06-03,0,30.15
2005-06-10,0,30.63
2005-06-17,66,30.64
2005-06-24,71,30.01
2005-07-01,75,29.81
2005-07-08,80,29.70
2005-07-15,85,30.25
2005-07-22,56,30.00
2005-07-29,56,29.61
2005-08-05,56,30.36
2005-08-12,55,30.56
2005-08-19,55,30.30
2005-08-26,50,31.20
2005-09-02,50,32.30
2005-09-09,50,31.79
2005-09-16,58,31.75
2005-09-23,66,31.45
2005-09-30,75,32.99
2005-10-07,46,31.75
2005-10-14,46,32.43
2005-10-21,46,31.53
2005-10-28,50,31.53
2005-11-04,45,31.70
2005-11-11,45,35.00
2005-11-18,45,35.06
2005-11-25,45,32.62
2005-12-02,57,32.98
2005-12-09,68,32.27
2005-12-16,70,32.54
2005-12-23,45,32.72
2005-12-30,45,32.68
2006-01-06,45,33.45
2006-01-13,45,33.37
2006-01-20,43,33.36
2006-01-27,43,33.98
2006-02-03,47,34.75
2006-02-10,0,34.18
2006-02-17,0,34.87
2006-02-24,0,34.46
2006-03-03,0,34.04
2006-03-10,0,34.01
2006-03-17,62,33.18
2006-03-24,40,33.35
2006-03-31,40,33.80
2006-04-07,40,34.14
2006-04-14,37,
2006-04-21,37,33.13
2006-04-28,43,33.56
2006-05-05,48,33.83
2006-05-12,54,33.48
2006-05-19,39,33.98
2006-05-26,41,35.59
2006-06-02,44,35.96
2006-06-09,39,35.11
2006-06-16,39,35.77
2006-06-23,39,36.61
2006-06-30,49,37.14
2006-07-07,60,36.90
2006-07-14,37,36.45
2006-07-21,37,36.77
2006-07-28,52,37.83
2006-08-04,67,37.34
2006-08-11,45,37.72
2006-08-18,36,37.65
2006-08-25,33,36.45
2006-09-01,33,36.89
2006-09-08,40,36.22
2006-09-15,48,35.76
2006-09-22,31,36.02
2006-09-29,42,35.98
2006-10-06,52,35.98
2006-10-13,42,35.92
2006-10-20,45,35.69
2006-10-27,47,36.05
2006-11-03,38,35.30
2006-11-10,54,36.10
2006-11-17,43,36.79
2006-11-24,43,37.99
2006-12-01,27,37.98
2006-12-08,41,38.41
2006-12-15,34,38.12
2006-12-22,34,37.95
2006-12-29,34,37.34
2007-01-05,34,37.58
2007-01-12,34,37.63
2007-01-19,51,37.67
2007-01-26,39,37.37
2007-02-02,35,37.83
2007-02-09,30,37.99
2007-02-16,45,38.06
2007-02-23,38,37.31
2007-03-02,31,36.43
2007-03-09,51,36.57
2007-03-16,71,36.68
2007-03-23,40,37.45
2007-03-30,41,37.19
2007-04-06,38,
2007-04-13,42,37.64
2007-04-20,23,37.87
2007-04-27,31,38.18
2007-05-04,36,38.26
2007-05-11,28,38.04
2007-05-18,46,39.19
2007-05-25,35,36.83
2007-06-01,33,37.68
2007-06-08,37,37.50
2007-06-15,34,37.39
2007-06-22,29,37.25
2007-06-29,35,37.35
2007-07-06,51,37.45
2007-07-13,24,37.56
2007-07-20,40,36.40
2007-07-27,33,35.00
2007-08-03,31,33.80
2007-08-10,26,33.79
2007-08-17,35,33.89
2007-08-24,23,35.75
2007-08-31,31,35.63
2007-09-07,43,34.99
2007-09-14,100,35.41
2007-09-21,39,35.24
2007-09-28,23,35.78
2007-10-05,36,36.35
2007-10-12,37,36.06
2007-10-19,35,36.82
2007-10-26,51,36.79
2007-11-02,32,35.37
2007-11-09,36,35.40
2007-11-16,43,35.75
2007-11-23,28,37.79
2007-11-30,48,39.75
2007-12-07,33,40.25
2007-12-14,28,39.67
2007-12-21,44,41.40
2007-12-28,27,41.26
2008-01-04,53,39.67
2008-01-11,50,40.48
2008-01-18,35,39.01
2008-01-25,33,37.32
2008-02-01,31,38.97
2008-02-08,47,38.86
2008-02-15,46,40.39
2008-02-22,32,40.89
2008-02-29,44,40.86
2008-03-07,27,40.44
2008-03-14,41,40.52
2008-03-21,49,
2008-03-28,37,41.62
2008-04-04,58,42.45
2008-04-11,43,40.97
2008-04-18,36,39.76
2008-04-25,36,39.57
2008-05-02,34,39.97
2008-05-09,49,40.39
2008-05-16,23,41.77
2008-05-23,38,38.50
2008-05-30,32,37.79
2008-06-06,30,36.85
2008-06-13,30,36.54
2008-06-20,27,35.53
2008-06-27,46,34.27
2008-07-04,57,
2008-07-11,36,35.31
2008-07-18,49,35.83
2008-07-25,35,36.15
2008-08-01,28,36.22
2008-08-08,38,35.64
2008-08-15,44,34.99
2008-08-22,34,35.56
2008-08-29,47,35.66
2008-09-05,29,35.96
2008-09-12,45,37.26
2008-09-19,33,36.29
2008-09-26,44,36.38
2008-10-03,36,36.42
2008-10-10,36,32.30
2008-10-17,54,33.94
2008-10-24,48,28.48
2008-10-31,38,28.26
2008-11-07,32,27.28
2008-11-14,39,26.76
2008-11-21,41,28.81
2008-11-28,38,26.56
2008-12-05,45,27.10
2008-12-12,37,29.36
2008-12-19,33,30.63
2008-12-26,21,30.61
2009-01-02,23,31.55
2009-01-09,24,30.41
2009-01-16,27,31.35
2009-01-23,27,30.45
2009-01-30,32,29.83
2009-02-06,43,31.41
2009-02-13,36,31.03
2009-02-20,38,31.98
2009-02-27,40,31.83
2009-03-06,41,30.36
2009-03-13,55,30.49
2009-03-20,39,31.02
2009-03-27,52,31.49
2009-04-03,39,32.04
2009-04-10,32,
2009-04-17,31,32.09
2009-04-24,26,30.63
2009-05-01,39,31.31
2009-05-08,32,31.96
2009-05-15,41,32.59
2009-05-22,33,34.23
2009-05-29,54,34.74
2009-06-05,26,35.09
2009-06-12,26,35.13
2009-06-19,29,34.48
2009-06-26,39,34.47
2009-07-03,41,
2009-07-10,40,34.49
2009-07-17,23,34.60
2009-07-24,39,35.89
2009-07-31,28,35.91
2009-08-07,28,36.12
2009-08-14,36,37.39
2009-08-21,36,37.99
2009-08-28,46,36.89
2009-09-04,28,36.87
2009-09-11,32,37.47
2009-09-18,35,37.15
2009-09-25,29,36.00
2009-10-02,31,35.46
2009-10-09,33,35.25
2009-10-16,26,36.06
2009-10-23,40,36.31
2009-10-30,40,36.46
2009-11-06,38,37.55
2009-11-13,35,38.36
2009-11-20,49,38.29
2009-11-27,40,37.56
2009-12-04,34,38.41
2009-12-11,34,38.59
2009-12-18,32,37.72
2009-12-25,28,
2010-01-01,26,
2010-01-08,29,38.09
2010-01-15,34,38.56
2010-01-22,25,38.62
2010-01-29,29,38.70
2010-02-05,45,39.00
2010-02-12,39,39.66
2010-02-19,38,41.54
2010-02-26,37,41.11
2010-03-05,38,41.84
2010-03-12,40,41.27
2010-03-19,44,41.40
2010-03-26,43,41.95
2010-04-02,37,
2010-04-09,43,41.76
2010-04-16,41,41.83
2010-04-23,48,40.02
2010-04-30,43,40.76
2010-05-07,44,40.22
2010-05-14,37,40.98
2010-05-21,41,39.95
2010-05-28,35,39.80
2010-06-04,27,40.50
2010-06-11,31,41.50
2010-06-18,28,42.15
2010-06-25,28,41.56
2010-07-02,29,41.14
2010-07-09,29,42.19
2010-07-16,34,42.09
2010-07-23,32,42.76
2010-07-30,39,42.92
2010-08-06,33,42.86
2010-08-13,27,42.90
2010-08-20,37,43.48
2010-08-27,38,43.12
2010-09-03,43,44.33
2010-09-10,34,44.55
2010-09-17,36,44.16
2010-09-24,29,44.83
2010-10-01,32,44.66
2010-10-08,39,45.32
2010-10-15,36,44.94
2010-10-22,30,45.05
2010-10-29,42,45.92
2010-11-05,31,45.94
2010-11-12,57,45.68
2010-11-19,42,47.64
2010-11-26,33,49.55
2010-12-03,46,49.68
2010-12-10,39,50.65
2010-12-17,29,51.55
2010-12-24,24,
2010-12-31,28,51.26
2011-01-07,38,49.69
2011-01-14,37,50.38
2011-01-21,33,50.76
2011-01-28,31,49.68
2011-02-04,46,50.60
2011-02-11,45,51.30
2011-02-18,42,26.92
2011-02-25,32,27.15
2011-03-04,44,27.42
2011-03-11,52,27.74
2011-03-18,57,27.65
2011-03-25,47,28.05
2011-04-01,65,28.23
2011-04-08,51,27.73
2011-04-15,48,28.58
2011-04-22,37,
2011-04-29,44,29.41
2011-05-06,38,28.99
2011-05-13,39,29.84
2011-05-20,42,30.08
2011-05-27,41,29.03
2011-06-03,31,28.35
2011-06-10,37,28.40
2011-06-17,29,28.96
2011-06-24,27,29.13
2011-07-01,39,30.07
2011-07-08,32,29.92
2011-07-15,30,29.75
2011-07-22,39,30.29
2011-07-29,43,28.97
2011-08-05,39,27.92
2011-08-12,40,27.68
2011-08-19,29,27.70
2011-08-26,28,26.77
2011-09-02,25,27.12
2011-09-09,38,26.77
2011-09-16,41,28.00
2011-09-23,37,26.88
2011-09-30,35,27.02
2011-10-07,46,28.17
2011-10-14,43,28.86
2011-10-21,34,29.50
2011-10-28,39,29.95
2011-11-04,38,29.51
2011-11-11,36,29.59
2011-11-18,63,29.26
2011-11-25,61,28.69
2011-12-02,42,28.99
2011-12-09,46,29.58
2011-12-16,41,28.59
2011-12-23,38,29.47
2011-12-30,38,29.29
2012-01-06,39,29.00
2012-01-13,36,28.97
2012-01-20,39,29.25
2012-01-27,35,29.03
2012-02-03,38,29.22
2012-02-10,32,28.98
2012-02-17,39,29.18
2012-02-24,48,28.77
2012-03-02,44,28.39
2012-03-09,41,28.74
2012-03-16,44,28.75
2012-03-23,37,29.10
2012-03-30,44,29.52
2012-04-06,38,
2012-04-13,45,28.01
2012-04-20,41,28.59
2012-04-27,30,29.02
2012-05-04,34,28.71
2012-05-11,40,29.11
2012-05-18,38,29.37
2012-05-25,40,30.15
2012-06-01,30,29.35
2012-06-08,24,29.76
2012-06-15,26,29.69
2012-06-22,35,29.26
2012-06-29,36,30.42
2012-07-06,29,29.95
2012-07-13,35,28.84
2012-07-20,28,28.30
2012-07-27,33,28.40
2012-08-03,35,28.00
2012-08-10,34,28.30
2012-08-17,32,28.64
2012-08-24,33,28.78
2012-08-31,35,28.72
2012-09-07,34,29.04
2012-09-14,36,28.98
2012-09-21,40,29.24
2012-09-28,43,29.24
2012-10-05,32,29.45
2012-10-12,41,28.83
2012-10-19,37,28.90
2012-10-26,45,29.34
2012-11-02,36,29.75
2012-11-09,37,29.61
2012-11-16,46,30.87
2012-11-23,41,30.64
2012-11-30,40,31.01
2012-12-07,42,31.03
2012-12-14,28,31.10
2012-12-21,31,30.99
2012-12-28,22,30.68
2013-01-04,32,34.31
2013-01-11,39,34.49
2013-01-18,30,34.69
2013-01-25,29,35.34
2013-02-01,35,35.42
2013-02-08,34,35.83
2013-02-15,39,36.08
2013-02-22,39,37.13
2013-03-01,39,37.47
2013-03-08,34,38.55
2013-03-15,37,39.28
2013-03-22,40,39.66
2013-03-29,37,
2013-04-05,39,40.09
2013-04-12,35,40.93
2013-04-19,45,41.21
2013-04-26,40,41.21
2013-05-03,31,41.74
2013-05-10,34,41.48
2013-05-17,34,42.70
2013-05-24,27,41.53
2013-05-31,33,39.82
2013-06-07,26,39.60
2013-06-14,37,40.13
2013-06-21,25,37.90
2013-06-28,30,38.58
2013-07-05,26,39.11
2013-07-12,30,40.98
2013-07-19,32,41.37
2013-07-26,27,41.44
2013-08-02,33,43.03
2013-08-09,39,43.19
2013-08-16,34,42.79
2013-08-23,41,42.71
2013-08-30,28,41.43
2013-09-06,24,42.21
2013-09-13,39,42.77
2013-09-20,37,43.80
2013-09-27,28,42.29
2013-10-04,34,42.03
2013-10-11,34,43.10
2013-10-18,43,43.06
2013-10-25,34,43.62
2013-11-01,37,43.35
2013-11-08,32,43.20
2013-11-15,36,43.91
2013-11-22,45,42.90
2013-11-29,40,45.02
2013-12-06,33,45.81
2013-12-13,36,44.18
2013-12-20,36,44.73
2013-12-27,21,44.82
2014-01-03,26,44.91
2014-01-10,34,45.58
2014-01-17,33,45.85
2014-01-24,30,45.14
2014-01-31,36,45.44
2014-02-07,43,43.77
2014-02-14,36,45.16
2014-02-21,38,46.71
2014-02-28,33,47.45
2014-03-07,48,47.28
2014-03-14,46,47.13
2014-03-21,35,47.30
2014-03-28,40,48.40
2014-04-04,37,47.83
2014-04-11,36,46.97
2014-04-18,33,
2014-04-25,33,47.65
2014-05-02,38,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
