Date,HRS,Price
2004-01-09,40,
2004-01-16,49,
2004-01-23,41,
2004-01-30,46,
2004-02-06,41,48.70
2004-02-13,41,48.80
2004-02-20,72,47.70
2004-02-27,42,47.25
2004-03-05,52,47.25
2004-03-12,53,45.85
2004-03-19,53,46.00
2004-03-26,40,47.20
2004-04-02,50,50.25
2004-04-09,58,
2004-04-16,43,48.00
2004-04-23,52,47.84
2004-04-30,50,45.05
2004-05-07,52,43.69
2004-05-14,49,43.25
2004-05-21,49,43.80
2004-05-28,51,46.20
2004-06-04,44,45.86
2004-06-11,49,
2004-06-18,57,47.81
2004-06-25,54,48.83
2004-07-02,52,49.76
2004-07-09,53,48.74
2004-07-16,55,47.29
2004-07-23,53,45.47
2004-07-30,47,47.48
2004-08-06,55,45.67
2004-08-13,47,43.56
2004-08-20,53,46.71
2004-08-27,52,48.00
2004-09-03,57,48.43
2004-09-10,59,49.34
2004-09-17,53,51.70
2004-09-24,50,53.53
2004-10-01,57,56.12
2004-10-08,59,57.58
2004-10-15,46,58.02
2004-10-22,52,57.70
2004-10-29,44,61.53
2004-11-05,46,63.44
2004-11-12,39,65.59
2004-11-19,47,67.37
2004-11-26,48,67.38
2004-12-03,49,66.71
2004-12-10,49,63.86
2004-12-17,42,61.80
2004-12-24,43,
2004-12-31,45,61.79
2005-01-07,52,56.96
2005-01-14,62,58.30
2005-01-21,60,54.11
2005-01-28,59,63.08
2005-02-04,58,64.24
2005-02-11,71,65.35
2005-02-18,62,64.92
2005-02-25,55,67.06
2005-03-04,52,68.82
2005-03-11,58,68.05
2005-03-18,60,66.07
2005-03-25,57,
2005-04-01,53,32.56
2005-04-08,57,33.13
2005-04-15,65,31.08
2005-04-22,82,29.82
2005-04-29,73,28.20
2005-05-06,62,29.20
2005-05-13,68,29.24
2005-05-20,61,29.97
2005-05-27,66,29.11
2005-06-03,79,28.83
2005-06-10,77,31.60
2005-06-17,65,32.46
2005-06-24,60,31.09
2005-07-01,61,31.71
2005-07-08,81,32.17
2005-07-15,80,32.58
2005-07-22,71,31.58
2005-07-29,70,37.07
2005-08-05,76,35.77
2005-08-12,69,36.60
2005-08-19,74,37.00
2005-08-26,69,37.19
2005-09-02,69,37.80
2005-09-09,69,40.85
2005-09-16,71,40.05
2005-09-23,72,39.71
2005-09-30,74,41.80
2005-10-07,62,40.21
2005-10-14,67,37.98
2005-10-21,66,38.03
2005-10-28,62,40.17
2005-11-04,61,42.00
2005-11-11,60,42.80
2005-11-18,63,43.75
2005-11-25,60,44.86
2005-12-02,61,44.70
2005-12-09,53,43.54
2005-12-16,52,42.46
2005-12-23,52,44.07
2005-12-30,57,43.01
2006-01-06,61,46.58
2006-01-13,69,47.09
2006-01-20,69,45.50
2006-01-27,68,46.28
2006-02-03,70,46.76
2006-02-10,64,47.81
2006-02-17,71,48.37
2006-02-24,68,47.94
2006-03-03,69,47.28
2006-03-10,65,43.89
2006-03-17,69,45.83
2006-03-24,72,45.52
2006-03-31,62,47.29
2006-04-07,67,46.84
2006-04-14,73,
2006-04-21,64,45.86
2006-04-28,67,46.57
2006-05-05,65,47.39
2006-05-12,69,44.71
2006-05-19,75,41.48
2006-05-26,67,41.72
2006-06-02,69,42.41
2006-06-09,63,39.74
2006-06-16,62,39.83
2006-06-23,64,38.72
2006-06-30,73,41.51
2006-07-07,67,41.18
2006-07-14,77,39.54
2006-07-21,78,38.17
2006-07-28,77,44.96
2006-08-04,80,44.42
2006-08-11,78,42.67
2006-08-18,80,45.45
2006-08-25,79,43.82
2006-09-01,80,43.40
2006-09-08,78,42.70
2006-09-15,77,44.31
2006-09-22,83,42.97
2006-09-29,80,44.49
2006-10-06,71,42.99
2006-10-13,80,43.41
2006-10-20,80,43.39
2006-10-27,73,43.00
2006-11-03,66,40.40
2006-11-10,68,42.07
2006-11-17,76,42.58
2006-11-24,72,44.02
2006-12-01,64,42.58
2006-12-08,63,43.66
2006-12-15,68,45.04
2006-12-22,68,45.50
2006-12-29,66,45.86
2007-01-05,72,48.69
2007-01-12,83,51.20
2007-01-19,82,49.25
2007-01-26,83,47.67
2007-02-02,76,50.96
2007-02-09,82,52.76
2007-02-16,76,50.70
2007-02-23,82,50.37
2007-03-02,87,47.24
2007-03-09,84,47.93
2007-03-16,79,47.65
2007-03-23,83,50.26
2007-03-30,76,50.95
2007-04-06,70,
2007-04-13,73,50.60
2007-04-20,78,51.17
2007-04-27,84,52.58
2007-05-04,72,48.95
2007-05-11,81,49.74
2007-05-18,73,49.10
2007-05-25,75,49.08
2007-06-01,74,48.67
2007-06-08,75,51.94
2007-06-15,81,52.79
2007-06-22,81,54.38
2007-06-29,82,54.55
2007-07-06,96,55.91
2007-07-13,84,57.40
2007-07-20,91,58.79
2007-07-27,82,54.58
2007-08-03,90,54.70
2007-08-10,86,58.28
2007-08-17,91,57.60
2007-08-24,89,58.95
2007-08-31,92,60.83
2007-09-07,88,58.79
2007-09-14,89,58.03
2007-09-21,89,58.05
2007-09-28,89,57.79
2007-10-05,80,61.01
2007-10-12,88,60.81
2007-10-19,86,57.68
2007-10-26,81,60.50
2007-11-02,79,62.26
2007-11-09,77,62.41
2007-11-16,76,62.47
2007-11-23,88,60.66
2007-11-30,83,62.77
2007-12-07,86,63.57
2007-12-14,71,60.67
2007-12-21,68,62.11
2007-12-28,68,62.69
2008-01-04,72,60.57
2008-01-11,90,51.13
2008-01-18,88,49.13
2008-01-25,87,47.96
2008-02-01,82,54.24
2008-02-08,87,54.82
2008-02-15,90,53.82
2008-02-22,89,53.49
2008-02-29,88,48.83
2008-03-07,88,47.50
2008-03-14,92,46.85
2008-03-21,84,
2008-03-28,84,48.28
2008-04-04,81,50.88
2008-04-11,88,48.69
2008-04-18,93,50.82
2008-04-25,95,52.51
2008-05-02,81,52.83
2008-05-09,85,56.93
2008-05-16,82,63.86
2008-05-23,83,62.92
2008-05-30,85,65.78
2008-06-06,85,57.19
2008-06-13,83,55.81
2008-06-20,87,54.53
2008-06-27,89,51.18
2008-07-04,94,
2008-07-11,93,48.14
2008-07-18,95,50.24
2008-07-25,95,51.14
2008-08-01,93,48.57
