Date,HST,Price
2004-01-09,13,
2004-01-16,11,
2004-01-23,14,
2004-01-30,14,
2004-02-06,13,12.95
2004-02-13,12,12.58
2004-02-20,9,12.38
2004-02-27,11,12.16
2004-03-05,10,12.43
2004-03-12,14,12.36
2004-03-19,12,12.30
2004-03-26,11,12.26
2004-04-02,12,12.91
2004-04-09,11,
2004-04-16,14,12.17
2004-04-23,12,12.21
2004-04-30,10,11.90
2004-05-07,15,11.56
2004-05-14,11,11.69
2004-05-21,11,11.87
2004-05-28,12,12.26
2004-06-04,13,12.59
2004-06-11,14,
2004-06-18,11,12.26
2004-06-25,12,12.54
2004-07-02,11,12.72
2004-07-09,11,12.52
2004-07-16,15,12.83
2004-07-23,14,13.18
2004-07-30,9,12.95
2004-08-06,9,12.41
2004-08-13,12,12.23
2004-08-20,11,13.00
2004-08-27,11,13.14
2004-09-03,11,13.81
2004-09-10,11,13.75
2004-09-17,10,13.65
2004-09-24,11,13.81
2004-10-01,12,14.24
2004-10-08,12,14.35
2004-10-15,8,14.62
2004-10-22,11,14.75
2004-10-29,15,14.55
2004-11-05,13,14.94
2004-11-12,11,15.90
2004-11-19,10,15.22
2004-11-26,12,15.48
2004-12-03,13,16.22
2004-12-10,14,16.55
2004-12-17,6,16.50
2004-12-24,8,
2004-12-31,11,17.30
2005-01-07,14,16.53
2005-01-14,10,16.74
2005-01-21,16,16.52
2005-01-28,13,16.19
2005-02-04,11,16.25
2005-02-11,14,16.00
2005-02-18,10,15.90
2005-02-25,18,16.28
2005-03-04,14,17.09
2005-03-11,13,16.91
2005-03-18,12,16.53
2005-03-25,10,
2005-04-01,9,16.41
2005-04-08,11,16.54
2005-04-15,12,16.38
2005-04-22,12,16.55
2005-04-29,11,16.82
2005-05-06,12,16.73
2005-05-13,13,16.34
2005-05-20,12,17.10
2005-05-27,10,16.73
2005-06-03,11,16.92
2005-06-10,10,17.11
2005-06-17,14,17.57
2005-06-24,11,17.54
2005-07-01,11,17.77
2005-07-08,11,17.92
2005-07-15,9,17.78
2005-07-22,15,18.51
2005-07-29,8,18.65
2005-08-05,8,18.26
2005-08-12,11,18.02
2005-08-19,13,17.70
2005-08-26,12,17.30
2005-09-02,11,17.00
2005-09-09,11,17.65
2005-09-16,11,16.89
2005-09-23,11,16.24
2005-09-30,13,16.90
2005-10-07,11,17.03
2005-10-14,11,16.80
2005-10-21,9,16.76
2005-10-28,10,16.78
2005-11-04,10,16.50
2005-11-11,10,17.44
2005-11-18,11,17.46
2005-11-25,10,18.03
2005-12-02,11,18.41
2005-12-09,11,18.51
2005-12-16,10,18.45
2005-12-23,11,18.78
2005-12-30,7,18.95
2006-01-06,12,19.25
2006-01-13,12,19.63
2006-01-20,11,19.67
2006-01-27,13,19.95
2006-02-03,11,20.01
2006-02-10,12,20.00
2006-02-17,11,20.00
2006-02-24,12,19.63
2006-03-03,9,19.69
2006-03-10,11,20.21
2006-03-17,9,21.25
2006-03-24,10,21.10
2006-03-31,12,21.40
2006-04-07,13,20.53
2006-04-14,11,
2006-04-21,9,20.52
2006-04-28,10,21.02
2006-05-05,11,21.39
2006-05-12,12,20.50
2006-05-19,9,20.07
2006-05-26,11,20.21
2006-06-02,8,20.71
2006-06-09,12,20.90
2006-06-16,10,21.27
2006-06-23,8,21.08
2006-06-30,13,21.87
2006-07-07,13,22.32
2006-07-14,9,21.89
2006-07-21,12,21.82
2006-07-28,12,21.56
2006-08-04,11,22.41
2006-08-11,8,20.69
2006-08-18,11,21.75
2006-08-25,10,21.72
2006-09-01,10,22.31
2006-09-08,10,22.66
2006-09-15,13,22.73
2006-09-22,10,22.83
2006-09-29,10,22.93
2006-10-06,10,23.59
2006-10-13,10,22.56
2006-10-20,12,22.95
2006-10-27,12,23.58
2006-11-03,10,22.93
2006-11-10,9,23.43
2006-11-17,9,23.95
2006-11-24,9,25.60
2006-12-01,10,24.98
2006-12-08,8,24.69
2006-12-15,10,24.37
2006-12-22,10,24.20
