Date,Harley-Davidson,Price
2004-01-09,76,
2004-01-16,66,
2004-01-23,79,
2004-01-30,63,
2004-02-06,83,52.34
2004-02-13,73,53.21
2004-02-20,77,53.95
2004-02-27,79,53.12
2004-03-05,72,53.65
2004-03-12,97,51.96
2004-03-19,91,52.22
2004-03-26,100,51.25
2004-04-02,86,52.84
2004-04-09,88,
2004-04-16,79,58.00
2004-04-23,87,58.07
2004-04-30,78,56.32
2004-05-07,89,54.83
2004-05-14,67,54.95
2004-05-21,87,56.43
2004-05-28,83,57.49
2004-06-04,79,57.16
2004-06-11,76,
2004-06-18,84,61.87
2004-06-25,77,61.33
2004-07-02,82,61.06
2004-07-09,64,60.93
2004-07-16,74,62.70
2004-07-23,84,59.75
2004-07-30,81,59.87
2004-08-06,76,56.80
2004-08-13,85,58.42
2004-08-20,84,60.82
2004-08-27,100,60.78
2004-09-03,69,62.32
2004-09-10,78,62.32
2004-09-17,62,60.40
2004-09-24,72,59.39
2004-10-01,68,59.71
2004-10-08,56,59.41
2004-10-15,64,57.86
2004-10-22,74,55.55
2004-10-29,61,57.57
2004-11-05,71,59.64
2004-11-12,52,58.85
2004-11-19,49,56.03
2004-11-26,53,57.70
2004-12-03,54,59.19
2004-12-10,55,60.68
2004-12-17,64,58.85
2004-12-24,66,
2004-12-31,49,60.75
2005-01-07,61,59.54
2005-01-14,61,59.00
2005-01-21,66,58.41
2005-01-28,57,59.48
2005-02-04,56,61.27
2005-02-11,61,61.37
2005-02-18,62,61.26
2005-02-25,54,62.10
2005-03-04,57,61.70
2005-03-11,64,60.40
2005-03-18,75,60.56
2005-03-25,64,
2005-04-01,69,56.78
2005-04-08,81,57.27
2005-04-15,83,45.80
2005-04-22,72,46.71
2005-04-29,80,47.02
2005-05-06,75,48.85
2005-05-13,62,46.90
2005-05-20,76,50.00
2005-05-27,71,49.89
2005-06-03,71,48.40
2005-06-10,64,49.25
2005-06-17,59,49.63
2005-06-24,71,50.86
2005-07-01,78,49.78
2005-07-08,78,49.74
2005-07-15,76,53.62
2005-07-22,60,53.45
2005-07-29,70,53.19
2005-08-05,69,51.41
2005-08-12,76,52.11
2005-08-19,75,51.13
2005-08-26,71,49.17
2005-09-02,63,48.80
2005-09-09,67,49.92
2005-09-16,65,51.70
2005-09-23,70,48.73
2005-09-30,56,48.44
2005-10-07,55,45.04
2005-10-14,53,49.20
2005-10-21,56,49.48
2005-10-28,50,48.72
2005-11-04,56,50.97
2005-11-11,47,53.39
2005-11-18,61,53.54
2005-11-25,49,55.10
2005-12-02,51,53.90
2005-12-09,60,51.32
2005-12-16,61,52.53
2005-12-23,41,51.83
2005-12-30,54,51.49
2006-01-06,48,52.15
2006-01-13,59,52.86
2006-01-20,45,53.10
2006-01-27,48,54.64
2006-02-03,50,52.45
2006-02-10,48,51.75
2006-02-17,44,52.03
2006-02-24,52,52.52
2006-03-03,41,51.27
2006-03-10,62,50.77
2006-03-17,53,48.90
2006-03-24,53,51.07
2006-03-31,59,51.88
2006-04-07,54,52.45
2006-04-14,58,
2006-04-21,70,51.35
2006-04-28,66,50.84
2006-05-05,61,50.82
2006-05-12,57,49.58
2006-05-19,56,49.68
2006-05-26,59,50.81
2006-06-02,56,50.61
2006-06-09,62,49.07
2006-06-16,55,53.05
