Date,Harris Corporation,Price
2004-01-09,0,
2004-01-16,64,
2004-01-23,72,
2004-01-30,82,
2004-02-06,100,48.70
2004-02-13,68,48.80
2004-02-20,68,47.70
2004-02-27,67,47.25
2004-03-05,69,47.25
2004-03-12,70,45.85
2004-03-19,72,46.00
2004-03-26,58,47.20
2004-04-02,58,50.25
2004-04-09,61,
2004-04-16,63,48.00
2004-04-23,66,47.84
2004-04-30,69,45.05
2004-05-07,68,43.69
2004-05-14,66,43.25
2004-05-21,56,43.80
2004-05-28,56,46.20
2004-06-04,65,45.86
2004-06-11,73,
2004-06-18,82,47.81
2004-06-25,91,48.83
2004-07-02,68,49.76
2004-07-09,68,48.74
2004-07-16,68,47.29
2004-07-23,68,45.47
2004-07-30,69,47.48
2004-08-06,70,45.67
2004-08-13,74,43.56
2004-08-20,79,46.71
2004-08-27,79,48.00
2004-09-03,79,48.43
2004-09-10,79,49.34
2004-09-17,53,51.70
2004-09-24,53,53.53
2004-10-01,53,56.12
2004-10-08,58,57.58
2004-10-15,99,58.02
2004-10-22,56,57.70
2004-10-29,0,61.53
2004-11-05,0,63.44
2004-11-12,0,65.59
2004-11-19,0,67.37
2004-11-26,0,67.38
2004-12-03,49,66.71
2004-12-10,55,63.86
2004-12-17,62,61.80
2004-12-24,68,
2004-12-31,75,61.79
2005-01-07,44,56.96
2005-01-14,50,58.30
2005-01-21,66,54.11
2005-01-28,48,63.08
2005-02-04,68,64.24
2005-02-11,61,65.35
2005-02-18,52,64.92
2005-02-25,46,67.06
2005-03-04,38,68.82
2005-03-11,38,68.05
2005-03-18,45,66.07
2005-03-25,45,
2005-04-01,65,32.56
2005-04-08,52,33.13
2005-04-15,52,31.08
2005-04-22,38,29.82
2005-04-29,42,28.20
2005-05-06,46,29.20
2005-05-13,45,29.24
2005-05-20,45,29.97
2005-05-27,45,29.11
2005-06-03,47,28.83
2005-06-10,50,31.60
2005-06-17,55,32.46
2005-06-24,60,31.09
2005-07-01,41,31.71
2005-07-08,41,32.17
2005-07-15,52,32.58
2005-07-22,55,31.58
2005-07-29,55,37.07
2005-08-05,54,35.77
2005-08-12,54,36.60
2005-08-19,51,37.00
2005-08-26,41,37.19
2005-09-02,69,37.80
2005-09-09,40,40.85
2005-09-16,48,40.05
2005-09-23,45,39.71
2005-09-30,52,41.80
2005-10-07,44,40.21
2005-10-14,56,37.98
2005-10-21,57,38.03
2005-10-28,51,40.17
2005-11-04,51,42.00
2005-11-11,52,42.80
2005-11-18,37,43.75
2005-11-25,42,44.86
2005-12-02,47,44.70
2005-12-09,30,43.54
2005-12-16,30,42.46
2005-12-23,30,44.07
2005-12-30,30,43.01
2006-01-06,30,46.58
2006-01-13,51,47.09
2006-01-20,49,45.50
2006-01-27,44,46.28
2006-02-03,36,46.76
2006-02-10,41,47.81
2006-02-17,30,48.37
2006-02-24,61,47.94
2006-03-03,59,47.28
2006-03-10,48,43.89
2006-03-17,46,45.83
2006-03-24,52,45.52
2006-03-31,54,47.29
2006-04-07,36,46.84
2006-04-14,59,
2006-04-21,32,45.86
2006-04-28,24,46.57
2006-05-05,49,47.39
2006-05-12,40,44.71
2006-05-19,45,41.48
2006-05-26,49,41.72
2006-06-02,38,42.41
2006-06-09,38,39.74
2006-06-16,43,39.83
2006-06-23,36,38.72
2006-06-30,62,41.51
2006-07-07,39,41.18
2006-07-14,48,39.54
2006-07-21,49,38.17
2006-07-28,38,44.96
2006-08-04,58,44.42
2006-08-11,32,42.67
2006-08-18,47,45.45
2006-08-25,56,43.82
2006-09-01,32,43.40
2006-09-08,41,42.70
2006-09-15,55,44.31
2006-09-22,51,42.97
2006-09-29,37,44.49
2006-10-06,45,42.99
2006-10-13,40,43.41
2006-10-20,39,43.39
2006-10-27,37,43.00
2006-11-03,51,40.40
2006-11-10,34,42.07
2006-11-17,41,42.58
2006-11-24,25,44.02
2006-12-01,49,42.58
2006-12-08,26,43.66
2006-12-15,31,45.04
2006-12-22,28,45.50
2006-12-29,31,45.86
2007-01-05,34,48.69
2007-01-12,22,51.20
2007-01-19,37,49.25
2007-01-26,37,47.67
2007-02-02,43,50.96
2007-02-09,37,52.76
2007-02-16,48,50.70
2007-02-23,25,50.37
2007-03-02,38,47.24
2007-03-09,42,47.93
2007-03-16,34,47.65
2007-03-23,41,50.26
2007-03-30,44,50.95
2007-04-06,54,
2007-04-13,48,50.60
2007-04-20,20,51.17
2007-04-27,37,52.58
2007-05-04,44,48.95
2007-05-11,44,49.74
2007-05-18,38,49.10
2007-05-25,30,49.08
2007-06-01,27,48.67
2007-06-08,38,51.94
2007-06-15,32,52.79
2007-06-22,39,54.38
2007-06-29,33,54.55
2007-07-06,31,55.91
2007-07-13,40,57.40
2007-07-20,41,58.79
2007-07-27,37,54.58
2007-08-03,30,54.70
2007-08-10,42,58.28
2007-08-17,44,57.60
2007-08-24,44,58.95
2007-08-31,38,60.83
2007-09-07,38,58.79
2007-09-14,33,58.03
2007-09-21,24,58.05
2007-09-28,35,57.79
2007-10-05,25,61.01
2007-10-12,35,60.81
2007-10-19,21,57.68
2007-10-26,32,60.50
2007-11-02,35,62.26
2007-11-09,34,62.41
2007-11-16,27,62.47
2007-11-23,21,60.66
2007-11-30,40,62.77
2007-12-07,35,63.57
2007-12-14,32,60.67
2007-12-21,28,62.11
2007-12-28,27,62.69
2008-01-04,28,60.57
2008-01-11,48,51.13
2008-01-18,32,49.13
2008-01-25,37,47.96
2008-02-01,40,54.24
2008-02-08,37,54.82
2008-02-15,47,53.82
2008-02-22,44,53.49
2008-02-29,40,48.83
2008-03-07,35,47.50
2008-03-14,29,46.85
2008-03-21,24,
2008-03-28,34,48.28
2008-04-04,42,50.88
2008-04-11,26,48.69
2008-04-18,42,50.82
2008-04-25,39,52.51
2008-05-02,33,52.83
2008-05-09,36,56.93
2008-05-16,40,63.86
2008-05-23,33,62.92
2008-05-30,43,65.78
2008-06-06,38,57.19
2008-06-13,28,55.81
2008-06-20,34,54.53
2008-06-27,35,51.18
2008-07-04,34,
2008-07-11,29,48.14
2008-07-18,25,50.24
2008-07-25,40,51.14
2008-08-01,36,48.57
2008-08-08,23,49.20
2008-08-15,42,53.91
2008-08-22,31,51.75
2008-08-29,35,52.36
2008-09-05,27,49.41
2008-09-12,35,49.49
2008-09-19,42,48.01
2008-09-26,46,47.70
2008-10-03,30,42.95
2008-10-10,35,35.10
2008-10-17,30,35.62
2008-10-24,38,31.50
2008-10-31,34,35.95
2008-11-07,37,36.52
2008-11-14,21,33.04
2008-11-21,28,30.06
2008-11-28,29,34.88
2008-12-05,32,32.99
2008-12-12,25,36.13
2008-12-19,24,37.27
2008-12-26,21,36.62
2009-01-02,22,40.30
2009-01-09,24,38.66
2009-01-16,33,41.54
2009-01-23,27,42.81
2009-01-30,40,43.29
2009-02-06,31,44.86
2009-02-13,35,42.29
2009-02-20,36,39.14
2009-02-27,31,37.28
2009-03-06,36,31.41
2009-03-13,26,31.46
2009-03-20,31,30.80
2009-03-27,38,29.22
2009-04-03,31,30.49
2009-04-10,29,
2009-04-17,37,28.78
2009-04-24,39,29.99
2009-05-01,38,31.17
2009-05-08,28,28.88
