Date,Helmerich & Payne,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,28.32
2004-02-13,0,29.48
2004-02-20,0,29.33
2004-02-27,0,29.72
2004-03-05,0,30.48
2004-03-12,0,28.90
2004-03-19,0,28.48
2004-03-26,0,27.68
2004-04-02,0,28.25
2004-04-09,0,
2004-04-16,0,29.55
2004-04-23,0,28.08
2004-04-30,0,26.99
2004-05-07,0,25.77
2004-05-14,0,25.15
2004-05-21,0,24.25
2004-05-28,0,24.95
2004-06-04,0,24.62
2004-06-11,0,
2004-06-18,0,26.24
2004-06-25,0,25.85
2004-07-02,0,26.57
2004-07-09,0,26.70
2004-07-16,0,27.43
2004-07-23,0,25.82
2004-07-30,0,25.32
2004-08-06,0,24.20
2004-08-13,0,24.51
2004-08-20,0,25.50
2004-08-27,0,25.45
2004-09-03,0,26.68
2004-09-10,0,26.85
2004-09-17,0,27.55
2004-09-24,0,28.92
2004-10-01,0,29.50
2004-10-08,0,29.86
2004-10-15,0,29.00
2004-10-22,0,29.19
2004-10-29,0,28.55
2004-11-05,0,28.24
2004-11-12,0,29.86
2004-11-19,0,31.04
2004-11-26,0,32.45
2004-12-03,0,31.36
2004-12-10,0,30.86
2004-12-17,0,33.09
2004-12-24,0,
2004-12-31,0,34.04
2005-01-07,0,31.57
2005-01-14,0,32.98
2005-01-21,0,34.28
2005-01-28,0,37.22
2005-02-04,0,39.11
2005-02-11,0,39.91
2005-02-18,0,40.63
2005-02-25,0,40.52
2005-03-04,0,41.10
2005-03-11,0,38.08
2005-03-18,0,39.30
2005-03-25,0,
2005-04-01,0,40.03
2005-04-08,0,39.95
2005-04-15,0,37.80
2005-04-22,0,40.32
2005-04-29,0,38.44
2005-05-06,0,40.87
2005-05-13,0,37.65
2005-05-20,0,38.49
2005-05-27,0,40.87
2005-06-03,0,41.90
2005-06-10,0,43.33
2005-06-17,0,45.25
2005-06-24,0,45.82
2005-07-01,0,47.61
2005-07-08,0,49.45
2005-07-15,0,49.14
2005-07-22,0,52.84
2005-07-29,0,57.12
2005-08-05,0,57.50
2005-08-12,0,58.00
2005-08-19,0,54.53
2005-08-26,0,55.60
2005-09-02,93,58.30
2005-09-09,0,59.41
2005-09-16,0,59.92
2005-09-23,0,58.13
2005-09-30,0,60.39
2005-10-07,0,53.64
2005-10-14,0,51.71
2005-10-21,0,50.47
2005-10-28,0,54.47
2005-11-04,0,55.39
2005-11-11,0,53.79
2005-11-18,0,55.01
2005-11-25,0,58.32
2005-12-02,0,59.56
2005-12-09,0,63.45
2005-12-16,0,62.23
2005-12-23,0,62.66
2005-12-30,0,61.91
2006-01-06,0,66.40
2006-01-13,0,70.18
2006-01-20,0,72.07
2006-01-27,0,75.74
2006-02-03,0,75.92
2006-02-10,0,71.65
2006-02-17,75,64.94
2006-02-24,0,68.21
2006-03-03,0,67.95
2006-03-10,0,60.96
2006-03-17,0,66.56
2006-03-24,0,66.60
2006-03-31,0,69.82
2006-04-07,0,68.88
2006-04-14,0,
2006-04-21,0,75.39
2006-04-28,71,72.74
2006-05-05,67,76.30
2006-05-12,69,74.89
2006-05-19,70,65.40
2006-05-26,0,64.26
2006-06-02,0,67.11
2006-06-09,0,58.52
2006-06-16,0,58.11
2006-06-23,0,56.42
2006-06-30,0,60.26
2006-07-07,0,58.45
2006-07-14,0,27.88
2006-07-21,0,24.75
2006-07-28,0,27.03
2006-08-04,0,25.84
2006-08-11,0,25.25
2006-08-18,0,25.17
2006-08-25,0,25.83
2006-09-01,0,24.73
2006-09-08,0,23.73
2006-09-15,0,22.93
2006-09-22,0,22.02
2006-09-29,72,23.03
2006-10-06,56,22.45
2006-10-13,0,23.73
2006-10-20,0,23.98
2006-10-27,0,24.71
2006-11-03,0,23.90
2006-11-10,0,24.67
2006-11-17,60,24.94
2006-11-24,0,25.64
2006-12-01,0,27.11
2006-12-08,0,27.37
2006-12-15,0,26.86
2006-12-22,0,24.77
2006-12-29,0,24.47
2007-01-05,0,23.13
2007-01-12,0,24.34
2007-01-19,0,25.08
2007-01-26,0,25.89
2007-02-02,0,28.35
2007-02-09,0,27.54
2007-02-16,0,27.04
2007-02-23,51,27.55
2007-03-02,56,26.40
2007-03-09,44,28.09
2007-03-16,44,28.36
2007-03-23,46,30.65
2007-03-30,48,30.34
2007-04-06,51,
2007-04-13,53,31.92
2007-04-20,55,31.29
2007-04-27,43,32.74
2007-05-04,43,32.20
2007-05-11,43,32.20
2007-05-18,39,33.32
2007-05-25,39,32.57
2007-06-01,39,33.87
2007-06-08,39,33.05
2007-06-15,39,35.22
2007-06-22,64,36.11
2007-06-29,39,35.42
2007-07-06,40,36.13
2007-07-13,51,36.30
2007-07-20,52,35.59
2007-07-27,53,32.14
2007-08-03,54,32.14
2007-08-10,55,31.55
2007-08-17,56,29.87
2007-08-24,56,31.42
2007-08-31,51,31.49
2007-09-07,51,31.83
2007-09-14,35,33.15
2007-09-21,35,34.54
2007-09-28,76,32.83
2007-10-05,48,33.09
2007-10-12,35,32.98
2007-10-19,35,31.38
2007-10-26,36,30.65
2007-11-02,35,31.84
2007-11-09,35,32.16
2007-11-16,47,34.08
2007-11-23,36,34.83
2007-11-30,35,34.55
2007-12-07,41,36.43
2007-12-14,47,36.36
2007-12-21,43,39.01
2007-12-28,44,40.28
2008-01-04,45,40.11
2008-01-11,46,37.95
2008-01-18,51,35.47
2008-01-25,30,35.77
2008-02-01,56,40.32
2008-02-08,35,41.32
2008-02-15,35,41.95
2008-02-22,44,43.73
2008-02-29,65,44.83
2008-03-07,46,44.15
2008-03-14,34,45.91
2008-03-21,32,
2008-03-28,32,46.16
2008-04-04,54,49.41
2008-04-11,39,51.62
2008-04-18,53,56.53
2008-04-25,31,55.84
2008-05-02,29,54.61
2008-05-09,49,57.98
2008-05-16,39,61.26
2008-05-23,39,60.03
2008-05-30,39,62.65
2008-06-06,38,65.23
2008-06-13,34,65.76
2008-06-20,34,72.03
2008-06-27,57,71.89
2008-07-04,32,
2008-07-11,33,67.50
2008-07-18,35,60.19
2008-07-25,61,57.94
2008-08-01,54,61.32
2008-08-08,57,53.00
2008-08-15,61,53.38
2008-08-22,33,56.61
2008-08-29,33,57.12
2008-09-05,34,49.33
2008-09-12,33,47.97
2008-09-19,43,52.66
2008-09-26,25,45.71
2008-10-03,30,36.41
2008-10-10,37,24.11
2008-10-17,32,25.75
2008-10-24,53,27.42
2008-10-31,34,34.31
2008-11-07,25,29.08
2008-11-14,42,26.00
2008-11-21,47,20.72
2008-11-28,31,25.36
2008-12-05,63,18.85
2008-12-12,43,22.27
2008-12-19,36,21.05
2008-12-26,31,20.53
2009-01-02,31,25.06
2009-01-09,30,24.68
2009-01-16,49,23.34
2009-01-23,26,24.65
2009-01-30,60,22.46
2009-02-06,48,23.22
2009-02-13,30,22.82
2009-02-20,30,22.71
2009-02-27,30,23.66
2009-03-06,38,20.30
2009-03-13,38,22.25
2009-03-20,33,22.95
2009-03-27,33,24.39
2009-04-03,51,28.56
2009-04-10,31,
2009-04-17,25,32.92
2009-04-24,25,32.76
2009-05-01,21,31.33
2009-05-08,25,34.72
2009-05-15,21,29.72
2009-05-22,31,31.89
2009-05-29,29,34.97
2009-06-05,24,33.60
2009-06-12,34,34.92
2009-06-19,28,30.89
2009-06-26,28,31.53
2009-07-03,25,
2009-07-10,25,28.10
2009-07-17,42,32.07
2009-07-24,29,34.13
2009-07-31,29,34.36
2009-08-07,38,34.86
2009-08-14,42,33.05
2009-08-21,21,34.81
2009-08-28,36,34.18
2009-09-04,41,34.36
2009-09-11,25,37.68
2009-09-18,23,38.30
2009-09-25,36,36.95
2009-10-02,22,37.43
2009-10-09,30,41.52
2009-10-16,26,44.28
2009-10-23,20,43.07
2009-10-30,27,38.02
2009-11-06,21,38.08
2009-11-13,21,37.86
2009-11-20,20,37.41
2009-11-27,20,37.91
2009-12-04,33,36.80
2009-12-11,28,38.28
2009-12-18,32,40.23
2009-12-25,23,
2010-01-01,27,
2010-01-08,33,48.00
2010-01-15,42,47.49
2010-01-22,30,44.46
2010-01-29,30,41.83
2010-02-05,34,40.34
2010-02-12,29,41.64
2010-02-19,36,43.91
2010-02-26,35,40.52
2010-03-05,38,40.24
2010-03-12,41,40.88
2010-03-19,34,38.03
2010-03-26,35,36.50
2010-04-02,39,
2010-04-09,23,39.00
2010-04-16,41,39.75
2010-04-23,37,43.21
2010-04-30,47,40.62
2010-05-07,36,35.67
2010-05-14,23,37.56
2010-05-21,33,34.53
2010-05-28,33,37.68
2010-06-04,22,38.74
2010-06-11,34,41.97
2010-06-18,45,42.51
2010-06-25,76,39.07
2010-07-02,100,36.53
2010-07-09,49,40.45
2010-07-16,53,38.36
2010-07-23,42,41.00
2010-07-30,33,40.53
2010-08-06,36,40.62
2010-08-13,26,37.42
2010-08-20,36,36.33
2010-08-27,26,37.80
2010-09-03,31,39.39
2010-09-10,33,40.27
2010-09-17,34,38.56
2010-09-24,34,39.90
2010-10-01,19,40.26
2010-10-08,29,41.88
2010-10-15,33,44.14
2010-10-22,33,41.57
2010-10-29,35,42.78
2010-11-05,42,43.70
2010-11-12,35,45.69
2010-11-19,19,46.56
2010-11-26,27,45.39
2010-12-03,31,48.29
2010-12-10,20,47.74
2010-12-17,36,48.74
2010-12-24,16,
2010-12-31,21,48.48
2011-01-07,24,48.89
2011-01-14,31,50.76
2011-01-21,40,50.63
2011-01-28,37,56.37
2011-02-04,23,59.10
2011-02-11,47,59.24
2011-02-18,25,62.15
2011-02-25,39,64.78
2011-03-04,37,64.06
2011-03-11,37,61.65
2011-03-18,41,61.18
2011-03-25,20,65.43
2011-04-01,44,68.94
2011-04-08,33,68.94
2011-04-15,45,67.84
2011-04-22,32,
2011-04-29,45,66.34
2011-05-06,32,57.67
2011-05-13,31,59.03
2011-05-20,32,60.31
2011-05-27,41,62.57
2011-06-03,23,63.33
2011-06-10,27,60.54
2011-06-17,38,58.35
2011-06-24,32,60.68
2011-07-01,17,67.47
2011-07-08,30,68.45
2011-07-15,33,70.05
2011-07-22,36,72.56
2011-07-29,37,69.05
2011-08-05,32,56.84
2011-08-12,36,58.90
2011-08-19,30,49.34
2011-08-26,35,53.81
2011-09-02,40,54.71
2011-09-09,39,52.79
2011-09-16,30,53.50
2011-09-23,23,44.61
2011-09-30,25,40.60
2011-10-07,35,41.97
2011-10-14,34,48.52
2011-10-21,39,48.06
2011-10-28,21,56.89
2011-11-04,30,54.80
2011-11-11,27,55.34
2011-11-18,42,54.50
2011-11-25,31,50.70
2011-12-02,33,58.31
2011-12-09,27,60.58
2011-12-16,39,55.78
2011-12-23,27,59.00
2011-12-30,23,58.36
2012-01-06,39,63.62
2012-01-13,64,58.51
2012-01-20,38,59.54
2012-01-27,33,60.57
2012-02-03,49,61.62
2012-02-10,31,59.27
2012-02-17,33,63.28
2012-02-24,32,62.72
2012-03-02,29,60.77
2012-03-09,32,60.85
2012-03-16,29,59.32
2012-03-23,33,55.52
2012-03-30,37,53.95
2012-04-06,33,
2012-04-13,44,52.22
2012-04-20,33,51.50
2012-04-27,46,50.99
2012-05-04,28,47.47
2012-05-11,25,45.94
2012-05-18,36,43.47
2012-05-25,30,46.25
2012-06-01,41,44.32
2012-06-08,33,46.09
2012-06-15,39,44.52
2012-06-22,38,41.83
2012-06-29,31,43.48
2012-07-06,43,44.00
2012-07-13,26,43.19
2012-07-20,38,45.59
2012-07-27,25,48.59
2012-08-03,28,46.99
2012-08-10,32,49.92
2012-08-17,34,49.31
2012-08-24,38,46.87
2012-08-31,40,45.64
2012-09-07,29,48.00
2012-09-14,42,51.49
2012-09-21,39,49.15
2012-09-28,27,47.61
2012-10-05,39,47.05
2012-10-12,42,49.60
2012-10-19,33,50.17
2012-10-26,24,48.09
2012-11-02,34,47.65
2012-11-09,37,45.92
2012-11-16,29,49.92
2012-11-23,24,51.59
2012-11-30,17,52.20
2012-12-07,29,55.46
2012-12-14,31,53.67
2012-12-21,27,56.43
2012-12-28,21,54.56
2013-01-04,35,57.66
2013-01-11,42,58.54
2013-01-18,35,61.00
2013-01-25,25,62.20
2013-02-01,48,64.73
2013-02-08,32,64.39
2013-02-15,32,67.83
2013-02-22,29,65.54
2013-03-01,41,66.10
2013-03-08,40,64.28
2013-03-15,30,66.26
2013-03-22,37,60.57
2013-03-29,20,
2013-04-05,28,60.92
2013-04-12,39,61.35
2013-04-19,44,57.28
2013-04-26,41,57.99
2013-05-03,28,61.75
2013-05-10,34,62.46
2013-05-17,33,65.39
2013-05-24,41,63.02
2013-05-31,36,61.74
2013-06-07,36,64.12
2013-06-14,46,60.82
2013-06-21,29,61.69
2013-06-28,31,62.45
2013-07-05,36,65.48
2013-07-12,41,65.48
2013-07-19,42,67.39
2013-07-26,32,64.73
2013-08-02,33,65.59
2013-08-09,26,67.91
2013-08-16,37,64.76
2013-08-23,42,64.67
2013-08-30,38,63.04
2013-09-06,36,64.36
2013-09-13,36,68.99
2013-09-20,34,70.32
2013-09-27,30,69.07
2013-10-04,36,73.70
2013-10-11,30,73.98
2013-10-18,34,76.76
2013-10-25,31,76.57
2013-11-01,26,77.43
2013-11-08,31,78.02
2013-11-15,41,79.27
2013-11-22,33,78.97
2013-11-29,36,77.00
2013-12-06,39,79.83
2013-12-13,37,79.52
2013-12-20,24,82.03
2013-12-27,15,83.96
2014-01-03,23,83.05
2014-01-10,54,85.55
2014-01-17,43,85.65
2014-01-24,41,86.01
2014-01-31,26,88.04
2014-02-07,42,87.17
2014-02-14,31,90.59
2014-02-21,34,94.34
2014-02-28,40,98.75
2014-03-07,54,100.50
2014-03-14,43,97.95
2014-03-21,46,106.64
2014-03-28,47,107.70
2014-04-04,48,107.29
2014-04-11,38,105.91
2014-04-18,36,
2014-04-25,46,107.00
2014-05-02,54,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
