Date,Hess Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,57.01
2004-02-13,0,60.34
2004-02-20,0,61.55
2004-02-27,0,64.35
2004-03-05,0,66.98
2004-03-12,0,64.60
2004-03-19,0,65.81
2004-03-26,0,62.63
2004-04-02,0,62.70
2004-04-09,0,
2004-04-16,0,65.33
2004-04-23,0,67.13
2004-04-30,0,71.13
2004-05-07,0,71.57
2004-05-14,0,73.41
2004-05-21,0,69.76
2004-05-28,0,70.59
2004-06-04,0,70.10
2004-06-11,0,
2004-06-18,0,74.27
2004-06-25,0,77.25
2004-07-02,0,79.33
2004-07-09,0,82.11
2004-07-16,0,84.57
2004-07-23,0,81.13
2004-07-30,0,83.35
2004-08-06,0,78.13
2004-08-13,0,78.45
2004-08-20,0,77.74
2004-08-27,0,79.31
2004-09-03,0,82.28
2004-09-10,0,81.98
2004-09-17,0,83.99
2004-09-24,0,86.48
2004-10-01,0,90.04
2004-10-08,0,91.57
2004-10-15,0,87.41
2004-10-22,0,88.38
2004-10-29,0,80.71
2004-11-05,0,80.26
2004-11-12,0,78.66
2004-11-19,0,82.79
2004-11-26,0,88.00
2004-12-03,0,84.35
2004-12-10,0,82.05
2004-12-17,0,85.00
2004-12-24,0,
2004-12-31,0,82.38
2005-01-07,0,80.00
2005-01-14,0,83.77
2005-01-21,0,84.26
2005-01-28,0,84.55
2005-02-04,0,91.30
2005-02-11,0,95.20
2005-02-18,0,96.81
2005-02-25,0,100.94
2005-03-04,0,103.83
2005-03-11,0,97.26
2005-03-18,0,95.49
2005-03-25,0,
2005-04-01,0,98.43
2005-04-08,0,97.40
2005-04-15,0,90.69
2005-04-22,0,95.62
2005-04-29,0,93.65
2005-05-06,0,95.02
2005-05-13,0,88.25
2005-05-20,0,90.06
2005-05-27,0,94.85
2005-06-03,0,96.94
2005-06-10,0,102.97
2005-06-17,0,111.67
2005-06-24,0,108.67
2005-07-01,0,110.85
2005-07-08,0,112.52
2005-07-15,0,111.80
2005-07-22,0,119.03
2005-07-29,0,117.86
2005-08-05,0,120.36
2005-08-12,0,129.48
2005-08-19,0,123.67
2005-08-26,0,122.10
2005-09-02,0,132.57
2005-09-09,0,137.40
2005-09-16,0,133.52
2005-09-23,0,134.11
2005-09-30,0,137.50
2005-10-07,0,119.96
2005-10-14,0,118.01
2005-10-21,0,116.29
2005-10-28,0,122.91
2005-11-04,0,128.80
2005-11-11,0,124.89
2005-11-18,0,128.64
2005-11-25,0,131.23
2005-12-02,0,125.50
2005-12-09,0,123.16
2005-12-16,0,126.65
2005-12-23,0,128.06
2005-12-30,0,126.82
2006-01-06,0,137.00
2006-01-13,0,142.25
2006-01-20,0,144.97
2006-01-27,0,150.05
2006-02-03,0,144.75
2006-02-10,0,138.26
2006-02-17,0,139.92
2006-02-24,0,141.19
2006-03-03,0,143.86
2006-03-10,0,138.68
2006-03-17,0,143.69
2006-03-24,0,140.65
2006-03-31,0,142.40
2006-04-07,0,145.84
2006-04-14,0,
2006-04-21,0,154.45
2006-04-28,0,143.27
2006-05-05,0,145.74
2006-05-12,0,145.03
2006-05-19,0,141.80
2006-05-26,0,146.70
2006-06-02,0,50.76
2006-06-09,0,45.58
2006-06-16,0,46.40
2006-06-23,0,46.12
2006-06-30,0,52.85
2006-07-07,0,53.35
2006-07-14,0,56.02
2006-07-21,0,50.68
2006-07-28,0,51.43
2006-08-04,0,52.00
2006-08-11,0,51.94
2006-08-18,0,48.75
2006-08-25,0,49.67
2006-09-01,0,46.07
2006-09-08,0,43.78
2006-09-15,0,40.15
2006-09-22,0,40.57
2006-09-29,0,41.42
2006-10-06,0,39.12
2006-10-13,0,41.43
2006-10-20,0,42.58
2006-10-27,70,43.31
2006-11-03,0,43.85
2006-11-10,0,45.00
2006-11-17,0,46.04
2006-11-24,0,45.32
2006-12-01,0,50.30
2006-12-08,0,51.91
2006-12-15,0,52.25
2006-12-22,0,50.30
2006-12-29,0,49.57
2007-01-05,0,47.95
2007-01-12,0,49.02
2007-01-19,0,50.52
2007-01-26,0,51.94
2007-02-02,0,54.57
2007-02-09,0,54.94
2007-02-16,0,54.27
2007-02-23,0,55.58
2007-03-02,0,51.42
2007-03-09,0,52.80
2007-03-16,0,50.45
2007-03-23,0,55.98
2007-03-30,48,55.47
2007-04-06,49,
2007-04-13,50,57.87
2007-04-20,51,57.56
2007-04-27,52,57.02
2007-05-04,0,58.18
2007-05-11,0,58.48
2007-05-18,0,59.68
2007-05-25,0,60.28
2007-06-01,0,60.26
2007-06-08,0,59.07
2007-06-15,0,61.00
2007-06-22,0,59.72
2007-06-29,0,58.96
2007-07-06,0,60.95
2007-07-13,0,66.12
2007-07-20,0,65.34
2007-07-27,0,60.69
2007-08-03,0,56.59
2007-08-10,43,59.24
2007-08-17,43,57.30
2007-08-24,49,59.09
2007-08-31,57,61.37
2007-09-07,59,61.65
2007-09-14,62,63.34
2007-09-21,39,67.85
2007-09-28,45,66.53
2007-10-05,37,66.07
2007-10-12,46,67.62
2007-10-19,41,67.69
2007-10-26,41,70.96
2007-11-02,41,70.58
2007-11-09,38,71.69
2007-11-16,38,67.94
2007-11-23,55,70.26
2007-11-30,54,71.22
2007-12-07,53,78.63
2007-12-14,45,84.98
2007-12-21,40,98.00
2007-12-28,42,101.98
2008-01-04,43,93.35
2008-01-11,44,91.74
2008-01-18,46,85.48
2008-01-25,42,89.32
2008-02-01,42,92.07
2008-02-08,36,88.96
2008-02-15,32,90.65
2008-02-22,48,93.66
2008-02-29,59,93.18
2008-03-07,31,91.69
2008-03-14,31,99.04
2008-03-21,36,
2008-03-28,41,88.37
2008-04-04,46,94.92
2008-04-11,31,92.76
2008-04-18,37,105.25
2008-04-25,37,109.98
2008-05-02,45,106.34
2008-05-09,38,115.74
2008-05-16,34,128.03
2008-05-23,49,125.09
2008-05-30,39,122.81
2008-06-06,37,123.92
2008-06-13,37,125.58
2008-06-20,53,122.55
2008-06-27,38,127.06
2008-07-04,35,
2008-07-11,34,111.76
2008-07-18,38,97.85
2008-07-25,48,93.87
2008-08-01,31,101.13
2008-08-08,57,95.87
2008-08-15,45,95.32
2008-08-22,65,106.27
2008-08-29,36,104.71
2008-09-05,37,91.44
2008-09-12,36,92.28
2008-09-19,45,94.78
2008-09-26,33,89.53
2008-10-03,42,72.00
2008-10-10,60,52.92
2008-10-17,43,50.58
2008-10-24,42,49.94
2008-10-31,42,60.21
2008-11-07,46,61.23
2008-11-14,36,55.53
2008-11-21,36,44.87
2008-11-28,36,54.04
2008-12-05,33,38.49
2008-12-12,37,47.70
2008-12-19,39,47.34
2008-12-26,35,49.05
2009-01-02,30,57.25
2009-01-09,30,55.51
2009-01-16,32,52.98
2009-01-23,43,57.54
2009-01-30,39,55.61
2009-02-06,40,60.45
2009-02-13,45,58.41
2009-02-20,47,51.59
2009-02-27,40,54.69
2009-03-06,40,54.74
2009-03-13,46,58.65
2009-03-20,26,61.80
2009-03-27,32,58.23
2009-04-03,44,59.76
2009-04-10,29,
2009-04-17,33,55.09
2009-04-24,44,56.17
2009-05-01,54,56.19
2009-05-08,53,63.36
2009-05-15,41,58.18
2009-05-22,56,60.02
2009-05-29,34,66.59
2009-06-05,33,59.17
2009-06-12,42,59.58
2009-06-19,57,53.21
2009-06-26,26,54.28
2009-07-03,52,
2009-07-10,50,47.50
2009-07-17,32,50.28
2009-07-24,46,53.63
2009-07-31,46,55.20
2009-08-07,51,54.73
2009-08-14,46,51.15
2009-08-21,61,52.93
2009-08-28,46,51.80
2009-09-04,55,51.44
2009-09-11,30,53.09
2009-09-18,64,55.81
2009-09-25,58,53.08
2009-10-02,61,51.79
2009-10-09,59,57.41
2009-10-16,50,60.66
2009-10-23,37,58.95
2009-10-30,75,54.74
2009-11-06,60,56.98
2009-11-13,73,56.38
2009-11-20,100,58.84
2009-11-27,91,57.80
2009-12-04,67,57.10
2009-12-11,83,55.63
2009-12-18,80,57.61
2009-12-25,70,
2010-01-01,41,
2010-01-08,47,65.83
2010-01-15,51,62.43
2010-01-22,63,58.69
2010-01-29,53,57.79
2010-02-05,62,57.98
2010-02-12,44,58.42
2010-02-19,56,60.84
2010-02-26,48,58.80
2010-03-05,39,61.54
2010-03-12,52,61.26
2010-03-19,51,61.19
2010-03-26,32,59.67
2010-04-02,45,
2010-04-09,53,64.75
2010-04-16,52,63.65
2010-04-23,66,65.53
2010-04-30,45,63.55
2010-05-07,48,56.74
2010-05-14,45,56.06
2010-05-21,32,52.91
2010-05-28,27,53.20
2010-06-04,44,50.50
2010-06-11,38,53.45
2010-06-18,59,56.18
2010-06-25,40,53.80
2010-07-02,36,50.08
2010-07-09,28,53.23
2010-07-16,36,51.49
2010-07-23,34,52.70
2010-07-30,39,53.59
2010-08-06,57,55.59
2010-08-13,42,52.77
2010-08-20,36,51.24
2010-08-27,36,51.46
2010-09-03,27,55.29
2010-09-10,36,54.42
2010-09-17,53,54.97
2010-09-24,45,57.81
2010-10-01,40,60.92
2010-10-08,58,62.53
2010-10-15,67,63.83
2010-10-22,39,63.25
2010-10-29,43,63.03
2010-11-05,34,69.98
2010-11-12,38,70.06
2010-11-19,45,70.40
2010-11-26,31,69.78
2010-12-03,39,74.30
2010-12-10,29,74.52
2010-12-17,19,75.44
2010-12-24,27,
2010-12-31,20,76.54
2011-01-07,46,79.17
2011-01-14,37,82.13
2011-01-21,38,78.65
2011-01-28,38,81.51
2011-02-04,28,82.34
2011-02-11,30,80.60
2011-02-18,23,85.00
2011-02-25,35,84.80
2011-03-04,43,84.24
2011-03-11,39,80.18
2011-03-18,29,79.59
2011-03-25,35,84.36
2011-04-01,29,86.74
2011-04-08,28,84.24
2011-04-15,36,78.88
2011-04-22,33,
2011-04-29,34,85.96
2011-05-06,33,77.47
2011-05-13,52,75.78
2011-05-20,43,77.92
2011-05-27,28,78.60
2011-06-03,27,76.97
2011-06-10,26,72.85
2011-06-17,34,69.28
2011-06-24,40,69.04
2011-07-01,40,75.42
2011-07-08,40,74.68
2011-07-15,45,72.93
2011-07-22,39,74.37
2011-07-29,45,68.56
2011-08-05,34,59.86
2011-08-12,36,57.04
2011-08-19,44,54.29
2011-08-26,23,55.70
2011-09-02,38,58.01
2011-09-09,31,57.74
2011-09-16,40,61.61
2011-09-23,33,51.48
2011-09-30,47,52.46
2011-10-07,46,53.20
2011-10-14,44,57.47
2011-10-21,29,59.80
2011-10-28,39,65.66
2011-11-04,40,63.44
2011-11-11,54,65.09
2011-11-18,42,59.73
2011-11-25,38,54.33
2011-12-02,34,59.65
2011-12-09,20,58.47
2011-12-16,47,54.31
2011-12-23,34,56.96
2011-12-30,14,56.80
2012-01-06,28,56.42
2012-01-13,32,56.55
2012-01-20,37,61.27
2012-01-27,37,55.26
2012-02-03,39,60.38
2012-02-10,36,61.82
2012-02-17,30,65.15
2012-02-24,38,67.00
2012-03-02,38,65.43
2012-03-09,32,63.04
2012-03-16,28,62.55
2012-03-23,32,59.86
2012-03-30,31,58.95
2012-04-06,24,
2012-04-13,40,55.28
2012-04-20,39,55.07
2012-04-27,43,51.54
2012-05-04,38,50.94
2012-05-11,32,47.95
2012-05-18,45,44.60
2012-05-25,29,46.69
2012-06-01,30,42.65
2012-06-08,36,44.72
2012-06-15,34,44.80
2012-06-22,47,41.00
2012-06-29,38,43.45
2012-07-06,25,43.32
2012-07-13,26,43.29
2012-07-20,26,45.40
2012-07-27,25,48.36
2012-08-03,30,47.71
2012-08-10,34,49.68
2012-08-17,27,49.31
2012-08-24,30,50.19
2012-08-31,36,50.53
2012-09-07,40,52.90
2012-09-14,47,56.06
2012-09-21,39,55.64
2012-09-28,41,53.72
2012-10-05,29,53.56
2012-10-12,31,53.28
2012-10-19,32,54.28
2012-10-26,38,53.24
2012-11-02,55,53.39
2012-11-09,65,50.73
2012-11-16,34,48.91
2012-11-23,24,51.12
2012-11-30,44,49.61
2012-12-07,31,49.69
2012-12-14,24,51.38
2012-12-21,20,53.39
2012-12-28,11,51.28
2013-01-04,24,55.02
2013-01-11,26,56.25
2013-01-18,28,57.66
2013-01-25,38,58.90
2013-02-01,51,68.21
2013-02-08,26,67.37
2013-02-15,25,67.42
2013-02-22,27,66.03
2013-03-01,21,66.54
2013-03-08,76,69.47
2013-03-15,40,72.51
2013-03-22,38,70.27
2013-03-29,37,
2013-04-05,34,71.69
2013-04-12,26,71.39
2013-04-19,35,66.78
2013-04-26,40,70.99
2013-05-03,34,73.00
2013-05-10,34,69.30
2013-05-17,35,69.68
2013-05-24,25,67.48
2013-05-31,25,67.41
2013-06-07,24,69.18
2013-06-14,26,65.97
2013-06-21,39,64.02
2013-06-28,29,66.49
2013-07-05,22,68.13
2013-07-12,34,71.17
2013-07-19,29,73.94
2013-07-26,33,73.20
2013-08-02,34,75.31
2013-08-09,32,74.89
2013-08-16,29,75.07
2013-08-23,31,75.66
2013-08-30,28,74.85
2013-09-06,30,77.30
2013-09-13,39,77.72
2013-09-20,25,78.63
2013-09-27,24,78.33
2013-10-04,29,80.14
2013-10-11,29,81.10
2013-10-18,25,84.06
2013-10-25,32,83.20
2013-11-01,34,80.93
2013-11-08,39,80.30
2013-11-15,32,82.86
2013-11-22,32,83.33
2013-11-29,33,81.13
2013-12-06,20,80.86
2013-12-13,33,78.95
2013-12-20,34,80.17
2013-12-27,15,83.07
2014-01-03,21,80.28
2014-01-10,30,80.90
2014-01-17,29,77.13
2014-01-24,30,76.25
2014-01-31,33,75.49
2014-02-07,31,77.18
2014-02-14,31,79.50
2014-02-21,27,81.17
2014-02-28,24,80.03
2014-03-07,22,81.87
2014-03-14,27,80.28
2014-03-21,46,81.96
2014-03-28,29,83.22
2014-04-04,28,85.34
2014-04-11,26,83.58
2014-04-18,41,
2014-04-25,32,87.43
2014-05-02,33,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
