Date,Host Hotels & Resorts,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,12.95
2004-02-13,0,12.58
2004-02-20,0,12.38
2004-02-27,0,12.16
2004-03-05,0,12.43
2004-03-12,0,12.36
2004-03-19,0,12.30
2004-03-26,0,12.26
2004-04-02,0,12.91
2004-04-09,0,
2004-04-16,0,12.17
2004-04-23,0,12.21
2004-04-30,0,11.90
2004-05-07,0,11.56
2004-05-14,0,11.69
2004-05-21,0,11.87
2004-05-28,0,12.26
2004-06-04,0,12.59
2004-06-11,0,
2004-06-18,0,12.26
2004-06-25,0,12.54
2004-07-02,0,12.72
2004-07-09,0,12.52
2004-07-16,0,12.83
2004-07-23,0,13.18
2004-07-30,0,12.95
2004-08-06,0,12.41
2004-08-13,0,12.23
2004-08-20,0,13.00
2004-08-27,0,13.14
2004-09-03,0,13.81
2004-09-10,0,13.75
2004-09-17,0,13.65
2004-09-24,0,13.81
2004-10-01,0,14.24
2004-10-08,0,14.35
2004-10-15,0,14.62
2004-10-22,0,14.75
2004-10-29,0,14.55
2004-11-05,0,14.94
2004-11-12,0,15.90
2004-11-19,0,15.22
2004-11-26,0,15.48
2004-12-03,0,16.22
2004-12-10,0,16.55
2004-12-17,0,16.50
2004-12-24,0,
2004-12-31,0,17.30
2005-01-07,0,16.53
2005-01-14,0,16.74
2005-01-21,0,16.52
2005-01-28,0,16.19
2005-02-04,0,16.25
2005-02-11,0,16.00
2005-02-18,0,15.90
2005-02-25,0,16.28
2005-03-04,0,17.09
2005-03-11,0,16.91
2005-03-18,0,16.53
2005-03-25,0,
2005-04-01,0,16.41
2005-04-08,0,16.54
2005-04-15,0,16.38
2005-04-22,0,16.55
2005-04-29,0,16.82
2005-05-06,0,16.73
2005-05-13,0,16.34
2005-05-20,100,17.10
2005-05-27,0,16.73
2005-06-03,0,16.92
2005-06-10,0,17.11
2005-06-17,0,17.57
2005-06-24,0,17.54
2005-07-01,0,17.77
2005-07-08,0,17.92
2005-07-15,0,17.78
2005-07-22,0,18.51
2005-07-29,86,18.65
2005-08-05,0,18.26
2005-08-12,0,18.02
2005-08-19,0,17.70
2005-08-26,0,17.30
2005-09-02,0,17.00
2005-09-09,0,17.65
2005-09-16,0,16.89
2005-09-23,0,16.24
2005-09-30,0,16.90
2005-10-07,0,17.03
2005-10-14,0,16.80
2005-10-21,0,16.76
2005-10-28,0,16.78
2005-11-04,0,16.50
2005-11-11,0,17.44
2005-11-18,0,17.46
2005-11-25,0,18.03
2005-12-02,0,18.41
2005-12-09,0,18.51
2005-12-16,0,18.45
2005-12-23,0,18.78
2005-12-30,0,18.95
2006-01-06,0,19.25
2006-01-13,0,19.63
2006-01-20,0,19.67
2006-01-27,0,19.95
2006-02-03,0,20.01
2006-02-10,0,20.00
2006-02-17,0,20.00
2006-02-24,0,19.63
2006-03-03,0,19.69
2006-03-10,0,20.21
2006-03-17,0,21.25
2006-03-24,0,21.10
2006-03-31,0,21.40
2006-04-07,0,20.53
2006-04-14,0,
2006-04-21,69,20.52
2006-04-28,83,21.02
2006-05-05,59,21.39
2006-05-12,59,20.50
2006-05-19,59,20.07
2006-05-26,55,20.21
2006-06-02,60,20.71
2006-06-09,66,20.90
2006-06-16,75,21.27
2006-06-23,83,21.08
2006-06-30,83,21.87
2006-07-07,80,22.32
2006-07-14,72,21.89
2006-07-21,56,21.82
2006-07-28,67,21.56
2006-08-04,54,22.41
2006-08-11,81,20.69
2006-08-18,72,21.75
2006-08-25,72,21.72
2006-09-01,70,22.31
2006-09-08,65,22.66
2006-09-15,68,22.73
2006-09-22,47,22.83
2006-09-29,47,22.93
2006-10-06,47,23.59
2006-10-13,51,22.56
2006-10-20,63,22.95
2006-10-27,50,23.58
2006-11-03,45,22.93
2006-11-10,48,23.43
2006-11-17,51,23.95
2006-11-24,55,25.60
2006-12-01,59,24.98
2006-12-08,0,24.69
2006-12-15,0,24.37
2006-12-22,0,24.20
2006-12-29,0,24.55
2007-01-05,0,23.97
2007-01-12,52,24.93
2007-01-19,47,25.17
2007-01-26,83,25.66
2007-02-02,78,27.27
2007-02-09,38,27.99
2007-02-16,37,27.63
2007-02-23,37,26.50
2007-03-02,37,25.28
2007-03-09,39,25.69
2007-03-16,41,26.30
2007-03-23,40,26.87
2007-03-30,41,26.31
2007-04-06,70,
2007-04-13,49,26.54
2007-04-20,43,26.36
2007-04-27,43,26.04
2007-05-04,43,25.20
2007-05-11,43,25.05
2007-05-18,57,23.61
2007-05-25,47,23.60
2007-06-01,47,25.36
2007-06-08,37,24.27
2007-06-15,52,23.92
2007-06-22,47,23.02
2007-06-29,53,23.12
2007-07-06,62,25.17
2007-07-13,77,24.82
2007-07-20,89,23.56
2007-07-27,43,20.78
2007-08-03,81,21.30
2007-08-10,47,21.54
2007-08-17,63,21.98
2007-08-24,60,22.35
2007-08-31,41,22.29
2007-09-07,49,21.41
2007-09-14,57,21.75
2007-09-21,66,22.32
2007-09-28,35,22.44
2007-10-05,35,23.08
2007-10-12,73,22.98
2007-10-19,46,21.34
2007-10-26,61,22.37
2007-11-02,86,21.06
2007-11-09,33,19.10
2007-11-16,27,18.83
2007-11-23,37,18.31
2007-11-30,42,19.19
2007-12-07,45,19.35
2007-12-14,27,17.38
2007-12-21,31,17.65
2007-12-28,34,16.71
2008-01-04,38,16.08
2008-01-11,42,16.68
2008-01-18,25,15.58
2008-01-25,25,16.16
2008-02-01,40,17.28
2008-02-08,39,16.80
2008-02-15,28,16.91
2008-02-22,25,16.43
2008-02-29,53,16.19
2008-03-07,44,16.39
2008-03-14,58,16.30
2008-03-21,44,
2008-03-28,42,16.21
2008-04-04,48,17.33
2008-04-11,50,17.05
2008-04-18,59,17.17
2008-04-25,63,17.29
2008-05-02,42,18.04
2008-05-09,49,17.27
2008-05-16,31,18.47
2008-05-23,37,17.27
2008-05-30,35,17.19
2008-06-06,26,16.03
2008-06-13,65,15.55
2008-06-20,45,14.53
2008-06-27,63,13.80
2008-07-04,25,
2008-07-11,41,12.01
2008-07-18,74,12.61
2008-07-25,74,13.09
2008-08-01,53,13.16
2008-08-08,51,13.80
2008-08-15,62,14.01
2008-08-22,57,14.00
2008-08-29,35,14.30
2008-09-05,33,14.32
2008-09-12,39,15.44
2008-09-19,26,15.99
2008-09-26,37,13.95
2008-10-03,47,11.40
2008-10-10,48,9.28
2008-10-17,33,9.19
2008-10-24,37,7.50
2008-10-31,22,10.34
2008-11-07,34,9.07
2008-11-14,28,7.15
2008-11-21,36,5.94
2008-11-28,29,7.52
2008-12-05,29,7.58
2008-12-12,33,7.25
2008-12-19,34,7.74
2008-12-26,27,7.42
2009-01-02,31,7.73
2009-01-09,41,7.22
2009-01-16,44,6.77
2009-01-23,55,5.89
2009-01-30,43,5.38
2009-02-06,26,5.49
2009-02-13,20,4.38
2009-02-20,50,4.15
2009-02-27,35,3.70
2009-03-06,41,3.54
2009-03-13,41,4.65
2009-03-20,47,3.78
2009-03-27,39,4.25
2009-04-03,43,5.01
2009-04-10,27,
2009-04-17,33,6.46
2009-04-24,46,7.80
2009-05-01,46,7.54
2009-05-08,34,9.56
2009-05-15,30,7.67
2009-05-22,37,8.20
2009-05-29,43,9.38
2009-06-05,21,9.56
2009-06-12,31,9.18
2009-06-19,46,7.66
2009-06-26,48,8.09
2009-07-03,33,
2009-07-10,41,7.44
2009-07-17,44,8.03
2009-07-24,55,8.60
2009-07-31,48,9.08
2009-08-07,49,10.86
2009-08-14,44,10.39
2009-08-21,49,10.58
2009-08-28,41,10.21
2009-09-04,41,9.53
2009-09-11,29,10.55
2009-09-18,27,11.55
2009-09-25,37,11.03
2009-10-02,35,10.69
2009-10-09,52,11.43
2009-10-16,38,11.19
2009-10-23,23,10.57
2009-10-30,38,10.11
2009-11-06,36,9.78
2009-11-13,27,10.62
2009-11-20,22,10.06
2009-11-27,25,10.06
2009-12-04,19,10.95
2009-12-11,22,10.56
2009-12-18,26,11.31
2009-12-25,25,
2010-01-01,28,
2010-01-08,37,12.49
2010-01-15,34,11.98
2010-01-22,45,11.08
2010-01-29,26,10.60
2010-02-05,35,10.90
2010-02-12,37,11.27
2010-02-19,52,11.71
2010-02-26,40,11.71
2010-03-05,40,12.54
2010-03-12,32,13.09
2010-03-19,19,13.55
2010-03-26,34,14.60
2010-04-02,40,
2010-04-09,34,15.12
2010-04-16,35,14.61
2010-04-23,34,16.54
2010-04-30,43,16.26
2010-05-07,32,14.74
2010-05-14,35,14.89
2010-05-21,38,14.08
2010-05-28,42,14.26
2010-06-04,39,13.65
2010-06-11,42,14.83
2010-06-18,42,15.51
2010-06-25,34,14.42
2010-07-02,42,13.07
2010-07-09,41,14.21
2010-07-16,27,13.45
2010-07-23,67,14.21
2010-07-30,32,14.34
2010-08-06,39,14.53
2010-08-13,29,13.68
2010-08-20,35,13.43
2010-08-27,33,13.49
2010-09-03,32,14.16
2010-09-10,31,14.21
2010-09-17,29,14.46
2010-09-24,49,14.56
2010-10-01,24,14.65
2010-10-08,30,15.60
2010-10-15,29,16.11
2010-10-22,37,16.21
2010-10-29,16,15.89
2010-11-05,28,17.12
2010-11-12,26,15.84
2010-11-19,14,16.11
2010-11-26,24,16.36
2010-12-03,23,16.89
2010-12-10,26,17.19
2010-12-17,20,17.25
2010-12-24,24,
2010-12-31,18,17.87
2011-01-07,23,18.24
2011-01-14,34,18.49
2011-01-21,36,18.14
2011-01-28,32,17.88
2011-02-04,30,19.05
2011-02-11,36,19.77
2011-02-18,30,18.90
2011-02-25,31,18.38
2011-03-04,32,17.67
2011-03-11,35,17.52
2011-03-18,40,17.48
2011-03-25,27,17.71
2011-04-01,23,17.42
2011-04-08,38,16.70
2011-04-15,35,17.02
2011-04-22,38,
2011-04-29,30,17.79
2011-05-06,36,17.36
2011-05-13,33,16.97
2011-05-20,33,16.99
2011-05-27,33,17.59
2011-06-03,27,16.89
2011-06-10,30,15.80
2011-06-17,27,16.09
2011-06-24,46,16.14
2011-07-01,44,17.63
2011-07-08,43,17.45
2011-07-15,22,16.80
2011-07-22,40,16.97
2011-07-29,38,15.85
2011-08-05,42,13.53
2011-08-12,35,12.10
2011-08-19,41,10.78
2011-08-26,32,10.62
2011-09-02,38,11.07
2011-09-09,41,10.69
2011-09-16,38,12.12
2011-09-23,41,10.55
2011-09-30,37,10.94
2011-10-07,29,10.77
2011-10-14,42,12.37
2011-10-21,33,13.45
2011-10-28,24,14.59
2011-11-04,25,14.54
2011-11-11,26,14.10
2011-11-18,29,13.79
2011-11-25,23,12.81
2011-12-02,26,14.31
2011-12-09,26,14.31
2011-12-16,28,13.88
2011-12-23,27,14.52
2011-12-30,25,14.77
2012-01-06,22,14.99
2012-01-13,28,15.56
2012-01-20,28,16.23
2012-01-27,35,16.52
2012-02-03,38,16.91
2012-02-10,23,16.68
2012-02-17,36,16.40
2012-02-24,18,15.98
2012-03-02,34,15.52
2012-03-09,33,15.55
2012-03-16,29,15.99
2012-03-23,26,16.20
2012-03-30,35,16.42
2012-04-06,25,
2012-04-13,33,16.31
2012-04-20,30,16.78
2012-04-27,35,16.79
2012-05-04,27,16.27
2012-05-11,23,16.13
2012-05-18,26,14.11
2012-05-25,29,15.15
2012-06-01,30,14.43
2012-06-08,31,15.34
2012-06-15,32,15.58
2012-06-22,35,15.42
2012-06-29,35,15.82
2012-07-06,27,16.00
2012-07-13,36,15.23
2012-07-20,43,15.04
2012-07-27,39,14.76
2012-08-03,41,15.04
2012-08-10,34,15.28
2012-08-17,40,15.56
2012-08-24,30,15.35
2012-08-31,44,15.30
2012-09-07,35,16.30
2012-09-14,29,17.25
2012-09-21,27,16.64
2012-09-28,29,16.05
2012-10-05,35,15.72
2012-10-12,26,15.69
2012-10-19,29,15.55
2012-10-26,28,14.79
2012-11-02,18,14.64
2012-11-09,20,14.24
2012-11-16,22,13.78
2012-11-23,13,14.68
2012-11-30,23,14.69
2012-12-07,18,15.09
2012-12-14,24,15.26
2012-12-21,14,15.80
2012-12-28,18,15.38
2013-01-04,26,16.68
2013-01-11,30,16.67
2013-01-18,30,16.71
2013-01-25,29,17.19
2013-02-01,23,16.69
2013-02-08,24,16.81
2013-02-15,23,17.17
2013-02-22,34,16.89
2013-03-01,31,16.61
2013-03-08,31,16.93
2013-03-15,25,17.73
2013-03-22,30,17.00
2013-03-29,26,
2013-04-05,29,17.45
2013-04-12,32,17.87
2013-04-19,28,17.57
2013-04-26,32,17.73
2013-05-03,17,18.35
2013-05-10,21,18.57
2013-05-17,22,18.77
2013-05-24,30,18.13
2013-05-31,23,17.79
2013-06-07,27,17.42
2013-06-14,35,17.22
2013-06-21,29,16.18
2013-06-28,27,16.87
2013-07-05,27,17.55
2013-07-12,27,17.99
2013-07-19,41,18.55
2013-07-26,37,18.12
2013-08-02,24,18.50
2013-08-09,23,17.70
2013-08-16,37,16.52
2013-08-23,34,17.42
2013-08-30,30,17.03
2013-09-06,19,17.29
2013-09-13,37,18.06
2013-09-20,16,18.22
2013-09-27,23,17.82
2013-10-04,28,17.78
2013-10-11,34,17.91
2013-10-18,33,18.58
2013-10-25,22,18.78
2013-11-01,27,18.81
2013-11-08,29,18.60
2013-11-15,31,19.01
2013-11-22,24,18.58
2013-11-29,13,18.41
2013-12-06,24,18.47
2013-12-13,22,18.07
2013-12-20,15,19.07
2013-12-27,13,19.35
2014-01-03,19,19.13
2014-01-10,21,19.18
2014-01-17,25,19.42
2014-01-24,24,18.79
2014-01-31,30,18.39
2014-02-07,21,18.42
2014-02-14,25,18.99
2014-02-21,33,19.54
2014-02-28,24,19.67
2014-03-07,29,20.13
2014-03-14,23,20.39
2014-03-21,27,20.28
2014-03-28,32,19.94
2014-04-04,23,20.52
2014-04-11,27,20.05
2014-04-18,24,
2014-04-25,23,20.90
2014-05-02,26,
