Date,IBM,Price
2004-01-09,97,
2004-01-16,96,
2004-01-23,97,
2004-01-30,98,
2004-02-06,100,98.94
2004-02-13,95,99.71
2004-02-20,98,97.31
2004-02-27,100,96.50
2004-03-05,96,96.45
2004-03-12,89,93.30
2004-03-19,94,91.62
2004-03-26,88,92.77
2004-04-02,94,94.20
2004-04-09,95,
2004-04-16,92,92.28
2004-04-23,89,91.28
2004-04-30,88,88.17
2004-05-07,85,88.19
2004-05-14,90,86.41
2004-05-21,89,87.13
2004-05-28,88,88.59
2004-06-04,90,87.56
2004-06-11,91,
2004-06-18,89,90.06
2004-06-25,90,89.55
2004-07-02,90,87.04
2004-07-09,91,83.89
2004-07-16,94,84.28
2004-07-23,92,84.85
2004-07-30,93,87.07
2004-08-06,93,83.48
2004-08-13,92,83.91
2004-08-20,93,85.25
2004-08-27,94,84.94
2004-09-03,94,84.39
2004-09-10,97,86.76
2004-09-17,94,85.74
2004-09-24,90,84.43
2004-10-01,90,86.72
2004-10-08,91,86.71
2004-10-15,88,84.85
2004-10-22,90,87.39
2004-10-29,89,89.75
2004-11-05,84,93.28
2004-11-12,82,95.32
2004-11-19,83,94.45
2004-11-26,80,94.72
2004-12-03,88,97.08
2004-12-10,98,96.67
2004-12-17,85,96.20
2004-12-24,81,
2004-12-31,76,98.58
2005-01-07,80,95.78
2005-01-14,83,94.10
2005-01-21,84,92.38
2005-01-28,83,92.89
2005-02-04,80,94.51
2005-02-11,78,93.30
2005-02-18,81,93.27
2005-02-25,82,92.80
2005-03-04,81,92.37
2005-03-11,80,91.51
2005-03-18,82,89.28
2005-03-25,77,
2005-04-01,75,90.44
2005-04-08,75,87.60
2005-04-15,81,76.70
2005-04-22,79,74.21
2005-04-29,76,76.38
2005-05-06,73,75.26
2005-05-13,77,73.16
2005-05-20,74,76.41
2005-05-27,78,77.10
2005-06-03,74,75.79
2005-06-10,81,74.77
2005-06-17,76,76.39
2005-06-24,77,74.01
2005-07-01,75,74.67
2005-07-08,72,79.30
2005-07-15,75,82.38
2005-07-22,76,84.44
2005-07-29,77,83.46
2005-08-05,72,83.36
2005-08-12,72,82.19
2005-08-19,73,82.76
2005-08-26,72,80.38
2005-09-02,72,79.46
2005-09-09,73,81.44
2005-09-16,74,80.33
2005-09-23,72,78.00
2005-09-30,71,80.22
2005-10-07,69,80.50
2005-10-14,72,82.35
2005-10-21,71,83.33
2005-10-28,70,81.42
2005-11-04,64,83.00
2005-11-11,69,84.55
2005-11-18,69,87.77
2005-11-25,67,88.80
2005-12-02,67,88.65
2005-12-09,67,86.97
2005-12-16,67,83.37
2005-12-23,64,83.48
2005-12-30,62,82.20
2006-01-06,63,84.95
2006-01-13,67,83.17
2006-01-20,66,81.36
2006-01-27,64,81.02
2006-02-03,61,79.97
2006-02-10,65,81.33
2006-02-17,64,80.71
2006-02-24,67,80.10
2006-03-03,66,79.96
2006-03-10,65,81.57
2006-03-17,64,83.30
2006-03-24,60,83.36
2006-03-31,60,82.47
2006-04-07,61,82.48
2006-04-14,58,
2006-04-21,58,81.66
2006-04-28,59,82.34
2006-05-05,54,83.28
2006-05-12,59,82.39
2006-05-19,59,80.28
2006-05-26,57,80.75
2006-06-02,57,79.52
2006-06-09,56,77.63
2006-06-16,57,77.95
2006-06-23,56,77.10
2006-06-30,54,76.82
2006-07-07,53,76.42
2006-07-14,56,73.57
2006-07-21,60,74.86
2006-07-28,57,76.96
2006-08-04,59,75.91
2006-08-11,59,75.48
2006-08-18,59,79.90
2006-08-25,60,79.88
2006-09-01,58,81.41
2006-09-08,56,80.66
2006-09-15,59,82.94
2006-09-22,57,81.21
2006-09-29,58,81.94
2006-10-06,57,83.14
2006-10-13,55,86.08
2006-10-20,57,90.48
2006-10-27,56,90.76
2006-11-03,54,91.41
2006-11-10,55,91.76
2006-11-17,54,93.81
2006-11-24,54,93.35
2006-12-01,53,91.25
2006-12-08,53,93.86
2006-12-15,54,95.30
2006-12-22,50,95.25
2006-12-29,47,97.15
2007-01-05,46,97.42
2007-01-12,50,99.34
2007-01-19,53,96.17
2007-01-26,54,97.45
2007-02-02,53,99.17
2007-02-09,52,98.55
2007-02-16,50,98.99
2007-02-23,49,97.73
2007-03-02,49,90.90
2007-03-09,52,93.28
2007-03-16,51,93.25
2007-03-23,49,95.03
2007-03-30,50,94.26
2007-04-06,48,
2007-04-13,48,94.93
2007-04-20,50,94.58
2007-04-27,50,101.17
2007-05-04,44,102.96
2007-05-11,51,105.98
2007-05-18,50,107.99
2007-05-25,48,105.18
2007-06-01,47,106.54
2007-06-08,49,103.07
2007-06-15,48,105.09
2007-06-22,47,104.44
2007-06-29,48,105.25
2007-07-06,45,109.03
2007-07-13,48,108.60
2007-07-20,50,114.81
2007-07-27,48,115.62
2007-08-03,45,111.89
2007-08-10,47,112.64
2007-08-17,46,110.90
2007-08-24,45,113.24
2007-08-31,46,116.69
2007-09-07,46,115.55
2007-09-14,46,115.13
2007-09-21,53,116.78
2007-09-28,48,117.80
2007-10-05,45,116.30
2007-10-12,46,117.81
2007-10-19,46,112.28
2007-10-26,45,113.73
2007-11-02,45,114.59
2007-11-09,43,100.25
2007-11-16,44,104.79
2007-11-23,47,104.05
2007-11-30,48,105.18
2007-12-07,48,108.86
2007-12-14,42,105.77
2007-12-21,41,111.05
2007-12-28,36,110.09
2008-01-04,35,101.13
2008-01-11,42,97.67
2008-01-18,43,103.40
2008-01-25,43,104.52
2008-02-01,43,109.08
2008-02-08,40,103.27
2008-02-15,39,106.16
2008-02-22,43,108.07
2008-02-29,43,113.86
2008-03-07,41,113.94
2008-03-14,42,115.23
2008-03-21,40,
2008-03-28,39,114.57
2008-04-04,42,115.76
