Date,IFF,Price
2004-01-09,38,
2004-01-16,49,
2004-01-23,51,
2004-01-30,51,
2004-02-06,41,37.96
2004-02-13,35,37.07
2004-02-20,37,36.92
2004-02-27,36,36.59
2004-03-05,46,38.00
2004-03-12,58,37.08
2004-03-19,39,36.85
2004-03-26,34,34.34
2004-04-02,42,35.76
2004-04-09,42,
2004-04-16,38,36.03
2004-04-23,50,36.40
2004-04-30,41,36.25
2004-05-07,36,35.25
2004-05-14,47,34.75
2004-05-21,34,35.35
2004-05-28,45,35.98
2004-06-04,37,36.59
2004-06-11,28,
2004-06-18,40,37.01
2004-06-25,30,36.93
2004-07-02,45,37.18
2004-07-09,40,37.18
2004-07-16,41,37.06
2004-07-23,51,36.58
2004-07-30,56,36.54
2004-08-06,44,36.13
2004-08-13,42,36.76
2004-08-20,41,38.51
2004-08-27,42,38.48
2004-09-03,48,38.85
2004-09-10,42,38.62
2004-09-17,32,38.70
2004-09-24,50,37.53
2004-10-01,32,38.77
2004-10-08,41,38.30
2004-10-15,27,38.08
2004-10-22,41,38.06
2004-10-29,36,39.05
2004-11-05,38,39.40
2004-11-12,36,41.05
2004-11-19,39,40.35
2004-11-26,35,40.36
2004-12-03,35,41.15
2004-12-10,35,41.39
2004-12-17,39,42.40
2004-12-24,30,
2004-12-31,27,42.84
2005-01-07,35,41.40
2005-01-14,38,41.48
2005-01-21,47,41.36
2005-01-28,45,42.04
2005-02-04,40,42.25
2005-02-11,40,41.94
2005-02-18,50,41.59
2005-02-25,38,41.56
2005-03-04,39,41.92
2005-03-11,48,40.62
2005-03-18,46,40.01
2005-03-25,37,
2005-04-01,42,39.85
2005-04-08,41,40.23
2005-04-15,31,38.62
2005-04-22,45,39.47
2005-04-29,42,37.90
2005-05-06,40,37.31
2005-05-13,35,36.68
2005-05-20,34,38.00
2005-05-27,32,37.30
2005-06-03,35,36.86
2005-06-10,41,37.35
2005-06-17,36,37.61
2005-06-24,42,35.59
2005-07-01,42,36.30
2005-07-08,40,36.79
2005-07-15,39,36.94
2005-07-22,37,37.40
2005-07-29,43,37.92
2005-08-05,45,37.85
2005-08-12,44,37.16
2005-08-19,40,36.88
2005-08-26,36,35.78
2005-09-02,39,35.70
2005-09-09,40,35.78
2005-09-16,31,35.90
2005-09-23,39,34.82
2005-09-30,33,35.64
2005-10-07,40,34.60
2005-10-14,44,34.00
2005-10-21,41,33.10
2005-10-28,37,32.71
2005-11-04,32,32.41
2005-11-11,32,32.40
2005-11-18,44,32.61
2005-11-25,42,33.09
2005-12-02,35,33.43
2005-12-09,35,33.32
2005-12-16,31,33.50
2005-12-23,33,33.73
2005-12-30,28,33.50
2006-01-06,36,33.90
2006-01-13,40,34.37
2006-01-20,45,33.76
2006-01-27,45,33.60
2006-02-03,46,33.04
2006-02-10,36,33.16
2006-02-17,34,34.64
2006-02-24,40,34.45
2006-03-03,35,35.67
2006-03-10,37,34.99
2006-03-17,36,34.83
2006-03-24,32,34.76
2006-03-31,35,34.32
2006-04-07,32,33.78
2006-04-14,32,
2006-04-21,34,35.60
2006-04-28,41,35.33
2006-05-05,38,36.18
2006-05-12,38,35.76
2006-05-19,35,35.54
2006-05-26,31,35.62
2006-06-02,32,35.52
2006-06-09,40,34.86
2006-06-16,30,34.76
2006-06-23,27,34.77
2006-06-30,37,35.24
2006-07-07,31,34.65
2006-07-14,27,34.58
2006-07-21,24,34.53
2006-07-28,32,36.95
2006-08-04,32,37.42
2006-08-11,30,38.47
2006-08-18,29,38.77
2006-08-25,32,38.56
2006-09-01,38,39.56
2006-09-08,34,39.00
2006-09-15,33,39.75
2006-09-22,31,38.99
2006-09-29,35,39.54
2006-10-06,31,39.94
2006-10-13,34,41.25
2006-10-20,29,41.03
2006-10-27,38,41.70
2006-11-03,32,45.26
2006-11-10,34,46.00
2006-11-17,32,46.79
2006-11-24,31,47.68
2006-12-01,30,47.40
2006-12-08,33,48.47
2006-12-15,28,48.97
2006-12-22,29,48.89
2006-12-29,22,49.16
2007-01-05,28,48.78
2007-01-12,34,49.94
2007-01-19,37,50.21
2007-01-26,36,50.19
2007-02-02,34,49.17
2007-02-09,29,48.65
2007-02-16,32,48.76
2007-02-23,28,48.23
2007-03-02,33,46.03
2007-03-09,36,46.72
2007-03-16,29,46.22
2007-03-23,28,47.92
2007-03-30,30,47.22
2007-04-06,32,
2007-04-13,34,47.67
2007-04-20,35,48.44
2007-04-27,31,48.65
2007-05-04,31,51.86
2007-05-11,28,51.03
2007-05-18,29,50.97
2007-05-25,30,51.43
2007-06-01,26,51.45
2007-06-08,33,50.42
2007-06-15,31,51.77
2007-06-22,30,50.77
2007-06-29,29,52.14
2007-07-06,27,52.56
2007-07-13,30,53.93
2007-07-20,33,51.84
2007-07-27,32,48.85
2007-08-03,26,49.83
2007-08-10,30,49.20
2007-08-17,21,48.88
2007-08-24,35,50.10
2007-08-31,31,50.23
2007-09-07,34,48.74
2007-09-14,31,48.67
2007-09-21,31,52.30
2007-09-28,26,52.86
2007-10-05,27,53.87
2007-10-12,29,53.01
2007-10-19,30,51.01
2007-10-26,31,52.02
2007-11-02,30,51.40
2007-11-09,34,49.50
2007-11-16,26,48.84
2007-11-23,32,48.28
2007-11-30,31,50.14
2007-12-07,35,49.77
2007-12-14,26,48.43
2007-12-21,25,48.27
2007-12-28,18,48.23
2008-01-04,23,46.09
2008-01-11,28,45.72
2008-01-18,33,42.81
2008-01-25,33,42.97
2008-02-01,26,42.68
2008-02-08,32,42.24
2008-02-15,25,42.85
2008-02-22,30,42.87
2008-02-29,29,43.13
2008-03-07,30,41.49
2008-03-14,31,42.08
2008-03-21,27,
2008-03-28,32,43.64
2008-04-04,30,45.50
2008-04-11,35,44.24
2008-04-18,36,45.75
2008-04-25,30,46.37
2008-05-02,32,42.72
2008-05-09,28,42.26
2008-05-16,28,42.10
2008-05-23,29,40.47
2008-05-30,28,41.96
2008-06-06,29,41.73
2008-06-13,30,41.19
2008-06-20,27,40.21
2008-06-27,29,39.71
2008-07-04,28,
2008-07-11,27,39.73
2008-07-18,31,41.31
2008-07-25,28,39.72
2008-08-01,26,39.70
2008-08-08,27,39.88
2008-08-15,24,42.07
2008-08-22,25,41.23
2008-08-29,30,40.21
2008-09-05,28,40.22
2008-09-12,29,42.08
2008-09-19,30,44.47
2008-09-26,32,41.99
2008-10-03,25,37.85
2008-10-10,30,35.65
2008-10-17,31,36.04
2008-10-24,26,31.95
2008-10-31,27,31.88
2008-11-07,27,29.55
2008-11-14,25,27.86
2008-11-21,29,27.27
2008-11-28,30,30.54
2008-12-05,28,29.65
2008-12-12,31,30.09
2008-12-19,29,29.20
2008-12-26,18,28.09
2009-01-02,17,30.60
2009-01-09,26,29.17
2009-01-16,34,27.94
2009-01-23,26,28.32
2009-01-30,26,28.62
2009-02-06,32,30.84
2009-02-13,26,29.19
2009-02-20,26,27.26
2009-02-27,29,26.31
2009-03-06,33,25.58
2009-03-13,26,28.32
2009-03-20,26,28.65
2009-03-27,26,30.86
2009-04-03,26,32.35
2009-04-10,29,
2009-04-17,29,32.40
2009-04-24,29,33.01
2009-05-01,27,29.84
2009-05-08,30,30.97
2009-05-15,26,30.00
2009-05-22,24,30.65
2009-05-29,26,31.90
2009-06-05,26,33.25
2009-06-12,29,32.96
2009-06-19,25,32.47
2009-06-26,26,32.39
2009-07-03,25,
2009-07-10,27,31.21
2009-07-17,32,33.16
2009-07-24,33,34.47
2009-07-31,30,35.26
2009-08-07,30,36.88
2009-08-14,28,36.69
2009-08-21,31,36.31
2009-08-28,28,36.14
2009-09-04,29,35.18
2009-09-11,29,37.22
2009-09-18,34,39.15
2009-09-25,30,36.93
2009-10-02,30,36.85
2009-10-09,37,38.72
2009-10-16,32,39.05
2009-10-23,31,39.65
2009-10-30,29,38.09
2009-11-06,32,40.25
2009-11-13,33,40.87
2009-11-20,30,40.46
2009-11-27,33,40.32
2009-12-04,32,41.15
2009-12-11,29,41.20
2009-12-18,32,40.42
2009-12-25,32,
2010-01-01,21,
2010-01-08,32,41.40
2010-01-15,43,42.02
2010-01-22,32,40.95
2010-01-29,32,39.77
2010-02-05,43,40.25
2010-02-12,36,41.68
2010-02-19,34,42.48
2010-02-26,32,42.11
2010-03-05,34,44.49
2010-03-12,29,44.73
2010-03-19,28,44.98
2010-03-26,30,45.65
2010-04-02,29,
2010-04-09,31,49.86
2010-04-16,31,50.50
2010-04-23,33,51.72
2010-04-30,35,50.09
2010-05-07,33,45.10
2010-05-14,31,46.07
2010-05-21,31,44.20
2010-05-28,33,44.50
2010-06-04,31,43.10
2010-06-11,31,45.73
2010-06-18,32,46.47
2010-06-25,31,44.33
2010-07-02,34,41.99
2010-07-09,37,44.63
2010-07-16,36,43.77
2010-07-23,40,46.46
2010-07-30,32,45.38
2010-08-06,37,46.87
2010-08-13,50,46.35
2010-08-20,100,45.83
2010-08-27,90,46.15
2010-09-03,53,47.72
2010-09-10,47,46.66
2010-09-17,47,48.39
2010-09-24,48,49.01
2010-10-01,47,48.79
2010-10-08,53,49.70
2010-10-15,40,49.80
2010-10-22,50,49.80
2010-10-29,48,50.16
2010-11-05,51,53.23
2010-11-12,39,52.46
2010-11-19,32,51.58
2010-11-26,40,52.96
2010-12-03,37,55.03
2010-12-10,64,55.77
2010-12-17,37,55.10
2010-12-24,52,
2010-12-31,33,55.59
2011-01-07,38,55.92
2011-01-14,35,55.95
2011-01-21,39,55.63
2011-01-28,41,56.12
2011-02-04,43,58.91
2011-02-11,38,56.45
2011-02-18,37,57.35
2011-02-25,35,56.93
2011-03-04,33,57.10
2011-03-11,30,58.05
2011-03-18,34,59.76
2011-03-25,35,61.08
2011-04-01,34,62.75
2011-04-08,36,63.38
2011-04-15,32,62.14
2011-04-22,27,
2011-04-29,31,63.52
2011-05-06,34,62.74
2011-05-13,37,62.91
2011-05-20,36,63.33
2011-05-27,33,63.99
2011-06-03,36,61.23
2011-06-10,36,61.48
2011-06-17,35,61.78
2011-06-24,33,62.28
2011-07-01,34,64.73
