Date,INTU,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,48.99
2004-02-13,0,48.41
2004-02-20,0,45.39
2004-02-27,0,44.42
2004-03-05,0,44.29
2004-03-12,0,42.69
2004-03-19,0,42.45
2004-03-26,0,44.23
2004-04-02,0,46.25
2004-04-09,0,
2004-04-16,0,42.09
2004-04-23,0,44.32
2004-04-30,0,42.51
2004-05-07,0,40.51
2004-05-14,0,42.49
2004-05-21,0,37.95
2004-05-28,0,39.26
2004-06-04,0,40.32
2004-06-11,0,
2004-06-18,0,40.04
2004-06-25,0,38.88
2004-07-02,0,37.81
2004-07-09,0,37.12
2004-07-16,0,35.86
2004-07-23,0,36.42
2004-07-30,0,37.44
2004-08-06,0,37.02
2004-08-13,0,38.25
2004-08-20,0,41.09
2004-08-27,0,42.65
2004-09-03,0,42.96
2004-09-10,0,44.64
2004-09-17,0,44.55
2004-09-24,0,43.87
2004-10-01,0,46.72
2004-10-08,0,43.92
2004-10-15,0,44.93
2004-10-22,0,44.43
2004-10-29,0,45.36
2004-11-05,0,43.14
2004-11-12,0,43.48
2004-11-19,0,43.45
2004-11-26,0,43.01
2004-12-03,0,42.88
2004-12-10,0,43.40
2004-12-17,0,43.64
2004-12-24,0,
2004-12-31,0,44.01
2005-01-07,0,41.27
2005-01-14,0,39.73
2005-01-21,0,38.34
2005-01-28,0,38.56
2005-02-04,0,38.34
2005-02-11,0,40.14
2005-02-18,0,40.95
2005-02-25,0,41.81
2005-03-04,0,43.93
2005-03-11,0,43.95
2005-03-18,0,43.43
2005-03-25,0,
2005-04-01,0,43.10
2005-04-08,0,43.05
2005-04-15,0,42.34
2005-04-22,0,42.52
2005-04-29,0,40.30
2005-05-06,0,41.54
2005-05-13,0,43.26
2005-05-20,0,43.41
2005-05-27,0,43.27
2005-06-03,0,42.88
2005-06-10,0,44.35
2005-06-17,0,45.36
2005-06-24,0,44.38
2005-07-01,0,44.99
2005-07-08,0,48.06
2005-07-15,0,48.99
2005-07-22,0,48.36
2005-07-29,0,48.00
2005-08-05,0,47.91
2005-08-12,0,46.81
2005-08-19,0,46.14
2005-08-26,0,44.05
2005-09-02,0,45.89
2005-09-09,0,45.91
2005-09-16,0,45.46
2005-09-23,0,45.31
2005-09-30,0,44.81
2005-10-07,0,43.93
2005-10-14,0,43.00
2005-10-21,0,45.35
2005-10-28,0,45.74
2005-11-04,0,47.61
2005-11-11,0,48.86
2005-11-18,0,53.42
2005-11-25,0,53.82
2005-12-02,0,53.40
2005-12-09,0,53.44
2005-12-16,16,53.19
2005-12-23,0,53.98
2005-12-30,0,53.30
2006-01-06,0,53.95
2006-01-13,0,51.81
2006-01-20,0,51.56
2006-01-27,0,52.23
2006-02-03,0,51.10
2006-02-10,0,52.46
2006-02-17,0,49.25
2006-02-24,0,48.59
2006-03-03,0,48.59
2006-03-10,0,52.76
2006-03-17,0,53.12
2006-03-24,0,52.35
2006-03-31,0,53.19
2006-04-07,0,53.88
2006-04-14,0,
2006-04-21,0,55.03
2006-04-28,0,54.17
2006-05-05,0,56.04
2006-05-12,0,53.67
2006-05-19,0,51.66
2006-05-26,0,53.88
2006-06-02,0,55.63
2006-06-09,0,51.94
2006-06-16,0,54.55
2006-06-23,0,56.93
2006-06-30,0,60.54
2006-07-07,0,29.23
2006-07-14,0,28.42
2006-07-21,0,29.32
2006-07-28,0,31.15
2006-08-04,0,30.19
2006-08-11,0,30.31
2006-08-18,0,31.37
2006-08-25,11,30.82
2006-09-01,0,30.80
2006-09-08,0,31.16
2006-09-15,0,33.03
2006-09-22,0,32.32
2006-09-29,0,32.09
2006-10-06,0,34.33
2006-10-13,0,35.33
2006-10-20,10,35.27
2006-10-27,0,34.43
2006-11-03,0,34.13
2006-11-10,0,34.28
2006-11-17,0,32.46
2006-11-24,0,31.79
2006-12-01,9,30.82
2006-12-08,10,30.85
2006-12-15,11,31.51
2006-12-22,0,30.30
2006-12-29,0,30.51
2007-01-05,0,29.83
2007-01-12,0,30.29
2007-01-19,0,31.36
2007-01-26,8,31.12
2007-02-02,9,31.18
2007-02-09,9,31.44
2007-02-16,9,30.96
2007-02-23,11,31.28
2007-03-02,12,29.12
2007-03-09,9,28.22
2007-03-16,9,28.73
2007-03-23,10,27.39
2007-03-30,12,27.36
2007-04-06,13,
2007-04-13,14,28.63
2007-04-20,15,29.58
2007-04-27,12,29.11
2007-05-04,9,28.28
2007-05-11,9,27.89
2007-05-18,17,31.56
2007-05-25,10,30.28
2007-06-01,8,30.77
2007-06-08,8,29.50
2007-06-15,9,29.83
2007-06-22,11,29.84
2007-06-29,9,30.08
2007-07-06,8,29.56
2007-07-13,8,30.18
2007-07-20,9,30.04
2007-07-27,7,28.99
2007-08-03,7,28.10
2007-08-10,9,28.23
2007-08-17,12,28.65
2007-08-24,14,27.90
2007-08-31,9,27.31
2007-09-07,7,26.67
2007-09-14,9,28.46
2007-09-21,11,29.70
2007-09-28,9,30.30
2007-10-05,7,31.74
2007-10-12,9,32.70
2007-10-19,8,31.35
2007-10-26,8,31.33
2007-11-02,9,32.54
2007-11-09,10,29.73
2007-11-16,8,30.27
2007-11-23,8,29.17
2007-11-30,8,29.32
2007-12-07,9,29.71
2007-12-14,9,29.78
2007-12-21,8,31.69
2007-12-28,8,31.82
2008-01-04,9,30.13
2008-01-11,8,30.30
2008-01-18,9,30.59
2008-01-25,7,29.61
2008-02-01,12,31.16
2008-02-08,8,29.75
2008-02-15,8,30.38
2008-02-22,10,27.05
2008-02-29,7,26.56
2008-03-07,9,26.76
2008-03-14,7,25.52
2008-03-21,6,
2008-03-28,7,26.94
2008-04-04,8,28.26
2008-04-11,9,27.23
2008-04-18,5,29.00
2008-04-25,7,27.60
2008-05-02,8,28.18
2008-05-09,6,26.89
2008-05-16,6,27.78
2008-05-23,10,27.52
2008-05-30,10,28.96
2008-06-06,9,29.08
2008-06-13,6,29.40
2008-06-20,8,28.57
2008-06-27,9,28.11
2008-07-04,10,
2008-07-11,8,26.61
2008-07-18,8,28.01
2008-07-25,6,27.34
2008-08-01,7,27.44
2008-08-08,8,29.87
2008-08-15,9,30.57
2008-08-22,7,31.16
2008-08-29,13,30.07
2008-09-05,7,29.85
2008-09-12,9,30.44
2008-09-19,9,31.74
2008-09-26,10,31.94
2008-10-03,10,27.83
2008-10-10,12,25.05
2008-10-17,9,24.77
2008-10-24,9,22.81
2008-10-31,5,25.06
2008-11-07,8,24.00
2008-11-14,6,21.58
2008-11-21,8,22.60
2008-11-28,8,22.16
2008-12-05,6,23.35
2008-12-12,8,22.99
2008-12-19,5,23.25
2008-12-26,7,22.74
2009-01-02,8,24.40
2009-01-09,9,24.52
2009-01-16,8,24.01
2009-01-23,9,23.38
2009-01-30,10,22.65
2009-02-06,5,24.54
2009-02-13,6,22.97
2009-02-20,9,23.99
2009-02-27,4,22.79
2009-03-06,5,23.23
2009-03-13,10,25.34
2009-03-20,7,25.43
2009-03-27,8,26.83
2009-04-03,7,27.73
2009-04-10,8,
2009-04-17,7,25.58
2009-04-24,7,24.37
2009-05-01,6,22.99
2009-05-08,4,24.06
2009-05-15,4,23.98
2009-05-22,10,26.64
2009-05-29,7,27.22
2009-06-05,5,27.89
2009-06-12,6,28.64
2009-06-19,4,28.09
2009-06-26,4,28.35
2009-07-03,4,
2009-07-10,7,27.46
2009-07-17,5,27.95
2009-07-24,6,29.23
2009-07-31,8,29.70
2009-08-07,6,30.20
2009-08-14,9,30.39
2009-08-21,12,28.62
2009-08-28,8,28.13
2009-09-04,6,28.21
2009-09-11,7,27.84
2009-09-18,9,27.77
2009-09-25,8,27.65
2009-10-02,7,27.77
2009-10-09,5,28.66
2009-10-16,7,29.83
2009-10-23,5,29.87
2009-10-30,7,29.07
2009-11-06,5,29.69
2009-11-13,5,29.90
2009-11-20,6,29.66
2009-11-27,8,29.27
2009-12-04,8,29.75
2009-12-11,4,29.76
2009-12-18,4,30.47
2009-12-25,4,
2010-01-01,6,
2010-01-08,6,31.08
2010-01-15,9,31.46
2010-01-22,6,30.10
2010-01-29,5,29.61
2010-02-05,7,29.44
2010-02-12,6,29.39
2010-02-19,6,32.72
2010-02-26,5,32.36
2010-03-05,7,33.91
2010-03-12,7,34.61
2010-03-19,7,34.61
2010-03-26,8,34.24
2010-04-02,5,
2010-04-09,6,34.53
2010-04-16,7,35.47
2010-04-23,6,36.19
2010-04-30,8,36.19
2010-05-07,8,34.01
2010-05-14,8,35.53
2010-05-21,9,35.01
2010-05-28,7,35.74
2010-06-04,5,35.41
2010-06-11,6,36.32
2010-06-18,7,37.56
2010-06-25,7,36.35
2010-07-02,6,34.30
2010-07-09,4,36.28
2010-07-16,6,36.61
2010-07-23,7,38.65
2010-07-30,8,39.75
2010-08-06,9,40.67
2010-08-13,12,38.56
2010-08-20,11,44.60
2010-08-27,12,42.94
2010-09-03,7,44.01
2010-09-10,7,43.47
2010-09-17,7,44.88
2010-09-24,6,45.46
2010-10-01,9,44.91
2010-10-08,9,45.83
2010-10-15,6,46.63
2010-10-22,7,47.21
2010-10-29,8,47.98
2010-11-05,8,48.45
2010-11-12,5,48.04
2010-11-19,8,44.93
2010-11-26,6,45.55
2010-12-03,7,46.93
2010-12-10,7,48.39
2010-12-17,6,49.39
2010-12-24,9,
2010-12-31,6,49.30
2011-01-07,6,48.39
2011-01-14,9,46.98
2011-01-21,8,46.86
2011-01-28,8,46.77
2011-02-04,7,48.40
2011-02-11,6,50.62
2011-02-18,10,54.11
2011-02-25,8,52.40
2011-03-04,6,52.81
2011-03-11,9,49.46
2011-03-18,8,49.92
2011-03-25,6,51.37
2011-04-01,4,53.95
2011-04-08,8,53.14
2011-04-15,8,54.46
2011-04-22,9,
2011-04-29,8,55.56
2011-05-06,8,53.78
2011-05-13,8,55.35
2011-05-20,5,54.98
2011-05-27,6,53.37
2011-06-03,7,51.42
2011-06-10,5,50.36
2011-06-17,5,49.16
2011-06-24,7,50.50
2011-07-01,7,52.24
2011-07-08,7,51.69
2011-07-15,5,49.35
2011-07-22,5,47.96
2011-07-29,8,46.70
2011-08-05,8,43.60
2011-08-12,8,42.39
2011-08-19,9,43.65
2011-08-26,7,46.56
2011-09-02,9,47.35
2011-09-09,5,46.24
2011-09-16,9,49.31
2011-09-23,8,47.27
2011-09-30,8,47.44
2011-10-07,6,48.53
2011-10-14,8,53.01
2011-10-21,6,53.50
2011-10-28,7,54.61
2011-11-04,8,53.72
2011-11-11,6,54.02
2011-11-18,6,52.04
2011-11-25,7,49.27
2011-12-02,7,52.72
2011-12-09,7,53.27
2011-12-16,6,51.78
2011-12-23,6,53.10
2011-12-30,6,52.59
2012-01-06,5,53.12
2012-01-13,9,54.83
2012-01-20,7,57.09
2012-01-27,7,57.35
2012-02-03,8,58.47
2012-02-10,9,56.68
2012-02-17,9,57.38
2012-02-24,11,58.06
2012-03-02,6,57.27
2012-03-09,7,58.17
2012-03-16,8,60.14
2012-03-23,8,57.71
2012-03-30,7,60.16
2012-04-06,8,
2012-04-13,8,60.34
2012-04-20,8,57.25
2012-04-27,8,57.98
2012-05-04,5,56.90
2012-05-11,6,55.83
2012-05-18,9,54.51
2012-05-25,7,56.45
2012-06-01,5,54.80
2012-06-08,7,57.00
2012-06-15,8,58.32
2012-06-22,8,57.66
2012-06-29,10,59.35
2012-07-06,8,57.90
2012-07-13,9,57.22
2012-07-20,7,58.69
2012-07-27,7,58.88
2012-08-03,9,59.07
2012-08-10,12,59.03
2012-08-17,16,59.76
2012-08-24,14,58.43
2012-08-31,9,58.54
2012-09-07,13,59.46
2012-09-14,9,60.28
2012-09-21,9,58.38
2012-09-28,9,58.88
2012-10-05,7,61.12
2012-10-12,9,59.89
2012-10-19,9,59.82
2012-10-26,7,59.39
2012-11-02,8,61.19
2012-11-09,12,59.96
2012-11-16,8,59.28
2012-11-23,7,59.16
2012-11-30,8,59.91
2012-12-07,10,59.56
2012-12-14,10,60.18
2012-12-21,11,61.44
2012-12-28,9,59.33
2013-01-04,8,62.22
2013-01-11,11,62.62
2013-01-18,21,63.68
2013-01-25,13,63.71
2013-02-01,9,62.90
2013-02-08,12,61.51
2013-02-15,10,62.07
2013-02-22,12,62.78
2013-03-01,15,65.04
2013-03-08,18,67.75
2013-03-15,13,65.43
2013-03-22,14,65.54
2013-03-29,16,
2013-04-05,12,64.46
2013-04-12,13,64.70
2013-04-19,14,62.97
2013-04-26,19,59.35
2013-05-03,17,60.26
2013-05-10,17,60.20
2013-05-17,14,60.63
2013-05-24,19,57.90
2013-05-31,23,58.44
2013-06-07,18,59.46
2013-06-14,20,57.50
2013-06-21,25,57.86
2013-06-28,25,61.04
2013-07-05,26,62.55
2013-07-12,24,64.72
2013-07-19,25,64.08
2013-07-26,27,63.92
2013-08-02,30,63.89
2013-08-09,38,64.45
2013-08-16,42,64.24
2013-08-23,36,64.18
2013-08-30,34,63.53
2013-09-06,35,64.45
2013-09-13,33,65.95
2013-09-20,33,66.84
2013-09-27,36,66.51
2013-10-04,35,66.30
2013-10-11,39,66.93
2013-10-18,40,68.74
2013-10-25,37,70.44
2013-11-01,37,71.33
2013-11-08,41,72.48
2013-11-15,38,73.67
2013-11-22,42,72.03
2013-11-29,50,74.23
2013-12-06,52,74.91
2013-12-13,55,75.02
2013-12-20,67,75.28
2013-12-27,100,76.09
2014-01-03,72,75.80
2014-01-10,40,76.24
2014-01-17,43,76.99
2014-01-24,44,73.24
2014-01-31,41,73.25
2014-02-07,37,71.45
2014-02-14,39,71.69
2014-02-21,40,77.24
2014-02-28,40,78.15
2014-03-07,39,82.20
2014-03-14,29,79.91
2014-03-21,39,79.44
2014-03-28,43,77.77
2014-04-04,43,77.19
2014-04-11,44,72.52
2014-04-18,57,
2014-04-25,52,75.34
2014-05-02,41,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
