Date,IPG,Price
2004-01-09,66,
2004-01-16,51,
2004-01-23,60,
2004-01-30,67,
2004-02-06,68,16.85
2004-02-13,66,16.92
2004-02-20,42,16.53
2004-02-27,60,16.95
2004-03-05,38,16.57
2004-03-12,55,15.69
2004-03-19,47,15.11
2004-03-26,57,15.00
2004-04-02,66,15.93
2004-04-09,55,
2004-04-16,70,16.03
2004-04-23,62,16.37
2004-04-30,67,15.69
2004-05-07,45,15.35
2004-05-14,61,14.30
2004-05-21,57,14.20
2004-05-28,66,14.38
2004-06-04,68,13.97
2004-06-11,57,
2004-06-18,71,14.51
2004-06-25,43,14.00
2004-07-02,48,13.25
2004-07-09,62,13.05
2004-07-16,54,12.82
2004-07-23,73,12.77
2004-07-30,73,12.79
2004-08-06,35,11.68
2004-08-13,47,10.64
2004-08-20,49,10.88
2004-08-27,63,10.78
2004-09-03,70,10.58
2004-09-10,56,11.17
2004-09-17,87,10.94
2004-09-24,60,10.81
2004-10-01,75,11.06
2004-10-08,74,10.95
2004-10-15,88,11.33
2004-10-22,60,11.66
2004-10-29,64,12.26
2004-11-05,57,12.46
2004-11-12,54,12.06
2004-11-19,51,12.20
2004-11-26,77,12.43
2004-12-03,57,12.54
2004-12-10,43,12.84
2004-12-17,70,13.34
2004-12-24,65,
2004-12-31,52,13.40
2005-01-07,62,13.16
2005-01-14,72,12.85
2005-01-21,61,13.15
2005-01-28,62,13.05
2005-02-04,65,13.38
2005-02-11,59,13.68
2005-02-18,69,13.17
2005-02-25,73,13.20
2005-03-04,57,13.13
2005-03-11,66,12.51
2005-03-18,70,11.76
2005-03-25,73,
2005-04-01,79,12.18
2005-04-08,64,13.12
2005-04-15,69,13.00
2005-04-22,68,13.07
2005-04-29,66,12.86
2005-05-06,58,12.86
2005-05-13,58,12.41
2005-05-20,53,12.48
2005-05-27,63,12.38
2005-06-03,54,12.60
2005-06-10,49,12.62
2005-06-17,55,12.16
2005-06-24,62,13.06
2005-07-01,65,12.25
2005-07-08,63,12.27
2005-07-15,65,12.60
2005-07-22,56,12.60
2005-07-29,65,12.50
2005-08-05,77,12.14
2005-08-12,55,11.94
2005-08-19,59,12.25
2005-08-26,60,11.90
2005-09-02,57,11.71
2005-09-09,49,11.12
2005-09-16,64,11.27
2005-09-23,65,11.05
2005-09-30,77,11.64
2005-10-07,80,11.26
2005-10-14,60,11.10
2005-10-21,70,10.34
2005-10-28,69,10.35
2005-11-04,45,10.65
2005-11-11,51,9.96
2005-11-18,49,9.85
2005-11-25,54,9.77
2005-12-02,51,9.34
2005-12-09,62,9.45
2005-12-16,44,9.83
2005-12-23,65,9.72
2005-12-30,23,9.65
2006-01-06,52,10.22
2006-01-13,50,10.00
2006-01-20,55,9.84
2006-01-27,50,10.21
2006-02-03,60,9.86
2006-02-10,61,9.99
2006-02-17,46,10.02
2006-02-24,65,10.51
2006-03-03,60,10.26
2006-03-10,63,10.10
2006-03-17,70,10.11
2006-03-24,62,10.44
2006-03-31,61,9.56
2006-04-07,62,9.45
2006-04-14,55,
2006-04-21,53,9.46
