Date,Iron Mountain Incorporated,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,41.75
2004-02-13,0,43.57
2004-02-20,0,42.99
2004-02-27,0,44.85
2004-03-05,0,45.66
2004-03-12,0,44.75
2004-03-19,0,44.75
2004-03-26,0,43.98
2004-04-02,0,44.80
2004-04-09,0,
2004-04-16,0,43.73
2004-04-23,0,44.05
2004-04-30,0,45.51
2004-05-07,0,44.90
2004-05-14,0,42.81
2004-05-21,0,43.13
2004-05-28,0,44.27
2004-06-04,0,45.00
2004-06-11,0,
2004-06-18,0,47.32
2004-06-25,0,48.25
2004-07-02,0,31.65
2004-07-09,0,31.87
2004-07-16,0,31.88
2004-07-23,0,32.83
2004-07-30,0,32.27
2004-08-06,0,30.76
2004-08-13,0,31.09
2004-08-20,0,30.80
2004-08-27,0,31.00
2004-09-03,0,30.96
2004-09-10,0,31.80
2004-09-17,0,33.12
2004-09-24,0,33.49
2004-10-01,0,33.77
2004-10-08,0,33.99
2004-10-15,0,33.76
2004-10-22,0,33.71
2004-10-29,0,33.05
2004-11-05,0,33.17
2004-11-12,0,33.88
2004-11-19,0,30.84
2004-11-26,0,30.00
2004-12-03,0,30.62
2004-12-10,0,30.15
2004-12-17,0,29.87
2004-12-24,0,
2004-12-31,0,30.49
2005-01-07,0,29.66
2005-01-14,0,29.31
2005-01-21,0,28.80
2005-01-28,0,28.35
2005-02-04,0,28.64
2005-02-11,0,28.60
2005-02-18,0,27.29
2005-02-25,0,27.15
2005-03-04,0,31.15
2005-03-11,0,30.75
2005-03-18,0,30.42
2005-03-25,0,
2005-04-01,0,28.46
2005-04-08,0,28.61
2005-04-15,0,27.86
2005-04-22,0,27.75
2005-04-29,0,29.70
2005-05-06,0,29.14
2005-05-13,0,28.60
2005-05-20,0,29.26
2005-05-27,0,28.79
2005-06-03,0,28.61
2005-06-10,0,27.77
2005-06-17,0,28.13
2005-06-24,0,29.25
2005-07-01,0,30.87
2005-07-08,0,31.55
2005-07-15,0,30.91
2005-07-22,0,32.31
2005-07-29,0,34.29
2005-08-05,0,33.92
2005-08-12,0,33.70
2005-08-19,0,34.60
2005-08-26,0,34.95
2005-09-02,0,34.96
2005-09-09,0,35.05
2005-09-16,0,36.90
2005-09-23,0,37.30
2005-09-30,0,36.70
2005-10-07,0,35.38
2005-10-14,0,35.58
2005-10-21,0,37.23
2005-10-28,0,38.96
2005-11-04,0,42.40
2005-11-11,0,43.30
2005-11-18,0,44.30
2005-11-25,0,43.48
2005-12-02,0,42.45
2005-12-09,0,43.72
2005-12-16,0,44.00
2005-12-23,0,43.16
2005-12-30,0,42.22
2006-01-06,0,42.14
2006-01-13,0,41.70
2006-01-20,0,41.24
2006-01-27,0,41.66
2006-02-03,0,42.71
2006-02-10,0,42.02
2006-02-17,0,43.83
2006-02-24,0,44.50
2006-03-03,0,41.79
2006-03-10,0,41.90
2006-03-17,0,41.91
2006-03-24,0,41.15
2006-03-31,0,40.74
2006-04-07,0,40.20
2006-04-14,0,
2006-04-21,0,40.00
2006-04-28,0,39.10
2006-05-05,0,36.85
2006-05-12,0,38.69
2006-05-19,0,38.35
2006-05-26,0,37.43
2006-06-02,0,36.75
2006-06-09,0,35.83
2006-06-16,0,35.82
2006-06-23,0,36.97
2006-06-30,0,37.38
2006-07-07,0,36.19
2006-07-14,0,34.78
2006-07-21,0,34.41
2006-07-28,0,40.12
2006-08-04,0,39.37
2006-08-11,0,37.15
2006-08-18,0,39.16
2006-08-25,0,39.75
2006-09-01,0,41.00
2006-09-08,0,40.68
2006-09-15,0,41.55
2006-09-22,0,41.74
2006-09-29,0,42.94
2006-10-06,0,41.37
2006-10-13,0,41.10
2006-10-20,0,41.52
2006-10-27,0,42.51
2006-11-03,0,43.04
2006-11-10,0,43.21
2006-11-17,0,44.32
2006-11-24,0,43.27
2006-12-01,0,42.46
2006-12-08,0,42.58
2006-12-15,0,41.63
2006-12-22,0,41.79
2006-12-29,0,41.34
2007-01-05,0,27.22
2007-01-12,0,27.20
2007-01-19,0,26.13
2007-01-26,0,26.76
2007-02-02,0,28.50
2007-02-09,0,28.11
2007-02-16,0,28.91
2007-02-23,0,29.03
2007-03-02,0,26.98
2007-03-09,0,27.22
2007-03-16,0,26.32
2007-03-23,0,26.67
2007-03-30,0,26.13
2007-04-06,0,
2007-04-13,0,27.04
2007-04-20,0,27.79
2007-04-27,0,28.20
2007-05-04,0,28.44
2007-05-11,0,28.01
2007-05-18,0,27.52
2007-05-25,0,27.39
2007-06-01,0,27.24
2007-06-08,0,26.11
2007-06-15,0,26.06
2007-06-22,0,25.72
2007-06-29,0,26.13
2007-07-06,0,26.36
2007-07-13,0,26.51
2007-07-20,0,26.99
2007-07-27,0,26.22
2007-08-03,0,28.02
2007-08-10,0,29.29
2007-08-17,0,28.66
2007-08-24,0,27.89
2007-08-31,0,28.26
2007-09-07,0,28.67
2007-09-14,0,28.20
2007-09-21,0,28.65
2007-09-28,0,30.48
2007-10-05,0,32.93
2007-10-12,0,32.53
2007-10-19,0,31.56
2007-10-26,0,31.97
2007-11-02,0,35.43
2007-11-09,0,36.09
2007-11-16,0,35.86
2007-11-23,0,34.96
2007-11-30,0,36.48
2007-12-07,0,37.29
2007-12-14,0,36.70
2007-12-21,0,37.07
2007-12-28,0,37.02
2008-01-04,0,35.04
2008-01-11,0,33.77
2008-01-18,0,32.12
2008-01-25,0,33.28
2008-02-01,0,35.30
2008-02-08,0,34.92
2008-02-15,0,33.84
2008-02-22,0,32.98
2008-02-29,0,30.08
2008-03-07,0,28.10
2008-03-14,0,25.93
2008-03-21,0,
2008-03-28,0,25.15
2008-04-04,0,26.80
2008-04-11,0,26.23
2008-04-18,0,26.46
2008-04-25,0,27.81
2008-05-02,0,30.23
2008-05-09,0,29.92
2008-05-16,0,29.76
2008-05-23,0,29.11
2008-05-30,0,30.03
2008-06-06,0,30.23
2008-06-13,0,29.59
2008-06-20,0,30.21
2008-06-27,0,28.16
2008-07-04,0,
2008-07-11,0,25.25
2008-07-18,0,26.59
2008-07-25,0,26.53
2008-08-01,0,28.54
2008-08-08,0,28.93
2008-08-15,0,30.07
2008-08-22,0,28.82
2008-08-29,0,28.91
2008-09-05,0,26.96
2008-09-12,0,26.51
2008-09-19,0,27.46
2008-09-26,0,25.67
2008-10-03,0,25.78
2008-10-10,0,23.53
2008-10-17,0,22.44
2008-10-24,0,20.14
2008-10-31,0,24.28
2008-11-07,0,23.88
2008-11-14,0,20.75
2008-11-21,0,18.48
2008-11-28,0,21.73
2008-12-05,0,19.57
2008-12-12,0,19.27
2008-12-19,0,20.42
2008-12-26,0,19.97
2009-01-02,0,24.79
2009-01-09,0,22.95
2009-01-16,0,22.74
2009-01-23,0,21.68
2009-01-30,0,20.46
2009-02-06,0,21.41
2009-02-13,0,20.41
2009-02-20,0,19.89
2009-02-27,0,18.58
2009-03-06,0,17.80
2009-03-13,0,20.18
2009-03-20,0,21.16
2009-03-27,0,22.24
2009-04-03,0,24.95
2009-04-10,0,
2009-04-17,0,26.35
2009-04-24,0,25.95
2009-05-01,0,28.76
2009-05-08,0,28.81
2009-05-15,0,26.95
2009-05-22,0,27.00
2009-05-29,0,27.25
2009-06-05,0,28.42
2009-06-12,0,27.95
2009-06-19,0,28.79
2009-06-26,0,28.79
2009-07-03,0,
2009-07-10,0,27.87
2009-07-17,0,29.78
2009-07-24,0,30.63
2009-07-31,0,29.21
2009-08-07,0,29.50
2009-08-14,0,28.46
2009-08-21,0,29.55
2009-08-28,0,29.87
2009-09-04,0,28.59
2009-09-11,0,28.43
2009-09-18,0,28.27
2009-09-25,0,26.79
2009-10-02,0,25.38
2009-10-09,0,27.50
2009-10-16,0,26.74
2009-10-23,0,25.98
2009-10-30,0,24.43
2009-11-06,0,25.15
2009-11-13,0,25.04
2009-11-20,0,24.33
2009-11-27,0,24.52
2009-12-04,0,24.00
2009-12-11,0,23.81
2009-12-18,0,23.17
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,24.15
2010-01-15,0,24.38
2010-01-22,0,23.74
2010-01-29,0,22.86
2010-02-05,0,22.10
2010-02-12,0,21.71
2010-02-19,0,24.15
2010-02-26,0,25.88
2010-03-05,0,25.83
2010-03-12,0,25.91
2010-03-19,0,26.00
2010-03-26,0,27.03
2010-04-02,0,
2010-04-09,0,26.51
2010-04-16,0,27.22
2010-04-23,0,28.39
2010-04-30,0,25.15
2010-05-07,0,23.89
2010-05-14,0,24.48
2010-05-21,0,24.60
2010-05-28,0,24.52
2010-06-04,0,23.39
2010-06-11,0,24.05
2010-06-18,0,24.34
2010-06-25,0,23.43
2010-07-02,0,22.01
2010-07-09,0,23.52
2010-07-16,0,23.48
2010-07-23,0,25.10
2010-07-30,0,23.67
2010-08-06,0,23.23
2010-08-13,0,21.97
2010-08-20,0,21.58
2010-08-27,0,20.76
2010-09-03,0,21.00
2010-09-10,0,21.14
2010-09-17,0,20.41
2010-09-24,0,21.85
2010-10-01,0,22.32
2010-10-08,0,20.48
2010-10-15,0,21.53
2010-10-22,0,22.61
2010-10-29,0,21.79
2010-11-05,0,22.90
2010-11-12,0,22.93
2010-11-19,0,22.36
2010-11-26,0,22.60
2010-12-03,0,23.37
2010-12-10,0,23.41
2010-12-17,0,25.32
2010-12-24,0,
2010-12-31,0,25.01
2011-01-07,0,24.71
2011-01-14,0,24.80
2011-01-21,0,24.60
2011-01-28,0,24.72
2011-02-04,0,25.66
2011-02-11,0,26.68
2011-02-18,0,27.13
2011-02-25,0,26.06
2011-03-04,0,25.21
2011-03-11,0,28.40
2011-03-18,0,28.69
2011-03-25,0,30.99
2011-04-01,0,31.53
2011-04-08,0,33.37
2011-04-15,0,34.53
2011-04-22,0,
2011-04-29,0,31.85
2011-05-06,0,31.66
2011-05-13,0,32.43
2011-05-20,0,33.00
2011-05-27,0,33.98
2011-06-03,0,32.65
2011-06-10,0,31.91
2011-06-17,0,32.55
2011-06-24,0,32.83
2011-07-01,0,34.39
2011-07-08,0,35.39
2011-07-15,0,34.52
2011-07-22,0,34.68
2011-07-29,0,31.63
2011-08-05,0,30.52
2011-08-12,0,31.12
2011-08-19,0,30.09
2011-08-26,0,31.57
2011-09-02,0,31.52
2011-09-09,0,31.49
2011-09-16,0,33.68
2011-09-23,0,30.65
2011-09-30,0,31.62
2011-10-07,0,29.60
2011-10-14,0,31.95
2011-10-21,0,32.77
2011-10-28,0,31.22
2011-11-04,0,30.23
2011-11-11,0,30.22
2011-11-18,0,29.60
2011-11-25,0,28.57
2011-12-02,0,29.90
2011-12-09,0,29.92
2011-12-16,0,30.16
2011-12-23,0,30.73
2011-12-30,0,30.80
2012-01-06,0,31.62
2012-01-13,0,31.55
2012-01-20,100,31.92
2012-01-27,0,31.06
2012-02-03,0,30.85
2012-02-10,0,30.47
2012-02-17,0,30.93
2012-02-24,0,31.44
2012-03-02,0,30.41
2012-03-09,0,28.78
2012-03-16,0,29.19
2012-03-23,0,28.51
2012-03-30,0,28.80
2012-04-06,0,
2012-04-13,0,29.65
2012-04-20,0,30.16
2012-04-27,0,30.69
2012-05-04,0,31.26
2012-05-11,0,30.94
2012-05-18,0,28.53
2012-05-25,0,29.30
2012-06-01,0,27.53
2012-06-08,0,32.72
2012-06-15,0,33.18
2012-06-22,0,32.78
2012-06-29,0,32.96
2012-07-06,0,32.23
2012-07-13,0,31.77
2012-07-20,0,31.68
2012-07-27,0,32.76
2012-08-03,0,32.82
2012-08-10,0,33.69
2012-08-17,0,33.53
2012-08-24,0,32.55
2012-08-31,0,32.80
2012-09-07,0,32.99
2012-09-14,0,33.30
2012-09-21,0,33.89
2012-09-28,0,34.11
2012-10-05,0,34.94
2012-10-12,0,35.24
2012-10-19,0,34.08
2012-10-26,0,33.99
2012-11-02,0,34.76
2012-11-09,0,34.20
2012-11-16,0,32.69
2012-11-23,0,32.60
2012-11-30,0,31.60
2012-12-07,0,31.34
2012-12-14,0,30.94
2012-12-21,0,31.43
2012-12-28,0,30.68
2013-01-04,0,33.20
2013-01-11,0,32.84
2013-01-18,0,34.20
2013-01-25,0,34.29
2013-02-01,0,34.51
2013-02-08,0,34.25
2013-02-15,0,34.71
2013-02-22,0,34.53
2013-03-01,0,34.63
2013-03-08,0,34.88
2013-03-15,0,36.38
2013-03-22,0,35.55
2013-03-29,0,
2013-04-05,0,36.13
2013-04-12,0,37.20
2013-04-19,0,36.67
2013-04-26,0,37.45
2013-05-03,0,38.65
2013-05-10,0,39.54
2013-05-17,0,38.96
2013-05-24,0,36.72
2013-05-31,0,35.84
2013-06-07,0,28.95
2013-06-14,0,28.93
2013-06-21,0,26.84
2013-06-28,0,26.61
2013-07-05,0,26.85
2013-07-12,0,28.23
2013-07-19,0,28.76
2013-07-26,0,27.85
2013-08-02,0,28.25
2013-08-09,0,28.20
2013-08-16,0,26.80
2013-08-23,0,27.01
2013-08-30,0,25.80
2013-09-06,0,25.84
2013-09-13,0,26.59
2013-09-20,0,28.68
2013-09-27,0,27.72
2013-10-04,0,26.10
2013-10-11,0,25.30
2013-10-18,0,26.50
2013-10-25,0,27.12
2013-11-01,0,26.11
2013-11-08,0,26.92
2013-11-15,0,30.15
2013-11-22,0,28.40
2013-11-29,0,28.12
2013-12-06,0,28.65
2013-12-13,0,29.49
2013-12-20,0,29.81
2013-12-27,0,30.55
2014-01-03,0,29.43
2014-01-10,0,27.86
2014-01-17,0,27.51
2014-01-24,0,27.41
2014-01-31,0,26.41
2014-02-07,0,26.74
2014-02-14,0,28.01
2014-02-21,0,28.61
2014-02-28,0,27.20
2014-03-07,0,27.81
2014-03-14,0,27.42
2014-03-21,0,27.61
2014-03-28,0,27.09
2014-04-04,0,27.59
2014-04-11,0,26.28
2014-04-18,0,
2014-04-25,0,27.61
2014-05-02,0,
