Date,JBL,Price
2004-01-09,84,
2004-01-16,80,
2004-01-23,81,
2004-01-30,83,
2004-02-06,73,29.60
2004-02-13,70,28.60
2004-02-20,77,28.60
2004-02-27,76,27.98
2004-03-05,80,28.58
2004-03-12,65,27.49
2004-03-19,79,27.85
2004-03-26,77,28.80
2004-04-02,69,30.62
2004-04-09,74,
2004-04-16,74,28.51
2004-04-23,71,29.80
2004-04-30,64,26.39
2004-05-07,73,26.39
2004-05-14,62,25.58
2004-05-21,73,27.07
2004-05-28,75,28.31
2004-06-04,74,27.85
2004-06-11,71,
2004-06-18,70,24.58
2004-06-25,75,25.52
2004-07-02,73,24.35
2004-07-09,75,23.65
2004-07-16,69,22.00
2004-07-23,79,21.21
2004-07-30,74,21.75
2004-08-06,74,20.28
2004-08-13,70,19.56
2004-08-20,73,20.79
2004-08-27,76,21.15
2004-09-03,82,20.49
2004-09-10,74,21.78
2004-09-17,76,21.34
2004-09-24,70,22.68
2004-10-01,75,24.05
2004-10-08,70,23.36
2004-10-15,68,23.49
2004-10-22,70,23.60
2004-10-29,66,24.31
2004-11-05,77,25.43
2004-11-12,77,25.55
2004-11-19,70,25.00
2004-11-26,89,24.99
2004-12-03,87,25.85
2004-12-10,91,26.57
2004-12-17,86,25.71
2004-12-24,94,
2004-12-31,100,25.58
2005-01-07,88,23.00
2005-01-14,85,23.18
2005-01-21,81,22.30
2005-01-28,91,23.17
2005-02-04,84,23.71
2005-02-11,87,24.92
2005-02-18,77,24.74
2005-02-25,79,25.68
2005-03-04,71,26.06
2005-03-11,79,26.08
2005-03-18,72,27.58
2005-03-25,78,
2005-04-01,69,28.16
2005-04-08,76,28.97
2005-04-15,64,26.41
2005-04-22,72,27.20
2005-04-29,74,27.60
2005-05-06,74,27.75
2005-05-13,70,28.60
2005-05-20,69,29.44
2005-05-27,68,29.37
2005-06-03,74,29.30
2005-06-10,74,29.05
2005-06-17,72,28.96
2005-06-24,71,31.15
2005-07-01,75,30.67
2005-07-08,74,31.94
2005-07-15,77,32.08
2005-07-22,71,31.90
2005-07-29,74,31.19
2005-08-05,78,30.42
2005-08-12,78,29.61
2005-08-19,74,29.44
2005-08-26,77,29.34
2005-09-02,74,29.22
2005-09-09,71,29.49
2005-09-16,68,29.34
2005-09-23,66,29.70
2005-09-30,69,30.92
2005-10-07,69,30.33
2005-10-14,71,29.69
2005-10-21,63,30.21
2005-10-28,67,29.48
2005-11-04,69,30.58
2005-11-11,75,31.42
2005-11-18,72,32.16
2005-11-25,80,33.47
2005-12-02,82,34.33
2005-12-09,81,34.37
2005-12-16,85,35.13
2005-12-23,88,37.38
2005-12-30,97,37.09
2006-01-06,78,38.55
2006-01-13,79,37.91
2006-01-20,72,38.45
2006-01-27,70,41.19
2006-02-03,72,38.38
2006-02-10,68,38.78
2006-02-17,63,40.04
2006-02-24,67,38.24
2006-03-03,68,38.29
2006-03-10,68,37.06
2006-03-17,69,37.99
2006-03-24,66,42.72
2006-03-31,66,42.86
2006-04-07,65,42.75
2006-04-14,65,
2006-04-21,64,39.10
2006-04-28,65,38.99
2006-05-05,67,40.15
2006-05-12,67,36.27
2006-05-19,64,34.52
2006-05-26,67,35.42
2006-06-02,64,36.05
2006-06-09,60,34.04
2006-06-16,59,26.26
2006-06-23,61,25.00
2006-06-30,62,25.60
2006-07-07,61,24.68
2006-07-14,62,23.80
2006-07-21,60,22.07
2006-07-28,65,22.90
2006-08-04,64,23.66
2006-08-11,65,23.69
2006-08-18,66,27.35
2006-08-25,68,26.89
2006-09-01,66,27.30
2006-09-08,68,26.46
2006-09-15,65,27.01
2006-09-22,68,27.72
2006-09-29,70,28.57
2006-10-06,74,30.80
2006-10-13,66,30.53
2006-10-20,66,29.60
2006-10-27,62,28.71
2006-11-03,67,28.69
2006-11-10,69,29.80
2006-11-17,68,28.75
2006-11-24,78,29.16
2006-12-01,75,28.68
2006-12-08,79,28.43
2006-12-15,84,27.30
2006-12-22,84,24.15
2006-12-29,94,24.55
2007-01-05,81,25.03
2007-01-12,76,24.92
2007-01-19,74,24.21
2007-01-26,72,24.61
2007-02-02,69,24.47
2007-02-09,65,25.87
2007-02-16,63,26.49
2007-02-23,67,27.64
2007-03-02,62,26.35
2007-03-09,67,26.29
2007-03-16,64,26.09
2007-03-23,63,22.26
2007-03-30,60,21.41
2007-04-06,62,
2007-04-13,59,21.85
2007-04-20,55,22.81
2007-04-27,55,23.60
2007-05-04,59,23.87
2007-05-11,65,23.40
2007-05-18,60,22.57
2007-05-25,61,23.12
2007-06-01,60,22.61
2007-06-08,59,20.53
2007-06-15,63,20.58
2007-06-22,61,23.13
2007-06-29,61,22.07
2007-07-06,62,22.31
2007-07-13,63,24.81
2007-07-20,61,24.47
2007-07-27,61,22.69
2007-08-03,58,21.89
2007-08-10,62,24.08
2007-08-17,57,22.42
2007-08-24,60,21.67
2007-08-31,60,22.20
2007-09-07,62,22.32
2007-09-14,60,23.39
2007-09-21,60,24.74
2007-09-28,60,22.84
2007-10-05,63,22.58
2007-10-12,61,21.89
2007-10-19,59,21.37
2007-10-26,59,20.65
2007-11-02,66,20.73
2007-11-09,60,19.15
2007-11-16,60,17.81
2007-11-23,75,17.35
2007-11-30,77,16.95
2007-12-07,82,17.85
2007-12-14,72,16.99
2007-12-21,77,14.43
2007-12-28,87,15.18
2008-01-04,77,13.56
2008-01-11,73,14.45
2008-01-18,65,13.94
2008-01-25,66,13.14
2008-02-01,66,13.91
2008-02-08,61,13.56
2008-02-15,58,14.40
2008-02-22,63,14.30
2008-02-29,58,12.92
2008-03-07,59,12.12
2008-03-14,57,12.44
2008-03-21,65,
2008-03-28,63,9.21
2008-04-04,58,9.98
2008-04-11,58,9.80
2008-04-18,56,10.68
2008-04-25,58,10.87
2008-05-02,59,11.14
2008-05-09,57,10.91
2008-05-16,56,11.65
2008-05-23,54,11.34
2008-05-30,56,12.72
2008-06-06,54,14.07
2008-06-13,54,14.50
2008-06-20,55,14.95
2008-06-27,52,16.22
2008-07-04,54,
2008-07-11,52,14.96
2008-07-18,58,15.99
2008-07-25,61,15.72
2008-08-01,57,16.64
2008-08-08,58,18.28
2008-08-15,56,18.50
2008-08-22,55,17.31
2008-08-29,58,16.86
2008-09-05,60,13.31
2008-09-12,55,12.73
2008-09-19,55,11.24
2008-09-26,55,10.99
2008-10-03,55,8.62
2008-10-10,57,6.35
2008-10-17,52,7.39
2008-10-24,53,7.74
2008-10-31,54,8.41
2008-11-07,55,8.29
2008-11-14,55,6.33
2008-11-21,59,5.39
2008-11-28,60,6.58
2008-12-05,63,6.34
2008-12-12,69,6.60
2008-12-19,65,6.32
2008-12-26,73,6.32
2009-01-02,75,7.09
2009-01-09,59,6.98
2009-01-16,62,5.92
2009-01-23,59,6.10
2009-01-30,58,5.82
2009-02-06,60,6.50
2009-02-13,57,6.10
2009-02-20,57,5.19
2009-02-27,55,4.14
2009-03-06,56,3.26
2009-03-13,55,4.03
2009-03-20,57,3.97
2009-03-27,53,5.69
2009-04-03,50,6.30
2009-04-10,61,
2009-04-17,56,7.28
2009-04-24,53,7.71
2009-05-01,50,8.03
2009-05-08,51,8.41
2009-05-15,52,7.49
2009-05-22,50,7.63
2009-05-29,49,7.83
2009-06-05,49,8.58
2009-06-12,49,7.55
2009-06-19,49,6.85
2009-06-26,48,7.16
2009-07-03,48,
2009-07-10,49,6.82
2009-07-17,47,8.16
2009-07-24,53,9.05
2009-07-31,52,9.16
2009-08-07,50,9.79
2009-08-14,52,9.87
2009-08-21,47,10.71
2009-08-28,51,11.16
2009-09-04,52,11.08
2009-09-11,49,11.77
2009-09-18,48,12.41
2009-09-25,47,11.87
2009-10-02,46,12.94
2009-10-09,46,14.35
2009-10-16,50,14.78
2009-10-23,48,14.96
2009-10-30,48,13.38
2009-11-06,48,14.29
2009-11-13,49,14.48
2009-11-20,51,13.63
2009-11-27,54,13.34
2009-12-04,56,12.94
2009-12-11,60,14.06
2009-12-18,54,14.80
2009-12-25,60,
2010-01-01,62,
2010-01-08,54,17.54
2010-01-15,51,17.04
2010-01-22,51,15.69
2010-01-29,50,14.48
2010-02-05,50,14.36
2010-02-12,49,14.74
2010-02-19,49,15.16
2010-02-26,46,15.17
2010-03-05,46,16.72
2010-03-12,46,17.62
2010-03-19,46,17.34
2010-03-26,44,16.37
2010-04-02,48,
2010-04-09,48,16.80
2010-04-16,46,16.45
2010-04-23,45,17.02
2010-04-30,43,15.32
2010-05-07,44,14.09
2010-05-14,45,14.12
2010-05-21,46,13.15
2010-05-28,43,13.69
2010-06-04,45,12.66
2010-06-11,44,13.09
2010-06-18,41,13.96
2010-06-25,41,14.40
2010-07-02,39,13.02
2010-07-09,41,13.97
2010-07-16,41,14.79
2010-07-23,43,15.31
2010-07-30,42,14.51
2010-08-06,45,13.29
2010-08-13,43,11.55
2010-08-20,43,11.17
2010-08-27,44,10.82
2010-09-03,43,11.73
2010-09-10,43,12.22
2010-09-17,43,12.79
2010-09-24,42,13.57
2010-10-01,42,14.30
2010-10-08,42,14.71
2010-10-15,41,14.75
2010-10-22,42,14.18
2010-10-29,42,15.34
2010-11-05,43,15.63
2010-11-12,42,14.39
2010-11-19,44,15.03
2010-11-26,47,14.59
2010-12-03,45,16.16
2010-12-10,47,16.71
2010-12-17,47,17.47
2010-12-24,50,
2010-12-31,52,20.09
2011-01-07,48,21.07
2011-01-14,45,21.34
2011-01-21,44,19.84
2011-01-28,43,19.81
2011-02-04,44,21.22
2011-02-11,42,21.66
2011-02-18,44,22.57
2011-02-25,42,20.93
2011-03-04,44,21.79
2011-03-11,46,20.48
2011-03-18,40,18.59
2011-03-25,41,21.28
2011-04-01,41,20.04
2011-04-08,39,19.79
2011-04-15,39,19.18
2011-04-22,39,
2011-04-29,39,19.84
2011-05-06,38,20.99
2011-05-13,39,21.58
2011-05-20,39,20.74
2011-05-27,40,21.22
2011-06-03,40,19.95
2011-06-10,38,19.08
2011-06-17,38,18.29
2011-06-24,38,19.14
2011-07-01,39,20.77
2011-07-08,38,21.35
2011-07-15,37,19.79
2011-07-22,38,20.26
2011-07-29,38,18.31
2011-08-05,39,15.54
2011-08-12,39,16.25
2011-08-19,40,14.22
2011-08-26,39,15.46
2011-09-02,40,16.37
2011-09-09,39,15.76
2011-09-16,39,17.66
2011-09-23,40,16.28
2011-09-30,37,17.79
2011-10-07,39,18.60
2011-10-14,38,20.07
2011-10-21,39,19.92
2011-10-28,38,21.32
2011-11-04,40,20.59
2011-11-11,39,20.91
2011-11-18,41,20.32
2011-11-25,43,18.34
2011-12-02,46,20.71
2011-12-09,46,20.65
2011-12-16,49,19.42
2011-12-23,47,19.91
2011-12-30,50,19.66
2012-01-06,46,20.87
2012-01-13,44,21.04
2012-01-20,43,23.00
2012-01-27,42,22.80
2012-02-03,40,24.12
2012-02-10,41,24.72
2012-02-17,40,26.03
2012-02-24,40,26.01
2012-03-02,40,25.98
2012-03-09,41,26.16
2012-03-16,38,26.82
2012-03-23,38,25.50
2012-03-30,36,25.12
2012-04-06,38,
2012-04-13,38,23.03
2012-04-20,38,22.58
2012-04-27,36,23.58
2012-05-04,36,21.66
2012-05-11,36,20.04
2012-05-18,36,18.91
2012-05-25,35,19.25
2012-06-01,36,18.19
2012-06-08,36,19.10
2012-06-15,35,19.13
2012-06-22,35,19.76
2012-06-29,36,20.33
2012-07-06,36,19.85
2012-07-13,36,19.02
2012-07-20,38,20.55
2012-07-27,37,21.22
2012-08-03,36,22.02
2012-08-10,35,22.67
2012-08-17,37,23.16
2012-08-24,37,23.27
2012-08-31,38,22.78
2012-09-07,36,21.90
2012-09-14,37,22.70
2012-09-21,39,21.55
2012-09-28,35,18.72
2012-10-05,37,18.05
2012-10-12,36,17.03
2012-10-19,36,17.19
2012-10-26,36,17.28
2012-11-02,37,17.40
2012-11-09,37,17.62
2012-11-16,39,17.63
2012-11-23,42,18.95
2012-11-30,43,19.00
2012-12-07,42,18.37
2012-12-14,44,17.51
2012-12-21,47,19.39
2012-12-28,50,18.61
2013-01-04,45,19.44
2013-01-11,43,19.92
2013-01-18,42,19.63
2013-01-25,41,19.94
2013-02-01,41,19.36
2013-02-08,39,19.36
2013-02-15,38,19.77
2013-02-22,39,19.07
2013-03-01,37,18.47
2013-03-08,39,18.89
2013-03-15,39,19.25
2013-03-22,38,18.56
2013-03-29,39,
2013-04-05,38,18.31
2013-04-12,39,18.01
2013-04-19,39,16.57
2013-04-26,38,17.31
2013-05-03,38,18.23
2013-05-10,36,19.28
2013-05-17,37,20.05
2013-05-24,39,19.25
2013-05-31,39,20.06
2013-06-07,39,19.44
2013-06-14,39,19.42
2013-06-21,39,20.23
2013-06-28,40,20.38
2013-07-05,40,20.93
2013-07-12,40,21.95
2013-07-19,39,22.25
2013-07-26,41,22.60
2013-08-02,42,23.39
2013-08-09,41,23.63
2013-08-16,42,23.36
2013-08-23,42,23.39
2013-08-30,42,22.82
2013-09-06,41,23.00
2013-09-13,40,23.67
2013-09-20,38,23.11
2013-09-27,40,21.42
2013-10-04,39,22.11
2013-10-11,40,21.99
2013-10-18,42,22.52
2013-10-25,41,22.52
2013-11-01,43,20.71
2013-11-08,42,20.51
2013-11-15,44,19.82
2013-11-22,44,19.62
2013-11-29,50,20.27
2013-12-06,49,20.42
2013-12-13,56,19.07
2013-12-20,62,16.12
2013-12-27,69,17.01
2014-01-03,56,17.19
2014-01-10,50,17.02
2014-01-17,50,18.01
2014-01-24,50,17.96
2014-01-31,52,17.97
2014-02-07,47,18.01
2014-02-14,46,18.49
2014-02-21,46,18.48
2014-02-28,46,18.51
2014-03-07,43,18.39
2014-03-14,44,17.73
2014-03-21,44,17.72
2014-03-28,43,17.76
2014-04-04,42,18.44
2014-04-11,44,17.23
2014-04-18,43,
2014-04-25,44,17.64
2014-05-02,46,
