Date,JOY,Price
2004-01-09,21,
2004-01-16,20,
2004-01-23,21,
2004-01-30,20,
2004-02-06,22,26.91
2004-02-13,20,27.91
2004-02-20,20,27.86
2004-02-27,22,27.59
2004-03-05,21,28.95
2004-03-12,22,26.86
2004-03-19,20,26.91
2004-03-26,20,26.52
2004-04-02,21,29.31
2004-04-09,21,
2004-04-16,22,28.64
2004-04-23,20,29.18
2004-04-30,21,26.25
2004-05-07,20,25.65
2004-05-14,20,25.10
2004-05-21,21,24.73
2004-05-28,21,27.50
2004-06-04,21,27.44
2004-06-11,22,
2004-06-18,21,28.50
2004-06-25,20,28.72
2004-07-02,21,29.88
2004-07-09,19,29.59
2004-07-16,21,29.25
2004-07-23,20,28.75
2004-07-30,21,29.69
2004-08-06,23,28.92
2004-08-13,20,29.79
2004-08-20,20,30.92
2004-08-27,20,29.99
2004-09-03,21,30.54
2004-09-10,21,31.26
2004-09-17,20,32.70
2004-09-24,21,32.60
2004-10-01,20,35.30
2004-10-08,21,35.01
2004-10-15,20,34.18
2004-10-22,20,35.41
2004-10-29,21,33.79
2004-11-05,22,36.75
2004-11-12,22,39.28
2004-11-19,22,38.53
2004-11-26,23,40.20
2004-12-03,23,39.26
2004-12-10,27,37.42
2004-12-17,25,40.65
2004-12-24,28,
2004-12-31,21,43.43
2005-01-07,22,40.50
2005-01-14,22,42.33
2005-01-21,22,40.90
2005-01-28,23,27.31
2005-02-04,22,29.87
2005-02-11,23,30.46
2005-02-18,21,29.37
2005-02-25,23,35.90
2005-03-04,21,39.05
2005-03-11,22,37.03
2005-03-18,21,36.39
2005-03-25,22,
2005-04-01,23,34.26
2005-04-08,21,33.42
2005-04-15,20,30.88
2005-04-22,20,35.04
2005-04-29,21,33.87
2005-05-06,22,36.29
2005-05-13,20,34.23
2005-05-20,22,35.72
2005-05-27,23,36.65
2005-06-03,21,35.54
2005-06-10,21,36.21
2005-06-17,21,35.32
2005-06-24,20,34.09
2005-07-01,21,34.46
2005-07-08,24,35.14
2005-07-15,22,35.83
2005-07-22,21,37.75
2005-07-29,22,41.07
2005-08-05,21,40.06
2005-08-12,20,43.64
2005-08-19,21,42.28
2005-08-26,21,41.49
2005-09-02,20,48.19
2005-09-09,21,49.16
2005-09-16,20,48.40
2005-09-23,21,46.52
2005-09-30,20,50.46
2005-10-07,20,44.93
2005-10-14,21,44.18
2005-10-21,21,42.99
2005-10-28,21,45.23
2005-11-04,21,45.74
2005-11-11,22,45.59
2005-11-18,21,48.26
2005-11-25,20,51.26
2005-12-02,22,54.95
2005-12-09,25,55.51
2005-12-16,26,36.92
2005-12-23,27,40.00
2005-12-30,23,40.00
2006-01-06,21,44.37
2006-01-13,21,46.42
2006-01-20,20,45.11
2006-01-27,21,49.78
2006-02-03,21,53.21
2006-02-10,21,51.73
2006-02-17,20,54.93
2006-02-24,21,55.87
2006-03-03,21,57.02
2006-03-10,20,53.91
2006-03-17,20,58.67
2006-03-24,20,60.62
2006-03-31,22,59.77
2006-04-07,21,64.18
2006-04-14,21,
2006-04-21,22,70.93
2006-04-28,21,65.69
2006-05-05,22,66.01
2006-05-12,20,64.10
2006-05-19,20,51.66
2006-05-26,21,52.70
2006-06-02,21,54.82
2006-06-09,21,49.93
2006-06-16,21,50.05
2006-06-23,21,51.18
2006-06-30,21,52.09
2006-07-07,20,48.93
