Date,Jabil Circuit,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,29.60
2004-02-13,0,28.60
2004-02-20,0,28.60
2004-02-27,0,27.98
2004-03-05,0,28.58
2004-03-12,0,27.49
2004-03-19,0,27.85
2004-03-26,0,28.80
2004-04-02,0,30.62
2004-04-09,0,
2004-04-16,0,28.51
2004-04-23,0,29.80
2004-04-30,0,26.39
2004-05-07,0,26.39
2004-05-14,0,25.58
2004-05-21,0,27.07
2004-05-28,0,28.31
2004-06-04,0,27.85
2004-06-11,0,
2004-06-18,0,24.58
2004-06-25,0,25.52
2004-07-02,0,24.35
2004-07-09,0,23.65
2004-07-16,0,22.00
2004-07-23,0,21.21
2004-07-30,0,21.75
2004-08-06,0,20.28
2004-08-13,0,19.56
2004-08-20,0,20.79
2004-08-27,0,21.15
2004-09-03,0,20.49
2004-09-10,0,21.78
2004-09-17,0,21.34
2004-09-24,0,22.68
2004-10-01,0,24.05
2004-10-08,0,23.36
2004-10-15,0,23.49
2004-10-22,0,23.60
2004-10-29,0,24.31
2004-11-05,0,25.43
2004-11-12,0,25.55
2004-11-19,0,25.00
2004-11-26,0,24.99
2004-12-03,0,25.85
2004-12-10,0,26.57
2004-12-17,0,25.71
2004-12-24,0,
2004-12-31,0,25.58
2005-01-07,0,23.00
2005-01-14,0,23.18
2005-01-21,0,22.30
2005-01-28,0,23.17
2005-02-04,0,23.71
2005-02-11,0,24.92
2005-02-18,0,24.74
2005-02-25,0,25.68
2005-03-04,0,26.06
2005-03-11,0,26.08
2005-03-18,100,27.58
2005-03-25,92,
2005-04-01,92,28.16
2005-04-08,92,28.97
2005-04-15,92,26.41
2005-04-22,92,27.20
2005-04-29,0,27.60
2005-05-06,0,27.75
2005-05-13,0,28.60
2005-05-20,0,29.44
2005-05-27,0,29.37
2005-06-03,0,29.30
2005-06-10,0,29.05
2005-06-17,88,28.96
2005-06-24,83,31.15
2005-07-01,81,30.67
2005-07-08,81,31.94
2005-07-15,81,32.08
2005-07-22,81,31.90
2005-07-29,0,31.19
2005-08-05,0,30.42
2005-08-12,0,29.61
2005-08-19,0,29.44
2005-08-26,0,29.34
2005-09-02,0,29.22
2005-09-09,74,29.49
2005-09-16,0,29.34
2005-09-23,0,29.70
2005-09-30,0,30.92
2005-10-07,0,30.33
2005-10-14,0,29.69
2005-10-21,0,30.21
2005-10-28,0,29.48
2005-11-04,0,30.58
2005-11-11,0,31.42
2005-11-18,0,32.16
2005-11-25,72,33.47
2005-12-02,0,34.33
2005-12-09,0,34.37
2005-12-16,0,35.13
2005-12-23,0,37.38
2005-12-30,0,37.09
2006-01-06,72,38.55
2006-01-13,69,37.91
2006-01-20,69,38.45
2006-01-27,60,41.19
2006-02-03,60,38.38
2006-02-10,60,38.78
2006-02-17,60,40.04
2006-02-24,53,38.24
2006-03-03,53,38.29
2006-03-10,53,37.06
2006-03-17,58,37.99
2006-03-24,63,42.72
2006-03-31,89,42.86
2006-04-07,56,42.75
2006-04-14,56,
2006-04-21,62,39.10
2006-04-28,68,38.99
2006-05-05,76,40.15
2006-05-12,58,36.27
2006-05-19,63,34.52
2006-05-26,68,35.42
2006-06-02,69,36.05
2006-06-09,58,34.04
2006-06-16,80,26.26
2006-06-23,89,25.00
2006-06-30,64,25.60
2006-07-07,64,24.68
2006-07-14,64,23.80
2006-07-21,64,22.07
2006-07-28,66,22.90
2006-08-04,67,23.66
2006-08-11,0,23.69
2006-08-18,0,27.35
2006-08-25,0,26.89
2006-09-01,0,27.30
2006-09-08,0,26.46
2006-09-15,0,27.01
2006-09-22,45,27.72
2006-09-29,86,28.57
2006-10-06,58,30.80
2006-10-13,47,30.53
2006-10-20,47,29.60
2006-10-27,43,28.71
2006-11-03,43,28.69
2006-11-10,50,29.80
2006-11-17,57,28.75
2006-11-24,54,29.16
2006-12-01,56,28.68
2006-12-08,52,28.43
2006-12-15,52,27.30
2006-12-22,53,24.15
2006-12-29,48,24.55
2007-01-05,48,25.03
2007-01-12,48,24.92
2007-01-19,48,24.21
2007-01-26,49,24.61
2007-02-02,37,24.47
2007-02-09,47,25.87
2007-02-16,37,26.49
2007-02-23,37,27.64
2007-03-02,42,26.35
2007-03-09,53,26.29
2007-03-16,43,26.09
2007-03-23,59,22.26
2007-03-30,70,21.41
2007-04-06,43,
2007-04-13,43,21.85
2007-04-20,48,22.81
2007-04-27,38,23.60
2007-05-04,62,23.87
2007-05-11,41,23.40
2007-05-18,44,22.57
2007-05-25,48,23.12
2007-06-01,38,22.61
2007-06-08,47,20.53
2007-06-15,56,20.58
2007-06-22,38,23.13
2007-06-29,38,22.07
2007-07-06,32,22.31
2007-07-13,41,24.81
2007-07-20,68,24.47
2007-07-27,44,22.69
2007-08-03,51,21.89
2007-08-10,35,24.08
2007-08-17,47,22.42
2007-08-24,43,21.67
2007-08-31,43,22.20
2007-09-07,43,22.32
2007-09-14,43,23.39
2007-09-21,48,24.74
2007-09-28,61,22.84
2007-10-05,36,22.58
2007-10-12,31,21.89
2007-10-19,39,21.37
2007-10-26,47,20.65
2007-11-02,34,20.73
2007-11-09,34,19.15
2007-11-16,33,17.81
2007-11-23,38,17.35
2007-11-30,51,16.95
2007-12-07,34,17.85
2007-12-14,30,16.99
2007-12-21,35,14.43
2007-12-28,41,15.18
2008-01-04,47,13.56
2008-01-11,53,14.45
2008-01-18,49,13.94
2008-01-25,26,13.14
2008-02-01,43,13.91
2008-02-08,45,13.56
2008-02-15,47,14.40
2008-02-22,49,14.30
2008-02-29,42,12.92
2008-03-07,39,12.12
2008-03-14,34,12.44
2008-03-21,34,
2008-03-28,54,9.21
2008-04-04,46,9.98
2008-04-11,48,9.80
2008-04-18,36,10.68
2008-04-25,37,10.87
2008-05-02,33,11.14
2008-05-09,46,10.91
2008-05-16,40,11.65
2008-05-23,44,11.34
2008-05-30,36,12.72
2008-06-06,38,14.07
2008-06-13,39,14.50
2008-06-20,41,14.95
2008-06-27,62,16.22
2008-07-04,28,
2008-07-11,32,14.96
2008-07-18,35,15.99
2008-07-25,35,15.72
2008-08-01,39,16.64
2008-08-08,25,18.28
2008-08-15,31,18.50
2008-08-22,34,17.31
2008-08-29,29,16.86
2008-09-05,27,13.31
2008-09-12,35,12.73
2008-09-19,45,11.24
2008-09-26,49,10.99
2008-10-03,24,8.62
2008-10-10,22,6.35
2008-10-17,26,7.39
2008-10-24,35,7.74
2008-10-31,40,8.41
2008-11-07,42,8.29
2008-11-14,28,6.33
2008-11-21,29,5.39
2008-11-28,29,6.58
2008-12-05,49,6.34
2008-12-12,45,6.60
2008-12-19,40,6.32
2008-12-26,39,6.32
2009-01-02,39,7.09
2009-01-09,39,6.98
2009-01-16,34,5.92
2009-01-23,23,6.10
2009-01-30,23,5.82
2009-02-06,41,6.50
2009-02-13,38,6.10
2009-02-20,32,5.19
2009-02-27,44,4.14
2009-03-06,38,3.26
2009-03-13,39,4.03
2009-03-20,30,3.97
2009-03-27,37,5.69
2009-04-03,37,6.30
2009-04-10,36,
2009-04-17,28,7.28
2009-04-24,42,7.71
2009-05-01,28,8.03
2009-05-08,37,8.41
2009-05-15,37,7.49
2009-05-22,28,7.63
2009-05-29,26,7.83
2009-06-05,26,8.58
2009-06-12,31,7.55
2009-06-19,31,6.85
2009-06-26,27,7.16
2009-07-03,27,
2009-07-10,25,6.82
2009-07-17,29,8.16
2009-07-24,44,9.05
2009-07-31,36,9.16
2009-08-07,27,9.79
2009-08-14,32,9.87
2009-08-21,34,10.71
2009-08-28,34,11.16
2009-09-04,33,11.08
2009-09-11,37,11.77
2009-09-18,17,12.41
2009-09-25,26,11.87
2009-10-02,39,12.94
2009-10-09,32,14.35
2009-10-16,28,14.78
2009-10-23,38,14.96
2009-10-30,32,13.38
2009-11-06,20,14.29
2009-11-13,28,14.48
2009-11-20,30,13.63
2009-11-27,31,13.34
2009-12-04,17,12.94
2009-12-11,29,14.06
2009-12-18,26,14.80
2009-12-25,23,
2010-01-01,30,
2010-01-08,32,17.54
2010-01-15,32,17.04
2010-01-22,34,15.69
2010-01-29,31,14.48
2010-02-05,25,14.36
2010-02-12,27,14.74
2010-02-19,32,15.16
2010-02-26,32,15.17
2010-03-05,39,16.72
2010-03-12,33,17.62
2010-03-19,21,17.34
2010-03-26,35,16.37
2010-04-02,29,
2010-04-09,30,16.80
2010-04-16,39,16.45
2010-04-23,33,17.02
2010-04-30,32,15.32
2010-05-07,30,14.09
2010-05-14,41,14.12
2010-05-21,32,13.15
2010-05-28,24,13.69
2010-06-04,25,12.66
2010-06-11,34,13.09
2010-06-18,31,13.96
2010-06-25,47,14.40
2010-07-02,36,13.02
2010-07-09,31,13.97
2010-07-16,39,14.79
2010-07-23,36,15.31
2010-07-30,34,14.51
2010-08-06,36,13.29
2010-08-13,29,11.55
2010-08-20,48,11.17
2010-08-27,29,10.82
2010-09-03,34,11.73
2010-09-10,29,12.22
2010-09-17,27,12.79
2010-09-24,28,13.57
2010-10-01,29,14.30
2010-10-08,18,14.71
2010-10-15,27,14.75
2010-10-22,22,14.18
2010-10-29,29,15.34
2010-11-05,32,15.63
2010-11-12,21,14.39
2010-11-19,31,15.03
2010-11-26,20,14.59
2010-12-03,22,16.16
2010-12-10,33,16.71
2010-12-17,31,17.47
2010-12-24,34,
2010-12-31,26,20.09
2011-01-07,44,21.07
2011-01-14,30,21.34
2011-01-21,27,19.84
2011-01-28,41,19.81
2011-02-04,27,21.22
2011-02-11,32,21.66
2011-02-18,27,22.57
2011-02-25,31,20.93
2011-03-04,30,21.79
2011-03-11,24,20.48
2011-03-18,24,18.59
2011-03-25,40,21.28
2011-04-01,22,20.04
2011-04-08,26,19.79
2011-04-15,30,19.18
2011-04-22,36,
2011-04-29,25,19.84
2011-05-06,31,20.99
2011-05-13,36,21.58
2011-05-20,28,20.74
2011-05-27,35,21.22
2011-06-03,30,19.95
2011-06-10,41,19.08
2011-06-17,37,18.29
2011-06-24,39,19.14
2011-07-01,20,20.77
2011-07-08,21,21.35
2011-07-15,36,19.79
2011-07-22,23,20.26
2011-07-29,19,18.31
2011-08-05,23,15.54
2011-08-12,20,16.25
2011-08-19,23,14.22
2011-08-26,32,15.46
2011-09-02,18,16.37
2011-09-09,23,15.76
2011-09-16,17,17.66
2011-09-23,25,16.28
2011-09-30,32,17.79
2011-10-07,24,18.60
2011-10-14,26,20.07
2011-10-21,29,19.92
2011-10-28,26,21.32
2011-11-04,30,20.59
2011-11-11,29,20.91
2011-11-18,28,20.32
2011-11-25,21,18.34
2011-12-02,31,20.71
2011-12-09,32,20.65
2011-12-16,20,19.42
2011-12-23,26,19.91
2011-12-30,21,19.66
2012-01-06,28,20.87
2012-01-13,27,21.04
2012-01-20,27,23.00
2012-01-27,31,22.80
2012-02-03,38,24.12
2012-02-10,19,24.72
2012-02-17,33,26.03
2012-02-24,22,26.01
2012-03-02,31,25.98
2012-03-09,34,26.16
2012-03-16,31,26.82
2012-03-23,26,25.50
2012-03-30,22,25.12
2012-04-06,23,
2012-04-13,27,23.03
2012-04-20,34,22.58
2012-04-27,29,23.58
2012-05-04,24,21.66
2012-05-11,26,20.04
2012-05-18,33,18.91
2012-05-25,27,19.25
2012-06-01,30,18.19
2012-06-08,31,19.10
2012-06-15,30,19.13
2012-06-22,28,19.76
2012-06-29,25,20.33
2012-07-06,30,19.85
2012-07-13,29,19.02
2012-07-20,31,20.55
2012-07-27,24,21.22
2012-08-03,19,22.02
2012-08-10,24,22.67
2012-08-17,24,23.16
2012-08-24,26,23.27
2012-08-31,24,22.78
2012-09-07,21,21.90
2012-09-14,30,22.70
2012-09-21,24,21.55
2012-09-28,29,18.72
2012-10-05,27,18.05
2012-10-12,26,17.03
2012-10-19,29,17.19
2012-10-26,19,17.28
2012-11-02,16,17.40
2012-11-09,21,17.62
2012-11-16,26,17.63
2012-11-23,21,18.95
2012-11-30,18,19.00
2012-12-07,20,18.37
2012-12-14,20,17.51
2012-12-21,17,19.39
2012-12-28,16,18.61
2013-01-04,16,19.44
2013-01-11,22,19.92
2013-01-18,29,19.63
2013-01-25,18,19.94
2013-02-01,17,19.36
2013-02-08,25,19.36
2013-02-15,21,19.77
2013-02-22,19,19.07
2013-03-01,20,18.47
2013-03-08,21,18.89
2013-03-15,20,19.25
2013-03-22,29,18.56
2013-03-29,23,
2013-04-05,22,18.31
2013-04-12,25,18.01
2013-04-19,20,16.57
2013-04-26,24,17.31
2013-05-03,17,18.23
2013-05-10,14,19.28
2013-05-17,20,20.05
2013-05-24,17,19.25
2013-05-31,18,20.06
2013-06-07,19,19.44
2013-06-14,22,19.42
2013-06-21,20,20.23
2013-06-28,15,20.38
2013-07-05,29,20.93
2013-07-12,30,21.95
2013-07-19,21,22.25
2013-07-26,24,22.60
2013-08-02,22,23.39
2013-08-09,17,23.63
2013-08-16,22,23.36
2013-08-23,17,23.39
2013-08-30,19,22.82
2013-09-06,26,23.00
2013-09-13,20,23.67
2013-09-20,29,23.11
2013-09-27,37,21.42
2013-10-04,14,22.11
2013-10-11,26,21.99
2013-10-18,25,22.52
2013-10-25,25,22.52
2013-11-01,16,20.71
2013-11-08,23,20.51
2013-11-15,24,19.82
2013-11-22,30,19.62
2013-11-29,12,20.27
2013-12-06,14,20.42
2013-12-13,16,19.07
2013-12-20,40,16.12
2013-12-27,18,17.01
2014-01-03,20,17.19
2014-01-10,20,17.02
2014-01-17,22,18.01
2014-01-24,24,17.96
2014-01-31,15,17.97
2014-02-07,16,18.01
2014-02-14,24,18.49
2014-02-21,17,18.48
2014-02-28,22,18.51
2014-03-07,20,18.39
2014-03-14,15,17.73
2014-03-21,21,17.72
2014-03-28,17,17.76
2014-04-04,18,18.44
2014-04-11,20,17.23
2014-04-18,23,
2014-04-25,19,17.64
2014-05-02,0,
