Date,KEY,Price
2004-01-09,44,
2004-01-16,43,
2004-01-23,44,
2004-01-30,43,
2004-02-06,42,31.30
2004-02-13,41,31.65
2004-02-20,42,31.90
2004-02-27,43,32.42
2004-03-05,40,32.94
2004-03-12,42,31.31
2004-03-19,42,30.65
2004-03-26,45,29.87
2004-04-02,41,29.73
2004-04-09,43,
2004-04-16,40,29.26
2004-04-23,40,30.14
2004-04-30,39,29.70
2004-05-07,41,29.52
2004-05-14,39,30.35
2004-05-21,39,31.52
2004-05-28,39,31.41
2004-06-04,40,30.53
2004-06-11,38,
2004-06-18,38,29.95
2004-06-25,40,30.00
2004-07-02,39,29.74
2004-07-09,41,29.41
2004-07-16,41,29.09
2004-07-23,40,29.33
2004-07-30,40,30.18
2004-08-06,41,29.75
2004-08-13,43,30.28
2004-08-20,41,31.25
2004-08-27,41,31.51
2004-09-03,41,31.45
2004-09-10,40,31.43
2004-09-17,40,31.93
2004-09-24,40,31.11
2004-10-01,40,31.78
2004-10-08,41,31.81
2004-10-15,41,32.38
2004-10-22,39,32.27
2004-10-29,40,33.59
2004-11-05,40,33.87
2004-11-12,41,34.24
2004-11-19,41,33.20
2004-11-26,41,33.21
2004-12-03,40,33.53
2004-12-10,38,32.98
2004-12-17,39,33.27
2004-12-24,42,
2004-12-31,44,33.90
2005-01-07,42,32.45
2005-01-14,40,31.69
2005-01-21,41,32.53
2005-01-28,39,32.70
2005-02-04,39,33.92
2005-02-11,39,33.79
2005-02-18,38,32.93
2005-02-25,38,32.94
2005-03-04,38,33.85
2005-03-11,38,32.82
2005-03-18,38,32.40
2005-03-25,39,
2005-04-01,36,32.01
2005-04-08,36,31.98
2005-04-15,34,32.27
2005-04-22,36,32.71
2005-04-29,35,33.16
2005-05-06,37,32.96
2005-05-13,36,32.06
2005-05-20,35,33.32
2005-05-27,35,32.80
2005-06-03,34,32.77
2005-06-10,34,32.70
2005-06-17,35,33.42
2005-06-24,35,32.84
2005-07-01,35,33.14
2005-07-08,35,33.37
2005-07-15,34,34.34
2005-07-22,34,34.45
2005-07-29,36,34.24
2005-08-05,36,33.92
2005-08-12,36,33.73
2005-08-19,38,33.72
2005-08-26,36,32.60
2005-09-02,35,33.23
2005-09-09,34,33.46
2005-09-16,33,33.32
2005-09-23,36,32.00
2005-09-30,33,32.25
2005-10-07,35,31.72
2005-10-14,35,31.44
2005-10-21,36,31.25
2005-10-28,37,32.12
2005-11-04,35,32.23
2005-11-11,35,33.43
2005-11-18,35,33.38
2005-11-25,35,33.47
2005-12-02,35,33.38
2005-12-09,36,33.13
2005-12-16,35,34.04
2005-12-23,35,33.80
2005-12-30,39,32.93
2006-01-06,37,34.05
2006-01-13,35,33.69
2006-01-20,35,34.17
2006-01-27,34,35.68
2006-02-03,34,35.34
2006-02-10,34,35.98
2006-02-17,34,36.73
2006-02-24,35,37.04
2006-03-03,35,36.30
2006-03-10,34,36.70
2006-03-17,33,37.37
2006-03-24,33,37.31
2006-03-31,33,36.80
2006-04-07,32,36.85
2006-04-14,33,
2006-04-21,32,36.39
2006-04-28,32,38.22
2006-05-05,33,37.33
2006-05-12,32,36.55
2006-05-19,31,35.89
2006-05-26,33,35.95
2006-06-02,33,36.58
2006-06-09,33,36.23
2006-06-16,32,35.17
2006-06-23,32,34.82
2006-06-30,31,35.68
2006-07-07,31,35.41
2006-07-14,32,34.94
2006-07-21,31,36.29
2006-07-28,32,37.28
2006-08-04,31,37.77
2006-08-11,32,36.97
2006-08-18,33,36.93
2006-08-25,32,36.79
2006-09-01,32,36.69
2006-09-08,31,36.62
2006-09-15,32,37.27
2006-09-22,32,37.15
2006-09-29,30,37.44
2006-10-06,31,37.45
2006-10-13,32,37.02
2006-10-20,31,37.39
2006-10-27,31,37.23
2006-11-03,32,36.73
2006-11-10,31,37.01
2006-11-17,30,36.89
2006-11-24,31,36.40
2006-12-01,30,36.13
2006-12-08,34,35.93
2006-12-15,31,37.86
2006-12-22,32,37.70
2006-12-29,35,38.03
2007-01-05,33,37.32
2007-01-12,32,37.59
2007-01-19,32,37.88
