Date,KIM,Price
2004-01-09,18,
2004-01-16,18,
2004-01-23,19,
2004-01-30,19,
2004-02-06,18,47.60
2004-02-13,19,47.00
2004-02-20,18,47.15
2004-02-27,19,46.95
2004-03-05,18,49.28
2004-03-12,18,48.25
2004-03-19,18,49.50
2004-03-26,18,49.23
2004-04-02,17,50.05
2004-04-09,18,
2004-04-16,19,43.03
2004-04-23,18,42.60
2004-04-30,19,42.74
2004-05-07,18,41.29
2004-05-14,17,40.98
2004-05-21,17,42.68
2004-05-28,18,45.95
2004-06-04,18,46.20
2004-06-11,17,
2004-06-18,18,45.20
2004-06-25,36,45.88
2004-07-02,21,46.70
2004-07-09,18,46.35
2004-07-16,18,47.72
2004-07-23,17,46.48
2004-07-30,19,48.10
2004-08-06,22,48.04
2004-08-13,18,46.56
2004-08-20,18,48.96
2004-08-27,18,49.42
2004-09-03,17,50.70
2004-09-10,17,50.48
2004-09-17,17,50.70
2004-09-24,17,50.02
2004-10-01,16,50.98
2004-10-08,17,51.21
2004-10-15,18,52.88
2004-10-22,20,52.95
2004-10-29,19,54.55
2004-11-05,18,53.24
2004-11-12,18,56.29
2004-11-19,17,53.80
2004-11-26,18,56.22
2004-12-03,17,57.75
2004-12-10,17,58.94
2004-12-17,17,57.90
2004-12-24,17,
2004-12-31,18,57.99
2005-01-07,19,55.46
2005-01-14,17,54.60
2005-01-21,16,54.97
2005-01-28,17,52.69
2005-02-04,18,55.40
2005-02-11,17,56.00
2005-02-18,17,56.59
2005-02-25,18,54.00
2005-03-04,18,55.21
2005-03-11,19,53.70
2005-03-18,21,54.04
2005-03-25,20,
2005-04-01,20,52.96
2005-04-08,20,53.08
2005-04-15,18,53.03
2005-04-22,18,53.65
2005-04-29,18,55.39
2005-05-06,19,56.65
2005-05-13,18,56.41
2005-05-20,17,58.45
2005-05-27,18,57.13
2005-06-03,17,57.58
2005-06-10,17,58.55
2005-06-17,17,59.76
2005-06-24,18,58.10
2005-07-01,18,59.38
2005-07-08,21,60.88
2005-07-15,18,60.20
2005-07-22,19,61.42
2005-07-29,17,65.66
2005-08-05,18,63.59
2005-08-12,18,61.80
2005-08-19,18,62.16
2005-08-26,19,30.85
2005-09-02,18,32.05
2005-09-09,19,31.90
2005-09-16,20,32.10
2005-09-23,20,30.74
2005-09-30,19,31.42
2005-10-07,21,29.57
2005-10-14,19,28.94
2005-10-21,19,28.69
2005-10-28,20,29.32
2005-11-04,20,29.27
2005-11-11,20,30.87
2005-11-18,19,30.83
2005-11-25,18,31.52
2005-12-02,18,31.85
2005-12-09,19,31.70
2005-12-16,18,32.68
2005-12-23,19,32.92
2005-12-30,19,32.08
2006-01-06,20,33.91
2006-01-13,19,33.48
2006-01-20,22,34.00
2006-01-27,20,34.85
2006-02-03,18,34.35
2006-02-10,18,33.97
2006-02-17,19,35.60
2006-02-24,19,36.03
2006-03-03,20,36.25
2006-03-10,20,38.18
2006-03-17,20,39.58
2006-03-24,19,38.66
2006-03-31,19,40.64
2006-04-07,20,37.66
2006-04-14,20,
2006-04-21,20,37.11
2006-04-28,19,37.13
2006-05-05,18,37.00
2006-05-12,18,36.11
2006-05-19,17,34.85
2006-05-26,18,36.37
2006-06-02,20,37.42
2006-06-09,19,37.22
2006-06-16,18,36.04
2006-06-23,18,35.26
2006-06-30,18,36.49
2006-07-07,20,36.87
2006-07-14,19,36.54
2006-07-21,18,37.55
2006-07-28,18,39.40
2006-08-04,18,40.00
2006-08-11,18,38.75
2006-08-18,18,40.29
2006-08-25,18,40.52
2006-09-01,17,41.26
2006-09-08,17,41.42
2006-09-15,17,42.10
2006-09-22,17,41.05
2006-09-29,19,42.87
2006-10-06,18,43.59
2006-10-13,20,45.24
2006-10-20,19,44.44
2006-10-27,18,44.24
2006-11-03,18,42.94
2006-11-10,18,42.83
2006-11-17,17,44.15
2006-11-24,16,46.36
2006-12-01,17,46.19
2006-12-08,27,46.10
2006-12-15,20,46.01
2006-12-22,19,44.35
2006-12-29,19,44.95
2007-01-05,19,44.08
2007-01-12,19,46.94
2007-01-19,20,48.26
2007-01-26,19,48.92
2007-02-02,18,50.47
2007-02-09,27,51.88
2007-02-16,27,52.39
2007-02-23,26,52.09
2007-03-02,23,48.93
2007-03-09,22,49.55
2007-03-16,21,48.49
2007-03-23,25,50.42
2007-03-30,23,48.74
2007-04-06,21,
2007-04-13,22,48.45
2007-04-20,21,48.83
2007-04-27,21,49.11
2007-05-04,22,48.28
2007-05-11,21,47.94
2007-05-18,23,43.77
2007-05-25,21,43.23
2007-06-01,20,46.35
2007-06-08,22,44.28
2007-06-15,20,42.56
2007-06-22,20,39.17
2007-06-29,20,38.07
2007-07-06,20,39.43
2007-07-13,22,40.11
2007-07-20,23,38.95
2007-07-27,25,36.60
2007-08-03,22,37.70
2007-08-10,21,39.68
2007-08-17,22,40.03
2007-08-24,21,41.84
2007-08-31,20,42.82
2007-09-07,21,40.62
2007-09-14,21,43.50
2007-09-21,22,45.76
2007-09-28,21,45.21
2007-10-05,21,47.63
2007-10-12,21,45.70
2007-10-19,26,41.05
2007-10-26,27,42.09
2007-11-02,30,38.82
2007-11-09,28,37.90
2007-11-16,26,37.84
2007-11-23,27,37.82
2007-11-30,29,39.49
2007-12-07,33,40.53
2007-12-14,24,37.31
2007-12-21,25,37.53
2007-12-28,28,36.03
2008-01-04,33,33.77
2008-01-11,26,32.58
2008-01-18,24,30.70
2008-01-25,24,34.84
2008-02-01,23,37.37
2008-02-08,24,34.15
2008-02-15,25,34.05
2008-02-22,25,33.90
2008-02-29,25,33.77
2008-03-07,24,34.05
2008-03-14,26,33.65
2008-03-21,28,
2008-03-28,28,38.76
2008-04-04,26,40.80
2008-04-11,27,37.99
2008-04-18,27,40.57
2008-04-25,25,42.09
2008-05-02,27,41.24
2008-05-09,26,39.49
2008-05-16,27,40.87
2008-05-23,26,38.77
2008-05-30,27,39.35
2008-06-06,25,37.89
2008-06-13,24,37.79
2008-06-20,23,36.37
2008-06-27,25,34.77
2008-07-04,25,
