Date,KMI,Price
2004-01-09,16,
2004-01-16,45,
2004-01-23,21,
2004-01-30,35,
2004-02-06,22,
2004-02-13,14,
2004-02-20,24,
2004-02-27,44,
2004-03-05,18,
2004-03-12,23,
2004-03-19,31,
2004-03-26,19,
2004-04-02,35,
2004-04-09,28,
2004-04-16,33,
2004-04-23,30,
2004-04-30,40,
2004-05-07,36,
2004-05-14,30,
2004-05-21,35,
2004-05-28,43,
2004-06-04,42,
2004-06-11,51,
2004-06-18,50,
2004-06-25,51,
2004-07-02,38,
2004-07-09,59,
2004-07-16,56,
2004-07-23,59,
2004-07-30,34,
2004-08-06,57,
2004-08-13,63,
2004-08-20,49,
2004-08-27,40,
2004-09-03,27,
2004-09-10,34,
2004-09-17,28,
2004-09-24,25,
2004-10-01,21,
2004-10-08,20,
2004-10-15,14,
2004-10-22,19,
2004-10-29,23,
2004-11-05,15,
2004-11-12,17,
2004-11-19,19,
2004-11-26,22,
2004-12-03,15,
2004-12-10,13,
2004-12-17,19,
2004-12-24,30,
2004-12-31,26,
2005-01-07,18,
2005-01-14,16,
2005-01-21,22,
2005-01-28,42,
2005-02-04,23,
2005-02-11,23,
2005-02-18,39,
2005-02-25,35,
2005-03-04,75,
2005-03-11,25,
2005-03-18,39,
2005-03-25,49,
2005-04-01,40,
2005-04-08,35,
2005-04-15,37,
2005-04-22,38,
2005-04-29,52,
2005-05-06,51,
2005-05-13,62,
2005-05-20,49,
2005-05-27,51,
2005-06-03,64,
2005-06-10,52,
2005-06-17,56,
2005-06-24,97,
2005-07-01,94,
2005-07-08,91,
2005-07-15,59,
2005-07-22,65,
2005-07-29,72,
2005-08-05,69,
2005-08-12,68,
2005-08-19,69,
2005-08-26,57,
2005-09-02,50,
2005-09-09,50,
2005-09-16,44,
2005-09-23,30,
2005-09-30,33,
2005-10-07,33,
2005-10-14,28,
2005-10-21,31,
2005-10-28,36,
2005-11-04,26,
2005-11-11,28,
2005-11-18,25,
2005-11-25,51,
2005-12-02,28,
2005-12-09,19,
2005-12-16,26,
2005-12-23,25,
2005-12-30,56,
2006-01-06,24,
2006-01-13,20,
2006-01-20,27,
2006-01-27,33,
2006-02-03,38,
2006-02-10,27,
2006-02-17,30,
2006-02-24,39,
2006-03-03,57,
2006-03-10,32,
2006-03-17,36,
2006-03-24,41,
2006-03-31,43,
2006-04-07,42,
2006-04-14,53,
2006-04-21,40,
2006-04-28,55,
2006-05-05,70,
2006-05-12,79,
2006-05-19,67,
2006-05-26,75,
2006-06-02,76,
2006-06-09,48,
2006-06-16,90,
2006-06-23,74,
2006-06-30,62,
2006-07-07,91,
2006-07-14,48,
2006-07-21,82,
2006-07-28,89,
2006-08-04,74,
2006-08-11,66,
2006-08-18,74,
2006-08-25,59,
2006-09-01,53,
2006-09-08,49,
2006-09-15,48,
2006-09-22,44,
2006-09-29,38,
2006-10-06,34,
2006-10-13,32,
2006-10-20,33,
2006-10-27,33,
2006-11-03,31,
2006-11-10,24,
2006-11-17,25,
2006-11-24,26,
2006-12-01,21,
2006-12-08,32,
2006-12-15,29,
2006-12-22,20,
2006-12-29,25,
2007-01-05,25,
2007-01-12,30,
2007-01-19,54,
2007-01-26,48,
2007-02-02,25,
2007-02-09,45,
2007-02-16,27,
2007-02-23,28,
2007-03-02,31,
2007-03-09,34,
2007-03-16,45,
2007-03-23,43,
2007-03-30,46,
2007-04-06,50,
2007-04-13,40,
2007-04-20,50,
2007-04-27,67,
2007-05-04,51,
2007-05-11,65,
2007-05-18,59,
2007-05-25,75,
2007-06-01,53,
2007-06-08,64,
2007-06-15,58,
2007-06-22,74,
2007-06-29,77,
2007-07-06,85,
2007-07-13,86,
2007-07-20,100,
2007-07-27,79,
2007-08-03,63,
2007-08-10,90,
2007-08-17,81,
2007-08-24,59,
2007-08-31,40,
2007-09-07,36,
2007-09-14,32,
2007-09-21,32,
2007-09-28,36,
2007-10-05,29,
2007-10-12,24,
2007-10-19,26,
2007-10-26,22,
2007-11-02,20,
2007-11-09,31,
2007-11-16,27,
2007-11-23,27,
2007-11-30,30,
2007-12-07,34,
2007-12-14,23,
2007-12-21,31,
2007-12-28,22,
2008-01-04,26,
2008-01-11,21,
2008-01-18,30,
2008-01-25,20,
2008-02-01,39,
2008-02-08,26,
2008-02-15,23,
2008-02-22,27,
2008-02-29,34,
2008-03-07,31,
2008-03-14,42,
2008-03-21,49,
2008-03-28,49,
2008-04-04,41,
2008-04-11,38,
2008-04-18,46,
2008-04-25,56,
2008-05-02,55,
2008-05-09,41,
2008-05-16,63,
2008-05-23,52,
2008-05-30,62,
2008-06-06,68,
2008-06-13,60,
2008-06-20,67,
2008-06-27,74,
2008-07-04,76,
2008-07-11,75,
2008-07-18,65,
2008-07-25,71,
2008-08-01,89,
2008-08-08,82,
2008-08-15,81,
2008-08-22,62,
2008-08-29,52,
2008-09-05,52,
2008-09-12,54,
2008-09-19,28,
2008-09-26,28,
2008-10-03,35,
2008-10-10,28,
2008-10-17,29,
2008-10-24,30,
2008-10-31,27,
2008-11-07,22,
2008-11-14,24,
2008-11-21,32,
2008-11-28,45,
2008-12-05,29,
2008-12-12,30,
2008-12-19,21,
2008-12-26,21,
2009-01-02,31,
2009-01-09,70,
2009-01-16,33,
2009-01-23,29,
2009-01-30,27,
2009-02-06,37,
2009-02-13,39,
2009-02-20,33,
2009-02-27,29,
2009-03-06,30,
2009-03-13,35,
2009-03-20,33,
2009-03-27,43,
2009-04-03,42,
2009-04-10,60,
2009-04-17,56,
2009-04-24,55,
2009-05-01,52,
2009-05-08,54,
2009-05-15,63,
2009-05-22,61,
2009-05-29,64,
2009-06-05,54,
2009-06-12,59,
2009-06-19,70,
2009-06-26,63,
2009-07-03,79,
2009-07-10,66,
2009-07-17,66,
2009-07-24,66,
2009-07-31,60,
2009-08-07,67,
2009-08-14,63,
2009-08-21,66,
2009-08-28,61,
2009-09-04,55,
2009-09-11,42,
2009-09-18,40,
2009-09-25,34,
2009-10-02,32,
2009-10-09,38,
2009-10-16,34,
2009-10-23,27,
2009-10-30,24,
2009-11-06,28,
2009-11-13,23,
2009-11-20,22,
2009-11-27,36,
2009-12-04,27,
2009-12-11,30,
2009-12-18,65,
2009-12-25,73,
2010-01-01,43,
2010-01-08,71,
2010-01-15,44,
2010-01-22,25,
2010-01-29,43,
2010-02-05,35,
2010-02-12,49,
2010-02-19,42,
2010-02-26,32,
2010-03-05,40,
2010-03-12,33,
2010-03-19,36,
2010-03-26,41,
2010-04-02,47,
2010-04-09,44,
2010-04-16,43,
2010-04-23,40,
2010-04-30,58,
2010-05-07,50,
2010-05-14,49,
2010-05-21,45,
2010-05-28,57,
2010-06-04,52,
2010-06-11,60,
2010-06-18,54,
2010-06-25,48,
2010-07-02,69,
2010-07-09,62,
2010-07-16,72,
2010-07-23,55,
2010-07-30,51,
2010-08-06,51,
2010-08-13,57,
2010-08-20,58,
2010-08-27,51,
2010-09-03,35,
2010-09-10,40,
2010-09-17,36,
2010-09-24,34,
2010-10-01,33,
2010-10-08,27,
2010-10-15,27,
2010-10-22,29,
2010-10-29,27,
2010-11-05,23,
2010-11-12,35,
2010-11-19,22,
2010-11-26,43,
2010-12-03,79,
2010-12-10,47,
2010-12-17,72,
2010-12-24,94,
2010-12-31,40,
2011-01-07,26,
2011-01-14,25,
2011-01-21,26,
2011-01-28,23,
