Date,KORS,Price
2004-01-09,2,
2004-01-16,3,
2004-01-23,3,
2004-01-30,3,
2004-02-06,3,
2004-02-13,3,
2004-02-20,3,
2004-02-27,3,
2004-03-05,3,
2004-03-12,2,
2004-03-19,3,
2004-03-26,3,
2004-04-02,3,
2004-04-09,2,
2004-04-16,2,
2004-04-23,3,
2004-04-30,2,
2004-05-07,2,
2004-05-14,2,
2004-05-21,2,
2004-05-28,3,
2004-06-04,3,
2004-06-11,3,
2004-06-18,2,
2004-06-25,3,
2004-07-02,3,
2004-07-09,2,
2004-07-16,3,
2004-07-23,3,
2004-07-30,3,
2004-08-06,3,
2004-08-13,4,
2004-08-20,4,
2004-08-27,4,
2004-09-03,4,
2004-09-10,4,
2004-09-17,5,
2004-09-24,3,
2004-10-01,4,
2004-10-08,5,
2004-10-15,5,
2004-10-22,9,
2004-10-29,5,
2004-11-05,4,
2004-11-12,3,
2004-11-19,4,
2004-11-26,4,
2004-12-03,4,
2004-12-10,5,
2004-12-17,4,
2004-12-24,5,
2004-12-31,16,
2005-01-07,9,
2005-01-14,5,
2005-01-21,5,
2005-01-28,6,
2005-02-04,5,
2005-02-11,5,
2005-02-18,4,
2005-02-25,5,
2005-03-04,5,
2005-03-11,4,
2005-03-18,4,
2005-03-25,4,
2005-04-01,5,
2005-04-08,5,
2005-04-15,4,
2005-04-22,4,
2005-04-29,4,
2005-05-06,4,
2005-05-13,4,
2005-05-20,4,
2005-05-27,4,
2005-06-03,4,
2005-06-10,4,
2005-06-17,3,
2005-06-24,3,
2005-07-01,3,
2005-07-08,3,
2005-07-15,4,
2005-07-22,4,
2005-07-29,4,
2005-08-05,4,
2005-08-12,5,
2005-08-19,4,
2005-08-26,5,
2005-09-02,4,
2005-09-09,4,
2005-09-16,5,
2005-09-23,5,
2005-09-30,6,
2005-10-07,5,
2005-10-14,5,
2005-10-21,5,
2005-10-28,5,
2005-11-04,6,
2005-11-11,5,
2005-11-18,5,
2005-11-25,5,
2005-12-02,6,
2005-12-09,6,
2005-12-16,6,
2005-12-23,6,
2005-12-30,5,
2006-01-06,5,
2006-01-13,5,
2006-01-20,5,
2006-01-27,5,
2006-02-03,5,
2006-02-10,6,
2006-02-17,5,
2006-02-24,5,
2006-03-03,5,
2006-03-10,6,
2006-03-17,5,
2006-03-24,5,
2006-03-31,5,
2006-04-07,5,
2006-04-14,4,
2006-04-21,5,
2006-04-28,5,
2006-05-05,5,
2006-05-12,5,
2006-05-19,4,
2006-05-26,4,
2006-06-02,4,
2006-06-09,4,
2006-06-16,4,
2006-06-23,4,
2006-06-30,4,
2006-07-07,4,
2006-07-14,5,
2006-07-21,4,
2006-07-28,4,
2006-08-04,5,
2006-08-11,5,
2006-08-18,5,
2006-08-25,5,
2006-09-01,5,
2006-09-08,5,
2006-09-15,6,
2006-09-22,5,
2006-09-29,5,
2006-10-06,5,
2006-10-13,5,
2006-10-20,5,
2006-10-27,4,
2006-11-03,5,
2006-11-10,4,
2006-11-17,4,
2006-11-24,5,
2006-12-01,5,
2006-12-08,5,
2006-12-15,5,
2006-12-22,5,
2006-12-29,5,
2007-01-05,5,
2007-01-12,6,
2007-01-19,5,
2007-01-26,4,
2007-02-02,5,
2007-02-09,4,
2007-02-16,5,
2007-02-23,5,
2007-03-02,5,
2007-03-09,4,
2007-03-16,5,
2007-03-23,5,
2007-03-30,5,
2007-04-06,5,
2007-04-13,5,
2007-04-20,4,
2007-04-27,5,
2007-05-04,4,
2007-05-11,5,
2007-05-18,5,
2007-05-25,5,
2007-06-01,5,
2007-06-08,5,
2007-06-15,4,
2007-06-22,4,
2007-06-29,4,
2007-07-06,4,
2007-07-13,4,
2007-07-20,4,
2007-07-27,4,
2007-08-03,4,
2007-08-10,4,
2007-08-17,5,
2007-08-24,5,
2007-08-31,5,
2007-09-07,5,
2007-09-14,6,
2007-09-21,5,
2007-09-28,5,
2007-10-05,5,
2007-10-12,5,
2007-10-19,5,
2007-10-26,5,
2007-11-02,5,
2007-11-09,5,
2007-11-16,6,
2007-11-23,6,
2007-11-30,7,
2007-12-07,8,
2007-12-14,7,
2007-12-21,7,
2007-12-28,7,
2008-01-04,7,
2008-01-11,5,
2008-01-18,5,
2008-01-25,6,
2008-02-01,5,
2008-02-08,6,
2008-02-15,5,
2008-02-22,6,
2008-02-29,6,
2008-03-07,6,
2008-03-14,6,
2008-03-21,6,
2008-03-28,5,
2008-04-04,6,
2008-04-11,5,
2008-04-18,5,
2008-04-25,5,
2008-05-02,5,
2008-05-09,6,
2008-05-16,5,
2008-05-23,5,
2008-05-30,5,
2008-06-06,5,
2008-06-13,6,
2008-06-20,5,
2008-06-27,5,
2008-07-04,5,
2008-07-11,5,
2008-07-18,5,
2008-07-25,5,
2008-08-01,5,
2008-08-08,5,
2008-08-15,5,
2008-08-22,6,
2008-08-29,5,
2008-09-05,5,
2008-09-12,6,
2008-09-19,6,
2008-09-26,6,
2008-10-03,6,
2008-10-10,6,
2008-10-17,6,
2008-10-24,6,
2008-10-31,5,
2008-11-07,6,
2008-11-14,6,
2008-11-21,6,
2008-11-28,7,
2008-12-05,7,
2008-12-12,8,
2008-12-19,7,
2008-12-26,8,
2009-01-02,7,
2009-01-09,6,
2009-01-16,5,
2009-01-23,5,
2009-01-30,5,
2009-02-06,5,
2009-02-13,6,
2009-02-20,6,
2009-02-27,6,
2009-03-06,6,
2009-03-13,6,
2009-03-20,6,
2009-03-27,6,
2009-04-03,6,
2009-04-10,6,
2009-04-17,6,
2009-04-24,6,
2009-05-01,6,
2009-05-08,7,
2009-05-15,6,
2009-05-22,6,
2009-05-29,6,
2009-06-05,6,
2009-06-12,6,
2009-06-19,6,
2009-06-26,5,
2009-07-03,5,
2009-07-10,6,
2009-07-17,5,
2009-07-24,6,
2009-07-31,6,
