Date,Kansas City Southern,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,14.64
2004-02-13,0,14.30
2004-02-20,0,14.35
2004-02-27,0,14.05
2004-03-05,0,14.06
2004-03-12,0,14.02
2004-03-19,0,13.66
2004-03-26,0,13.75
2004-04-02,0,14.25
2004-04-09,0,
2004-04-16,0,14.14
2004-04-23,0,14.34
2004-04-30,0,13.85
2004-05-07,0,13.50
2004-05-14,0,13.24
2004-05-21,0,12.67
2004-05-28,0,13.00
2004-06-04,0,13.66
2004-06-11,0,
2004-06-18,0,14.39
2004-06-25,0,14.95
2004-07-02,0,15.25
2004-07-09,0,14.88
2004-07-16,0,14.60
2004-07-23,0,14.47
2004-07-30,0,14.62
2004-08-06,0,13.61
2004-08-13,0,13.59
2004-08-20,0,14.50
2004-08-27,0,15.09
2004-09-03,0,14.97
2004-09-10,0,14.91
2004-09-17,0,15.00
2004-09-24,0,14.49
2004-10-01,0,15.45
2004-10-08,0,16.14
2004-10-15,0,15.85
2004-10-22,0,16.00
2004-10-29,0,16.95
2004-11-05,0,16.57
2004-11-12,0,16.80
2004-11-19,0,16.41
2004-11-26,0,16.64
2004-12-03,0,17.48
2004-12-10,0,16.58
2004-12-17,100,16.73
2004-12-24,0,
2004-12-31,0,17.73
2005-01-07,0,16.19
2005-01-14,0,16.65
2005-01-21,0,16.46
2005-01-28,0,16.93
2005-02-04,0,18.90
2005-02-11,84,19.10
2005-02-18,0,19.66
2005-02-25,0,19.97
2005-03-04,0,19.99
2005-03-11,0,19.55
2005-03-18,0,19.52
2005-03-25,0,
2005-04-01,0,19.96
2005-04-08,0,20.68
2005-04-15,0,18.66
2005-04-22,0,19.61
2005-04-29,0,18.92
2005-05-06,0,19.44
2005-05-13,0,18.61
2005-05-20,0,19.26
2005-05-27,0,19.97
2005-06-03,0,20.20
2005-06-10,0,19.64
2005-06-17,0,20.08
2005-06-24,0,19.90
2005-07-01,90,20.46
2005-07-08,90,21.41
2005-07-15,90,21.56
2005-07-22,90,22.07
2005-07-29,90,22.56
2005-08-05,90,21.79
2005-08-12,70,21.40
2005-08-19,70,20.64
2005-08-26,70,20.16
2005-09-02,70,19.86
2005-09-09,0,20.00
2005-09-16,0,23.06
2005-09-23,0,22.36
2005-09-30,0,23.31
2005-10-07,0,22.50
2005-10-14,0,21.55
2005-10-21,61,21.32
2005-10-28,61,22.16
2005-11-04,56,23.87
2005-11-11,60,23.86
2005-11-18,63,24.63
2005-11-25,66,25.23
2005-12-02,67,25.00
2005-12-09,53,24.61
2005-12-16,53,24.98
2005-12-23,0,24.76
2005-12-30,0,24.43
2006-01-06,0,25.04
2006-01-13,0,25.42
2006-01-20,0,25.35
2006-01-27,0,25.77
2006-02-03,0,24.50
2006-02-10,0,23.50
2006-02-17,51,24.38
2006-02-24,49,23.66
2006-03-03,49,23.56
2006-03-10,49,22.86
2006-03-17,49,23.78
2006-03-24,48,24.50
2006-03-31,53,24.70
2006-04-07,49,23.99
2006-04-14,46,
2006-04-21,46,25.20
2006-04-28,62,24.30
2006-05-05,47,27.44
2006-05-12,47,26.52
2006-05-19,47,25.68
2006-05-26,45,27.69
2006-06-02,45,27.55
2006-06-09,57,25.40
2006-06-16,53,25.96
2006-06-23,53,25.48
2006-06-30,0,27.70
2006-07-07,0,26.16
2006-07-14,0,25.23
2006-07-21,0,23.48
2006-07-28,0,24.30
2006-08-04,87,25.97
2006-08-11,60,25.05
2006-08-18,64,26.67
2006-08-25,68,25.99
2006-09-01,72,26.61
2006-09-08,76,26.15
2006-09-15,55,27.49
2006-09-22,68,26.55
2006-09-29,61,27.31
2006-10-06,45,27.81
2006-10-13,45,28.44
2006-10-20,40,28.77
2006-10-27,42,29.68
2006-11-03,44,27.52
2006-11-10,45,28.61
2006-11-17,72,27.57
2006-11-24,37,27.76
2006-12-01,37,26.69
2006-12-08,41,28.28
2006-12-15,45,28.42
2006-12-22,48,28.13
2006-12-29,52,28.98
2007-01-05,56,28.42
2007-01-12,32,29.72
2007-01-19,37,29.89
2007-01-26,47,29.80
2007-02-02,47,30.57
2007-02-09,63,31.53
2007-02-16,49,34.00
2007-02-23,31,34.04
2007-03-02,38,31.35
2007-03-09,43,33.44
2007-03-16,48,35.09
2007-03-23,50,36.35
2007-03-30,68,35.58
2007-04-06,48,
2007-04-13,48,37.67
2007-04-20,40,39.08
2007-04-27,40,38.59
2007-05-04,58,38.59
2007-05-11,56,38.81
2007-05-18,64,40.10
2007-05-25,29,40.20
2007-06-01,32,42.50
2007-06-08,33,40.84
2007-06-15,34,40.50
2007-06-22,38,38.45
2007-06-29,45,37.54
2007-07-06,38,38.81
2007-07-13,27,39.55
2007-07-20,60,40.28
2007-07-27,32,35.14
2007-08-03,46,33.70
2007-08-10,32,34.31
2007-08-17,37,30.59
2007-08-24,56,31.08
2007-08-31,51,30.39
2007-09-07,42,31.42
2007-09-14,33,30.94
2007-09-21,29,32.59
2007-09-28,35,32.17
2007-10-05,42,34.62
2007-10-12,47,34.76
2007-10-19,42,34.49
2007-10-26,42,37.96
2007-11-02,41,38.20
2007-11-09,48,35.67
2007-11-16,55,33.71
2007-11-23,45,33.08
2007-11-30,48,34.43
2007-12-07,64,36.04
2007-12-14,40,35.50
2007-12-21,36,34.71
2007-12-28,43,34.38
2008-01-04,49,31.06
2008-01-11,48,30.87
2008-01-18,35,30.88
2008-01-25,26,34.20
2008-02-01,54,38.03
2008-02-08,49,37.94
2008-02-15,40,38.30
2008-02-22,55,37.47
2008-02-29,50,35.80
2008-03-07,37,34.56
2008-03-14,37,34.86
2008-03-21,39,
2008-03-28,43,39.37
2008-04-04,63,40.13
2008-04-11,38,39.67
2008-04-18,46,43.45
2008-04-25,46,43.66
2008-05-02,36,46.79
2008-05-09,54,45.90
2008-05-16,40,47.00
2008-05-23,35,46.31
2008-05-30,45,49.96
2008-06-06,37,48.67
2008-06-13,57,47.01
2008-06-20,53,47.52
2008-06-27,35,43.53
2008-07-04,34,
2008-07-11,46,43.88
2008-07-18,37,46.48
2008-07-25,41,48.00
2008-08-01,29,53.30
2008-08-08,37,52.80
2008-08-15,48,50.48
2008-08-22,49,50.53
2008-08-29,28,51.43
2008-09-05,28,46.96
2008-09-12,42,47.22
2008-09-19,43,51.17
2008-09-26,31,47.57
2008-10-03,36,36.17
2008-10-10,39,28.67
2008-10-17,43,30.29
2008-10-24,57,27.01
2008-10-31,66,30.87
2008-11-07,32,28.15
2008-11-14,35,22.74
2008-11-21,43,18.31
2008-11-28,37,21.92
2008-12-05,53,18.81
2008-12-12,36,17.58
2008-12-19,56,19.02
2008-12-26,26,18.47
2009-01-02,50,20.39
2009-01-09,47,21.38
2009-01-16,49,17.79
2009-01-23,38,16.90
2009-01-30,46,18.16
2009-02-06,56,21.46
2009-02-13,42,19.73
2009-02-20,28,18.80
2009-02-27,83,17.69
2009-03-06,60,13.53
2009-03-13,31,14.38
2009-03-20,32,13.52
2009-03-27,28,13.97
2009-04-03,46,14.20
2009-04-10,47,
2009-04-17,37,16.85
2009-04-24,31,16.70
2009-05-01,32,15.39
2009-05-08,28,17.01
2009-05-15,29,14.79
2009-05-22,21,15.77
2009-05-29,29,16.49
2009-06-05,29,15.97
2009-06-12,45,17.94
2009-06-19,36,16.60
2009-06-26,41,16.32
2009-07-03,25,
2009-07-10,31,15.46
2009-07-17,33,18.36
2009-07-24,26,20.35
2009-07-31,29,20.31
2009-08-07,19,23.18
2009-08-14,40,23.33
2009-08-21,42,24.00
2009-08-28,35,24.99
2009-09-04,32,26.00
2009-09-11,22,27.56
2009-09-18,31,28.11
2009-09-25,40,25.91
2009-10-02,41,25.12
2009-10-09,38,27.50
2009-10-16,35,28.66
2009-10-23,48,26.80
2009-10-30,33,24.23
2009-11-06,35,27.93
2009-11-13,43,28.92
2009-11-20,39,28.37
2009-11-27,27,28.36
2009-12-04,43,29.56
2009-12-11,46,29.61
2009-12-18,21,31.68
2009-12-25,24,
2010-01-01,29,
2010-01-08,35,33.86
2010-01-15,35,32.92
2010-01-22,43,31.01
2010-01-29,36,29.70
2010-02-05,34,30.27
2010-02-12,23,32.39
2010-02-19,31,33.92
2010-02-26,32,34.30
2010-03-05,29,35.45
2010-03-12,31,35.75
2010-03-19,41,35.75
2010-03-26,38,36.20
2010-04-02,31,
2010-04-09,24,38.37
2010-04-16,29,38.18
2010-04-23,32,38.28
2010-04-30,32,40.55
2010-05-07,31,35.93
2010-05-14,39,38.85
2010-05-21,33,34.88
2010-05-28,26,38.17
2010-06-04,32,36.75
2010-06-11,46,39.22
2010-06-18,36,41.11
2010-06-25,25,39.29
2010-07-02,35,34.94
2010-07-09,43,37.24
2010-07-16,31,34.72
2010-07-23,41,38.35
2010-07-30,40,36.70
2010-08-06,30,37.75
2010-08-13,39,34.44
2010-08-20,32,33.71
2010-08-27,29,33.77
2010-09-03,34,37.16
2010-09-10,38,38.18
2010-09-17,28,38.56
2010-09-24,28,39.14
2010-10-01,30,37.26
2010-10-08,22,39.47
2010-10-15,24,41.42
2010-10-22,40,42.06
2010-10-29,28,43.82
2010-11-05,32,46.53
2010-11-12,21,44.74
2010-11-19,42,46.90
2010-11-26,26,47.84
2010-12-03,46,49.29
2010-12-10,37,49.98
2010-12-17,39,48.02
2010-12-24,29,
2010-12-31,25,47.86
2011-01-07,37,51.25
2011-01-14,21,52.04
2011-01-21,31,47.71
2011-01-28,43,48.87
2011-02-04,20,51.11
2011-02-11,27,54.75
2011-02-18,29,55.47
2011-02-25,34,54.09
2011-03-04,37,53.95
2011-03-11,38,53.03
2011-03-18,33,50.71
2011-03-25,32,54.23
2011-04-01,22,54.47
2011-04-08,31,52.01
2011-04-15,35,52.60
2011-04-22,30,
2011-04-29,32,58.11
2011-05-06,36,56.44
2011-05-13,33,54.66
2011-05-20,35,56.80
2011-05-27,33,58.48
2011-06-03,37,56.57
2011-06-10,33,52.37
2011-06-17,36,53.53
2011-06-24,29,55.59
2011-07-01,30,60.61
2011-07-08,29,59.54
2011-07-15,33,57.07
2011-07-22,41,61.74
2011-07-29,33,59.35
2011-08-05,36,52.13
2011-08-12,30,54.47
2011-08-19,30,46.00
2011-08-26,32,50.68
2011-09-02,27,50.98
2011-09-09,31,49.62
2011-09-16,33,54.71
2011-09-23,27,49.41
2011-09-30,32,49.96
2011-10-07,30,54.55
2011-10-14,30,58.36
2011-10-21,42,59.54
2011-10-28,26,65.03
2011-11-04,38,66.32
2011-11-11,30,67.23
2011-11-18,42,68.02
2011-11-25,27,62.81
2011-12-02,42,67.86
2011-12-09,31,66.38
2011-12-16,34,63.81
2011-12-23,33,67.83
2011-12-30,21,68.01
2012-01-06,29,69.68
2012-01-13,31,72.04
2012-01-20,31,73.39
2012-01-27,31,68.60
2012-02-03,28,70.51
2012-02-10,36,68.42
2012-02-17,32,66.24
2012-02-24,35,69.24
2012-03-02,23,69.75
2012-03-09,33,69.25
2012-03-16,27,74.67
2012-03-23,34,70.45
2012-03-30,33,71.69
2012-04-06,28,
2012-04-13,26,72.59
2012-04-20,35,71.41
2012-04-27,35,78.36
2012-05-04,27,75.10
2012-05-11,29,71.66
2012-05-18,27,64.72
2012-05-25,35,66.44
2012-06-01,33,63.26
2012-06-08,43,67.13
2012-06-15,31,68.29
2012-06-22,37,67.70
2012-06-29,39,69.56
2012-07-06,26,69.89
2012-07-13,30,70.09
2012-07-20,35,70.79
2012-07-27,29,74.66
2012-08-03,28,74.13
2012-08-10,24,74.16
2012-08-17,36,77.77
2012-08-24,38,77.70
2012-08-31,33,77.33
2012-09-07,34,79.82
2012-09-14,32,83.63
2012-09-21,30,76.00
2012-09-28,30,75.78
2012-10-05,29,76.28
2012-10-12,22,75.15
2012-10-19,30,78.43
2012-10-26,26,81.25
2012-11-02,21,81.10
2012-11-09,30,76.91
2012-11-16,29,73.85
2012-11-23,29,77.61
2012-11-30,45,78.15
2012-12-07,42,79.78
2012-12-14,35,81.89
2012-12-21,36,83.82
2012-12-28,27,82.06
2013-01-04,31,88.82
2013-01-11,31,85.54
2013-01-18,33,87.63
2013-01-25,33,94.02
2013-02-01,35,94.34
2013-02-08,23,95.09
2013-02-15,28,97.77
2013-02-22,33,98.78
2013-03-01,31,102.02
2013-03-08,27,105.32
2013-03-15,25,107.98
2013-03-22,32,107.56
2013-03-29,33,
2013-04-05,26,104.73
2013-04-12,29,107.77
2013-04-19,29,106.46
2013-04-26,27,106.64
2013-05-03,28,110.15
2013-05-10,23,109.93
2013-05-17,35,117.16
2013-05-24,32,111.37
2013-05-31,28,110.70
2013-06-07,29,110.47
2013-06-14,27,110.60
2013-06-21,40,107.07
2013-06-28,27,105.96
2013-07-05,26,112.59
2013-07-12,31,113.81
2013-07-19,34,118.30
2013-07-26,30,110.13
2013-08-02,26,110.06
2013-08-09,30,108.10
2013-08-16,40,106.52
2013-08-23,29,108.50
2013-08-30,36,105.42
2013-09-06,40,108.05
2013-09-13,27,110.29
2013-09-20,31,111.42
2013-09-27,35,110.11
2013-10-04,26,111.99
2013-10-11,20,113.29
2013-10-18,29,117.35
2013-10-25,34,123.49
2013-11-01,33,122.61
2013-11-08,32,123.32
2013-11-15,31,125.02
2013-11-22,31,121.80
2013-11-29,28,121.02
2013-12-06,28,118.15
2013-12-13,25,117.44
2013-12-20,30,121.73
2013-12-27,20,122.04
2014-01-03,29,119.77
2014-01-10,30,116.38
2014-01-17,33,116.31
2014-01-24,35,99.49
2014-01-31,36,105.59
2014-02-07,28,102.59
2014-02-14,27,95.96
2014-02-21,30,95.58
2014-02-28,23,93.92
2014-03-07,41,98.37
2014-03-14,25,96.60
2014-03-21,32,98.58
2014-03-28,33,99.61
2014-04-04,29,100.73
2014-04-11,25,95.54
2014-04-18,33,
2014-04-25,33,99.27
2014-05-02,25,
