Date,Keurig Green Mountain,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,20.39
2004-02-13,0,20.28
2004-02-20,0,20.08
2004-02-27,0,20.08
2004-03-05,0,20.49
2004-03-12,0,21.17
2004-03-19,0,19.95
2004-03-26,0,19.91
2004-04-02,0,20.57
2004-04-09,0,
2004-04-16,0,20.94
2004-04-23,0,21.50
2004-04-30,0,21.35
2004-05-07,0,19.40
2004-05-14,0,19.24
2004-05-21,0,19.20
2004-05-28,0,20.11
2004-06-04,0,19.61
2004-06-11,0,
2004-06-18,0,18.20
2004-06-25,0,18.38
2004-07-02,0,18.57
2004-07-09,0,18.33
2004-07-16,0,18.45
2004-07-23,0,18.32
2004-07-30,0,18.46
2004-08-06,0,19.72
2004-08-13,0,20.00
2004-08-20,0,19.93
2004-08-27,0,20.46
2004-09-03,0,20.49
2004-09-10,0,20.40
2004-09-17,0,20.21
2004-09-24,0,19.76
2004-10-01,0,22.24
2004-10-08,0,23.83
2004-10-15,0,24.37
2004-10-22,0,25.49
2004-10-29,0,25.08
2004-11-05,0,23.69
2004-11-12,0,24.25
2004-11-19,0,23.95
2004-11-26,0,23.87
2004-12-03,0,24.40
2004-12-10,0,23.98
2004-12-17,0,23.98
2004-12-24,0,
2004-12-31,0,25.10
2005-01-07,0,25.20
2005-01-14,0,25.44
2005-01-21,0,24.50
2005-01-28,0,24.95
2005-02-04,0,25.67
2005-02-11,0,25.11
2005-02-18,0,25.53
2005-02-25,0,25.90
2005-03-04,0,25.76
2005-03-11,0,24.37
2005-03-18,0,23.92
2005-03-25,0,
2005-04-01,0,24.00
2005-04-08,0,24.71
2005-04-15,0,25.20
2005-04-22,0,25.89
2005-04-29,0,25.84
2005-05-06,0,28.00
2005-05-13,0,29.68
2005-05-20,0,32.43
2005-05-27,0,33.29
2005-06-03,0,33.42
2005-06-10,0,32.77
2005-06-17,0,34.25
2005-06-24,0,32.71
2005-07-01,0,32.90
2005-07-08,0,32.49
2005-07-15,0,35.28
2005-07-22,0,35.02
2005-07-29,0,35.17
2005-08-05,0,34.26
2005-08-12,0,37.50
2005-08-19,0,37.66
2005-08-26,0,39.00
2005-09-02,0,37.21
2005-09-09,0,37.75
2005-09-16,0,35.72
2005-09-23,0,34.16
2005-09-30,0,34.78
2005-10-07,0,34.81
2005-10-14,0,35.28
2005-10-21,0,38.47
2005-10-28,0,42.12
2005-11-04,0,42.60
2005-11-11,0,40.18
2005-11-18,0,39.30
2005-11-25,0,39.82
2005-12-02,0,41.46
2005-12-09,0,40.93
2005-12-16,0,41.01
2005-12-23,0,41.05
2005-12-30,0,40.60
2006-01-06,0,39.25
2006-01-13,0,39.94
2006-01-20,0,40.43
2006-01-27,0,40.69
2006-02-03,0,39.65
2006-02-10,0,38.25
2006-02-17,0,39.72
2006-02-24,0,40.88
2006-03-03,0,40.30
2006-03-10,0,39.85
2006-03-17,0,40.02
2006-03-24,0,39.83
2006-03-31,0,39.72
2006-04-07,0,37.80
2006-04-14,0,
2006-04-21,0,38.25
2006-04-28,0,39.80
2006-05-05,0,43.50
2006-05-12,0,42.34
2006-05-19,0,42.52
2006-05-26,0,40.76
2006-06-02,0,40.06
2006-06-09,0,39.70
2006-06-16,0,36.94
2006-06-23,0,36.90
2006-06-30,0,40.17
2006-07-07,0,38.37
2006-07-14,0,35.24
2006-07-21,0,38.66
2006-07-28,0,38.72
2006-08-04,0,39.33
2006-08-11,0,36.41
2006-08-18,0,37.89
2006-08-25,0,35.95
2006-09-01,0,37.97
2006-09-08,0,37.61
2006-09-15,0,36.52
2006-09-22,0,37.05
2006-09-29,0,36.80
2006-10-06,0,38.04
2006-10-13,0,38.56
2006-10-20,0,40.50
2006-10-27,0,39.42
2006-11-03,0,38.47
2006-11-10,0,41.18
2006-11-17,0,44.70
2006-11-24,0,46.89
2006-12-01,0,49.84
2006-12-08,0,51.80
2006-12-15,0,49.40
2006-12-22,0,47.04
2006-12-29,0,49.23
2007-01-05,0,50.42
2007-01-12,0,50.61
2007-01-19,0,54.50
2007-01-26,0,56.62
2007-02-02,0,64.25
2007-02-09,0,62.06
2007-02-16,0,61.79
2007-02-23,0,60.74
2007-03-02,0,56.05
2007-03-09,0,58.29
2007-03-16,0,56.84
2007-03-23,0,60.50
2007-03-30,0,63.05
2007-04-06,0,
2007-04-13,0,62.70
2007-04-20,0,64.74
2007-04-27,0,62.04
2007-05-04,0,70.70
2007-05-11,0,70.82
2007-05-18,0,68.80
2007-05-25,0,66.99
2007-06-01,0,68.60
2007-06-08,0,70.89
2007-06-15,0,76.48
2007-06-22,0,80.00
2007-06-29,0,78.74
2007-07-06,0,92.04
2007-07-13,0,91.10
2007-07-20,0,88.80
2007-07-27,0,85.05
2007-08-03,0,28.02
2007-08-10,0,33.90
2007-08-17,0,36.21
2007-08-24,0,35.40
2007-08-31,0,34.07
2007-09-07,0,30.89
2007-09-14,0,31.30
2007-09-21,0,33.57
2007-09-28,0,33.19
2007-10-05,0,38.55
2007-10-12,0,38.40
2007-10-19,0,39.60
2007-10-26,0,38.55
2007-11-02,0,34.33
2007-11-09,0,30.63
2007-11-16,0,31.47
2007-11-23,0,30.93
2007-11-30,0,32.62
2007-12-07,76,33.30
2007-12-14,52,37.44
2007-12-21,52,41.48
2007-12-28,0,40.80
2008-01-04,0,39.64
2008-01-11,0,40.70
2008-01-18,0,39.43
2008-01-25,0,34.06
2008-02-01,0,38.66
2008-02-08,0,36.42
2008-02-15,0,35.17
2008-02-22,0,33.85
2008-02-29,0,30.51
2008-03-07,0,26.23
2008-03-14,0,26.17
2008-03-21,0,
2008-03-28,0,31.02
2008-04-04,0,32.55
2008-04-11,0,32.99
2008-04-18,0,35.04
2008-04-25,0,32.14
2008-05-02,0,38.68
2008-05-09,0,36.94
2008-05-16,0,39.85
2008-05-23,0,39.90
2008-05-30,0,43.16
2008-06-06,0,41.96
2008-06-13,0,43.51
2008-06-20,0,42.96
2008-06-27,0,39.51
2008-07-04,0,
2008-07-11,0,36.89
2008-07-18,0,37.02
2008-07-25,0,39.12
2008-08-01,0,34.00
2008-08-08,0,35.27
2008-08-15,0,37.93
2008-08-22,0,34.59
2008-08-29,0,36.49
2008-09-05,0,34.31
2008-09-12,0,32.47
2008-09-19,0,40.25
2008-09-26,0,38.80
2008-10-03,0,36.37
2008-10-10,0,32.75
2008-10-17,0,29.06
2008-10-24,0,24.51
2008-10-31,37,28.99
2008-11-07,41,26.30
2008-11-14,46,29.25
2008-11-21,51,32.73
2008-11-28,50,36.30
2008-12-05,50,36.00
2008-12-12,67,35.37
2008-12-19,62,35.62
2008-12-26,63,38.33
2009-01-02,70,39.09
2009-01-09,45,34.74
2009-01-16,45,37.10
2009-01-23,41,39.80
2009-01-30,36,38.26
2009-02-06,36,41.50
2009-02-13,36,41.40
2009-02-20,50,40.01
2009-02-27,50,37.35
2009-03-06,46,39.35
2009-03-13,47,41.40
2009-03-20,49,45.27
2009-03-27,51,47.15
2009-04-03,52,50.20
2009-04-10,32,
2009-04-17,32,52.67
2009-04-24,32,53.28
2009-05-01,32,72.00
2009-05-08,32,80.50
2009-05-15,0,77.82
2009-05-22,0,79.78
2009-05-29,0,83.24
2009-06-05,0,91.42
2009-06-12,0,60.43
2009-06-19,0,56.53
2009-06-26,40,56.08
2009-07-03,0,
2009-07-10,0,56.42
2009-07-17,0,60.15
2009-07-24,0,68.64
2009-07-31,0,70.44
2009-08-07,49,69.90
2009-08-14,37,63.37
2009-08-21,37,58.34
2009-08-28,37,60.37
2009-09-04,39,58.60
2009-09-11,42,62.46
2009-09-18,44,68.89
2009-09-25,40,68.93
2009-10-02,40,69.56
2009-10-09,40,73.43
2009-10-16,40,73.35
2009-10-23,30,74.64
2009-10-30,30,66.55
2009-11-06,33,67.61
2009-11-13,33,68.46
2009-11-20,76,65.01
2009-11-27,56,62.95
2009-12-04,65,61.19
2009-12-11,68,65.47
2009-12-18,55,69.25
2009-12-25,76,
2010-01-01,96,
2010-01-08,83,81.85
2010-01-15,77,80.41
2010-01-22,45,81.16
2010-01-29,62,84.82
2010-02-05,48,82.60
2010-02-12,25,83.71
2010-02-19,26,83.41
2010-02-26,39,84.39
2010-03-05,40,87.74
2010-03-12,37,92.65
2010-03-19,27,93.90
2010-03-26,27,93.13
2010-04-02,37,
2010-04-09,34,96.57
2010-04-16,34,94.35
2010-04-23,34,87.30
2010-04-30,35,72.76
2010-05-07,35,71.45
2010-05-14,29,75.85
2010-05-21,29,23.32
2010-05-28,29,23.65
2010-06-04,29,23.47
2010-06-11,28,23.81
2010-06-18,28,27.30
2010-06-25,28,27.21
2010-07-02,26,26.01
2010-07-09,0,27.15
2010-07-16,0,27.83
2010-07-23,0,29.35
2010-07-30,0,30.79
2010-08-06,0,30.73
2010-08-13,29,30.91
2010-08-20,33,32.46
2010-08-27,37,30.58
2010-09-03,25,31.97
2010-09-10,32,34.19
2010-09-17,29,35.43
2010-09-24,31,36.22
2010-10-01,32,29.57
2010-10-08,32,26.98
2010-10-15,26,29.99
2010-10-22,48,31.29
2010-10-29,42,32.99
2010-11-05,57,34.63
2010-11-12,43,31.45
2010-11-19,72,30.26
2010-11-26,68,37.63
2010-12-03,87,36.28
2010-12-10,63,33.81
2010-12-17,73,31.84
2010-12-24,50,
2010-12-31,100,32.86
2011-01-07,86,35.92
2011-01-14,93,35.33
2011-01-21,71,34.47
2011-01-28,55,33.76
2011-02-04,47,39.61
2011-02-11,55,43.46
2011-02-18,34,41.81
2011-02-25,42,41.57
2011-03-04,52,41.75
2011-03-11,69,58.86
2011-03-18,50,60.71
2011-03-25,52,62.65
2011-04-01,54,64.77
2011-04-08,47,64.74
2011-04-15,43,65.63
2011-04-22,49,
2011-04-29,42,66.96
2011-05-06,47,75.88
2011-05-13,43,75.56
2011-05-20,35,76.65
2011-05-27,32,82.54
2011-06-03,38,79.30
2011-06-10,27,74.05
2011-06-17,28,80.10
2011-06-24,47,83.43
2011-07-01,35,90.35
2011-07-08,30,96.20
2011-07-15,38,90.06
2011-07-22,48,92.71
2011-07-29,32,103.95
2011-08-05,54,95.99
2011-08-12,29,103.58
2011-08-19,24,84.08
2011-08-26,26,97.91
2011-09-02,28,103.56
2011-09-09,29,106.41
2011-09-16,44,107.99
2011-09-23,54,104.26
2011-09-30,50,92.94
2011-10-07,32,92.06
2011-10-14,25,92.09
2011-10-21,38,67.85
2011-10-28,38,70.99
2011-11-04,43,70.67
2011-11-11,60,43.71
2011-11-18,54,50.45
2011-11-25,61,49.66
2011-12-02,79,56.32
2011-12-09,54,58.44
2011-12-16,70,45.26
2011-12-23,65,45.41
2011-12-30,92,44.85
2012-01-06,64,43.17
2012-01-13,43,46.97
2012-01-20,47,50.90
2012-01-27,43,52.50
2012-02-03,45,66.21
2012-02-10,26,62.85
2012-02-17,32,69.01
2012-02-24,46,66.18
2012-03-02,41,68.29
2012-03-09,34,52.59
2012-03-16,22,51.39
2012-03-23,44,53.51
2012-03-30,25,46.84
2012-04-06,18,
2012-04-13,24,43.59
2012-04-20,25,44.26
2012-04-27,36,47.90
2012-05-04,54,25.10
2012-05-11,40,25.16
2012-05-18,20,24.05
2012-05-25,28,25.31
2012-06-01,34,22.42
2012-06-08,33,23.13
2012-06-15,21,19.82
2012-06-22,23,20.31
2012-06-29,24,21.78
2012-07-06,35,24.50
2012-07-13,30,19.70
2012-07-20,34,17.57
2012-07-27,34,18.04
2012-08-03,26,21.63
2012-08-10,35,24.43
2012-08-17,27,24.95
2012-08-24,30,25.63
2012-08-31,30,24.31
2012-09-07,23,27.83
2012-09-14,33,31.09
2012-09-21,26,26.76
2012-09-28,19,23.74
2012-10-05,29,22.13
2012-10-12,45,22.00
2012-10-19,48,23.93
2012-10-26,62,24.36
2012-11-02,43,25.67
2012-11-09,46,23.81
2012-11-16,44,24.55
2012-11-23,53,28.13
2012-11-30,74,36.67
2012-12-07,51,37.85
2012-12-14,42,40.32
2012-12-21,31,41.11
2012-12-28,56,40.35
2013-01-04,59,42.08
2013-01-11,46,41.23
2013-01-18,49,40.60
2013-01-25,48,46.31
2013-02-01,41,46.92
2013-02-08,31,45.16
2013-02-15,35,44.39
2013-02-22,23,45.53
2013-03-01,27,48.91
2013-03-08,37,52.87
2013-03-15,36,54.22
2013-03-22,26,55.43
2013-03-29,31,
2013-04-05,21,53.23
2013-04-12,31,57.44
2013-04-19,21,55.01
2013-04-26,20,55.56
2013-05-03,22,58.08
2013-05-10,19,77.22
2013-05-17,20,79.61
2013-05-24,14,71.90
2013-05-31,16,73.13
2013-06-07,24,76.09
2013-06-14,20,78.38
2013-06-21,19,74.42
2013-06-28,17,75.22
2013-07-05,15,72.83
2013-07-12,16,68.88
2013-07-19,16,73.62
2013-07-26,18,75.33
2013-08-02,31,78.11
2013-08-09,20,78.17
2013-08-16,23,76.38
2013-08-23,27,85.61
2013-08-30,27,86.31
2013-09-06,25,82.14
2013-09-13,26,84.29
2013-09-20,21,84.16
2013-09-27,27,74.88
2013-10-04,24,75.71
2013-10-11,24,68.26
2013-10-18,24,64.41
2013-10-25,30,61.78
2013-11-01,24,62.68
2013-11-08,25,59.71
2013-11-15,27,63.02
2013-11-22,27,68.77
2013-11-29,30,67.38
2013-12-06,41,71.30
2013-12-13,29,72.66
2013-12-20,34,77.25
2013-12-27,39,74.83
2014-01-03,49,75.75
2014-01-10,34,80.76
2014-01-17,19,78.96
2014-01-24,32,78.68
2014-01-31,26,81.00
2014-02-07,84,107.75
2014-02-14,42,116.03
2014-02-21,31,123.04
2014-02-28,26,109.78
2014-03-07,46,106.00
2014-03-14,56,113.25
2014-03-21,60,112.00
2014-03-28,46,108.15
2014-04-04,47,102.99
2014-04-11,42,97.98
2014-04-18,41,
2014-04-25,34,93.27
2014-05-02,39,
