Date,Kimco Realty,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,47.60
2004-02-13,0,47.00
2004-02-20,0,47.15
2004-02-27,0,46.95
2004-03-05,0,49.28
2004-03-12,0,48.25
2004-03-19,0,49.50
2004-03-26,0,49.23
2004-04-02,0,50.05
2004-04-09,0,
2004-04-16,0,43.03
2004-04-23,0,42.60
2004-04-30,0,42.74
2004-05-07,0,41.29
2004-05-14,0,40.98
2004-05-21,0,42.68
2004-05-28,0,45.95
2004-06-04,0,46.20
2004-06-11,0,
2004-06-18,0,45.20
2004-06-25,0,45.88
2004-07-02,0,46.70
2004-07-09,0,46.35
2004-07-16,0,47.72
2004-07-23,0,46.48
2004-07-30,0,48.10
2004-08-06,0,48.04
2004-08-13,0,46.56
2004-08-20,0,48.96
2004-08-27,0,49.42
2004-09-03,0,50.70
2004-09-10,0,50.48
2004-09-17,0,50.70
2004-09-24,0,50.02
2004-10-01,0,50.98
2004-10-08,0,51.21
2004-10-15,0,52.88
2004-10-22,0,52.95
2004-10-29,0,54.55
2004-11-05,0,53.24
2004-11-12,0,56.29
2004-11-19,0,53.80
2004-11-26,0,56.22
2004-12-03,0,57.75
2004-12-10,0,58.94
2004-12-17,0,57.90
2004-12-24,0,
2004-12-31,0,57.99
2005-01-07,0,55.46
2005-01-14,0,54.60
2005-01-21,0,54.97
2005-01-28,0,52.69
2005-02-04,0,55.40
2005-02-11,0,56.00
2005-02-18,0,56.59
2005-02-25,0,54.00
2005-03-04,0,55.21
2005-03-11,0,53.70
2005-03-18,0,54.04
2005-03-25,0,
2005-04-01,0,52.96
2005-04-08,0,53.08
2005-04-15,0,53.03
2005-04-22,0,53.65
2005-04-29,0,55.39
2005-05-06,0,56.65
2005-05-13,0,56.41
2005-05-20,0,58.45
2005-05-27,0,57.13
2005-06-03,0,57.58
2005-06-10,0,58.55
2005-06-17,0,59.76
2005-06-24,0,58.10
2005-07-01,0,59.38
2005-07-08,0,60.88
2005-07-15,0,60.20
2005-07-22,0,61.42
2005-07-29,0,65.66
2005-08-05,0,63.59
2005-08-12,0,61.80
2005-08-19,0,62.16
2005-08-26,0,30.85
2005-09-02,0,32.05
2005-09-09,0,31.90
2005-09-16,0,32.10
2005-09-23,0,30.74
2005-09-30,0,31.42
2005-10-07,0,29.57
2005-10-14,0,28.94
2005-10-21,0,28.69
2005-10-28,0,29.32
2005-11-04,0,29.27
2005-11-11,0,30.87
2005-11-18,0,30.83
2005-11-25,0,31.52
2005-12-02,100,31.85
2005-12-09,0,31.70
2005-12-16,0,32.68
2005-12-23,0,32.92
2005-12-30,0,32.08
2006-01-06,0,33.91
2006-01-13,0,33.48
2006-01-20,0,34.00
2006-01-27,0,34.85
2006-02-03,0,34.35
2006-02-10,0,33.97
2006-02-17,0,35.60
2006-02-24,0,36.03
2006-03-03,0,36.25
2006-03-10,0,38.18
2006-03-17,0,39.58
2006-03-24,0,38.66
2006-03-31,0,40.64
2006-04-07,0,37.66
2006-04-14,0,
2006-04-21,0,37.11
2006-04-28,0,37.13
2006-05-05,0,37.00
2006-05-12,0,36.11
2006-05-19,0,34.85
2006-05-26,0,36.37
2006-06-02,0,37.42
2006-06-09,0,37.22
2006-06-16,0,36.04
2006-06-23,0,35.26
2006-06-30,0,36.49
2006-07-07,0,36.87
2006-07-14,0,36.54
2006-07-21,0,37.55
2006-07-28,0,39.40
2006-08-04,0,40.00
2006-08-11,0,38.75
2006-08-18,0,40.29
2006-08-25,0,40.52
2006-09-01,0,41.26
2006-09-08,0,41.42
2006-09-15,0,42.10
2006-09-22,0,41.05
2006-09-29,0,42.87
2006-10-06,0,43.59
2006-10-13,0,45.24
2006-10-20,0,44.44
2006-10-27,0,44.24
2006-11-03,0,42.94
2006-11-10,0,42.83
2006-11-17,0,44.15
2006-11-24,0,46.36
2006-12-01,0,46.19
2006-12-08,0,46.10
2006-12-15,0,46.01
2006-12-22,0,44.35
2006-12-29,0,44.95
2007-01-05,0,44.08
2007-01-12,61,46.94
2007-01-19,0,48.26
2007-01-26,0,48.92
2007-02-02,0,50.47
2007-02-09,0,51.88
2007-02-16,0,52.39
2007-02-23,0,52.09
2007-03-02,0,48.93
2007-03-09,0,49.55
2007-03-16,58,48.49
2007-03-23,58,50.42
2007-03-30,59,48.74
2007-04-06,60,
2007-04-13,0,48.45
2007-04-20,0,48.83
2007-04-27,0,49.11
2007-05-04,0,48.28
2007-05-11,0,47.94
2007-05-18,0,43.77
2007-05-25,57,43.23
2007-06-01,52,46.35
2007-06-08,52,44.28
2007-06-15,52,42.56
2007-06-22,52,39.17
2007-06-29,55,38.07
2007-07-06,58,39.43
2007-07-13,78,40.11
2007-07-20,51,38.95
2007-07-27,51,36.60
2007-08-03,51,37.70
2007-08-10,52,39.68
2007-08-17,47,40.03
2007-08-24,47,41.84
2007-08-31,47,42.82
2007-09-07,47,40.62
2007-09-14,0,43.50
2007-09-21,0,45.76
2007-09-28,0,45.21
2007-10-05,0,47.63
2007-10-12,0,45.70
2007-10-19,0,41.05
2007-10-26,47,42.09
2007-11-02,38,38.82
2007-11-09,38,37.90
2007-11-16,38,37.84
2007-11-23,41,37.82
2007-11-30,43,39.49
2007-12-07,46,40.53
2007-12-14,45,37.31
2007-12-21,41,37.53
2007-12-28,41,36.03
2008-01-04,41,33.77
2008-01-11,41,32.58
2008-01-18,55,30.70
2008-01-25,39,34.84
2008-02-01,39,37.37
2008-02-08,48,34.15
2008-02-15,46,34.05
2008-02-22,46,33.90
2008-02-29,45,33.77
2008-03-07,37,34.05
2008-03-14,37,33.65
2008-03-21,44,
2008-03-28,46,38.76
2008-04-04,41,40.80
2008-04-11,37,37.99
2008-04-18,37,40.57
2008-04-25,37,42.09
2008-05-02,53,41.24
2008-05-09,0,39.49
2008-05-16,0,40.87
2008-05-23,0,38.77
2008-05-30,0,39.35
2008-06-06,0,37.89
2008-06-13,0,37.79
2008-06-20,0,36.37
2008-06-27,0,34.77
2008-07-04,0,
2008-07-11,59,32.62
2008-07-18,46,34.24
2008-07-25,46,34.69
2008-08-01,37,34.95
2008-08-08,41,36.57
2008-08-15,37,37.06
2008-08-22,37,36.44
2008-08-29,39,37.14
2008-09-05,41,37.81
2008-09-12,43,38.87
2008-09-19,33,42.95
2008-09-26,33,38.38
2008-10-03,32,31.36
2008-10-10,32,29.78
2008-10-17,35,24.63
2008-10-24,53,18.50
2008-10-31,40,22.58
2008-11-07,39,21.01
2008-11-14,37,17.25
2008-11-21,52,11.28
2008-11-28,44,14.15
2008-12-05,44,16.28
2008-12-12,44,15.99
2008-12-19,40,18.85
2008-12-26,30,18.50
2009-01-02,30,18.20
2009-01-09,30,17.90
2009-01-16,44,17.07
2009-01-23,43,15.61
2009-01-30,43,14.38
2009-02-06,43,13.38
2009-02-13,37,10.40
2009-02-20,41,10.01
2009-02-27,46,8.85
2009-03-06,28,7.01
2009-03-13,60,9.18
2009-03-20,42,7.30
2009-03-27,49,7.65
2009-04-03,55,9.40
2009-04-10,65,
2009-04-17,46,11.08
2009-04-24,52,11.67
2009-05-01,33,11.15
2009-05-08,33,12.09
2009-05-15,30,10.06
2009-05-22,32,11.00
2009-05-29,35,11.69
2009-06-05,39,12.40
2009-06-12,43,11.35
2009-06-19,47,10.17
2009-06-26,27,9.97
2009-07-03,27,
2009-07-10,38,8.61
2009-07-17,27,8.22
2009-07-24,28,9.16
2009-07-31,36,9.84
2009-08-07,42,12.03
2009-08-14,27,11.16
2009-08-21,27,12.05
2009-08-28,34,12.69
2009-09-04,35,11.69
2009-09-11,33,13.04
2009-09-18,32,14.94
2009-09-25,31,13.02
2009-10-02,31,11.73
2009-10-09,39,12.70
2009-10-16,46,13.16
2009-10-23,31,13.66
2009-10-30,31,12.64
2009-11-06,37,11.95
2009-11-13,36,12.45
2009-11-20,36,12.40
2009-11-27,36,11.85
2009-12-04,36,13.59
2009-12-11,23,12.50
2009-12-18,23,12.83
2009-12-25,25,
2010-01-01,27,
2010-01-08,25,13.93
2010-01-15,30,13.62
2010-01-22,24,13.04
2010-01-29,30,12.62
2010-02-05,36,12.97
2010-02-12,36,12.82
2010-02-19,28,13.71
2010-02-26,21,13.89
2010-03-05,31,14.61
2010-03-12,29,15.12
2010-03-19,21,15.57
2010-03-26,21,16.10
2010-04-02,33,
2010-04-09,39,16.40
2010-04-16,29,15.13
2010-04-23,21,15.75
2010-04-30,23,15.59
2010-05-07,32,15.01
2010-05-14,43,15.73
2010-05-21,32,14.28
2010-05-28,37,14.30
2010-06-04,24,13.31
2010-06-11,21,14.54
2010-06-18,26,15.17
2010-06-25,22,14.69
2010-07-02,37,13.03
2010-07-09,22,13.60
2010-07-16,22,13.37
2010-07-23,29,14.73
2010-07-30,22,15.07
2010-08-06,21,15.06
2010-08-13,22,14.58
2010-08-20,23,14.38
2010-08-27,19,14.95
2010-09-03,19,15.85
2010-09-10,22,15.55
2010-09-17,25,16.14
2010-09-24,28,16.65
2010-10-01,23,15.79
2010-10-08,23,16.82
2010-10-15,23,17.03
2010-10-22,23,17.33
2010-10-29,23,17.21
2010-11-05,18,18.08
2010-11-12,22,16.94
2010-11-19,26,16.37
2010-11-26,0,16.62
2010-12-03,0,17.28
2010-12-10,0,17.15
2010-12-17,0,16.91
2010-12-24,0,
2010-12-31,0,18.04
2011-01-07,0,18.07
2011-01-14,29,18.08
2011-01-21,16,17.71
2011-01-28,20,17.83
2011-02-04,23,18.38
2011-02-11,22,18.56
2011-02-18,22,18.79
2011-02-25,22,18.88
2011-03-04,19,18.19
2011-03-11,19,18.05
2011-03-18,22,17.68
2011-03-25,24,17.75
2011-04-01,16,17.91
2011-04-08,16,17.54
2011-04-15,16,18.05
2011-04-22,19,
2011-04-29,23,19.54
2011-05-06,22,19.07
2011-05-13,19,18.98
2011-05-20,19,18.98
2011-05-27,19,19.16
2011-06-03,23,18.68
2011-06-10,20,17.23
2011-06-17,16,17.73
2011-06-24,16,18.08
2011-07-01,16,18.73
2011-07-08,17,19.50
2011-07-15,19,19.35
2011-07-22,19,20.30
2011-07-29,16,19.03
2011-08-05,0,16.09
2011-08-12,0,16.86
2011-08-19,0,16.20
2011-08-26,0,16.63
2011-09-02,0,16.63
2011-09-09,0,16.19
2011-09-16,16,16.93
2011-09-23,17,15.22
2011-09-30,18,15.03
2011-10-07,13,14.58
2011-10-14,13,15.49
2011-10-21,15,16.32
2011-10-28,24,17.90
2011-11-04,15,17.32
2011-11-11,32,16.30
2011-11-18,16,15.76
2011-11-25,15,14.72
2011-12-02,15,15.59
2011-12-09,15,16.04
2011-12-16,18,16.13
2011-12-23,22,16.90
2011-12-30,26,16.24
2012-01-06,30,16.45
2012-01-13,19,17.22
2012-01-20,18,18.12
2012-01-27,24,18.36
2012-02-03,15,18.89
2012-02-10,20,18.39
2012-02-17,19,18.77
2012-02-24,14,18.70
2012-03-02,21,18.77
2012-03-09,13,18.17
2012-03-16,21,19.61
2012-03-23,21,19.20
2012-03-30,20,19.26
2012-04-06,26,
2012-04-13,22,18.11
2012-04-20,20,18.80
2012-04-27,24,19.35
2012-05-04,15,19.49
2012-05-11,13,19.61
2012-05-18,26,17.79
2012-05-25,21,18.09
2012-06-01,15,17.45
2012-06-08,12,18.45
2012-06-15,12,18.63
2012-06-22,12,18.44
2012-06-29,17,19.03
2012-07-06,12,19.25
2012-07-13,20,19.28
2012-07-20,19,19.05
2012-07-27,17,19.28
2012-08-03,20,19.94
2012-08-10,21,19.56
2012-08-17,20,20.31
2012-08-24,24,20.32
2012-08-31,18,20.32
2012-09-07,18,20.48
2012-09-14,15,21.03
2012-09-21,22,20.63
2012-09-28,19,20.27
2012-10-05,20,20.25
2012-10-12,21,20.27
2012-10-19,14,20.58
2012-10-26,18,19.63
2012-11-02,22,19.59
2012-11-09,19,18.94
2012-11-16,12,18.56
2012-11-23,12,19.17
2012-11-30,18,19.26
2012-12-07,15,19.60
2012-12-14,15,19.29
2012-12-21,20,19.45
2012-12-28,17,19.05
2013-01-04,17,19.80
2013-01-11,23,19.80
2013-01-18,13,19.87
2013-01-25,16,20.70
2013-02-01,18,21.05
2013-02-08,21,21.55
2013-02-15,16,21.71
2013-02-22,22,21.71
2013-03-01,22,21.80
2013-03-08,20,22.07
2013-03-15,11,22.07
2013-03-22,14,22.31
2013-03-29,12,
2013-04-05,20,22.60
2013-04-12,17,23.24
2013-04-19,18,22.89
2013-04-26,13,23.10
2013-05-03,14,24.56
2013-05-10,11,24.97
2013-05-17,18,24.22
2013-05-24,22,23.15
2013-05-31,13,22.15
2013-06-07,25,22.13
2013-06-14,13,22.01
2013-06-21,13,20.84
2013-06-28,13,21.43
2013-07-05,13,21.38
2013-07-12,18,22.34
2013-07-19,22,22.97
2013-07-26,23,22.71
2013-08-02,16,22.50
2013-08-09,21,22.13
2013-08-16,18,20.50
2013-08-23,16,20.57
2013-08-30,10,20.03
2013-09-06,10,20.10
2013-09-13,13,20.25
2013-09-20,12,20.63
2013-09-27,13,20.37
2013-10-04,18,19.58
2013-10-11,15,20.39
2013-10-18,18,20.86
2013-10-25,15,21.61
2013-11-01,21,21.56
2013-11-08,18,21.00
2013-11-15,15,21.18
2013-11-22,16,20.91
2013-11-29,12,20.62
2013-12-06,13,20.98
2013-12-13,14,20.02
2013-12-20,10,20.21
2013-12-27,13,20.13
2014-01-03,13,19.94
2014-01-10,11,20.56
2014-01-17,13,20.76
2014-01-24,19,20.69
2014-01-31,14,20.91
2014-02-07,10,20.93
2014-02-14,20,21.68
2014-02-21,11,21.79
2014-02-28,17,22.26
2014-03-07,10,22.05
2014-03-14,13,21.88
2014-03-21,19,21.85
2014-03-28,19,21.84
2014-04-04,18,21.88
2014-04-11,15,21.75
2014-04-18,15,
2014-04-25,22,22.54
2014-05-02,0,
