Date,Kinder Morgan,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,25,
2004-02-06,28,
2004-02-13,30,
2004-02-20,32,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,46,
2004-04-23,36,
2004-04-30,36,
2004-05-07,34,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,22,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,28,
2004-08-06,22,
2004-08-13,27,
2004-08-20,26,
2004-08-27,26,
2004-09-03,18,
2004-09-10,18,
2004-09-17,18,
2004-09-24,21,
2004-10-01,21,
2004-10-08,22,
2004-10-15,23,
2004-10-22,24,
2004-10-29,17,
2004-11-05,17,
2004-11-12,35,
2004-11-19,21,
2004-11-26,20,
2004-12-03,20,
2004-12-10,24,
2004-12-17,18,
2004-12-24,18,
2004-12-31,18,
2005-01-07,18,
2005-01-14,21,
2005-01-21,18,
2005-01-28,18,
2005-02-04,24,
2005-02-11,32,
2005-02-18,25,
2005-02-25,25,
2005-03-04,31,
2005-03-11,24,
2005-03-18,29,
2005-03-25,26,
2005-04-01,27,
2005-04-08,35,
2005-04-15,32,
2005-04-22,29,
2005-04-29,27,
2005-05-06,21,
2005-05-13,15,
2005-05-20,25,
2005-05-27,27,
2005-06-03,20,
2005-06-10,21,
2005-06-17,21,
2005-06-24,22,
2005-07-01,29,
2005-07-08,22,
2005-07-15,18,
2005-07-22,23,
2005-07-29,20,
2005-08-05,68,
2005-08-12,37,
2005-08-19,29,
2005-08-26,27,
2005-09-02,37,
2005-09-09,21,
2005-09-16,25,
2005-09-23,17,
2005-09-30,25,
2005-10-07,17,
2005-10-14,24,
2005-10-21,33,
2005-10-28,13,
2005-11-04,28,
2005-11-11,18,
2005-11-18,30,
2005-11-25,23,
2005-12-02,29,
2005-12-09,29,
2005-12-16,22,
2005-12-23,12,
2005-12-30,23,
2006-01-06,36,
2006-01-13,21,
2006-01-20,34,
2006-01-27,28,
2006-02-03,27,
2006-02-10,29,
2006-02-17,25,
2006-02-24,33,
2006-03-03,28,
2006-03-10,28,
2006-03-17,19,
2006-03-24,17,
2006-03-31,23,
2006-04-07,22,
2006-04-14,21,
2006-04-21,38,
2006-04-28,34,
2006-05-05,26,
2006-05-12,26,
2006-05-19,20,
2006-05-26,21,
2006-06-02,100,
2006-06-09,39,
2006-06-16,30,
2006-06-23,31,
2006-06-30,25,
2006-07-07,25,
2006-07-14,24,
2006-07-21,30,
2006-07-28,42,
2006-08-04,23,
2006-08-11,24,
2006-08-18,25,
2006-08-25,23,
2006-09-01,58,
2006-09-08,24,
2006-09-15,28,
2006-09-22,22,
2006-09-29,25,
2006-10-06,23,
2006-10-13,18,
2006-10-20,25,
2006-10-27,18,
2006-11-03,32,
2006-11-10,16,
2006-11-17,22,
2006-11-24,13,
2006-12-01,23,
2006-12-08,17,
2006-12-15,24,
2006-12-22,21,
2006-12-29,14,
2007-01-05,17,
2007-01-12,14,
2007-01-19,27,
2007-01-26,24,
2007-02-02,21,
2007-02-09,34,
2007-02-16,26,
2007-02-23,42,
2007-03-02,28,
2007-03-09,26,
2007-03-16,25,
2007-03-23,22,
2007-03-30,23,
2007-04-06,31,
2007-04-13,34,
2007-04-20,29,
2007-04-27,24,
2007-05-04,27,
2007-05-11,26,
2007-05-18,28,
2007-05-25,30,
2007-06-01,24,
2007-06-08,27,
2007-06-15,15,
2007-06-22,21,
2007-06-29,23,
2007-07-06,20,
2007-07-13,26,
2007-07-20,28,
2007-07-27,46,
2007-08-03,26,
2007-08-10,24,
2007-08-17,21,
2007-08-24,16,
2007-08-31,24,
2007-09-07,20,
2007-09-14,20,
2007-09-21,19,
2007-09-28,18,
2007-10-05,24,
2007-10-12,24,
2007-10-19,19,
2007-10-26,18,
2007-11-02,21,
2007-11-09,20,
2007-11-16,22,
2007-11-23,11,
2007-11-30,20,
2007-12-07,25,
2007-12-14,17,
2007-12-21,17,
2007-12-28,13,
2008-01-04,18,
2008-01-11,17,
2008-01-18,24,
2008-01-25,20,
2008-02-01,21,
2008-02-08,20,
2008-02-15,24,
2008-02-22,22,
2008-02-29,23,
2008-03-07,25,
2008-03-14,26,
2008-03-21,26,
2008-03-28,33,
2008-04-04,32,
2008-04-11,27,
2008-04-18,25,
2008-04-25,23,
2008-05-02,21,
2008-05-09,18,
2008-05-16,22,
2008-05-23,24,
2008-05-30,16,
2008-06-06,19,
2008-06-13,22,
2008-06-20,21,
2008-06-27,17,
2008-07-04,19,
2008-07-11,19,
2008-07-18,16,
2008-07-25,20,
2008-08-01,19,
2008-08-08,14,
2008-08-15,21,
2008-08-22,19,
2008-08-29,15,
2008-09-05,15,
2008-09-12,15,
2008-09-19,13,
2008-09-26,28,
2008-10-03,20,
2008-10-10,31,
2008-10-17,21,
2008-10-24,22,
2008-10-31,28,
2008-11-07,21,
2008-11-14,20,
2008-11-21,16,
2008-11-28,16,
2008-12-05,19,
2008-12-12,14,
2008-12-19,16,
2008-12-26,16,
2009-01-02,16,
2009-01-09,20,
2009-01-16,17,
2009-01-23,23,
2009-01-30,21,
2009-02-06,20,
2009-02-13,21,
2009-02-20,21,
2009-02-27,20,
2009-03-06,18,
2009-03-13,21,
2009-03-20,19,
2009-03-27,22,
2009-04-03,22,
2009-04-10,21,
2009-04-17,17,
2009-04-24,18,
2009-05-01,17,
2009-05-08,22,
2009-05-15,20,
2009-05-22,14,
2009-05-29,13,
2009-06-05,14,
2009-06-12,17,
2009-06-19,19,
2009-06-26,15,
2009-07-03,13,
2009-07-10,15,
2009-07-17,20,
2009-07-24,18,
2009-07-31,19,
2009-08-07,19,
2009-08-14,19,
2009-08-21,18,
2009-08-28,16,
2009-09-04,15,
2009-09-11,14,
2009-09-18,19,
2009-09-25,16,
2009-10-02,18,
2009-10-09,17,
2009-10-16,14,
2009-10-23,16,
2009-10-30,15,
2009-11-06,18,
2009-11-13,14,
2009-11-20,18,
2009-11-27,10,
2009-12-04,15,
2009-12-11,14,
2009-12-18,14,
2009-12-25,10,
2010-01-01,10,
2010-01-08,20,
2010-01-15,22,
2010-01-22,23,
2010-01-29,19,
2010-02-05,20,
2010-02-12,15,
2010-02-19,18,
2010-02-26,18,
2010-03-05,17,
2010-03-12,17,
2010-03-19,20,
2010-03-26,25,
2010-04-02,20,
2010-04-09,18,
2010-04-16,19,
2010-04-23,19,
2010-04-30,14,
2010-05-07,18,
2010-05-14,21,
2010-05-21,18,
2010-05-28,15,
2010-06-04,15,
2010-06-11,14,
2010-06-18,19,
2010-06-25,15,
2010-07-02,16,
2010-07-09,15,
2010-07-16,18,
2010-07-23,19,
2010-07-30,22,
2010-08-06,17,
2010-08-13,15,
2010-08-20,17,
2010-08-27,16,
2010-09-03,18,
2010-09-10,14,
2010-09-17,18,
2010-09-24,16,
2010-10-01,16,
2010-10-08,16,
2010-10-15,16,
2010-10-22,19,
2010-10-29,17,
2010-11-05,14,
2010-11-12,18,
2010-11-19,16,
2010-11-26,13,
2010-12-03,15,
2010-12-10,16,
2010-12-17,15,
2010-12-24,12,
2010-12-31,14,
2011-01-07,15,
2011-01-14,16,
2011-01-21,17,
2011-01-28,19,
2011-02-04,33,
2011-02-11,56,31.05
2011-02-18,26,31.37
2011-02-25,20,30.50
2011-03-04,18,30.85
2011-03-11,20,30.10
2011-03-18,20,30.50
2011-03-25,22,29.52
2011-04-01,23,29.50
2011-04-08,22,29.33
2011-04-15,18,28.88
2011-04-22,18,
2011-04-29,20,28.58
2011-05-06,19,28.00
2011-05-13,18,27.93
2011-05-20,15,28.50
2011-05-27,18,29.18
2011-06-03,16,29.75
2011-06-10,19,29.53
2011-06-17,18,29.70
2011-06-24,16,28.60
2011-07-01,16,29.27
2011-07-08,18,28.92
2011-07-15,16,28.59
2011-07-22,19,28.36
2011-07-29,19,28.23
2011-08-05,20,25.92
2011-08-12,19,26.77
2011-08-19,18,23.82
2011-08-26,16,24.78
2011-09-02,13,25.19
2011-09-09,15,24.85
2011-09-16,17,25.50
2011-09-23,15,25.52
2011-09-30,15,25.89
2011-10-07,14,26.34
2011-10-14,15,26.89
2011-10-21,95,29.22
2011-10-28,25,29.10
2011-11-04,19,28.31
2011-11-11,20,27.57
2011-11-18,21,28.25
2011-11-25,15,29.00
2011-12-02,22,31.00
2011-12-09,18,29.60
2011-12-16,16,29.84
2011-12-23,15,31.37
2011-12-30,13,32.17
2012-01-06,21,32.89
2012-01-13,19,32.86
2012-01-20,24,32.77
2012-01-27,29,32.38
2012-02-03,25,31.92
2012-02-10,22,32.35
2012-02-17,22,32.23
2012-02-24,24,33.24
2012-03-02,27,36.29
2012-03-09,30,37.52
2012-03-16,24,36.85
2012-03-23,21,38.60
2012-03-30,20,38.65
2012-04-06,21,
2012-04-13,28,38.41
2012-04-20,25,36.16
2012-04-27,20,35.84
2012-05-04,19,35.25
2012-05-11,22,33.99
2012-05-18,20,32.50
2012-05-25,21,32.42
2012-06-01,25,32.35
2012-06-08,25,31.53
2012-06-15,24,31.90
2012-06-22,21,31.68
2012-06-29,19,32.22
2012-07-06,17,32.96
2012-07-13,19,34.54
2012-07-20,23,34.99
2012-07-27,22,35.81
2012-08-03,20,35.89
2012-08-10,22,34.64
2012-08-17,24,34.22
2012-08-24,23,35.29
2012-08-31,20,35.77
2012-09-07,19,35.84
2012-09-14,17,36.23
2012-09-21,23,35.70
2012-09-28,20,35.52
2012-10-05,17,36.04
2012-10-12,22,34.50
2012-10-19,21,34.97
2012-10-26,22,34.70
2012-11-02,20,34.11
2012-11-09,18,32.58
2012-11-16,21,32.30
2012-11-23,16,33.72
2012-11-30,19,33.81
2012-12-07,24,33.58
2012-12-14,20,33.72
2012-12-21,15,35.34
2012-12-28,11,34.62
2013-01-04,16,36.71
2013-01-11,24,37.06
2013-01-18,22,37.41
2013-01-25,24,37.25
2013-02-01,31,37.49
2013-02-08,22,37.60
2013-02-15,22,37.52
2013-02-22,25,37.00
2013-03-01,25,37.26
2013-03-08,26,37.37
2013-03-15,22,36.40
2013-03-22,25,37.62
2013-03-29,23,
2013-04-05,25,37.52
2013-04-12,24,38.78
2013-04-19,23,38.87
2013-04-26,22,38.78
2013-05-03,21,38.85
2013-05-10,20,39.45
2013-05-17,25,40.48
2013-05-24,21,40.58
2013-05-31,20,37.98
2013-06-07,23,39.54
2013-06-14,21,38.42
2013-06-21,20,36.28
2013-06-28,21,38.15
2013-07-05,14,38.44
2013-07-12,20,40.07
2013-07-19,21,39.55
2013-07-26,20,38.71
2013-08-02,21,37.65
2013-08-09,20,37.60
2013-08-16,18,37.44
2013-08-23,21,37.23
2013-08-30,17,37.93
2013-09-06,19,35.22
2013-09-13,22,35.08
2013-09-20,27,36.21
2013-09-27,21,35.84
2013-10-04,20,35.40
2013-10-11,19,35.49
2013-10-18,22,35.33
2013-10-25,36,36.49
2013-11-01,23,35.31
2013-11-08,21,35.00
2013-11-15,22,35.35
2013-11-22,21,35.52
2013-11-29,13,35.54
2013-12-06,20,33.51
2013-12-13,18,32.83
2013-12-20,21,35.22
2013-12-27,15,35.91
2014-01-03,17,35.97
2014-01-10,20,35.90
2014-01-17,26,35.57
2014-01-24,22,35.47
2014-01-31,25,34.01
2014-02-07,23,33.99
2014-02-14,25,33.78
2014-02-21,27,33.03
2014-02-28,30,31.85
2014-03-07,24,32.00
2014-03-14,22,31.70
2014-03-21,29,31.15
2014-03-28,27,32.14
2014-04-04,25,33.02
2014-04-11,23,32.29
2014-04-18,28,
2014-04-25,24,33.00
2014-05-02,28,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
