Date,LM,Price
2004-01-09,86,
2004-01-16,84,
2004-01-23,89,
2004-01-30,92,
2004-02-06,87,89.25
2004-02-13,87,92.32
2004-02-20,84,93.21
2004-02-27,83,94.34
2004-03-05,75,94.56
2004-03-12,84,91.77
2004-03-19,84,90.00
2004-03-26,90,90.19
2004-04-02,77,95.38
2004-04-09,79,
2004-04-16,78,94.27
2004-04-23,76,93.66
2004-04-30,86,92.06
2004-05-07,80,86.36
2004-05-14,78,86.40
2004-05-21,87,85.74
2004-05-28,89,87.71
2004-06-04,90,89.24
2004-06-11,78,
2004-06-18,75,88.95
2004-06-25,85,91.47
2004-07-02,75,90.08
2004-07-09,86,86.50
2004-07-16,80,82.80
2004-07-23,67,79.00
2004-07-30,74,78.54
2004-08-06,73,73.45
2004-08-13,68,75.87
2004-08-20,68,80.92
2004-08-27,80,82.31
2004-09-03,70,79.21
2004-09-10,78,82.26
2004-09-17,72,82.01
2004-09-24,77,79.61
2004-10-01,76,54.19
2004-10-08,81,53.25
2004-10-15,82,53.16
2004-10-22,76,61.36
2004-10-29,79,63.71
2004-11-05,69,65.58
2004-11-12,66,67.15
2004-11-19,79,64.47
2004-11-26,79,67.49
2004-12-03,74,69.95
2004-12-10,77,70.28
2004-12-17,74,70.68
2004-12-24,63,
2004-12-31,62,73.26
2005-01-07,61,70.62
2005-01-14,72,70.18
2005-01-21,66,70.70
2005-01-28,68,75.15
2005-02-04,75,79.68
2005-02-11,64,81.35
2005-02-18,72,79.88
2005-02-25,80,81.46
2005-03-04,75,82.75
2005-03-11,75,78.95
2005-03-18,70,84.10
2005-03-25,73,
2005-04-01,73,76.20
2005-04-08,75,74.81
2005-04-15,73,70.20
2005-04-22,70,71.63
2005-04-29,69,70.86
2005-05-06,79,80.49
2005-05-13,70,78.04
2005-05-20,80,82.97
2005-05-27,80,82.92
2005-06-03,74,85.82
2005-06-10,70,84.84
2005-06-17,72,85.98
2005-06-24,64,98.00
2005-07-01,75,104.51
2005-07-08,67,112.06
2005-07-15,67,110.50
2005-07-22,69,112.07
2005-07-29,71,102.15
2005-08-05,70,103.25
2005-08-12,63,109.09
2005-08-19,68,107.22
2005-08-26,76,105.97
2005-09-02,72,105.57
2005-09-09,62,107.68
2005-09-16,68,104.60
2005-09-23,71,108.20
2005-09-30,68,109.69
2005-10-07,66,106.59
2005-10-14,70,104.78
2005-10-21,69,105.60
2005-10-28,65,104.00
2005-11-04,76,113.57
2005-11-11,71,116.16
2005-11-18,68,120.43
2005-11-25,69,126.03
2005-12-02,69,121.80
2005-12-09,68,120.53
2005-12-16,63,120.67
2005-12-23,61,121.80
2005-12-30,58,119.69
2006-01-06,57,122.08
2006-01-13,64,128.20
2006-01-20,69,130.40
2006-01-27,66,133.58
2006-02-03,67,132.00
2006-02-10,70,131.38
2006-02-17,65,133.59
2006-02-24,64,136.13
2006-03-03,66,134.80
2006-03-10,71,125.14
2006-03-17,59,126.94
2006-03-24,69,126.83
2006-03-31,61,125.33
2006-04-07,69,125.03
2006-04-14,63,
2006-04-21,66,125.54
2006-04-28,63,118.48
2006-05-05,65,118.65
2006-05-12,65,101.40
2006-05-19,73,99.88
2006-05-26,63,98.95
2006-06-02,71,95.80
2006-06-09,62,97.08
2006-06-16,59,102.45
2006-06-23,67,100.90
2006-06-30,60,99.52
2006-07-07,60,97.33
2006-07-14,52,94.44
2006-07-21,60,95.20
2006-07-28,60,85.51
2006-08-04,58,87.55
2006-08-11,58,83.35
2006-08-18,63,92.23
2006-08-25,59,88.42
2006-09-01,61,91.13
2006-09-08,59,90.21
2006-09-15,64,102.20
2006-09-22,61,99.49
2006-09-29,59,100.86
2006-10-06,59,101.25
2006-10-13,67,87.45
2006-10-20,65,86.15
2006-10-27,70,89.20
2006-11-03,67,90.36
2006-11-10,65,91.90
2006-11-17,63,97.70
2006-11-24,66,97.22
2006-12-01,60,94.97
2006-12-08,66,97.60
2006-12-15,61,96.06
2006-12-22,63,94.31
2006-12-29,57,95.05
2007-01-05,54,97.19
2007-01-12,61,103.20
2007-01-19,62,102.01
2007-01-26,62,103.76
2007-02-02,60,104.89
2007-02-09,58,102.63
2007-02-16,57,104.18
2007-02-23,65,108.80
2007-03-02,62,99.43
2007-03-09,70,99.48
2007-03-16,60,94.56
2007-03-23,66,96.43
2007-03-30,57,94.21
2007-04-06,58,
2007-04-13,63,95.49
2007-04-20,59,99.90
2007-04-27,61,99.49
2007-05-04,64,105.26
2007-05-11,65,100.18
2007-05-18,66,99.50
2007-05-25,64,99.96
2007-06-01,62,99.95
2007-06-08,62,98.73
2007-06-15,63,100.19
2007-06-22,65,97.75
2007-06-29,62,98.38
2007-07-06,63,100.75
