Date,LUK,Price
2004-01-09,79,
2004-01-16,57,
2004-01-23,63,
2004-01-30,53,
2004-02-06,77,48.06
2004-02-13,58,50.31
2004-02-20,43,50.30
2004-02-27,73,52.00
2004-03-05,63,53.21
2004-03-12,66,51.42
2004-03-19,63,51.00
2004-03-26,40,50.85
2004-04-02,54,54.80
2004-04-09,69,
2004-04-16,66,54.64
2004-04-23,54,50.72
2004-04-30,51,49.27
2004-05-07,56,46.58
2004-05-14,51,46.27
2004-05-21,61,46.70
2004-05-28,61,49.70
2004-06-04,75,49.29
2004-06-11,51,
2004-06-18,44,50.78
2004-06-25,73,49.30
2004-07-02,62,49.96
2004-07-09,54,48.93
2004-07-16,74,51.36
2004-07-23,55,50.98
2004-07-30,83,51.49
2004-08-06,60,49.65
2004-08-13,73,50.27
2004-08-20,69,51.18
2004-08-27,56,53.35
2004-09-03,47,54.43
2004-09-10,73,54.25
2004-09-17,61,53.66
2004-09-24,71,56.15
2004-10-01,69,57.62
2004-10-08,69,58.02
2004-10-15,52,57.63
2004-10-22,72,56.81
2004-10-29,62,59.15
2004-11-05,51,59.80
2004-11-12,68,59.85
2004-11-19,62,61.57
2004-11-26,62,62.34
2004-12-03,58,64.59
2004-12-10,53,65.33
2004-12-17,59,69.51
2004-12-24,55,
2004-12-31,79,69.48
2005-01-07,72,42.80
2005-01-14,64,43.14
2005-01-21,77,41.69
2005-01-28,65,38.53
2005-02-04,57,36.55
2005-02-11,71,36.05
2005-02-18,79,33.61
2005-02-25,59,33.39
2005-03-04,67,34.12
2005-03-11,66,34.94
2005-03-18,61,33.99
2005-03-25,55,
2005-04-01,54,34.24
2005-04-08,46,34.79
2005-04-15,70,33.71
2005-04-22,51,33.13
2005-04-29,64,34.78
2005-05-06,50,35.15
2005-05-13,63,35.30
2005-05-20,53,37.03
2005-05-27,69,39.22
2005-06-03,53,38.81
2005-06-10,57,37.69
2005-06-17,70,39.00
2005-06-24,61,38.45
2005-07-01,64,39.33
2005-07-08,57,40.30
2005-07-15,56,39.07
2005-07-22,54,39.92
2005-07-29,64,39.55
2005-08-05,69,38.06
2005-08-12,45,40.39
2005-08-19,60,39.95
2005-08-26,62,39.96
2005-09-02,49,40.82
2005-09-09,69,43.99
2005-09-16,56,44.38
2005-09-23,67,43.56
2005-09-30,59,43.10
2005-10-07,60,41.89
2005-10-14,60,40.85
2005-10-21,57,41.10
2005-10-28,100,41.59
2005-11-04,78,44.17
2005-11-11,75,45.58
2005-11-18,59,46.55
2005-11-25,60,48.51
2005-12-02,59,47.40
2005-12-09,55,47.08
2005-12-16,62,46.66
2005-12-23,60,47.89
2005-12-30,53,47.46
2006-01-06,57,49.02
2006-01-13,68,48.87
2006-01-20,67,48.08
2006-01-27,69,51.80
2006-02-03,59,53.91
2006-02-10,55,52.83
2006-02-17,72,52.62
2006-02-24,66,52.93
2006-03-03,63,55.03
2006-03-10,64,54.65
2006-03-17,78,57.75
2006-03-24,67,58.76
2006-03-31,73,59.66
2006-04-07,56,60.35
2006-04-14,62,
2006-04-21,64,60.73
2006-04-28,62,60.75
2006-05-05,65,62.08
2006-05-12,67,61.20
2006-05-19,68,61.18
2006-05-26,72,64.08
2006-06-02,60,63.49
2006-06-09,60,61.23
2006-06-16,63,28.66
2006-06-23,62,28.16
2006-06-30,65,29.19
2006-07-07,66,29.06
2006-07-14,59,27.02
2006-07-21,59,26.06
2006-07-28,68,27.61
2006-08-04,66,27.91
2006-08-11,65,26.99
2006-08-18,68,26.27
2006-08-25,56,25.50
2006-09-01,60,26.00
2006-09-08,60,26.17
2006-09-15,66,27.57
2006-09-22,60,26.83
2006-09-29,63,26.17
2006-10-06,66,26.64
2006-10-13,56,26.80
2006-10-20,64,26.10
2006-10-27,64,26.86
2006-11-03,61,25.94
2006-11-10,62,26.15
2006-11-17,66,26.69
2006-11-24,63,27.04
2006-12-01,58,27.50
2006-12-08,65,27.60
2006-12-15,53,27.78
2006-12-22,68,28.54
2006-12-29,46,28.20
2007-01-05,49,27.43
2007-01-12,63,27.74
2007-01-19,62,27.09
2007-01-26,69,26.70
2007-02-02,64,27.98
2007-02-09,55,27.79
2007-02-16,64,28.50
2007-02-23,60,28.69
2007-03-02,59,29.01
2007-03-09,61,29.80
2007-03-16,54,29.15
2007-03-23,71,30.27
2007-03-30,64,29.42
2007-04-06,52,
2007-04-13,62,30.56
2007-04-20,60,30.60
2007-04-27,58,30.89
2007-05-04,55,32.60
2007-05-11,59,32.64
2007-05-18,66,34.22
2007-05-25,58,34.70
2007-06-01,68,35.64
2007-06-08,60,35.51
2007-06-15,68,36.42
2007-06-22,50,35.79
2007-06-29,56,35.25
2007-07-06,53,37.05
2007-07-13,55,38.35
2007-07-20,56,38.55
2007-07-27,59,36.71
2007-08-03,69,39.46
2007-08-10,71,44.78
2007-08-17,59,43.17
2007-08-24,59,44.48
2007-08-31,64,44.38
2007-09-07,56,44.11
2007-09-14,65,45.80
2007-09-21,64,45.78
2007-09-28,59,48.22
2007-10-05,56,51.02
2007-10-12,62,51.59
2007-10-19,59,49.38
2007-10-26,67,49.85
2007-11-02,58,49.06
2007-11-09,69,45.46
2007-11-16,66,45.48
2007-11-23,71,44.57
2007-11-30,72,46.96
2007-12-07,72,48.97
2007-12-14,55,48.14
2007-12-21,58,48.35
2007-12-28,57,48.34
2008-01-04,64,44.97
2008-01-11,68,45.02
2008-01-18,63,42.61
2008-01-25,72,41.46
2008-02-01,60,46.01
2008-02-08,64,46.13
2008-02-15,68,46.02
2008-02-22,62,46.52
2008-02-29,62,45.26
2008-03-07,62,45.95
2008-03-14,61,45.02
2008-03-21,58,
2008-03-28,63,44.02
2008-04-04,70,52.15
2008-04-11,69,50.68
2008-04-18,61,53.36
2008-04-25,64,52.06
2008-05-02,57,52.50
2008-05-09,61,52.77
2008-05-16,63,56.33
2008-05-23,63,52.77
2008-05-30,64,54.30
2008-06-06,65,50.41
2008-06-13,64,50.24
2008-06-20,62,48.43
2008-06-27,64,46.71
2008-07-04,62,
2008-07-11,63,43.56
2008-07-18,67,44.30
2008-07-25,64,43.59
2008-08-01,58,44.18
2008-08-08,59,44.79
2008-08-15,72,43.83
2008-08-22,64,43.92
2008-08-29,64,46.29
2008-09-05,68,45.34
2008-09-12,61,42.53
2008-09-19,64,44.00
2008-09-26,69,42.99
2008-10-03,68,38.41
2008-10-10,70,31.83
2008-10-17,62,31.24
2008-10-24,74,22.27
2008-10-31,68,26.84
2008-11-07,72,23.81
2008-11-14,65,19.88
2008-11-21,64,14.56
2008-11-28,65,19.55
2008-12-05,61,18.55
2008-12-12,73,19.30
2008-12-19,56,20.97
2008-12-26,63,18.90
2009-01-02,69,21.51
2009-01-09,60,20.31
2009-01-16,71,18.58
2009-01-23,68,17.81
2009-01-30,68,15.92
2009-02-06,71,16.29
2009-02-13,68,15.66
2009-02-20,72,14.31
2009-02-27,71,14.63
2009-03-06,88,10.85
2009-03-13,71,13.85
2009-03-20,71,12.24
2009-03-27,69,15.31
2009-04-03,64,16.84
2009-04-10,65,
2009-04-17,65,18.40
2009-04-24,63,20.85
2009-05-01,66,21.67
2009-05-08,63,25.22
2009-05-15,69,19.84
2009-05-22,69,19.54
2009-05-29,63,20.88
2009-06-05,64,22.08
2009-06-12,64,23.73
2009-06-19,65,22.00
2009-06-26,65,21.33
2009-07-03,62,
2009-07-10,63,18.63
2009-07-17,61,20.24
2009-07-24,67,23.79
2009-07-31,69,24.50
2009-08-07,67,25.86
2009-08-14,65,25.86
2009-08-21,69,25.57
2009-08-28,65,24.76
2009-09-04,58,23.96
2009-09-11,60,25.29
2009-09-18,65,25.39
2009-09-25,64,24.14
2009-10-02,62,22.99
2009-10-09,64,24.46
2009-10-16,62,24.90
2009-10-23,64,24.23
2009-10-30,62,22.47
2009-11-06,67,22.81
2009-11-13,71,22.48
2009-11-20,61,21.91
2009-11-27,68,21.36
2009-12-04,66,23.41
2009-12-11,67,22.48
2009-12-18,68,23.11
2009-12-25,66,
2010-01-01,64,
2010-01-08,72,25.69
2010-01-15,69,24.81
2010-01-22,65,23.57
2010-01-29,65,22.33
2010-02-05,64,21.95
2010-02-12,62,21.82
2010-02-19,67,23.19
2010-02-26,69,23.74
2010-03-05,67,24.95
2010-03-12,66,25.26
2010-03-19,67,25.37
2010-03-26,69,25.16
2010-04-02,74,
2010-04-09,66,25.58
2010-04-16,68,26.80
2010-04-23,70,26.61
2010-04-30,70,25.31
2010-05-07,67,22.87
2010-05-14,70,23.34
2010-05-21,70,22.19
2010-05-28,69,21.92
2010-06-04,76,20.42
2010-06-11,67,21.12
2010-06-18,64,21.61
2010-06-25,66,21.01
2010-07-02,68,18.89
2010-07-09,65,20.41
2010-07-16,66,19.83
2010-07-23,66,21.52
2010-07-30,69,22.09
2010-08-06,72,21.61
2010-08-13,70,20.83
2010-08-20,69,20.37
2010-08-27,68,21.22
2010-09-03,66,23.10
2010-09-10,70,23.14
2010-09-17,65,23.55
2010-09-24,68,23.67
2010-10-01,68,23.79
2010-10-08,68,24.54
2010-10-15,72,25.06
2010-10-22,72,25.10
2010-10-29,71,25.42
2010-11-05,65,27.30
2010-11-12,73,26.65
2010-11-19,74,27.00
2010-11-26,78,26.46
2010-12-03,69,27.17
2010-12-10,69,28.44
2010-12-17,72,28.56
2010-12-24,72,
2010-12-31,69,29.18
2011-01-07,72,30.22
2011-01-14,69,31.85
2011-01-21,70,31.93
2011-01-28,74,31.77
2011-02-04,73,33.31
2011-02-11,75,34.25
2011-02-18,74,34.05
2011-02-25,70,32.97
2011-03-04,75,32.40
2011-03-11,73,33.70
2011-03-18,78,34.47
2011-03-25,84,36.63
2011-04-01,80,38.10
2011-04-08,76,36.80
2011-04-15,75,35.81
2011-04-22,71,
2011-04-29,76,38.66
2011-05-06,73,36.29
2011-05-13,80,35.79
2011-05-20,73,36.53
2011-05-27,81,35.74
2011-06-03,75,33.88
2011-06-10,71,33.23
2011-06-17,72,32.87
2011-06-24,70,32.11
2011-07-01,69,34.95
2011-07-08,71,35.32
2011-07-15,75,33.97
2011-07-22,71,34.93
2011-07-29,72,33.67
2011-08-05,72,29.40
2011-08-12,73,28.28
2011-08-19,74,26.02
2011-08-26,73,28.02
2011-09-02,68,27.42
2011-09-09,64,26.96
2011-09-16,69,28.47
2011-09-23,73,23.48
2011-09-30,71,22.68
2011-10-07,69,23.02
2011-10-14,70,25.44
2011-10-21,74,25.96
2011-10-28,73,28.36
2011-11-04,72,25.21
2011-11-11,73,24.08
2011-11-18,71,22.28
2011-11-25,78,20.54
2011-12-02,75,23.75
2011-12-09,75,23.26
2011-12-16,74,22.04
2011-12-23,71,23.55
2011-12-30,69,22.74
2012-01-06,67,23.89
2012-01-13,78,25.45
2012-01-20,73,27.39
2012-01-27,77,28.30
2012-02-03,73,29.60
2012-02-10,73,29.18
2012-02-17,70,29.36
2012-02-24,72,28.80
2012-03-02,75,28.17
2012-03-09,76,26.96
2012-03-16,72,27.96
2012-03-23,77,26.88
2012-03-30,79,26.10
2012-04-06,77,
2012-04-13,78,24.15
2012-04-20,78,24.41
2012-04-27,74,25.09
2012-05-04,74,24.61
2012-05-11,72,23.30
2012-05-18,81,20.99
2012-05-25,76,21.03
2012-06-01,73,19.99
2012-06-08,75,20.76
2012-06-15,73,21.41
2012-06-22,71,21.18
2012-06-29,69,21.27
2012-07-06,72,21.32
2012-07-13,75,22.33
2012-07-20,74,21.49
2012-07-27,71,22.35
2012-08-03,78,21.11
2012-08-10,73,22.19
2012-08-17,68,22.52
2012-08-24,75,21.94
2012-08-31,74,21.38
2012-09-07,73,22.04
2012-09-14,71,23.89
2012-09-21,75,23.57
2012-09-28,66,22.75
2012-10-05,68,22.94
2012-10-12,66,22.12
2012-10-19,70,22.64
2012-10-26,71,22.51
2012-11-02,68,22.61
2012-11-09,73,21.80
2012-11-16,79,20.48
2012-11-23,74,21.10
2012-11-30,72,22.15
2012-12-07,73,23.20
2012-12-14,75,23.27
2012-12-21,72,23.84
2012-12-28,71,23.47
2013-01-04,72,24.01
2013-01-11,71,24.19
2013-01-18,76,24.10
2013-01-25,71,25.10
2013-02-01,71,25.30
2013-02-08,75,26.73
2013-02-15,71,27.06
2013-02-22,74,28.16
2013-03-01,73,26.40
2013-03-08,73,26.67
2013-03-15,72,27.25
2013-03-22,73,26.83
2013-03-29,79,
2013-04-05,76,27.49
2013-04-12,74,29.03
2013-04-19,76,29.05
2013-04-26,73,29.99
2013-05-03,69,31.29
2013-05-10,68,31.70
2013-05-17,73,32.02
2013-05-24,72,30.65
2013-05-31,74,31.38
2013-06-07,74,29.52
2013-06-14,69,27.76
2013-06-21,68,25.71
2013-06-28,69,26.22
2013-07-05,68,26.13
2013-07-12,67,26.77
2013-07-19,72,27.68
2013-07-26,69,27.01
2013-08-02,66,27.09
2013-08-09,67,27.18
2013-08-16,71,26.59
2013-08-23,67,26.01
2013-08-30,69,24.93
2013-09-06,68,26.57
2013-09-13,73,27.85
2013-09-20,73,27.27
2013-09-27,74,27.30
2013-10-04,69,27.68
2013-10-11,76,28.78
2013-10-18,76,28.70
2013-10-25,70,29.15
2013-11-01,77,28.71
2013-11-08,76,28.88
2013-11-15,74,28.27
2013-11-22,73,28.89
2013-11-29,77,28.66
2013-12-06,75,28.11
2013-12-13,79,27.20
2013-12-20,73,27.95
2013-12-27,74,28.18
2014-01-03,69,28.37
2014-01-10,78,28.18
2014-01-17,77,27.94
2014-01-24,76,27.41
2014-01-31,85,27.33
2014-02-07,80,27.71
2014-02-14,81,28.13
2014-02-21,82,27.95
2014-02-28,77,27.94
2014-03-07,80,27.85
2014-03-14,77,26.33
2014-03-21,77,27.15
2014-03-28,84,27.28
2014-04-04,76,27.03
2014-04-11,79,25.79
2014-04-18,80,
2014-04-25,78,25.71
2014-05-02,76,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
