Date,LUV,Price
2004-01-09,38,
2004-01-16,35,
2004-01-23,28,
2004-01-30,32,
2004-02-06,38,14.82
2004-02-13,37,14.55
2004-02-20,37,14.65
2004-02-27,36,13.81
2004-03-05,42,14.48
2004-03-12,43,13.90
2004-03-19,36,13.53
2004-03-26,35,13.94
2004-04-02,32,14.92
2004-04-09,37,
2004-04-16,37,14.72
2004-04-23,33,14.98
2004-04-30,36,14.28
2004-05-07,32,14.00
2004-05-14,30,14.32
2004-05-21,31,15.23
2004-05-28,32,15.51
2004-06-04,34,15.60
2004-06-11,31,
2004-06-18,32,15.88
2004-06-25,29,17.00
2004-07-02,31,16.21
2004-07-09,34,15.50
2004-07-16,32,14.57
2004-07-23,31,14.20
2004-07-30,36,14.47
2004-08-06,41,13.47
2004-08-13,34,13.79
2004-08-20,35,14.70
2004-08-27,36,14.70
2004-09-03,39,14.25
2004-09-10,34,14.33
2004-09-17,35,14.51
2004-09-24,33,13.81
2004-10-01,35,13.85
2004-10-08,33,13.81
2004-10-15,39,14.38
2004-10-22,34,14.50
2004-10-29,29,15.77
2004-11-05,33,16.17
2004-11-12,35,16.00
2004-11-19,34,15.34
2004-11-26,33,15.70
2004-12-03,37,16.12
2004-12-10,37,15.71
2004-12-17,37,15.80
2004-12-24,39,
2004-12-31,39,16.28
2005-01-07,33,15.56
2005-01-14,36,14.98
2005-01-21,36,13.84
2005-01-28,33,14.23
2005-02-04,34,14.80
2005-02-11,33,14.48
2005-02-18,35,14.09
2005-02-25,34,14.23
2005-03-04,34,14.77
2005-03-11,32,14.19
2005-03-18,33,14.50
2005-03-25,34,
2005-04-01,32,14.00
2005-04-08,30,14.46
2005-04-15,32,14.80
2005-04-22,31,14.50
2005-04-29,36,14.88
2005-05-06,33,15.29
2005-05-13,32,14.87
2005-05-20,35,14.94
2005-05-27,33,14.61
2005-06-03,34,14.59
2005-06-10,33,14.38
2005-06-17,31,14.07
2005-06-24,33,13.86
2005-07-01,34,13.81
2005-07-08,32,13.94
2005-07-15,34,14.22
2005-07-22,35,14.40
2005-07-29,35,14.19
2005-08-05,34,13.96
2005-08-12,29,13.64
2005-08-19,33,13.59
2005-08-26,30,13.51
2005-09-02,31,13.51
2005-09-09,34,13.76
2005-09-16,34,14.60
2005-09-23,35,14.53
2005-09-30,34,14.85
2005-10-07,35,15.16
2005-10-14,37,15.52
2005-10-21,41,15.80
2005-10-28,41,15.75
2005-11-04,39,16.30
2005-11-11,36,16.71
2005-11-18,39,16.54
2005-11-25,36,16.43
2005-12-02,38,16.59
2005-12-09,39,16.30
2005-12-16,37,16.82
2005-12-23,40,16.58
2005-12-30,43,16.43
2006-01-06,39,17.10
2006-01-13,39,16.37
2006-01-20,38,16.21
2006-01-27,43,16.32
2006-02-03,41,16.43
2006-02-10,38,16.42
2006-02-17,40,16.81
2006-02-24,44,16.63
2006-03-03,41,17.00
2006-03-10,43,17.13
2006-03-17,47,17.60
2006-03-24,43,17.65
2006-03-31,45,17.99
2006-04-07,45,17.69
2006-04-14,49,
2006-04-21,41,16.00
2006-04-28,41,16.22
2006-05-05,42,16.61
2006-05-12,43,16.05
2006-05-19,42,15.62
2006-05-26,41,15.75
2006-06-02,44,15.81
2006-06-09,40,15.64
2006-06-16,40,16.30
2006-06-23,43,16.44
2006-06-30,40,16.37
2006-07-07,36,16.98
2006-07-14,39,16.04
2006-07-21,41,17.14
2006-07-28,38,18.15
2006-08-04,42,17.97
2006-08-11,44,16.31
2006-08-18,44,17.27
2006-08-25,40,16.95
2006-09-01,39,17.22
2006-09-08,38,16.48
2006-09-15,40,16.51
2006-09-22,38,16.42
2006-09-29,39,16.66
2006-10-06,39,16.75
2006-10-13,40,16.44
2006-10-20,39,15.77
2006-10-27,39,15.27
2006-11-03,40,14.62
2006-11-10,40,15.22
2006-11-17,44,15.83
2006-11-24,48,16.25
2006-12-01,49,15.45
2006-12-08,55,15.60
2006-12-15,55,15.89
2006-12-22,59,15.27
2006-12-29,57,15.32
2007-01-05,58,15.50
2007-01-12,53,16.22
2007-01-19,52,15.91
2007-01-26,53,15.08
2007-02-02,53,15.26
2007-02-09,49,15.15
2007-02-16,50,15.70
2007-02-23,47,15.40
2007-03-02,44,15.20
2007-03-09,44,15.07
2007-03-16,42,15.00
2007-03-23,45,15.00
2007-03-30,42,14.70
2007-04-06,43,
2007-04-13,45,15.16
2007-04-20,41,14.97
2007-04-27,42,14.29
2007-05-04,41,14.68
2007-05-11,46,14.31
2007-05-18,46,14.51
2007-05-25,43,14.47
2007-06-01,43,14.26
2007-06-08,40,14.51
2007-06-15,42,14.54
2007-06-22,41,15.05
2007-06-29,44,14.91
2007-07-06,41,15.55
2007-07-13,46,15.50
2007-07-20,44,16.35
2007-07-27,43,15.66
2007-08-03,43,15.60
2007-08-10,44,16.19
2007-08-17,43,15.04
2007-08-24,42,15.52
2007-08-31,42,15.11
2007-09-07,38,14.82
2007-09-14,45,14.26
2007-09-21,45,15.34
2007-09-28,46,14.80
2007-10-05,49,14.92
2007-10-12,47,14.67
2007-10-19,45,13.96
2007-10-26,48,13.89
2007-11-02,46,13.97
2007-11-09,46,13.23
2007-11-16,49,13.99
2007-11-23,49,13.73
2007-11-30,51,14.15
2007-12-07,51,14.28
2007-12-14,53,13.24
2007-12-21,52,12.54
2007-12-28,56,12.23
2008-01-04,57,11.42
2008-01-11,50,11.70
2008-01-18,48,12.07
2008-01-25,46,12.01
2008-02-01,49,12.18
2008-02-08,50,12.80
2008-02-15,48,12.65
2008-02-22,47,12.87
2008-02-29,44,12.26
2008-03-07,47,12.19
2008-03-14,47,11.64
2008-03-21,46,
2008-03-28,49,12.03
