Date,L,Price
2004-01-09,62,
2004-01-16,65,
2004-01-23,68,
2004-01-30,63,
2004-02-06,65,54.94
2004-02-13,65,58.66
2004-02-20,64,59.72
2004-02-27,62,60.29
2004-03-05,63,62.74
2004-03-12,63,61.01
2004-03-19,65,59.90
2004-03-26,66,58.08
2004-04-02,64,60.32
2004-04-09,64,
2004-04-16,62,60.49
2004-04-23,66,60.05
2004-04-30,64,58.01
2004-05-07,64,56.58
2004-05-14,62,59.29
2004-05-21,60,58.31
2004-05-28,63,57.63
2004-06-04,64,59.02
2004-06-11,64,
2004-06-18,60,58.13
2004-06-25,63,60.05
2004-07-02,60,59.60
2004-07-09,62,58.26
2004-07-16,61,57.12
2004-07-23,59,54.48
2004-07-30,58,56.63
2004-08-06,61,54.02
2004-08-13,58,53.62
2004-08-20,59,56.60
2004-08-27,61,56.17
2004-09-03,63,57.31
2004-09-10,63,58.52
2004-09-17,64,59.51
2004-09-24,62,58.35
2004-10-01,63,58.75
2004-10-08,62,58.57
2004-10-15,63,56.85
2004-10-22,65,56.85
2004-10-29,61,59.90
2004-11-05,63,63.53
2004-11-12,62,65.44
2004-11-19,65,66.63
2004-11-26,64,68.55
2004-12-03,64,70.19
2004-12-10,65,69.44
2004-12-17,65,69.10
2004-12-24,61,
2004-12-31,63,70.30
2005-01-07,67,69.47
2005-01-14,66,69.40
2005-01-21,67,68.29
2005-01-28,70,67.39
2005-02-04,66,70.80
2005-02-11,67,71.74
2005-02-18,68,72.03
2005-02-25,72,72.24
2005-03-04,72,73.87
2005-03-11,72,71.80
2005-03-18,70,70.82
2005-03-25,71,
2005-04-01,72,72.94
2005-04-08,70,73.35
2005-04-15,71,70.01
2005-04-22,70,69.97
2005-04-29,70,70.88
2005-05-06,70,73.00
2005-05-13,70,71.36
2005-05-20,70,72.34
2005-05-27,70,74.50
2005-06-03,71,74.93
2005-06-10,71,77.83
2005-06-17,67,79.70
2005-06-24,70,78.63
2005-07-01,69,77.57
2005-07-08,70,78.33
2005-07-15,67,80.48
2005-07-22,68,83.00
2005-07-29,66,83.63
2005-08-05,68,83.45
2005-08-12,66,85.35
2005-08-19,66,87.20
2005-08-26,71,87.60
2005-09-02,68,87.28
2005-09-09,69,93.67
2005-09-16,71,93.07
2005-09-23,73,90.43
2005-09-30,70,92.41
2005-10-07,72,90.68
2005-10-14,74,88.30
2005-10-21,71,89.94
2005-10-28,69,90.75
2005-11-04,68,94.53
2005-11-11,71,96.36
2005-11-18,71,97.80
2005-11-25,72,97.80
2005-12-02,69,97.52
2005-12-09,70,96.96
2005-12-16,71,96.50
2005-12-23,68,95.94
2005-12-30,71,94.85
2006-01-06,74,98.79
2006-01-13,79,100.76
2006-01-20,76,99.26
2006-01-27,77,99.47
2006-02-03,77,97.53
2006-02-10,73,95.85
2006-02-17,75,95.43
2006-02-24,76,93.35
2006-03-03,76,94.59
2006-03-10,78,95.04
2006-03-17,78,100.05
2006-03-24,76,100.59
2006-03-31,75,101.20
2006-04-07,75,99.98
2006-04-14,72,
2006-04-21,70,104.21
2006-04-28,72,106.15
2006-05-05,72,110.38
2006-05-12,76,35.51
2006-05-19,76,34.85
2006-05-26,73,33.80
2006-06-02,73,34.97
2006-06-09,74,34.38
2006-06-16,75,34.03
2006-06-23,74,34.33
2006-06-30,72,35.45
2006-07-07,73,35.62
2006-07-14,72,35.46
2006-07-21,71,35.04
2006-07-28,71,36.23
2006-08-04,72,36.79
2006-08-11,71,36.65
2006-08-18,73,37.34
2006-08-25,75,37.90
2006-09-01,77,38.60
2006-09-08,75,38.05
2006-09-15,74,38.41
2006-09-22,74,38.00
2006-09-29,78,37.90
2006-10-06,78,37.81
2006-10-13,78,38.25
2006-10-20,76,38.14
2006-10-27,76,38.65
2006-11-03,74,38.82
2006-11-10,77,40.00
2006-11-17,77,39.41
2006-11-24,77,40.06
2006-12-01,75,40.30
2006-12-08,75,40.59
2006-12-15,75,41.57
2006-12-22,75,41.43
2006-12-29,73,41.47
2007-01-05,77,40.37
2007-01-12,81,42.26
2007-01-19,80,42.44
2007-01-26,83,42.43
2007-02-02,81,43.58
2007-02-09,79,42.84
2007-02-16,79,44.01
2007-02-23,82,44.09
2007-03-02,77,42.53
2007-03-09,83,43.90
2007-03-16,80,43.70
2007-03-23,79,45.96
2007-03-30,82,45.43
2007-04-06,77,
2007-04-13,77,46.54
2007-04-20,77,46.44
2007-04-27,78,46.64
2007-05-04,80,47.93
2007-05-11,82,48.56
2007-05-18,81,50.09
2007-05-25,81,50.95
2007-06-01,82,51.02
2007-06-08,83,50.87
2007-06-15,82,52.85
2007-06-22,80,52.07
2007-06-29,81,50.98
2007-07-06,82,52.06
2007-07-13,80,51.86
2007-07-20,81,51.12
2007-07-27,80,47.60
2007-08-03,76,44.95
2007-08-10,75,44.30
2007-08-17,79,46.45
2007-08-24,80,48.25
2007-08-31,81,47.01
2007-09-07,80,46.02
2007-09-14,82,45.57
2007-09-21,83,47.62
2007-09-28,83,48.35
2007-10-05,83,49.67
2007-10-12,85,50.12
2007-10-19,81,48.84
2007-10-26,80,50.03
2007-11-02,79,47.61
2007-11-09,79,45.90
2007-11-16,80,45.18
2007-11-23,91,45.31
2007-11-30,90,47.79
2007-12-07,90,48.54
2007-12-14,79,46.80
2007-12-21,79,49.49
2007-12-28,78,49.35
2008-01-04,81,48.49
2008-01-11,88,47.88
2008-01-18,87,44.92
2008-01-25,88,44.75
2008-02-01,87,47.28
2008-02-08,90,44.73
2008-02-15,89,42.92
2008-02-22,91,43.01
2008-02-29,88,41.84
2008-03-07,88,40.96
2008-03-14,90,40.24
2008-03-21,87,
2008-03-28,86,40.06
2008-04-04,84,42.14
2008-04-11,86,41.09
2008-04-18,83,44.27
2008-04-25,85,44.63
2008-05-02,83,43.32
2008-05-09,83,46.29
2008-05-16,82,49.41
2008-05-23,84,47.09
2008-05-30,86,49.57
2008-06-06,85,49.95
2008-06-13,85,50.40
2008-06-20,87,49.49
2008-06-27,82,47.52
2008-07-04,84,
2008-07-11,83,45.36
2008-07-18,87,42.94
2008-07-25,88,41.92
2008-08-01,86,44.37
2008-08-08,81,43.50
2008-08-15,82,42.38
2008-08-22,89,42.08
2008-08-29,87,43.43
2008-09-05,87,42.29
2008-09-12,87,41.85
2008-09-19,87,40.98
2008-09-26,85,42.99
2008-10-03,84,35.82
2008-10-10,86,26.10
2008-10-17,85,31.41
2008-10-24,87,31.31
2008-10-31,86,33.20
2008-11-07,83,30.19
2008-11-14,83,27.94
2008-11-21,84,22.34
2008-11-28,84,27.39
2008-12-05,82,25.98
2008-12-12,86,27.42
2008-12-19,82,27.98
