Date,Leggett & Platt,Price
2004-01-09,20,
2004-01-16,22,
2004-01-23,21,
2004-01-30,29,
2004-02-06,36,24.84
2004-02-13,30,24.28
2004-02-20,26,24.61
2004-02-27,28,24.47
2004-03-05,24,24.79
2004-03-12,38,23.75
2004-03-19,29,22.89
2004-03-26,25,23.05
2004-04-02,35,24.06
2004-04-09,31,
2004-04-16,25,23.47
2004-04-23,33,23.97
2004-04-30,18,22.60
2004-05-07,28,22.14
2004-05-14,27,22.33
2004-05-21,17,23.55
2004-05-28,27,25.28
2004-06-04,20,24.56
2004-06-11,27,
2004-06-18,24,26.84
2004-06-25,20,26.72
2004-07-02,23,26.26
2004-07-09,29,25.80
2004-07-16,24,26.55
2004-07-23,34,26.52
2004-07-30,30,27.05
2004-08-06,33,26.37
2004-08-13,28,25.98
2004-08-20,21,27.39
2004-08-27,24,26.89
2004-09-03,19,27.66
2004-09-10,23,28.02
2004-09-17,22,27.50
2004-09-24,17,28.09
2004-10-01,28,28.17
2004-10-08,23,27.40
2004-10-15,28,27.04
2004-10-22,21,26.86
2004-10-29,20,28.13
2004-11-05,20,28.89
2004-11-12,33,29.49
2004-11-19,24,28.97
2004-11-26,18,29.49
2004-12-03,25,30.51
2004-12-10,17,29.79
2004-12-17,22,27.30
2004-12-24,15,
2004-12-31,20,28.43
2005-01-07,22,27.78
2005-01-14,23,27.77
2005-01-21,28,27.46
2005-01-28,26,27.88
2005-02-04,29,28.33
2005-02-11,23,27.66
2005-02-18,25,27.52
2005-02-25,22,28.08
2005-03-04,23,28.15
2005-03-11,27,29.05
2005-03-18,30,29.11
2005-03-25,24,
2005-04-01,33,29.13
2005-04-08,15,29.12
2005-04-15,30,27.25
2005-04-22,21,27.25
2005-04-29,28,26.96
2005-05-06,25,27.44
2005-05-13,26,27.26
2005-05-20,24,27.79
2005-05-27,26,26.54
2005-06-03,15,26.63
2005-06-10,26,25.90
2005-06-17,22,26.35
2005-06-24,24,26.51
2005-07-01,34,26.69
2005-07-08,25,27.82
2005-07-15,32,28.12
2005-07-22,21,26.13
2005-07-29,19,25.29
2005-08-05,27,25.60
2005-08-12,25,25.64
2005-08-19,20,24.83
2005-08-26,20,24.41
2005-09-02,23,24.08
2005-09-09,30,24.48
2005-09-16,25,23.30
2005-09-23,28,20.31
2005-09-30,19,20.20
2005-10-07,21,19.30
2005-10-14,27,18.90
2005-10-21,20,19.02
2005-10-28,20,19.69
2005-11-04,22,20.60
2005-11-11,26,21.87
2005-11-18,29,22.67
2005-11-25,20,22.81
2005-12-02,21,24.22
2005-12-09,23,24.07
2005-12-16,26,24.12
2005-12-23,22,23.18
2005-12-30,26,22.96
2006-01-06,20,24.00
2006-01-13,19,23.99
2006-01-20,26,23.12
2006-01-27,25,24.78
2006-02-03,17,24.16
2006-02-10,23,24.21
2006-02-17,25,24.29
2006-02-24,25,23.90
2006-03-03,31,23.85
2006-03-10,20,23.78
2006-03-17,21,24.78
2006-03-24,28,25.07
2006-03-31,26,24.37
2006-04-07,28,24.11
2006-04-14,22,
2006-04-21,20,25.80
2006-04-28,26,26.53
2006-05-05,23,26.76
2006-05-12,24,26.06
2006-05-19,20,25.34
2006-05-26,25,25.20
2006-06-02,21,25.60
2006-06-09,18,24.91
2006-06-16,25,25.01
2006-06-23,27,25.02
2006-06-30,26,24.98
2006-07-07,19,23.95
2006-07-14,26,23.01
2006-07-21,27,22.40
2006-07-28,22,23.35
2006-08-04,26,23.32
2006-08-11,27,22.74
2006-08-18,20,23.59
2006-08-25,22,22.70
2006-09-01,23,23.22
2006-09-08,23,23.64
2006-09-15,28,24.96
2006-09-22,18,24.48
2006-09-29,23,25.03
2006-10-06,29,25.13
2006-10-13,24,24.97
2006-10-20,25,23.15
2006-10-27,21,23.39
2006-11-03,23,22.83
2006-11-10,22,23.71
2006-11-17,28,24.35
2006-11-24,18,23.88
2006-12-01,23,23.69
2006-12-08,24,23.79
2006-12-15,20,23.62
2006-12-22,17,23.47
2006-12-29,17,23.90
2007-01-05,23,23.46
2007-01-12,18,23.84
2007-01-19,23,24.15
2007-01-26,22,23.42
2007-02-02,21,24.48
2007-02-09,22,24.13
2007-02-16,23,24.38
2007-02-23,22,24.24
2007-03-02,21,23.87
2007-03-09,25,23.81
2007-03-16,20,23.04
2007-03-23,23,23.38
2007-03-30,24,22.67
2007-04-06,23,
2007-04-13,22,23.08
2007-04-20,24,23.50
2007-04-27,18,23.84
2007-05-04,20,23.80
2007-05-11,21,23.64
2007-05-18,22,23.59
2007-05-25,22,24.29
2007-06-01,20,24.51
2007-06-08,23,23.92
2007-06-15,21,23.58
2007-06-22,21,21.60
2007-06-29,24,22.05
2007-07-06,18,22.50
2007-07-13,26,22.51
2007-07-20,25,21.94
2007-07-27,19,20.81
2007-08-03,19,20.45
2007-08-10,20,19.87
2007-08-17,25,19.96
2007-08-24,21,20.89
2007-08-31,17,20.40
2007-09-07,17,19.27
2007-09-14,21,19.55
2007-09-21,21,19.58
2007-09-28,19,19.16
2007-10-05,27,20.03
2007-10-12,15,19.42
2007-10-19,22,18.33
2007-10-26,17,18.99
2007-11-02,22,18.78
2007-11-09,20,18.19
2007-11-16,19,20.16
2007-11-23,20,20.25
2007-11-30,23,20.58
2007-12-07,24,20.35
2007-12-14,19,18.72
2007-12-21,19,17.64
2007-12-28,17,17.27
2008-01-04,24,16.32
2008-01-11,25,16.10
2008-01-18,20,16.14
2008-01-25,23,16.81
2008-02-01,21,19.22
2008-02-08,21,17.77
2008-02-15,20,17.58
2008-02-22,24,17.46
2008-02-29,23,16.70
2008-03-07,24,15.92
2008-03-14,17,15.05
2008-03-21,22,
2008-03-28,25,14.88
2008-04-04,19,15.68
2008-04-11,20,15.07
2008-04-18,20,16.85
2008-04-25,23,17.13
2008-05-02,23,16.88
2008-05-09,24,16.25
2008-05-16,20,17.50
2008-05-23,16,18.53
2008-05-30,18,19.10
2008-06-06,17,18.60
2008-06-13,17,18.00
2008-06-20,21,17.77
2008-06-27,20,17.21
2008-07-04,21,
2008-07-11,20,14.84
2008-07-18,22,18.03
2008-07-25,22,18.94
2008-08-01,24,19.84
2008-08-08,20,21.41
2008-08-15,21,21.40
2008-08-22,20,21.13
2008-08-29,15,22.31
2008-09-05,17,22.58
2008-09-12,19,23.45
2008-09-19,21,23.98
2008-09-26,19,22.28
2008-10-03,17,19.98
2008-10-10,14,17.65
2008-10-17,19,16.29
2008-10-24,22,15.71
2008-10-31,21,17.36
2008-11-07,17,16.30
2008-11-14,16,14.88
2008-11-21,22,13.13
2008-11-28,17,14.60
2008-12-05,16,14.94
2008-12-12,21,14.67
2008-12-19,15,14.76
2008-12-26,13,14.47
2009-01-02,15,15.68
2009-01-09,19,14.40
2009-01-16,16,13.78
2009-01-23,18,13.00
2009-01-30,19,12.49
2009-02-06,22,13.55
2009-02-13,15,12.84
2009-02-20,20,12.26
2009-02-27,17,11.43
2009-03-06,20,10.31
2009-03-13,15,11.98
2009-03-20,19,11.94
2009-03-27,17,13.78
2009-04-03,19,14.30
2009-04-10,17,
2009-04-17,16,15.00
2009-04-24,18,14.92
2009-05-01,18,14.51
2009-05-08,17,15.71
2009-05-15,17,14.69
2009-05-22,15,14.23
2009-05-29,20,14.68
2009-06-05,18,15.72
2009-06-12,19,15.50
2009-06-19,17,14.79
2009-06-26,23,14.89
2009-07-03,19,
2009-07-10,19,14.27
2009-07-17,22,15.77
2009-07-24,21,16.18
2009-07-31,25,17.35
2009-08-07,19,17.93
2009-08-14,19,17.40
2009-08-21,19,18.88
2009-08-28,19,18.54
2009-09-04,17,18.49
2009-09-11,16,18.64
2009-09-18,18,19.56
2009-09-25,20,18.81
2009-10-02,16,18.28
2009-10-09,16,18.89
2009-10-16,16,19.73
2009-10-23,18,20.82
2009-10-30,17,19.33
2009-11-06,16,19.44
2009-11-13,17,19.85
2009-11-20,17,19.53
2009-11-27,14,19.57
2009-12-04,17,20.03
2009-12-11,15,20.25
2009-12-18,16,19.97
2009-12-25,15,
2010-01-01,14,
2010-01-08,19,21.18
2010-01-15,17,20.99
2010-01-22,15,20.02
2010-01-29,18,18.26
2010-02-05,19,18.45
2010-02-12,18,18.78
2010-02-19,17,19.41
2010-02-26,20,18.95
2010-03-05,19,20.61
2010-03-12,20,21.29
2010-03-19,16,21.47
2010-03-26,16,21.61
2010-04-02,18,
2010-04-09,17,21.90
2010-04-16,17,22.07
2010-04-23,20,23.96
2010-04-30,20,24.53
2010-05-07,19,22.22
2010-05-14,19,24.08
2010-05-21,20,22.80
2010-05-28,19,23.28
2010-06-04,16,22.37
2010-06-11,19,22.74
2010-06-18,19,22.51
2010-06-25,17,21.46
2010-07-02,21,19.51
2010-07-09,19,20.64
2010-07-16,21,20.00
2010-07-23,20,21.37
2010-07-30,19,20.84
2010-08-06,21,21.07
2010-08-13,20,19.68
2010-08-20,22,19.58
2010-08-27,21,19.48
2010-09-03,18,21.04
2010-09-10,19,21.39
2010-09-17,21,21.60
2010-09-24,19,22.80
2010-10-01,17,23.02
2010-10-08,19,23.75
2010-10-15,16,23.80
2010-10-22,16,21.01
2010-10-29,17,20.38
2010-11-05,23,20.50
2010-11-12,21,20.12
2010-11-19,14,20.34
2010-11-26,14,20.53
2010-12-03,14,21.81
2010-12-10,15,22.18
2010-12-17,14,23.23
2010-12-24,13,
2010-12-31,14,22.76
2011-01-07,17,22.88
2011-01-14,16,22.95
2011-01-21,20,22.39
2011-01-28,17,22.62
2011-02-04,19,22.56
2011-02-11,19,23.63
2011-02-18,17,23.62
2011-02-25,17,22.93
2011-03-04,19,23.72
2011-03-11,17,23.22
2011-03-18,16,22.85
2011-03-25,14,23.75
2011-04-01,17,24.17
2011-04-08,16,23.20
2011-04-15,18,23.07
2011-04-22,18,
2011-04-29,17,26.29
2011-05-06,15,26.12
2011-05-13,18,25.97
2011-05-20,17,25.79
2011-05-27,21,25.59
2011-06-03,18,24.27
2011-06-10,18,23.28
2011-06-17,17,23.46
2011-06-24,14,22.88
2011-07-01,15,24.90
2011-07-08,17,24.23
2011-07-15,16,23.25
2011-07-22,20,23.50
2011-07-29,19,21.70
2011-08-05,23,19.30
2011-08-12,19,20.10
2011-08-19,15,19.33
2011-08-26,18,20.73
2011-09-02,19,21.49
2011-09-09,19,20.86
2011-09-16,15,21.56
2011-09-23,18,19.69
2011-09-30,16,19.79
2011-10-07,18,20.65
2011-10-14,16,22.03
2011-10-21,19,23.04
2011-10-28,18,22.40
2011-11-04,18,21.85
2011-11-11,22,22.65
2011-11-18,21,21.87
2011-11-25,17,20.48
2011-12-02,19,22.41
2011-12-09,15,23.10
2011-12-16,16,21.77
2011-12-23,14,23.67
2011-12-30,15,23.04
2012-01-06,17,22.76
2012-01-13,19,22.49
2012-01-20,18,23.18
2012-01-27,22,22.67
2012-02-03,19,23.22
2012-02-10,19,21.36
2012-02-17,19,21.95
2012-02-24,18,22.59
2012-03-02,19,21.97
2012-03-09,19,22.42
2012-03-16,18,23.26
2012-03-23,18,22.40
2012-03-30,17,23.01
2012-04-06,15,
2012-04-13,16,22.32
2012-04-20,17,23.07
2012-04-27,19,21.99
2012-05-04,21,21.49
2012-05-11,17,20.83
2012-05-18,17,19.89
2012-05-25,17,20.72
2012-06-01,18,20.30
2012-06-08,16,20.84
2012-06-15,17,20.55
2012-06-22,17,19.88
2012-06-29,19,21.13
2012-07-06,18,21.04
2012-07-13,19,21.36
2012-07-20,17,21.60
2012-07-27,18,22.63
2012-08-03,20,23.08
2012-08-10,22,23.12
2012-08-17,20,23.87
2012-08-24,17,23.89
2012-08-31,20,23.74
2012-09-07,18,24.23
2012-09-14,18,25.00
2012-09-21,17,25.10
2012-09-28,17,25.05
2012-10-05,16,25.09
2012-10-12,15,24.71
2012-10-19,17,25.86
2012-10-26,17,25.40
2012-11-02,18,27.19
2012-11-09,16,26.72
2012-11-16,17,26.56
2012-11-23,16,27.43
2012-11-30,17,27.85
2012-12-07,17,26.86
2012-12-14,23,26.36
2012-12-21,32,26.83
2012-12-28,17,26.44
2013-01-04,18,28.02
2013-01-11,21,28.00
2013-01-18,18,28.55
2013-01-25,18,29.57
2013-02-01,18,29.57
2013-02-08,19,29.74
2013-02-15,19,30.70
2013-02-22,16,29.78
2013-03-01,17,30.67
2013-03-08,19,31.89
2013-03-15,17,32.22
2013-03-22,16,32.84
2013-03-29,20,
2013-04-05,17,32.63
2013-04-12,17,33.79
2013-04-19,16,32.48
2013-04-26,17,32.58
2013-05-03,17,32.84
2013-05-10,17,33.48
2013-05-17,18,34.19
2013-05-24,17,33.00
2013-05-31,16,32.00
2013-06-07,17,31.86
2013-06-14,19,32.28
2013-06-21,20,30.58
2013-06-28,16,31.09
2013-07-05,17,31.27
2013-07-12,19,32.27
2013-07-19,17,31.94
2013-07-26,20,30.71
2013-08-02,18,31.92
2013-08-09,21,30.91
2013-08-16,19,30.26
2013-08-23,19,29.67
2013-08-30,20,28.92
2013-09-06,19,29.39
2013-09-13,18,30.65
2013-09-20,16,30.55
2013-09-27,19,30.36
2013-10-04,16,29.60
2013-10-11,17,29.70
2013-10-18,18,29.30
2013-10-25,18,30.35
2013-11-01,17,29.50
2013-11-08,16,29.38
2013-11-15,17,29.82
2013-11-22,15,30.07
2013-11-29,100,30.21
2013-12-06,30,29.66
2013-12-13,19,29.15
2013-12-20,19,30.55
2013-12-27,15,31.06
2014-01-03,17,30.71
2014-01-10,17,30.38
2014-01-17,17,29.75
2014-01-24,18,29.78
2014-01-31,16,30.02
2014-02-07,16,30.36
2014-02-14,18,31.09
2014-02-21,17,31.39
2014-02-28,19,32.05
2014-03-07,19,32.09
2014-03-14,18,31.47
2014-03-21,16,31.95
2014-03-28,17,32.23
2014-04-04,18,32.57
2014-04-11,18,31.96
2014-04-18,17,
2014-04-25,18,31.97
2014-05-02,19,
