Date,MAC,Price
2004-01-09,69,
2004-01-16,66,
2004-01-23,68,
2004-01-30,67,
2004-02-06,64,48.86
2004-02-13,65,50.10
2004-02-20,66,48.78
2004-02-27,63,49.40
2004-03-05,63,51.74
2004-03-12,63,52.00
2004-03-19,61,52.33
2004-03-26,63,51.85
2004-04-02,60,53.44
2004-04-09,60,
2004-04-16,61,44.47
2004-04-23,59,43.06
2004-04-30,58,41.87
2004-05-07,61,40.70
2004-05-14,60,41.30
2004-05-21,60,42.40
2004-05-28,60,45.25
2004-06-04,61,45.30
2004-06-11,60,
2004-06-18,58,47.30
2004-06-25,59,47.70
2004-07-02,63,49.25
2004-07-09,63,48.68
2004-07-16,62,48.79
2004-07-23,60,46.60
2004-07-30,60,47.90
2004-08-06,59,48.55
2004-08-13,59,48.01
2004-08-20,60,50.98
2004-08-27,59,54.11
2004-09-03,63,54.24
2004-09-10,62,53.90
2004-09-17,61,54.06
2004-09-24,59,52.23
2004-10-01,61,54.10
2004-10-08,60,54.89
2004-10-15,62,56.75
2004-10-22,60,57.57
2004-10-29,59,59.75
2004-11-05,61,57.75
2004-11-12,65,60.58
2004-11-19,61,59.40
2004-11-26,60,60.74
2004-12-03,60,61.95
2004-12-10,62,62.15
2004-12-17,64,64.66
2004-12-24,64,
2004-12-31,66,62.80
2005-01-07,65,58.00
2005-01-14,83,58.33
2005-01-21,73,59.50
2005-01-28,72,56.80
2005-02-04,69,59.61
2005-02-11,71,60.00
2005-02-18,68,59.74
2005-02-25,67,57.73
2005-03-04,64,58.94
2005-03-11,66,56.10
2005-03-18,63,56.40
2005-03-25,62,
2005-04-01,59,54.20
2005-04-08,61,54.30
2005-04-15,59,56.22
2005-04-22,59,57.85
2005-04-29,64,60.30
2005-05-06,69,59.12
2005-05-13,67,59.80
2005-05-20,64,63.35
2005-05-27,64,61.50
2005-06-03,62,62.05
2005-06-10,65,64.39
2005-06-17,62,65.35
2005-06-24,61,67.04
2005-07-01,61,67.40
2005-07-08,60,68.08
2005-07-15,60,67.00
2005-07-22,61,67.54
2005-07-29,61,70.22
2005-08-05,62,65.75
2005-08-12,65,64.90
2005-08-19,68,64.03
2005-08-26,68,63.62
2005-09-02,68,65.06
2005-09-09,65,65.76
2005-09-16,63,65.00
2005-09-23,66,62.61
2005-09-30,62,64.94
2005-10-07,62,62.59
2005-10-14,64,62.65
2005-10-21,65,62.92
2005-10-28,63,64.00
2005-11-04,62,62.15
2005-11-11,62,65.43
2005-11-18,61,66.76
2005-11-25,63,68.58
2005-12-02,63,68.37
2005-12-09,62,67.63
2005-12-16,63,67.77
2005-12-23,64,68.50
2005-12-30,70,67.14
2006-01-06,66,70.83
2006-01-13,72,70.10
2006-01-20,65,69.65
2006-01-27,63,71.76
2006-02-03,64,70.71
2006-02-10,62,69.95
2006-02-17,61,71.20
2006-02-24,63,72.30
2006-03-03,63,71.10
2006-03-10,63,72.40
2006-03-17,61,74.34
2006-03-24,60,72.44
2006-03-31,58,73.95
2006-04-07,61,71.45
2006-04-14,61,
2006-04-21,58,73.66
2006-04-28,57,73.22
2006-05-05,55,74.05
2006-05-12,56,70.80
2006-05-19,58,69.44
2006-05-26,60,69.53
2006-06-02,59,71.25
2006-06-09,57,71.19
2006-06-16,57,70.05
2006-06-23,58,68.11
2006-06-30,59,70.20
2006-07-07,61,71.07
2006-07-14,59,71.00
2006-07-21,60,70.02
2006-07-28,61,72.50
2006-08-04,62,71.78
2006-08-11,67,70.40
2006-08-18,66,72.17
2006-08-25,66,72.50
2006-09-01,65,73.68
2006-09-08,66,73.70
2006-09-15,67,76.44
2006-09-22,67,75.85
2006-09-29,66,76.36
2006-10-06,67,77.90
2006-10-13,65,78.65
2006-10-20,66,78.14
2006-10-27,68,79.80
2006-11-03,65,77.66
2006-11-10,65,78.21
2006-11-17,66,80.80
2006-11-24,65,86.72
2006-12-01,66,85.74
2006-12-08,68,85.13
2006-12-15,66,83.38
2006-12-22,69,82.57
2006-12-29,78,86.57
2007-01-05,76,85.76
2007-01-12,72,90.55
2007-01-19,69,92.48
2007-01-26,70,93.46
2007-02-02,72,96.60
2007-02-09,70,100.10
2007-02-16,71,98.25
2007-02-23,70,96.24
2007-03-02,65,91.96
2007-03-09,68,93.14
2007-03-16,69,90.67
2007-03-23,65,93.43
2007-03-30,65,92.36
2007-04-06,66,
2007-04-13,64,94.28
2007-04-20,61,95.79
2007-04-27,63,96.05
2007-05-04,62,93.76
2007-05-11,61,93.03
2007-05-18,63,85.65
2007-05-25,61,84.08
2007-06-01,63,89.39
2007-06-08,64,87.31
2007-06-15,64,85.94
2007-06-22,62,83.10
2007-06-29,64,82.42
2007-07-06,64,85.61
2007-07-13,65,84.71
2007-07-20,63,80.33
2007-07-27,61,73.14
2007-08-03,62,74.78
2007-08-10,65,78.94
2007-08-17,67,81.11
2007-08-24,67,81.16
2007-08-31,68,81.22
2007-09-07,65,79.87
2007-09-14,67,82.77
2007-09-21,68,84.43
2007-09-28,67,87.58
2007-10-05,70,91.78
2007-10-12,65,90.88
2007-10-19,68,85.15
2007-10-26,68,85.31
2007-11-02,81,82.08
2007-11-09,75,78.54
2007-11-16,73,78.96
2007-11-23,84,75.80
2007-11-30,82,77.65
2007-12-07,81,80.10
2007-12-14,73,74.61
2007-12-21,73,73.86
2007-12-28,83,70.63
2008-01-04,77,64.86
2008-01-11,75,61.52
2008-01-18,83,58.91
2008-01-25,76,66.03
2008-02-01,75,72.13
2008-02-08,77,64.07
2008-02-15,71,65.56
2008-02-22,72,64.15
2008-02-29,72,64.00
2008-03-07,72,61.17
2008-03-14,70,61.60
2008-03-21,73,
2008-03-28,72,68.57
2008-04-04,70,72.85
2008-04-11,69,69.85
2008-04-18,69,73.27
2008-04-25,66,74.75
2008-05-02,69,75.15
2008-05-09,65,73.15
2008-05-16,66,73.74
2008-05-23,63,69.97
2008-05-30,65,71.53
2008-06-06,66,69.45
