Date,MAT,Price
2004-01-09,27,
2004-01-16,26,
2004-01-23,26,
2004-01-30,27,
2004-02-06,27,18.95
2004-02-13,26,18.77
2004-02-20,25,19.11
2004-02-27,25,19.00
2004-03-05,24,18.86
2004-03-12,23,18.12
2004-03-19,26,18.44
2004-03-26,28,18.29
2004-04-02,26,18.47
2004-04-09,25,
2004-04-16,26,18.75
2004-04-23,26,17.71
2004-04-30,23,16.96
2004-05-07,25,17.25
2004-05-14,23,17.18
2004-05-21,24,17.25
2004-05-28,26,17.48
2004-06-04,26,17.38
2004-06-11,25,
2004-06-18,25,17.97
2004-06-25,23,18.23
2004-07-02,23,18.08
2004-07-09,24,17.01
2004-07-16,23,16.76
2004-07-23,24,17.31
2004-07-30,25,17.52
2004-08-06,25,16.89
2004-08-13,24,17.19
2004-08-20,26,16.30
2004-08-27,26,16.03
2004-09-03,25,16.92
2004-09-10,26,17.95
2004-09-17,26,18.15
2004-09-24,24,17.94
2004-10-01,25,18.34
2004-10-08,25,17.92
2004-10-15,25,17.97
2004-10-22,27,17.12
2004-10-29,25,17.51
2004-11-05,26,17.95
2004-11-12,25,18.64
2004-11-19,29,18.52
2004-11-26,31,18.86
2004-12-03,30,18.65
2004-12-10,32,18.55
2004-12-17,31,18.75
2004-12-24,27,
2004-12-31,27,19.49
2005-01-07,28,18.77
2005-01-14,27,19.14
2005-01-21,27,18.85
2005-01-28,27,18.35
2005-02-04,26,20.39
2005-02-11,25,20.55
2005-02-18,26,21.09
2005-02-25,26,21.12
2005-03-04,25,20.79
2005-03-11,25,20.59
2005-03-18,27,20.25
2005-03-25,27,
2005-04-01,24,20.98
2005-04-08,26,20.85
2005-04-15,27,18.67
2005-04-22,27,18.67
2005-04-29,28,18.05
2005-05-06,25,18.00
2005-05-13,25,17.93
2005-05-20,26,18.70
2005-05-27,28,18.28
2005-06-03,24,18.12
2005-06-10,25,18.16
2005-06-17,23,18.26
2005-06-24,26,17.69
2005-07-01,24,18.28
2005-07-08,22,18.66
2005-07-15,23,19.45
2005-07-22,24,18.38
2005-07-29,24,18.65
2005-08-05,25,18.18
2005-08-12,25,17.81
2005-08-19,24,17.86
2005-08-26,29,17.62
2005-09-02,30,17.90
2005-09-09,40,18.66
2005-09-16,40,18.12
2005-09-23,31,16.57
2005-09-30,25,16.68
2005-10-07,26,16.38
2005-10-14,27,15.95
2005-10-21,26,15.05
2005-10-28,26,14.72
2005-11-04,26,15.48
2005-11-11,27,15.35
2005-11-18,29,15.17
2005-11-25,28,16.51
2005-12-02,31,16.42
2005-12-09,31,16.50
2005-12-16,31,16.50
2005-12-23,28,16.00
2005-12-30,28,15.82
2006-01-06,27,15.50
2006-01-13,29,15.24
2006-01-20,27,14.81
2006-01-27,28,14.78
2006-02-03,26,16.10
2006-02-10,27,16.63
2006-02-17,27,17.30
2006-02-24,27,17.05
2006-03-03,29,16.87
2006-03-10,28,17.10
2006-03-17,28,17.52
2006-03-24,28,18.00
2006-03-31,27,18.13
2006-04-07,27,17.40
2006-04-14,25,
2006-04-21,26,17.57
2006-04-28,27,16.18
2006-05-05,27,16.47
2006-05-12,27,16.26
2006-05-19,26,16.19
2006-05-26,27,16.65
2006-06-02,26,16.88
2006-06-09,26,16.48
2006-06-16,25,16.80
2006-06-23,25,16.35
2006-06-30,24,16.51
2006-07-07,23,16.56
2006-07-14,24,15.88
2006-07-21,24,17.69
2006-07-28,26,17.87
2006-08-04,24,17.99
2006-08-11,24,18.10
2006-08-18,27,18.19
2006-08-25,27,17.91
2006-09-01,27,19.03
2006-09-08,27,19.01
2006-09-15,29,19.31
2006-09-22,30,19.44
2006-09-29,30,19.70
2006-10-06,30,20.20
2006-10-13,30,20.70
2006-10-20,29,21.70
2006-10-27,30,22.50
2006-11-03,29,22.65
2006-11-10,31,23.43
2006-11-17,30,23.66
2006-11-24,32,22.90
2006-12-01,36,21.75
2006-12-08,32,21.99
2006-12-15,32,22.84
2006-12-22,29,22.82
2006-12-29,31,22.66
2007-01-05,30,22.93
2007-01-12,31,23.36
2007-01-19,31,23.51
2007-01-26,31,23.96
2007-02-02,31,24.99
2007-02-09,30,26.03
2007-02-16,29,26.36
2007-02-23,31,26.93
2007-03-02,30,26.40
2007-03-09,31,27.70
2007-03-16,29,27.71
2007-03-23,28,28.73
2007-03-30,28,27.57
2007-04-06,28,
2007-04-13,28,28.34
2007-04-20,27,28.39
2007-04-27,29,28.41
2007-05-04,28,29.13
2007-05-11,28,29.23
2007-05-18,29,28.83
2007-05-25,29,28.48
2007-06-01,30,28.35
2007-06-08,29,26.22
2007-06-15,27,25.85
2007-06-22,28,25.33
2007-06-29,28,25.29
2007-07-06,27,25.89
2007-07-13,27,26.53
2007-07-20,28,24.68
2007-07-27,28,23.48
2007-08-03,28,22.72
2007-08-10,29,23.04
2007-08-17,28,22.25
2007-08-24,29,22.23
2007-08-31,30,21.63
2007-09-07,29,21.30
2007-09-14,31,22.46
2007-09-21,32,23.94
2007-09-28,33,23.46
2007-10-05,33,23.31
2007-10-12,33,22.45
2007-10-19,34,20.55
2007-10-26,32,21.09
2007-11-02,34,20.50
2007-11-09,34,19.96
2007-11-16,35,19.86
2007-11-23,40,20.47
2007-11-30,43,19.98
2007-12-07,42,20.37
2007-12-14,37,19.77
2007-12-21,38,20.19
2007-12-28,35,18.97
2008-01-04,34,17.71
2008-01-11,38,17.00
2008-01-18,36,17.71
2008-01-25,34,19.02
2008-02-01,36,21.32
2008-02-08,33,20.64
2008-02-15,32,20.80
2008-02-22,34,20.65
2008-02-29,36,19.32
2008-03-07,33,19.38
2008-03-14,33,19.81
2008-03-21,33,
2008-03-28,33,20.28
2008-04-04,34,21.64
2008-04-11,34,21.01
2008-04-18,34,21.78
2008-04-25,35,19.26
2008-05-02,34,19.13
2008-05-09,34,19.05
2008-05-16,34,19.94
2008-05-23,34,19.86
2008-05-30,35,20.14
2008-06-06,32,19.85
2008-06-13,32,20.36
2008-06-20,31,18.80
2008-06-27,32,17.72
2008-07-04,31,
2008-07-11,32,17.25
2008-07-18,34,20.66
2008-07-25,33,20.81
2008-08-01,33,20.48
2008-08-08,34,21.50
2008-08-15,35,21.79
2008-08-22,35,21.07
2008-08-29,35,19.33
2008-09-05,36,19.03
2008-09-12,38,19.39
2008-09-19,36,18.32
2008-09-26,38,18.76
2008-10-03,38,17.53
2008-10-10,37,13.98
2008-10-17,39,14.45
2008-10-24,38,13.07
2008-10-31,38,15.01
2008-11-07,39,14.89
2008-11-14,40,13.91
2008-11-21,39,11.75
2008-11-28,40,13.67
2008-12-05,44,14.61
2008-12-12,42,14.60
2008-12-19,40,14.97
2008-12-26,44,15.46
2009-01-02,44,16.65
2009-01-09,43,15.35
2009-01-16,40,15.63
2009-01-23,40,15.19
2009-01-30,41,14.19
2009-02-06,39,12.91
2009-02-13,40,12.21
2009-02-20,42,12.05
2009-02-27,45,11.84
2009-03-06,43,10.82
2009-03-13,42,11.54
2009-03-20,43,11.01
2009-03-27,43,12.09
2009-04-03,42,12.95
2009-04-10,42,
2009-04-17,41,15.01
2009-04-24,43,15.09
2009-05-01,43,15.02
2009-05-08,44,15.52
2009-05-15,44,13.94
2009-05-22,46,13.96
2009-05-29,46,15.61
2009-06-05,46,16.35
2009-06-12,46,16.28
2009-06-19,43,16.40
2009-06-26,40,15.94
2009-07-03,40,
2009-07-10,44,15.19
2009-07-17,45,17.42
2009-07-24,45,17.69
2009-07-31,46,17.58
2009-08-07,47,17.88
2009-08-14,48,18.00
2009-08-21,46,18.18
2009-08-28,46,18.32
2009-09-04,54,18.43
2009-09-11,56,18.20
2009-09-18,52,18.53
2009-09-25,56,17.96
2009-10-02,49,17.95
2009-10-09,52,18.64
2009-10-16,48,20.46
2009-10-23,48,19.52
2009-10-30,47,18.93
2009-11-06,49,19.74
2009-11-13,49,20.47
2009-11-20,48,20.01
2009-11-27,51,19.57
2009-12-04,54,19.89
2009-12-11,50,19.88
2009-12-18,50,19.92
2009-12-25,49,
2010-01-01,52,
2010-01-08,51,19.77
2010-01-15,48,20.28
2010-01-22,50,19.95
2010-01-29,49,19.72
2010-02-05,50,20.10
2010-02-12,44,20.99
2010-02-19,40,21.78
2010-02-26,51,21.99
2010-03-05,53,22.50
2010-03-12,51,22.76
2010-03-19,52,23.19
2010-03-26,54,22.83
2010-04-02,55,
2010-04-09,52,23.18
