Date,MMC,Price
2004-01-09,72,
2004-01-16,84,
2004-01-23,75,
2004-01-30,59,
2004-02-06,64,47.23
2004-02-13,69,48.96
2004-02-20,66,48.45
2004-02-27,67,47.99
2004-03-05,57,48.52
2004-03-12,63,47.01
2004-03-19,66,46.44
2004-03-26,60,47.13
2004-04-02,61,45.88
2004-04-09,66,
2004-04-16,67,45.62
2004-04-23,75,45.01
2004-04-30,70,45.10
2004-05-07,70,44.07
2004-05-14,66,42.85
2004-05-21,74,43.30
2004-05-28,66,44.12
2004-06-04,76,43.66
2004-06-11,69,
2004-06-18,76,43.48
2004-06-25,73,44.75
2004-07-02,73,45.20
2004-07-09,74,44.68
2004-07-16,68,44.29
2004-07-23,69,43.44
2004-07-30,73,44.38
2004-08-06,76,42.47
2004-08-13,76,42.61
2004-08-20,74,44.23
2004-08-27,69,44.64
2004-09-03,69,45.54
2004-09-10,68,46.01
2004-09-17,71,46.61
2004-09-24,70,45.67
2004-10-01,67,46.36
2004-10-08,76,45.98
2004-10-15,77,29.20
2004-10-22,81,26.79
2004-10-29,77,27.66
2004-11-05,70,27.60
2004-11-12,67,27.68
2004-11-19,73,27.27
2004-11-26,83,28.60
2004-12-03,79,29.12
2004-12-10,83,31.26
2004-12-17,80,32.03
2004-12-24,92,
2004-12-31,100,32.90
2005-01-07,86,31.26
2005-01-14,82,31.51
2005-01-21,84,31.01
2005-01-28,81,31.09
2005-02-04,77,32.32
2005-02-11,76,32.99
2005-02-18,77,31.58
2005-02-25,74,31.63
2005-03-04,78,31.80
2005-03-11,78,30.23
2005-03-18,80,30.00
2005-03-25,69,
2005-04-01,72,29.89
2005-04-08,73,29.89
2005-04-15,73,28.14
2005-04-22,71,27.90
2005-04-29,68,28.03
2005-05-06,75,29.84
2005-05-13,69,28.67
2005-05-20,68,29.94
2005-05-27,73,29.01
2005-06-03,75,28.99
2005-06-10,74,28.58
2005-06-17,80,27.89
2005-06-24,73,27.41
2005-07-01,78,27.70
2005-07-08,70,29.40
2005-07-15,73,30.01
2005-07-22,74,29.49
2005-07-29,75,28.97
2005-08-05,72,27.47
2005-08-12,74,26.94
2005-08-19,69,27.71
2005-08-26,70,26.97
2005-09-02,72,28.15
2005-09-09,66,29.00
2005-09-16,67,28.99
2005-09-23,67,29.40
2005-09-30,71,30.39
2005-10-07,69,29.67
2005-10-14,63,28.87
2005-10-21,62,28.35
2005-10-28,63,29.00
2005-11-04,66,28.90
2005-11-11,65,29.23
2005-11-18,63,29.68
2005-11-25,71,32.07
2005-12-02,66,32.42
2005-12-09,71,32.64
2005-12-16,67,32.20
2005-12-23,75,33.06
2005-12-30,82,31.76
2006-01-06,71,32.39
2006-01-13,75,32.09
