Date,MON,Price
2004-01-09,22,
2004-01-16,25,
2004-01-23,26,
2004-01-30,24,
2004-02-06,24,32.29
2004-02-13,25,31.25
2004-02-20,26,31.91
2004-02-27,23,33.04
2004-03-05,25,34.35
2004-03-12,24,34.59
2004-03-19,25,34.25
2004-03-26,27,34.43
2004-04-02,25,36.50
2004-04-09,24,
2004-04-16,24,36.17
2004-04-23,23,36.45
2004-04-30,25,34.59
2004-05-07,26,32.99
2004-05-14,25,32.92
2004-05-21,23,33.08
2004-05-28,23,34.50
2004-06-04,25,35.10
2004-06-11,25,
2004-06-18,24,35.42
2004-06-25,24,35.48
2004-07-02,24,36.99
2004-07-09,23,36.89
2004-07-16,23,36.58
2004-07-23,21,36.55
2004-07-30,23,36.26
2004-08-06,23,35.31
2004-08-13,22,35.68
2004-08-20,23,36.32
2004-08-27,24,36.67
2004-09-03,25,37.31
2004-09-10,25,36.63
2004-09-17,26,35.42
2004-09-24,26,34.60
2004-10-01,25,36.53
2004-10-08,25,37.92
2004-10-15,25,38.38
2004-10-22,26,39.07
2004-10-29,26,42.75
2004-11-05,25,42.70
2004-11-12,25,44.61
2004-11-19,26,44.80
2004-11-26,27,45.61
2004-12-03,28,47.16
2004-12-10,28,49.85
2004-12-17,27,51.44
2004-12-24,29,
2004-12-31,29,55.55
2005-01-07,27,53.32
2005-01-14,29,55.40
2005-01-21,29,57.72
2005-01-28,28,52.20
2005-02-04,30,57.41
2005-02-11,31,56.89
2005-02-18,31,55.77
2005-02-25,30,59.16
2005-03-04,32,61.63
2005-03-11,29,60.89
2005-03-18,29,60.38
2005-03-25,32,
2005-04-01,34,64.66
2005-04-08,32,61.45
2005-04-15,32,56.28
2005-04-22,31,58.58
2005-04-29,32,58.62
2005-05-06,31,60.64
2005-05-13,32,59.96
2005-05-20,32,58.00
2005-05-27,32,58.32
2005-06-03,32,58.92
2005-06-10,32,63.76
2005-06-17,32,67.60
2005-06-24,32,66.14
2005-07-01,32,62.38
2005-07-08,33,62.85
2005-07-15,29,63.20
2005-07-22,30,66.64
2005-07-29,31,67.37
2005-08-05,30,67.29
2005-08-12,29,64.91
2005-08-19,33,64.97
2005-08-26,38,63.92
2005-09-02,36,63.00
2005-09-09,32,65.98
2005-09-16,32,63.53
2005-09-23,32,59.99
2005-09-30,32,62.75
2005-10-07,34,58.37
2005-10-14,33,60.02
2005-10-21,33,59.13
2005-10-28,35,60.55
2005-11-04,34,63.44
2005-11-11,34,69.82
2005-11-18,35,73.47
2005-11-25,36,73.80
2005-12-02,34,75.35
2005-12-09,35,77.26
2005-12-16,35,75.61
2005-12-23,39,78.08
2005-12-30,39,77.53
2006-01-06,38,81.55
2006-01-13,37,79.30
2006-01-20,37,80.00
2006-01-27,38,82.54
2006-02-03,37,83.99
2006-02-10,37,82.14
2006-02-17,37,83.47
2006-02-24,38,84.64
2006-03-03,38,87.31
2006-03-10,39,83.92
2006-03-17,38,85.00
2006-03-24,38,80.71
2006-03-31,38,84.75
2006-04-07,37,86.24
2006-04-14,39,
2006-04-21,37,88.49
2006-04-28,37,83.40
2006-05-05,37,88.48
2006-05-12,40,83.28
2006-05-19,38,83.26
2006-05-26,37,83.89
2006-06-02,38,84.90
2006-06-09,38,78.80
2006-06-16,40,77.91
2006-06-23,39,77.46
2006-06-30,37,84.19
2006-07-07,37,84.44
2006-07-14,34,83.31
2006-07-21,35,82.03
2006-07-28,35,87.04
2006-08-04,35,45.43
2006-08-11,34,45.01
2006-08-18,36,47.06
2006-08-25,39,46.98
2006-09-01,40,48.24
2006-09-08,38,46.93
2006-09-15,40,44.24
2006-09-22,40,46.96
2006-09-29,40,47.01
2006-10-06,41,47.19
2006-10-13,41,45.90
2006-10-20,43,44.73
2006-10-27,42,44.28
2006-11-03,42,44.15
2006-11-10,41,45.53
2006-11-17,41,46.80
2006-11-24,44,48.70
2006-12-01,41,47.72
2006-12-08,42,48.08
2006-12-15,43,50.94
2006-12-22,45,51.37
2006-12-29,47,52.53
2007-01-05,45,51.22
