Date,MPC,Price
2004-01-09,81,
2004-01-16,81,
2004-01-23,87,
2004-01-30,90,
2004-02-06,84,
2004-02-13,85,
2004-02-20,94,
2004-02-27,81,
2004-03-05,90,
2004-03-12,86,
2004-03-19,86,
2004-03-26,91,
2004-04-02,83,
2004-04-09,91,
2004-04-16,88,
2004-04-23,89,
2004-04-30,90,
2004-05-07,76,
2004-05-14,78,
2004-05-21,83,
2004-05-28,96,
2004-06-04,95,
2004-06-11,85,
2004-06-18,79,
2004-06-25,87,
2004-07-02,91,
2004-07-09,85,
2004-07-16,88,
2004-07-23,85,
2004-07-30,88,
2004-08-06,92,
2004-08-13,80,
2004-08-20,78,
2004-08-27,83,
2004-09-03,90,
2004-09-10,93,
2004-09-17,86,
2004-09-24,86,
2004-10-01,85,
2004-10-08,91,
2004-10-15,91,
2004-10-22,90,
2004-10-29,92,
2004-11-05,98,
2004-11-12,100,
2004-11-19,86,
2004-11-26,91,
2004-12-03,89,
2004-12-10,85,
2004-12-17,83,
2004-12-24,100,
2004-12-31,98,
2005-01-07,81,
2005-01-14,82,
2005-01-21,86,
2005-01-28,84,
2005-02-04,76,
2005-02-11,84,
2005-02-18,82,
2005-02-25,81,
2005-03-04,78,
2005-03-11,78,
2005-03-18,78,
2005-03-25,81,
2005-04-01,78,
2005-04-08,81,
2005-04-15,71,
2005-04-22,76,
2005-04-29,75,
2005-05-06,76,
2005-05-13,76,
2005-05-20,70,
2005-05-27,64,
2005-06-03,74,
2005-06-10,69,
2005-06-17,67,
2005-06-24,73,
2005-07-01,72,
2005-07-08,77,
2005-07-15,71,
2005-07-22,71,
2005-07-29,73,
2005-08-05,72,
2005-08-12,73,
2005-08-19,69,
2005-08-26,74,
2005-09-02,75,
2005-09-09,67,
2005-09-16,64,
2005-09-23,68,
2005-09-30,66,
2005-10-07,71,
2005-10-14,74,
2005-10-21,67,
2005-10-28,71,
2005-11-04,69,
2005-11-11,67,
2005-11-18,66,
2005-11-25,65,
2005-12-02,73,
2005-12-09,72,
2005-12-16,75,
2005-12-23,67,
2005-12-30,88,
2006-01-06,79,
2006-01-13,70,
2006-01-20,70,
2006-01-27,70,
2006-02-03,67,
2006-02-10,68,
2006-02-17,67,
2006-02-24,69,
2006-03-03,62,
2006-03-10,65,
2006-03-17,64,
2006-03-24,67,
2006-03-31,62,
2006-04-07,59,
2006-04-14,62,
2006-04-21,58,
2006-04-28,56,
2006-05-05,61,
2006-05-12,57,
2006-05-19,56,
2006-05-26,59,
2006-06-02,60,
2006-06-09,60,
2006-06-16,57,
2006-06-23,51,
2006-06-30,51,
2006-07-07,49,
2006-07-14,54,
2006-07-21,50,
2006-07-28,57,
2006-08-04,59,
2006-08-11,55,
2006-08-18,58,
2006-08-25,56,
2006-09-01,54,
2006-09-08,56,
2006-09-15,54,
2006-09-22,55,
2006-09-29,52,
2006-10-06,58,
2006-10-13,53,
2006-10-20,59,
2006-10-27,56,
2006-11-03,56,
2006-11-10,55,
2006-11-17,54,
2006-11-24,55,
2006-12-01,61,
2006-12-08,57,
2006-12-15,53,
2006-12-22,59,
2006-12-29,64,
2007-01-05,68,
2007-01-12,54,
2007-01-19,51,
2007-01-26,52,
2007-02-02,49,
2007-02-09,55,
2007-02-16,54,
2007-02-23,51,
2007-03-02,48,
2007-03-09,50,
2007-03-16,50,
2007-03-23,52,
2007-03-30,48,
2007-04-06,51,
2007-04-13,50,
2007-04-20,46,
2007-04-27,48,
2007-05-04,51,
2007-05-11,49,
2007-05-18,47,
2007-05-25,44,
2007-06-01,48,
2007-06-08,46,
2007-06-15,45,
2007-06-22,43,
2007-06-29,42,
2007-07-06,43,
2007-07-13,41,
2007-07-20,42,
2007-07-27,42,
2007-08-03,44,
2007-08-10,40,
2007-08-17,41,
2007-08-24,43,
2007-08-31,42,
2007-09-07,43,
2007-09-14,43,
2007-09-21,40,
2007-09-28,38,
2007-10-05,42,
2007-10-12,44,
2007-10-19,42,
2007-10-26,39,
2007-11-02,42,
2007-11-09,40,
2007-11-16,39,
2007-11-23,44,
2007-11-30,45,
2007-12-07,49,
2007-12-14,41,
2007-12-21,42,
2007-12-28,43,
2008-01-04,43,
2008-01-11,41,
2008-01-18,41,
2008-01-25,42,
2008-02-01,41,
2008-02-08,40,
2008-02-15,37,
2008-02-22,38,
2008-02-29,37,
2008-03-07,36,
2008-03-14,36,
2008-03-21,39,
2008-03-28,35,
2008-04-04,35,
2008-04-11,37,
2008-04-18,34,
2008-04-25,38,
2008-05-02,34,
2008-05-09,35,
2008-05-16,35,
