Date,MRK,Price
2004-01-09,31,
2004-01-16,25,
2004-01-23,23,
2004-01-30,24,
2004-02-06,24,48.76
2004-02-13,31,48.88
2004-02-20,26,48.31
2004-02-27,26,48.08
2004-03-05,28,48.10
2004-03-12,31,45.15
2004-03-19,33,43.77
2004-03-26,35,44.00
2004-04-02,38,45.06
2004-04-09,31,
2004-04-16,35,47.08
2004-04-23,39,46.76
2004-04-30,27,47.00
2004-05-07,27,47.71
2004-05-14,31,46.45
2004-05-21,24,46.59
2004-05-28,24,47.30
2004-06-04,42,48.20
2004-06-11,27,
2004-06-18,27,48.36
2004-06-25,27,47.00
2004-07-02,24,46.86
2004-07-09,24,45.86
2004-07-16,24,44.80
2004-07-23,25,45.16
2004-07-30,40,45.35
2004-08-06,31,43.60
2004-08-13,24,44.59
2004-08-20,27,46.08
2004-08-27,31,45.15
2004-09-03,26,45.48
2004-09-10,24,45.77
2004-09-17,25,44.97
2004-09-24,36,44.10
2004-10-01,69,33.31
2004-10-08,50,30.34
2004-10-15,44,30.50
2004-10-22,37,30.56
2004-10-29,27,31.31
2004-11-05,42,26.21
2004-11-12,37,26.45
2004-11-19,30,27.12
2004-11-26,44,27.70
2004-12-03,44,28.68
2004-12-10,31,28.74
2004-12-17,37,31.59
2004-12-24,34,
2004-12-31,40,32.14
2005-01-07,38,31.13
2005-01-14,28,30.87
2005-01-21,26,30.36
2005-01-28,40,28.02
2005-02-04,37,28.35
2005-02-11,32,29.21
2005-02-18,44,32.61
2005-02-25,42,31.90
2005-03-04,34,31.68
2005-03-11,27,32.16
2005-03-18,39,32.04
2005-03-25,29,
2005-04-01,25,32.31
2005-04-08,38,33.33
2005-04-15,39,34.80
2005-04-22,51,34.20
2005-04-29,25,33.90
2005-05-06,41,34.16
2005-05-13,33,33.46
2005-05-20,34,32.62
2005-05-27,30,32.45
2005-06-03,27,32.09
2005-06-10,39,31.39
2005-06-17,35,32.22
2005-06-24,20,30.55
2005-07-01,32,31.06
2005-07-08,47,31.00
2005-07-15,39,31.91
2005-07-22,52,31.14
2005-07-29,32,31.06
2005-08-05,69,30.66
2005-08-12,23,30.55
2005-08-19,63,28.06
2005-08-26,100,27.66
2005-09-02,42,28.83
2005-09-09,45,29.31
2005-09-16,51,28.90
2005-09-23,39,27.62
2005-09-30,50,27.21
2005-10-07,47,25.85
2005-10-14,58,27.16
2005-10-21,51,26.18
2005-10-28,42,27.54
2005-11-04,63,29.22
2005-11-11,56,30.03
2005-11-18,48,30.42
2005-11-25,46,30.98
2005-12-02,61,29.97
2005-12-09,49,29.13
2005-12-16,47,30.01
2005-12-23,55,32.20
2005-12-30,48,31.81
2006-01-06,64,33.12
2006-01-13,48,33.47
2006-01-20,41,33.25
2006-01-27,41,34.70
2006-02-03,68,34.39
2006-02-10,61,34.31
2006-02-17,55,36.05
2006-02-24,56,35.10
2006-03-03,56,35.19
2006-03-10,39,34.76
2006-03-17,49,35.64
2006-03-24,50,36.05
2006-03-31,64,35.23
2006-04-07,56,34.47
2006-04-14,48,
2006-04-21,43,34.74
2006-04-28,41,34.42
2006-05-05,41,34.48
2006-05-12,38,34.29
2006-05-19,50,34.42
2006-05-26,43,34.56
2006-06-02,40,33.95
2006-06-09,43,33.81
2006-06-16,36,34.41
2006-06-23,38,34.94
2006-06-30,37,36.43
2006-07-07,29,36.97
2006-07-14,28,36.15
2006-07-21,33,37.36
2006-07-28,51,41.12
2006-08-04,45,41.35
2006-08-11,40,40.60
2006-08-18,50,39.52
2006-08-25,56,40.44
2006-09-01,37,40.96
2006-09-08,39,41.06
2006-09-15,41,41.10
2006-09-22,44,42.04
2006-09-29,36,41.90
2006-10-06,54,41.86
2006-10-13,39,43.20
2006-10-20,46,45.64
2006-10-27,50,46.09
2006-11-03,34,45.10
2006-11-10,55,43.12
2006-11-17,38,45.06
2006-11-24,35,44.18
2006-12-01,46,45.06
2006-12-08,47,43.93
2006-12-15,49,44.00
2006-12-22,32,42.83
2006-12-29,33,43.60
2007-01-05,46,44.30
2007-01-12,33,44.79
2007-01-19,44,45.60
2007-01-26,50,45.99
2007-02-02,53,44.73
2007-02-09,44,43.82
2007-02-16,36,44.28
2007-02-23,39,42.94
2007-03-02,66,44.19
2007-03-09,52,44.61
2007-03-16,39,43.09
2007-03-23,32,44.45
2007-03-30,37,44.17
2007-04-06,41,
2007-04-13,70,50.21
2007-04-20,59,51.49
2007-04-27,55,51.86
2007-05-04,51,51.92
2007-05-11,39,52.00
2007-05-18,46,53.25
2007-05-25,56,53.70
2007-06-01,40,52.14
2007-06-08,35,50.14
2007-06-15,36,50.73
2007-06-22,33,48.55
2007-06-29,36,49.80
2007-07-06,40,49.46
2007-07-13,34,50.85
2007-07-20,30,49.02
2007-07-27,42,50.12
2007-08-03,34,50.29
2007-08-10,41,50.88
2007-08-17,36,49.62
2007-08-24,33,50.82
2007-08-31,40,50.17
2007-09-07,30,49.57
2007-09-14,30,49.54
2007-09-21,38,51.82
2007-09-28,40,51.69
2007-10-05,40,53.51
2007-10-12,43,53.51
2007-10-19,36,53.11
2007-10-26,46,57.58
2007-11-02,46,56.04
2007-11-09,58,55.90
2007-11-16,39,58.38
2007-11-23,48,57.66
2007-11-30,46,59.36
2007-12-07,49,60.67
2007-12-14,43,59.57
2007-12-21,36,59.15
2007-12-28,31,58.71
2008-01-04,43,56.85
2008-01-11,47,60.55
2008-01-18,55,53.32
