Date,MU,Price
2004-01-09,34,
2004-01-16,38,
2004-01-23,36,
2004-01-30,40,
2004-02-06,46,16.15
2004-02-13,51,15.73
2004-02-20,52,15.57
2004-02-27,55,15.04
2004-03-05,45,16.31
2004-03-12,53,14.71
2004-03-19,46,15.69
2004-03-26,54,15.91
2004-04-02,48,17.70
2004-04-09,48,
2004-04-16,48,15.91
2004-04-23,45,15.54
2004-04-30,47,13.62
2004-05-07,45,14.38
2004-05-14,47,13.86
2004-05-21,47,13.61
2004-05-28,47,15.03
2004-06-04,48,14.52
2004-06-11,48,
2004-06-18,48,13.69
2004-06-25,50,14.77
2004-07-02,49,14.68
2004-07-09,51,14.40
2004-07-16,53,13.23
2004-07-23,50,12.99
2004-07-30,57,13.53
2004-08-06,54,12.43
2004-08-13,52,11.11
2004-08-20,56,11.96
2004-08-27,56,11.88
2004-09-03,56,11.23
2004-09-10,57,12.28
2004-09-17,60,12.76
2004-09-24,58,12.40
2004-10-01,60,12.36
2004-10-08,62,12.01
2004-10-15,69,11.38
2004-10-22,63,11.53
2004-10-29,62,12.18
2004-11-05,66,11.88
2004-11-12,73,12.01
2004-11-19,63,11.70
2004-11-26,70,11.40
2004-12-03,70,11.54
2004-12-10,72,11.30
2004-12-17,72,11.31
2004-12-24,82,
2004-12-31,85,12.35
2005-01-07,69,11.46
2005-01-14,70,11.21
2005-01-21,70,10.41
2005-01-28,72,10.36
2005-02-04,72,11.10
2005-02-11,70,11.73
2005-02-18,67,11.50
2005-02-25,67,11.68
2005-03-04,69,10.76
2005-03-11,71,10.42
2005-03-18,69,10.29
2005-03-25,78,
2005-04-01,73,10.26
2005-04-08,79,10.20
2005-04-15,69,9.52
2005-04-22,66,9.41
2005-04-29,69,9.71
2005-05-06,68,10.13
2005-05-13,66,10.57
2005-05-20,67,10.54
2005-05-27,72,11.07
2005-06-03,68,10.82
2005-06-10,72,10.90
2005-06-17,67,10.83
2005-06-24,74,10.58
2005-07-01,73,10.20
2005-07-08,72,11.42
2005-07-15,72,11.92
2005-07-22,72,11.93
2005-07-29,72,11.88
2005-08-05,75,11.86
2005-08-12,71,11.11
2005-08-19,71,11.15
2005-08-26,69,11.18
2005-09-02,70,11.67
2005-09-09,67,12.49
2005-09-16,65,12.81
2005-09-23,66,12.15
2005-09-30,63,13.30
2005-10-07,65,13.18
2005-10-14,68,12.87
2005-10-21,66,12.67
2005-10-28,65,12.67
2005-11-04,64,13.92
2005-11-11,64,13.65
2005-11-18,63,14.18
2005-11-25,64,14.59
2005-12-02,58,14.37
2005-12-09,62,13.41
2005-12-16,63,13.67
2005-12-23,69,13.65
2005-12-30,73,13.31
2006-01-06,66,14.47
2006-01-13,64,14.51
2006-01-20,63,14.01
2006-01-27,62,14.70
2006-02-03,60,14.89
2006-02-10,64,16.40
2006-02-17,64,16.65
2006-02-24,64,15.88
2006-03-03,63,15.89
2006-03-10,62,14.47
2006-03-17,62,14.77
2006-03-24,61,14.47
2006-03-31,61,14.72
