Date,Marathon Petroleum,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,0,
2005-02-04,0,
2005-02-11,0,
2005-02-18,0,
2005-02-25,0,
2005-03-04,0,
2005-03-11,0,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,0,
2005-05-13,0,
2005-05-20,0,
2005-05-27,0,
2005-06-03,0,
2005-06-10,0,
2005-06-17,0,
2005-06-24,0,
2005-07-01,0,
2005-07-08,0,
2005-07-15,0,
2005-07-22,0,
2005-07-29,0,
2005-08-05,0,
2005-08-12,0,
2005-08-19,0,
2005-08-26,0,
2005-09-02,100,
2005-09-09,0,
2005-09-16,0,
2005-09-23,0,
2005-09-30,0,
2005-10-07,0,
2005-10-14,0,
2005-10-21,0,
2005-10-28,0,
2005-11-04,0,
2005-11-11,0,
2005-11-18,0,
2005-11-25,0,
2005-12-02,0,
2005-12-09,0,
2005-12-16,0,
2005-12-23,0,
2005-12-30,0,
2006-01-06,0,
2006-01-13,0,
2006-01-20,0,
2006-01-27,0,
2006-02-03,0,
2006-02-10,0,
2006-02-17,0,
2006-02-24,0,
2006-03-03,0,
2006-03-10,0,
2006-03-17,0,
2006-03-24,0,
2006-03-31,0,
2006-04-07,0,
2006-04-14,0,
2006-04-21,0,
2006-04-28,0,
2006-05-05,0,
2006-05-12,0,
2006-05-19,0,
2006-05-26,0,
2006-06-02,0,
2006-06-09,0,
2006-06-16,0,
2006-06-23,0,
2006-06-30,64,
2006-07-07,59,
2006-07-14,59,
2006-07-21,59,
2006-07-28,59,
2006-08-04,0,
2006-08-11,0,
2006-08-18,0,
2006-08-25,0,
2006-09-01,0,
2006-09-08,0,
2006-09-15,51,
2006-09-22,50,
2006-09-29,0,
2006-10-06,0,
2006-10-13,0,
2006-10-20,0,
2006-10-27,0,
2006-11-03,0,
2006-11-10,0,
2006-11-17,0,
2006-11-24,0,
2006-12-01,0,
2006-12-08,0,
2006-12-15,0,
2006-12-22,0,
2006-12-29,0,
2007-01-05,0,
2007-01-12,59,
2007-01-19,70,
2007-01-26,40,
2007-02-02,40,
2007-02-09,40,
2007-02-16,0,
2007-02-23,0,
2007-03-02,0,
2007-03-09,0,
2007-03-16,0,
2007-03-23,50,
2007-03-30,0,
2007-04-06,0,
2007-04-13,0,
2007-04-20,0,
2007-04-27,0,
2007-05-04,0,
2007-05-11,0,
2007-05-18,35,
2007-05-25,42,
2007-06-01,49,
2007-06-08,56,
2007-06-15,42,
2007-06-22,35,
2007-06-29,35,
2007-07-06,35,
2007-07-13,35,
2007-07-20,43,
2007-07-27,39,
2007-08-03,35,
2007-08-10,39,
2007-08-17,34,
2007-08-24,34,
2007-08-31,34,
2007-09-07,34,
2007-09-14,34,
2007-09-21,34,
2007-09-28,34,
2007-10-05,37,
2007-10-12,40,
2007-10-19,35,
2007-10-26,35,
2007-11-02,36,
2007-11-09,31,
2007-11-16,31,
2007-11-23,31,
2007-11-30,31,
2007-12-07,31,
2007-12-14,33,
2007-12-21,34,
2007-12-28,36,
2008-01-04,37,
2008-01-11,39,
2008-01-18,32,
2008-01-25,37,
2008-02-01,41,
2008-02-08,46,
2008-02-15,50,
2008-02-22,34,
2008-02-29,35,
2008-03-07,36,
2008-03-14,36,
2008-03-21,27,
2008-03-28,29,
2008-04-04,31,
2008-04-11,33,
2008-04-18,25,
2008-04-25,28,
2008-05-02,31,
2008-05-09,37,
2008-05-16,44,
2008-05-23,50,
2008-05-30,25,
2008-06-06,25,
2008-06-13,25,
2008-06-20,25,
2008-06-27,25,
2008-07-04,26,
2008-07-11,26,
2008-07-18,26,
2008-07-25,0,
2008-08-01,0,
2008-08-08,0,
2008-08-15,0,
2008-08-22,0,
2008-08-29,0,
2008-09-05,30,
2008-09-12,27,
2008-09-19,27,
2008-09-26,33,
2008-10-03,39,
2008-10-10,23,
2008-10-17,23,
2008-10-24,23,
2008-10-31,23,
2008-11-07,0,
2008-11-14,0,
2008-11-21,0,
2008-11-28,0,
2008-12-05,0,
2008-12-12,26,
2008-12-19,23,
2008-12-26,0,
2009-01-02,0,
2009-01-09,0,
2009-01-16,0,
2009-01-23,0,
2009-01-30,0,
2009-02-06,19,
2009-02-13,19,
2009-02-20,19,
2009-02-27,21,
2009-03-06,19,
2009-03-13,19,
2009-03-20,19,
2009-03-27,19,
2009-04-03,20,
2009-04-10,22,
2009-04-17,21,
2009-04-24,26,
2009-05-01,19,
2009-05-08,21,
2009-05-15,22,
2009-05-22,24,
2009-05-29,26,
2009-06-05,27,
2009-06-12,20,
2009-06-19,20,
2009-06-26,20,
2009-07-03,24,
2009-07-10,19,
2009-07-17,19,
2009-07-24,19,
2009-07-31,19,
2009-08-07,19,
2009-08-14,20,
2009-08-21,20,
2009-08-28,19,
2009-09-04,19,
2009-09-11,20,
2009-09-18,20,
2009-09-25,22,
2009-10-02,24,
2009-10-09,25,
2009-10-16,18,
2009-10-23,29,
2009-10-30,16,
2009-11-06,24,
2009-11-13,19,
2009-11-20,19,
2009-11-27,19,
2009-12-04,19,
2009-12-11,24,
2009-12-18,16,
2009-12-25,23,
2010-01-01,30,
2010-01-08,37,
2010-01-15,25,
2010-01-22,26,
2010-01-29,17,
2010-02-05,14,
2010-02-12,14,
2010-02-19,15,
2010-02-26,19,
2010-03-05,23,
2010-03-12,0,
2010-03-19,0,
2010-03-26,0,
2010-04-02,0,
2010-04-09,0,
2010-04-16,0,
2010-04-23,17,
2010-04-30,15,
2010-05-07,15,
2010-05-14,21,
2010-05-21,18,
2010-05-28,15,
2010-06-04,15,
2010-06-11,16,
2010-06-18,17,
2010-06-25,18,
2010-07-02,17,
2010-07-09,17,
2010-07-16,17,
2010-07-23,15,
2010-07-30,16,
2010-08-06,17,
2010-08-13,15,
2010-08-20,15,
2010-08-27,13,
2010-09-03,13,
2010-09-10,15,
2010-09-17,18,
2010-09-24,16,
2010-10-01,16,
2010-10-08,16,
2010-10-15,17,
2010-10-22,17,
2010-10-29,16,
2010-11-05,16,
2010-11-12,16,
2010-11-19,17,
2010-11-26,12,
2010-12-03,12,
2010-12-10,12,
2010-12-17,14,
2010-12-24,17,
2010-12-31,12,
2011-01-07,12,
2011-01-14,14,
2011-01-21,11,
2011-01-28,17,
2011-02-04,19,
2011-02-11,16,
2011-02-18,23,
2011-02-25,18,
2011-03-04,13,
2011-03-11,12,
2011-03-18,12,
2011-03-25,15,
2011-04-01,20,
2011-04-08,16,
2011-04-15,15,
2011-04-22,13,
2011-04-29,13,
2011-05-06,13,
2011-05-13,16,
2011-05-20,12,
2011-05-27,16,
2011-06-03,13,
2011-06-10,16,
2011-06-17,17,
2011-06-24,19,37.25
2011-07-01,66,42.20
2011-07-08,57,41.41
2011-07-15,45,39.16
2011-07-22,43,40.57
2011-07-29,36,43.79
2011-08-05,45,37.31
2011-08-12,32,37.41
2011-08-19,44,34.99
2011-08-26,39,34.87
2011-09-02,36,35.42
2011-09-09,28,36.35
2011-09-16,31,35.10
2011-09-23,29,29.53
2011-09-30,27,27.06
2011-10-07,40,31.60
2011-10-14,42,36.14
2011-10-21,25,37.35
2011-10-28,32,37.32
2011-11-04,43,38.62
2011-11-11,40,37.77
2011-11-18,41,32.82
2011-11-25,28,32.27
2011-12-02,45,33.31
2011-12-09,22,34.88
2011-12-16,25,31.96
2011-12-23,22,33.53
2011-12-30,26,33.29
2012-01-06,35,31.66
2012-01-13,40,33.03
2012-01-20,38,37.17
2012-01-27,49,37.53
2012-02-03,59,43.98
2012-02-10,42,44.08
2012-02-17,34,43.44
2012-02-24,40,42.86
2012-03-02,38,42.18
2012-03-09,36,43.90
2012-03-16,39,44.19
2012-03-23,30,44.00
2012-03-30,40,43.36
2012-04-06,21,
2012-04-13,41,41.62
2012-04-20,32,39.90
2012-04-27,30,41.29
2012-05-04,36,39.74
2012-05-11,36,37.21
2012-05-18,30,34.92
2012-05-25,35,36.88
2012-06-01,34,35.24
2012-06-08,37,37.36
2012-06-15,27,40.15
2012-06-22,36,41.79
2012-06-29,29,44.92
2012-07-06,38,44.51
2012-07-13,27,44.95
2012-07-20,28,45.56
2012-07-27,51,47.04
2012-08-03,38,49.39
2012-08-10,31,49.56
2012-08-17,30,49.25
2012-08-24,28,48.75
2012-08-31,26,51.75
2012-09-07,38,51.89
2012-09-14,40,55.61
2012-09-21,51,53.72
2012-09-28,52,54.59
2012-10-05,41,54.87
2012-10-12,80,54.30
2012-10-19,41,54.94
2012-10-26,37,55.61
2012-11-02,46,53.05
2012-11-09,38,53.12
2012-11-16,43,54.34
2012-11-23,34,58.98
2012-11-30,32,59.54
2012-12-07,46,60.70
2012-12-14,36,62.83
2012-12-21,36,62.14
2012-12-28,20,61.11
2013-01-04,23,62.55
2013-01-11,45,61.99
2013-01-18,46,65.20
2013-01-25,51,68.67
2013-02-01,55,76.21
2013-02-08,51,81.43
2013-02-15,54,82.56
2013-02-22,33,81.53
2013-03-01,46,85.01
2013-03-08,48,89.02
2013-03-15,45,87.93
2013-03-22,50,90.91
2013-03-29,42,
2013-04-05,61,82.37
2013-04-12,47,80.29
2013-04-19,55,78.75
2013-04-26,40,81.35
2013-05-03,48,78.10
2013-05-10,59,77.38
2013-05-17,48,82.68
2013-05-24,41,82.06
2013-05-31,40,82.50
2013-06-07,46,83.63
2013-06-14,33,79.61
2013-06-21,38,72.81
2013-06-28,40,71.06
2013-07-05,42,68.99
2013-07-12,44,73.24
2013-07-19,53,69.60
2013-07-26,48,71.91
2013-08-02,55,71.93
2013-08-09,48,73.24
2013-08-16,44,70.00
2013-08-23,35,75.06
2013-08-30,39,72.51
2013-09-06,45,70.85
2013-09-13,46,67.89
2013-09-20,42,64.51
2013-09-27,46,64.94
2013-10-04,41,65.23
2013-10-11,37,67.25
2013-10-18,49,70.74
2013-10-25,49,69.89
2013-11-01,43,70.86
2013-11-08,46,71.65
2013-11-15,37,78.84
2013-11-22,38,80.25
2013-11-29,31,82.74
2013-12-06,48,87.20
2013-12-13,32,85.21
2013-12-20,38,87.26
2013-12-27,26,89.13
2014-01-03,32,88.26
2014-01-10,44,90.97
2014-01-17,51,85.28
2014-01-24,41,82.98
2014-01-31,47,87.05
2014-02-07,55,84.47
2014-02-14,39,87.71
2014-02-21,46,87.31
2014-02-28,44,84.00
2014-03-07,41,90.00
2014-03-14,34,93.98
2014-03-21,39,90.69
2014-03-28,42,87.67
2014-04-04,48,87.10
2014-04-11,32,83.29
2014-04-18,35,
2014-04-25,40,90.73
2014-05-02,35,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
