Date,Marsh & McLennan,Price
2004-01-09,36,
2004-01-16,40,
2004-01-23,40,
2004-01-30,38,
2004-02-06,35,47.23
2004-02-13,32,48.96
2004-02-20,35,48.45
2004-02-27,33,47.99
2004-03-05,35,48.52
2004-03-12,37,47.01
2004-03-19,36,46.44
2004-03-26,32,47.13
2004-04-02,35,45.88
2004-04-09,42,
2004-04-16,56,45.62
2004-04-23,50,45.01
2004-04-30,42,45.10
2004-05-07,36,44.07
2004-05-14,38,42.85
2004-05-21,41,43.30
2004-05-28,37,44.12
2004-06-04,35,43.66
2004-06-11,40,
2004-06-18,37,43.48
2004-06-25,39,44.75
2004-07-02,38,45.20
2004-07-09,35,44.68
2004-07-16,42,44.29
2004-07-23,41,43.44
2004-07-30,37,44.38
2004-08-06,34,42.47
2004-08-13,41,42.61
2004-08-20,40,44.23
2004-08-27,42,44.64
2004-09-03,42,45.54
2004-09-10,39,46.01
2004-09-17,38,46.61
2004-09-24,32,45.67
2004-10-01,41,46.36
2004-10-08,38,45.98
2004-10-15,48,29.20
2004-10-22,58,26.79
2004-10-29,49,27.66
2004-11-05,43,27.60
2004-11-12,42,27.68
2004-11-19,37,27.27
2004-11-26,34,28.60
2004-12-03,35,29.12
2004-12-10,36,31.26
2004-12-17,40,32.03
2004-12-24,32,
2004-12-31,33,32.90
2005-01-07,38,31.26
2005-01-14,37,31.51
2005-01-21,34,31.01
2005-01-28,57,31.09
2005-02-04,40,32.32
2005-02-11,39,32.99
2005-02-18,36,31.58
2005-02-25,36,31.63
2005-03-04,38,31.80
2005-03-11,38,30.23
2005-03-18,39,30.00
2005-03-25,37,
2005-04-01,33,29.89
2005-04-08,34,29.89
2005-04-15,34,28.14
2005-04-22,35,27.90
2005-04-29,36,28.03
2005-05-06,35,29.84
2005-05-13,34,28.67
2005-05-20,37,29.94
2005-05-27,32,29.01
2005-06-03,32,28.99
2005-06-10,31,28.58
2005-06-17,36,27.89
2005-06-24,38,27.41
2005-07-01,35,27.70
2005-07-08,30,29.40
2005-07-15,46,30.01
2005-07-22,35,29.49
2005-07-29,33,28.97
2005-08-05,36,27.47
2005-08-12,36,26.94
2005-08-19,34,27.71
2005-08-26,38,26.97
2005-09-02,31,28.15
2005-09-09,35,29.00
2005-09-16,37,28.99
2005-09-23,34,29.40
2005-09-30,34,30.39
2005-10-07,30,29.67
2005-10-14,33,28.87
2005-10-21,31,28.35
2005-10-28,32,29.00
2005-11-04,31,28.90
2005-11-11,31,29.23
2005-11-18,32,29.68
2005-11-25,30,32.07
2005-12-02,30,32.42
2005-12-09,29,32.64
2005-12-16,29,32.20
2005-12-23,28,33.06
2005-12-30,27,31.76
2006-01-06,49,32.39
2006-01-13,100,32.09
2006-01-20,51,30.65
2006-01-27,40,30.88
2006-02-03,36,30.28
2006-02-10,33,31.52
2006-02-17,34,29.80
2006-02-24,30,30.00
2006-03-03,33,31.25
2006-03-10,33,30.44
2006-03-17,32,30.05
2006-03-24,32,30.03
2006-03-31,32,29.36
2006-04-07,30,29.28
2006-04-14,30,
2006-04-21,32,30.96
2006-04-28,30,30.67
2006-05-05,32,30.01
2006-05-12,33,28.90
2006-05-19,29,28.54
2006-05-26,31,28.27
2006-06-02,50,28.31
2006-06-09,30,27.84
2006-06-16,31,27.54
2006-06-23,30,26.60
2006-06-30,33,26.89
2006-07-07,32,26.66
2006-07-14,30,25.95
2006-07-21,31,25.87
2006-07-28,31,27.56
2006-08-04,32,25.00
2006-08-11,29,24.99
2006-08-18,31,25.60
2006-08-25,30,25.65
2006-09-01,28,26.30
2006-09-08,30,26.24
2006-09-15,32,27.69
2006-09-22,31,28.35
2006-09-29,29,28.15
2006-10-06,29,27.98
2006-10-13,31,27.34
2006-10-20,30,28.28
2006-10-27,32,29.40
2006-11-03,30,30.47
2006-11-10,30,31.93
2006-11-17,29,32.09
2006-11-24,25,31.86
2006-12-01,25,31.17
2006-12-08,28,31.45
2006-12-15,26,30.67
2006-12-22,28,30.49
2006-12-29,24,30.66
2007-01-05,30,31.34
2007-01-12,28,31.36
2007-01-19,29,30.64
2007-01-26,29,29.76
2007-02-02,28,29.31
2007-02-09,27,29.49
2007-02-16,28,30.15
2007-02-23,29,29.82
2007-03-02,30,29.34
2007-03-09,28,29.05
2007-03-16,28,28.85
2007-03-23,30,29.91
2007-03-30,28,29.29
2007-04-06,29,
2007-04-13,30,29.95
2007-04-20,30,32.09
2007-04-27,32,32.41
2007-05-04,29,32.12
2007-05-11,28,30.86
2007-05-18,35,31.28
2007-05-25,33,33.13
2007-06-01,30,32.45
2007-06-08,32,31.45
2007-06-15,31,31.67
2007-06-22,30,31.46
2007-06-29,36,30.88
2007-07-06,33,31.44
2007-07-13,32,31.25
2007-07-20,34,30.20
2007-07-27,35,27.48
2007-08-03,31,26.87
2007-08-10,29,26.70
2007-08-17,29,26.45
2007-08-24,30,26.51
2007-08-31,29,26.65
2007-09-07,31,26.26
2007-09-14,29,26.18
2007-09-21,29,24.83
2007-09-28,28,25.50
2007-10-05,26,26.77
2007-10-12,27,25.98
2007-10-19,25,24.30
2007-10-26,26,26.04
2007-11-02,26,25.40
2007-11-09,25,24.51
2007-11-16,30,25.37
2007-11-23,30,24.92
2007-11-30,29,25.12
2007-12-07,29,25.69
2007-12-14,26,24.76
2007-12-21,28,26.21
2007-12-28,28,26.41
2008-01-04,29,27.00
2008-01-11,26,26.39
2008-01-18,28,27.17
2008-01-25,26,27.12
2008-02-01,25,27.95
2008-02-08,25,26.23
2008-02-15,26,25.87
2008-02-22,26,26.03
2008-02-29,26,25.47
2008-03-07,24,25.10
2008-03-14,23,24.71
2008-03-21,24,
2008-03-28,26,24.06
2008-04-04,24,25.26
2008-04-11,26,25.64
2008-04-18,30,27.85
2008-04-25,33,28.14
2008-05-02,29,28.49
2008-05-09,27,27.20
2008-05-16,28,28.73
2008-05-23,27,26.82
2008-05-30,25,27.23
2008-06-06,27,26.24
2008-06-13,26,26.62
2008-06-20,26,26.32
2008-06-27,27,26.77
2008-07-04,28,
2008-07-11,27,28.49
2008-07-18,30,28.67
2008-07-25,33,27.20
2008-08-01,28,27.98
2008-08-08,28,30.93
2008-08-15,27,31.90
2008-08-22,28,32.36
2008-08-29,39,31.93
2008-09-05,33,32.43
2008-09-12,26,32.96
2008-09-19,27,33.58
2008-09-26,25,33.57
2008-10-03,25,30.37
2008-10-10,31,27.00
2008-10-17,28,25.63
2008-10-24,31,25.46
2008-10-31,27,29.28
2008-11-07,25,25.53
2008-11-14,25,23.85
2008-11-21,24,23.93
2008-11-28,23,25.50
2008-12-05,25,24.63
2008-12-12,24,22.65
2008-12-19,24,23.11
2008-12-26,25,23.32
2009-01-02,27,24.94
2009-01-09,27,23.41
2009-01-16,28,21.85
2009-01-23,24,19.81
2009-01-30,25,19.33
2009-02-06,24,19.89
2009-02-13,31,20.52
2009-02-20,26,18.95
2009-02-27,24,17.93
2009-03-06,23,18.33
2009-03-13,25,19.38
2009-03-20,24,19.75
2009-03-27,25,20.23
2009-04-03,24,20.95
2009-04-10,29,
2009-04-17,27,20.66
2009-04-24,25,20.38
2009-05-01,26,20.06
2009-05-08,27,20.50
2009-05-15,26,19.13
2009-05-22,26,18.83
2009-05-29,29,18.92
2009-06-05,29,19.79
2009-06-12,25,20.64
2009-06-19,23,20.68
2009-06-26,24,20.32
2009-07-03,25,
2009-07-10,24,18.65
2009-07-17,25,19.52
2009-07-24,25,19.62
2009-07-31,24,20.42
2009-08-07,25,23.22
2009-08-14,24,23.49
2009-08-21,24,23.81
2009-08-28,24,23.51
2009-09-04,23,23.12
2009-09-11,25,23.32
2009-09-18,22,23.88
2009-09-25,22,23.72
2009-10-02,22,24.00
