Date,McCormick & Co.,Price
2004-01-09,49,
2004-01-16,52,
2004-01-23,49,
2004-01-30,48,
2004-02-06,58,30.90
2004-02-13,62,30.67
2004-02-20,57,30.48
2004-02-27,51,31.27
2004-03-05,45,31.95
2004-03-12,42,31.58
2004-03-19,53,31.38
2004-03-26,53,32.40
2004-04-02,47,33.41
2004-04-09,43,
2004-04-16,42,33.33
2004-04-23,49,33.96
2004-04-30,51,34.16
2004-05-07,41,34.84
2004-05-14,45,34.79
2004-05-21,48,35.56
2004-05-28,39,35.45
2004-06-04,42,35.15
2004-06-11,44,
2004-06-18,47,34.35
2004-06-25,36,34.15
2004-07-02,37,34.22
2004-07-09,35,35.12
2004-07-16,40,35.72
2004-07-23,43,35.75
2004-07-30,46,35.77
2004-08-06,48,33.03
2004-08-13,39,32.25
2004-08-20,41,32.70
2004-08-27,45,33.48
2004-09-03,47,34.08
2004-09-10,37,34.40
2004-09-17,41,35.08
2004-09-24,43,33.72
2004-10-01,53,34.78
2004-10-08,41,34.34
2004-10-15,37,35.19
2004-10-22,39,35.01
2004-10-29,44,35.43
2004-11-05,42,37.41
2004-11-12,43,37.33
2004-11-19,41,36.30
2004-11-26,40,37.27
2004-12-03,44,36.98
2004-12-10,42,36.94
2004-12-17,46,38.61
2004-12-24,39,
2004-12-31,46,38.60
2005-01-07,45,38.06
2005-01-14,48,38.03
2005-01-21,46,38.83
2005-01-28,47,37.10
2005-02-04,57,37.85
2005-02-11,55,37.52
2005-02-18,51,37.82
2005-02-25,48,38.00
2005-03-04,45,38.25
2005-03-11,44,37.65
2005-03-18,47,36.75
2005-03-25,41,
2005-04-01,41,34.24
2005-04-08,49,34.74
2005-04-15,45,34.29
2005-04-22,44,34.67
2005-04-29,42,34.59
2005-05-06,46,34.10
2005-05-13,45,33.56
2005-05-20,46,34.74
2005-05-27,48,34.15
2005-06-03,39,33.43
2005-06-10,44,33.00
2005-06-17,42,33.55
2005-06-24,44,33.26
2005-07-01,40,32.75
2005-07-08,36,32.43
2005-07-15,42,33.52
2005-07-22,37,34.45
2005-07-29,42,34.78
2005-08-05,65,33.46
2005-08-12,39,33.79
2005-08-19,40,34.30
2005-08-26,38,33.77
2005-09-02,42,33.53
2005-09-09,39,29.39
2005-09-16,47,31.06
2005-09-23,41,31.11
2005-09-30,41,32.63
2005-10-07,48,31.90
2005-10-14,41,30.81
2005-10-21,45,30.43
2005-10-28,52,30.11
2005-11-04,46,30.02
2005-11-11,45,30.80
2005-11-18,45,30.63
2005-11-25,41,31.20
2005-12-02,43,31.80
2005-12-09,44,30.14
2005-12-16,45,30.28
2005-12-23,44,30.57
2005-12-30,40,30.92
2006-01-06,44,31.60
2006-01-13,50,30.85
2006-01-20,41,30.49
2006-01-27,48,31.16
2006-02-03,47,30.61
2006-02-10,44,31.91
2006-02-17,49,32.90
2006-02-24,44,33.37
2006-03-03,45,32.85
2006-03-10,47,33.75
2006-03-17,43,34.37
2006-03-24,45,35.04
2006-03-31,43,33.86
2006-04-07,40,33.84
2006-04-14,45,
2006-04-21,43,34.31
2006-04-28,44,34.83
2006-05-05,48,35.02
2006-05-12,43,34.62
2006-05-19,46,35.02
2006-05-26,40,34.95
2006-06-02,37,34.14
2006-06-09,42,33.23
2006-06-16,44,32.97
2006-06-23,44,32.55
2006-06-30,40,33.55
2006-07-07,37,34.10
2006-07-14,41,34.25
2006-07-21,42,34.82
2006-07-28,43,34.83
2006-08-04,41,35.33
2006-08-11,38,35.65
2006-08-18,39,35.52
2006-08-25,38,35.70
2006-09-01,35,36.70
2006-09-08,38,36.64
2006-09-15,43,36.92
2006-09-22,40,36.65
2006-09-29,39,37.98
2006-10-06,42,37.32
2006-10-13,37,36.74
2006-10-20,42,37.01
2006-10-27,40,36.70
2006-11-03,39,36.90
