Date,Mead Johnson,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,86,
2004-01-30,70,
2004-02-06,70,
2004-02-13,71,
2004-02-20,59,
2004-02-27,96,
2004-03-05,51,
2004-03-12,51,
2004-03-19,51,
2004-03-26,51,
2004-04-02,51,
2004-04-09,66,
2004-04-16,99,
2004-04-23,94,
2004-04-30,50,
2004-05-07,55,
2004-05-14,57,
2004-05-21,59,
2004-05-28,60,
2004-06-04,61,
2004-06-11,59,
2004-06-18,68,
2004-06-25,90,
2004-07-02,77,
2004-07-09,77,
2004-07-16,71,
2004-07-23,56,
2004-07-30,56,
2004-08-06,56,
2004-08-13,78,
2004-08-20,68,
2004-08-27,56,
2004-09-03,60,
2004-09-10,60,
2004-09-17,60,
2004-09-24,63,
2004-10-01,55,
2004-10-08,47,
2004-10-15,61,
2004-10-22,69,
2004-10-29,67,
2004-11-05,49,
2004-11-12,52,
2004-11-19,55,
2004-11-26,57,
2004-12-03,42,
2004-12-10,50,
2004-12-17,63,
2004-12-24,51,
2004-12-31,59,
2005-01-07,65,
2005-01-14,72,
2005-01-21,39,
2005-01-28,67,
2005-02-04,63,
2005-02-11,57,
2005-02-18,38,
2005-02-25,44,
2005-03-04,49,
2005-03-11,60,
2005-03-18,50,
2005-03-25,50,
2005-04-01,63,
2005-04-08,49,
2005-04-15,52,
2005-04-22,36,
2005-04-29,42,
2005-05-06,53,
2005-05-13,53,
2005-05-20,38,
2005-05-27,46,
2005-06-03,54,
2005-06-10,44,
2005-06-17,54,
2005-06-24,50,
2005-07-01,59,
2005-07-08,49,
2005-07-15,39,
2005-07-22,62,
2005-07-29,61,
2005-08-05,55,
2005-08-12,63,
2005-08-19,41,
2005-08-26,54,
2005-09-02,42,
2005-09-09,49,
2005-09-16,53,
2005-09-23,34,
2005-09-30,40,
2005-10-07,50,
2005-10-14,46,
2005-10-21,47,
2005-10-28,45,
2005-11-04,29,
2005-11-11,40,
2005-11-18,50,
2005-11-25,60,
2005-12-02,47,
2005-12-09,37,
2005-12-16,25,
2005-12-23,36,
2005-12-30,41,
2006-01-06,39,
2006-01-13,41,
2006-01-20,43,
2006-01-27,37,
2006-02-03,54,
2006-02-10,57,
2006-02-17,52,
2006-02-24,84,
2006-03-03,52,
2006-03-10,55,
2006-03-17,32,
2006-03-24,52,
2006-03-31,43,
2006-04-07,36,
2006-04-14,27,
2006-04-21,41,
2006-04-28,43,
2006-05-05,32,
2006-05-12,52,
2006-05-19,41,
2006-05-26,33,
2006-06-02,42,
2006-06-09,25,
2006-06-16,46,
2006-06-23,35,
2006-06-30,56,
2006-07-07,41,
2006-07-14,37,
2006-07-21,40,
2006-07-28,40,
2006-08-04,39,
2006-08-11,28,
2006-08-18,25,
2006-08-25,45,
2006-09-01,34,
2006-09-08,30,
2006-09-15,46,
2006-09-22,50,
2006-09-29,30,
2006-10-06,39,
2006-10-13,33,
2006-10-20,26,
2006-10-27,41,
2006-11-03,43,
2006-11-10,35,
2006-11-17,35,
2006-11-24,37,
2006-12-01,32,
2006-12-08,37,
2006-12-15,27,
2006-12-22,30,
2006-12-29,29,
2007-01-05,25,
2007-01-12,40,
2007-01-19,31,
2007-01-26,36,
2007-02-02,25,
2007-02-09,30,
2007-02-16,46,
2007-02-23,35,
2007-03-02,32,
2007-03-09,30,
2007-03-16,39,
2007-03-23,37,
2007-03-30,26,
2007-04-06,21,
2007-04-13,40,
2007-04-20,38,
2007-04-27,38,
2007-05-04,27,
2007-05-11,39,
2007-05-18,28,
2007-05-25,41,
2007-06-01,37,
2007-06-08,45,
2007-06-15,35,
2007-06-22,51,
2007-06-29,38,
2007-07-06,31,
2007-07-13,35,
2007-07-20,24,
2007-07-27,34,
2007-08-03,33,
2007-08-10,45,
2007-08-17,44,
2007-08-24,33,
2007-08-31,46,
2007-09-07,29,
2007-09-14,43,
2007-09-21,33,
2007-09-28,34,
2007-10-05,37,
2007-10-12,33,
2007-10-19,26,
2007-10-26,32,
2007-11-02,39,
2007-11-09,29,
2007-11-16,25,
2007-11-23,28,
2007-11-30,36,
2007-12-07,36,
2007-12-14,33,
2007-12-21,29,
2007-12-28,30,
2008-01-04,34,
2008-01-11,32,
2008-01-18,42,
2008-01-25,24,
2008-02-01,42,
2008-02-08,37,
2008-02-15,37,
2008-02-22,39,
2008-02-29,27,
2008-03-07,46,
2008-03-14,39,
2008-03-21,25,
2008-03-28,28,
2008-04-04,36,
2008-04-11,26,
2008-04-18,30,
2008-04-25,35,
2008-05-02,44,
2008-05-09,38,
2008-05-16,29,
2008-05-23,28,
2008-05-30,29,
2008-06-06,28,
2008-06-13,32,
2008-06-20,29,
2008-06-27,28,
2008-07-04,30,
2008-07-11,31,
2008-07-18,37,
2008-07-25,27,
2008-08-01,33,
2008-08-08,22,
2008-08-15,28,
2008-08-22,39,
2008-08-29,22,
2008-09-05,39,
2008-09-12,48,
2008-09-19,49,
2008-09-26,64,
2008-10-03,43,
2008-10-10,43,
2008-10-17,36,
2008-10-24,29,
2008-10-31,32,
2008-11-07,27,
2008-11-14,29,
2008-11-21,24,
2008-11-28,54,
2008-12-05,45,
2008-12-12,28,
2008-12-19,35,
2008-12-26,25,
2009-01-02,30,
2009-01-09,35,
2009-01-16,38,
2009-01-23,29,
2009-01-30,36,
2009-02-06,56,
2009-02-13,100,26.81
2009-02-20,60,29.63
2009-02-27,50,27.59
2009-03-06,47,26.44
2009-03-13,41,27.42
2009-03-20,39,27.67
2009-03-27,41,27.53
2009-04-03,45,27.35
2009-04-10,41,
2009-04-17,37,26.47
2009-04-24,40,26.28
2009-05-01,37,28.36
2009-05-08,42,30.76
2009-05-15,51,28.82
2009-05-22,43,29.70
2009-05-29,30,31.16
2009-06-05,38,31.96
2009-06-12,35,31.36
2009-06-19,39,32.30
2009-06-26,39,31.90
2009-07-03,34,
2009-07-10,41,32.95
2009-07-17,48,33.71
2009-07-24,44,37.00
2009-07-31,48,36.41
2009-08-07,40,38.90
2009-08-14,44,37.41
2009-08-21,54,39.96
2009-08-28,37,40.06
2009-09-04,36,40.00
2009-09-11,36,39.05
2009-09-18,33,40.08
2009-09-25,38,42.48
2009-10-02,55,47.24
2009-10-09,42,44.31
2009-10-16,44,42.97
2009-10-23,48,42.16
2009-10-30,36,42.04
2009-11-06,43,44.00
2009-11-13,52,45.25
2009-11-20,63,44.31
2009-11-27,49,44.44
2009-12-04,66,43.90
2009-12-11,71,42.45
2009-12-18,46,41.50
2009-12-25,30,
2010-01-01,33,
2010-01-08,38,45.23
2010-01-15,27,46.81
2010-01-22,36,44.53
2010-01-29,34,45.23
2010-02-05,35,46.29
2010-02-12,34,45.05
2010-02-19,37,46.78
2010-02-26,41,47.30
2010-03-05,37,49.91
2010-03-12,39,51.99
2010-03-19,38,51.39
2010-03-26,49,51.83
2010-04-02,44,
2010-04-09,40,52.09
2010-04-16,34,51.40
2010-04-23,41,53.94
2010-04-30,46,51.61
2010-05-07,47,48.31
2010-05-14,47,50.32
2010-05-21,34,49.09
2010-05-28,34,49.32
2010-06-04,46,49.59
2010-06-11,43,51.90
2010-06-18,50,54.39
2010-06-25,36,51.41
2010-07-02,35,51.17
2010-07-09,32,53.88
2010-07-16,35,53.02
2010-07-23,39,54.55
2010-07-30,34,53.14
2010-08-06,29,53.33
2010-08-13,39,52.58
2010-08-20,34,53.41
2010-08-27,35,52.46
2010-09-03,31,55.14
2010-09-10,33,56.70
2010-09-17,32,55.10
2010-09-24,46,57.12
2010-10-01,36,56.25
2010-10-08,33,56.50
2010-10-15,38,57.82
2010-10-22,34,59.04
2010-10-29,45,58.82
2010-11-05,36,59.44
2010-11-12,41,59.61
2010-11-19,38,60.15
2010-11-26,37,60.54
2010-12-03,40,62.04
2010-12-10,35,62.26
2010-12-17,30,62.52
2010-12-24,24,
2010-12-31,25,62.25
2011-01-07,35,61.04
2011-01-14,38,62.86
2011-01-21,39,61.68
2011-01-28,34,58.31
2011-02-04,26,58.74
2011-02-11,46,60.30
2011-02-18,40,61.31
2011-02-25,39,60.70
2011-03-04,36,59.28
2011-03-11,35,57.70
2011-03-18,36,55.90
2011-03-25,44,58.79
2011-04-01,38,58.33
2011-04-08,42,59.00
2011-04-15,46,60.92
2011-04-22,33,
2011-04-29,37,66.88
2011-05-06,38,66.40
2011-05-13,39,68.30
2011-05-20,34,67.30
2011-05-27,34,68.37
2011-06-03,38,66.50
2011-06-10,38,63.89
2011-06-17,32,64.96
2011-06-24,33,65.37
2011-07-01,36,69.04
2011-07-08,39,69.15
2011-07-15,31,69.27
2011-07-22,43,69.08
2011-07-29,35,71.37
2011-08-05,34,68.92
2011-08-12,34,69.18
2011-08-19,37,66.73
2011-08-26,39,68.13
2011-09-02,28,70.21
2011-09-09,30,70.14
2011-09-16,46,76.09
2011-09-23,36,74.45
2011-09-30,36,68.83
2011-10-07,31,71.17
2011-10-14,40,74.07
2011-10-21,29,72.80
2011-10-28,38,73.40
2011-11-04,32,71.26
2011-11-11,36,71.90
2011-11-18,33,70.64
2011-11-25,27,70.99
2011-12-02,31,74.91
2011-12-09,31,75.12
2011-12-16,34,72.92
2011-12-23,72,65.29
2011-12-30,48,68.73
2012-01-06,39,71.15
2012-01-13,34,71.75
2012-01-20,33,73.79
2012-01-27,28,74.03
2012-02-03,33,75.23
2012-02-10,38,74.19
2012-02-17,37,75.51
2012-02-24,34,78.02
2012-03-02,41,78.26
2012-03-09,36,79.42
2012-03-16,33,79.76
2012-03-23,30,81.92
2012-03-30,30,82.48
2012-04-06,32,
2012-04-13,26,83.10
2012-04-20,35,84.05
2012-04-27,39,85.97
2012-05-04,29,84.36
2012-05-11,31,83.22
2012-05-18,32,81.00
2012-05-25,33,83.02
2012-06-01,38,78.15
2012-06-08,32,81.45
2012-06-15,33,85.32
2012-06-22,32,88.64
2012-06-29,32,80.51
2012-07-06,29,80.02
2012-07-13,34,77.02
2012-07-20,37,74.08
2012-07-27,32,72.02
2012-08-03,29,73.84
2012-08-10,29,73.00
2012-08-17,31,72.93
2012-08-24,33,72.81
2012-08-31,39,73.33
2012-09-07,31,75.98
2012-09-14,30,75.16
2012-09-21,29,77.57
2012-09-28,33,73.28
2012-10-05,29,72.60
2012-10-12,32,70.61
2012-10-19,25,70.22
2012-10-26,31,62.00
2012-11-02,28,64.97
2012-11-09,29,65.70
2012-11-16,23,65.97
2012-11-23,26,67.40
2012-11-30,29,68.19
2012-12-07,28,66.82
2012-12-14,25,65.86
2012-12-21,26,65.73
2012-12-28,16,65.11
2013-01-04,25,69.99
2013-01-11,31,69.16
2013-01-18,30,66.80
2013-01-25,31,70.03
2013-02-01,41,75.05
2013-02-08,30,77.51
2013-02-15,26,78.95
2013-02-22,31,78.96
2013-03-01,36,75.27
2013-03-08,31,74.93
2013-03-15,33,73.35
2013-03-22,29,75.81
2013-03-29,26,
2013-04-05,27,75.76
2013-04-12,32,77.51
2013-04-19,25,81.13
2013-04-26,31,79.97
2013-05-03,25,80.72
2013-05-10,34,78.97
2013-05-17,30,80.47
2013-05-24,32,84.44
2013-05-31,32,81.07
2013-06-07,28,82.63
2013-06-14,33,81.35
2013-06-21,30,78.25
2013-06-28,32,79.23
2013-07-05,29,69.33
2013-07-12,34,74.27
2013-07-19,35,73.30
2013-07-26,36,73.68
2013-08-02,29,76.00
2013-08-09,44,77.84
2013-08-16,33,76.11
2013-08-23,30,76.95
2013-08-30,30,75.03
2013-09-06,27,74.76
2013-09-13,28,75.64
2013-09-20,32,77.47
2013-09-27,28,75.24
2013-10-04,26,75.12
2013-10-11,31,76.73
2013-10-18,33,78.81
2013-10-25,33,81.09
2013-11-01,26,81.95
2013-11-08,23,80.48
2013-11-15,28,84.85
2013-11-22,33,84.09
2013-11-29,24,84.51
2013-12-06,26,85.58
2013-12-13,30,83.16
2013-12-20,22,82.89
2013-12-27,19,82.95
2014-01-03,24,83.44
2014-01-10,25,83.83
2014-01-17,29,82.28
2014-01-24,24,78.29
2014-01-31,25,76.89
2014-02-07,23,75.95
2014-02-14,27,77.67
2014-02-21,35,80.90
2014-02-28,26,81.55
2014-03-07,30,83.18
2014-03-14,32,82.20
2014-03-21,29,82.09
2014-03-28,26,83.00
2014-04-04,27,85.11
2014-04-11,30,82.20
2014-04-18,23,
2014-04-25,32,87.10
2014-05-02,28,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
