Date,Merck & Co.,Price
2004-01-09,50,
2004-01-16,49,
2004-01-23,49,
2004-01-30,51,
2004-02-06,46,48.76
2004-02-13,48,48.88
2004-02-20,52,48.31
2004-02-27,50,48.08
2004-03-05,41,48.10
2004-03-12,47,45.15
2004-03-19,48,43.77
2004-03-26,42,44.00
2004-04-02,49,45.06
2004-04-09,44,
2004-04-16,42,47.08
2004-04-23,44,46.76
2004-04-30,49,47.00
2004-05-07,47,47.71
2004-05-14,47,46.45
2004-05-21,42,46.59
2004-05-28,41,47.30
2004-06-04,44,48.20
2004-06-11,41,
2004-06-18,44,48.36
2004-06-25,43,47.00
2004-07-02,41,46.86
2004-07-09,40,45.86
2004-07-16,43,44.80
2004-07-23,43,45.16
2004-07-30,43,45.35
2004-08-06,38,43.60
2004-08-13,41,44.59
2004-08-20,44,46.08
2004-08-27,47,45.15
2004-09-03,44,45.48
2004-09-10,40,45.77
2004-09-17,45,44.97
2004-09-24,42,44.10
2004-10-01,100,33.31
2004-10-08,68,30.34
2004-10-15,50,30.50
2004-10-22,48,30.56
2004-10-29,46,31.31
2004-11-05,48,26.21
2004-11-12,44,26.45
2004-11-19,49,27.12
2004-11-26,42,27.70
2004-12-03,48,28.68
2004-12-10,44,28.74
2004-12-17,42,31.59
2004-12-24,30,
2004-12-31,29,32.14
2005-01-07,39,31.13
2005-01-14,40,30.87
2005-01-21,37,30.36
2005-01-28,48,28.02
2005-02-04,47,28.35
2005-02-11,39,29.21
2005-02-18,44,32.61
2005-02-25,47,31.90
2005-03-04,41,31.68
2005-03-11,43,32.16
2005-03-18,40,32.04
2005-03-25,37,
2005-04-01,41,32.31
2005-04-08,39,33.33
2005-04-15,43,34.80
2005-04-22,42,34.20
2005-04-29,39,33.90
2005-05-06,39,34.16
2005-05-13,41,33.46
2005-05-20,35,32.62
2005-05-27,38,32.45
2005-06-03,35,32.09
2005-06-10,37,31.39
2005-06-17,39,32.22
2005-06-24,39,30.55
2005-07-01,35,31.06
2005-07-08,35,31.00
2005-07-15,42,31.91
2005-07-22,39,31.14
2005-07-29,36,31.06
2005-08-05,38,30.66
2005-08-12,38,30.55
2005-08-19,48,28.06
2005-08-26,52,27.66
2005-09-02,40,28.83
2005-09-09,39,29.31
2005-09-16,37,28.90
2005-09-23,42,27.62
2005-09-30,39,27.21
2005-10-07,44,25.85
2005-10-14,42,27.16
2005-10-21,40,26.18
2005-10-28,40,27.54
2005-11-04,44,29.22
2005-11-11,36,30.03
2005-11-18,39,30.42
2005-11-25,38,30.98
2005-12-02,50,29.97
2005-12-09,38,29.13
2005-12-16,36,30.01
2005-12-23,27,32.20
2005-12-30,25,31.81
2006-01-06,30,33.12
2006-01-13,34,33.47
2006-01-20,35,33.25
2006-01-27,37,34.70
2006-02-03,37,34.39
2006-02-10,33,34.31
2006-02-17,35,36.05
2006-02-24,36,35.10
2006-03-03,33,35.19
2006-03-10,33,34.76
2006-03-17,48,35.64
2006-03-24,41,36.05
2006-03-31,38,35.23
2006-04-07,37,34.47
2006-04-14,34,
2006-04-21,34,34.74
2006-04-28,35,34.42
2006-05-05,31,34.48
2006-05-12,34,34.29
2006-05-19,36,34.42
2006-05-26,33,34.56
2006-06-02,31,33.95
2006-06-09,37,33.81
2006-06-16,38,34.41
2006-06-23,38,34.94
2006-06-30,34,36.43
2006-07-07,31,36.97
2006-07-14,32,36.15
2006-07-21,32,37.36
2006-07-28,34,41.12
2006-08-04,32,41.35
2006-08-11,29,40.60
2006-08-18,33,39.52
2006-08-25,30,40.44
2006-09-01,30,40.96
2006-09-08,32,41.06
2006-09-15,32,41.10
2006-09-22,38,42.04
2006-09-29,36,41.90
2006-10-06,33,41.86
2006-10-13,33,43.20
2006-10-20,37,45.64
2006-10-27,35,46.09
2006-11-03,36,45.10
2006-11-10,36,43.12
2006-11-17,32,45.06
2006-11-24,33,44.18
2006-12-01,31,45.06
2006-12-08,29,43.93
2006-12-15,29,44.00
2006-12-22,24,42.83
2006-12-29,18,43.60
2007-01-05,25,44.30
2007-01-12,31,44.79
2007-01-19,30,45.60
2007-01-26,32,45.99
2007-02-02,34,44.73
2007-02-09,34,43.82
2007-02-16,31,44.28
2007-02-23,32,42.94
2007-03-02,29,44.19
2007-03-09,32,44.61
2007-03-16,31,43.09
2007-03-23,32,44.45
2007-03-30,32,44.17
2007-04-06,29,
2007-04-13,30,50.21
2007-04-20,32,51.49
2007-04-27,32,51.86
2007-05-04,30,51.92
2007-05-11,30,52.00
2007-05-18,32,53.25
2007-05-25,29,53.70
2007-06-01,28,52.14
2007-06-08,29,50.14
2007-06-15,27,50.73
2007-06-22,27,48.55
2007-06-29,29,49.80
2007-07-06,26,49.46
2007-07-13,27,50.85
2007-07-20,29,49.02
2007-07-27,28,50.12
2007-08-03,27,50.29
2007-08-10,26,50.88
2007-08-17,25,49.62
2007-08-24,27,50.82
2007-08-31,26,50.17
2007-09-07,26,49.57
2007-09-14,28,49.54
2007-09-21,30,51.82
2007-09-28,31,51.69
2007-10-05,29,53.51
2007-10-12,28,53.51
2007-10-19,29,53.11
2007-10-26,31,57.58
2007-11-02,28,56.04
2007-11-09,31,55.90
2007-11-16,30,58.38
2007-11-23,29,57.66
2007-11-30,31,59.36
2007-12-07,29,60.67
2007-12-14,30,59.57
2007-12-21,23,59.15
2007-12-28,15,58.71
2008-01-04,20,56.85
2008-01-11,25,60.55
2008-01-18,28,53.32
2008-01-25,25,47.79
2008-02-01,28,45.98
2008-02-08,28,44.53
2008-02-15,27,47.53
2008-02-22,29,46.07
2008-02-29,27,44.30
2008-03-07,26,41.75
2008-03-14,25,40.97
2008-03-21,23,
2008-03-28,23,44.51
2008-04-04,28,40.00
2008-04-11,26,41.14
2008-04-18,26,39.76
2008-04-25,26,40.72
2008-05-02,25,39.37
2008-05-09,26,38.99
2008-05-16,24,40.00
2008-05-23,25,38.74
2008-05-30,22,38.96
2008-06-06,23,37.49
2008-06-13,23,35.53
2008-06-20,22,35.13
2008-06-27,22,36.98
2008-07-04,22,
2008-07-11,24,36.75
2008-07-18,22,37.68
2008-07-25,25,32.68
2008-08-01,22,33.26
2008-08-08,22,35.95
2008-08-15,21,36.16
2008-08-22,23,35.27
2008-08-29,20,35.67
2008-09-05,21,34.30
2008-09-12,25,33.82
2008-09-19,24,31.84
2008-09-26,24,32.12
2008-10-03,23,31.78
2008-10-10,25,26.23
2008-10-17,24,28.50
2008-10-24,30,27.35
2008-10-31,25,30.95
2008-11-07,23,28.92
2008-11-14,23,27.33
2008-11-21,24,24.40
2008-11-28,20,26.72
2008-12-05,22,26.49
2008-12-12,23,27.04
2008-12-19,20,28.56
2008-12-26,12,29.00
2009-01-02,14,31.00
2009-01-09,22,28.73
2009-01-16,22,28.19
2009-01-23,22,28.20
2009-01-30,22,28.55
2009-02-06,24,30.77
2009-02-13,22,28.75
2009-02-20,22,28.10
2009-02-27,22,24.20
2009-03-06,22,22.74
2009-03-13,46,27.07
2009-03-20,26,26.72
2009-03-27,24,27.16
2009-04-03,24,26.46
2009-04-10,22,
2009-04-17,23,25.73
2009-04-24,23,23.45
2009-05-01,21,24.30
2009-05-08,22,24.82
2009-05-15,23,25.47
2009-05-22,19,26.17
2009-05-29,20,27.58
2009-06-05,20,26.07
2009-06-12,20,26.08
2009-06-19,20,25.91
2009-06-26,20,27.00
2009-07-03,17,
2009-07-10,20,26.45
2009-07-17,21,27.68
2009-07-24,22,30.99
2009-07-31,21,30.01
2009-08-07,19,30.10
2009-08-14,20,30.98
2009-08-21,19,32.56
2009-08-28,20,32.32
2009-09-04,20,30.70
2009-09-11,20,32.54
2009-09-18,22,31.88
2009-09-25,21,31.25
2009-10-02,21,31.65
2009-10-09,22,32.56
2009-10-16,21,33.21
2009-10-23,23,32.43
2009-10-30,20,30.93
2009-11-06,25,32.59
2009-11-13,23,33.10
2009-11-20,22,36.46
2009-11-27,19,36.29
2009-12-04,20,36.70
2009-12-11,19,37.07
2009-12-18,17,37.40
2009-12-25,12,
2010-01-01,12,
2010-01-08,19,37.70
2010-01-15,21,39.47
2010-01-22,19,38.87
2010-01-29,19,38.18
2010-02-05,20,36.73
2010-02-12,19,36.92
2010-02-19,20,37.49
2010-02-26,20,36.88
2010-03-05,23,37.49
2010-03-12,21,37.16
2010-03-19,20,38.06
2010-03-26,20,37.43
2010-04-02,18,
2010-04-09,20,36.97
2010-04-16,20,35.71
2010-04-23,21,35.46
2010-04-30,21,35.04
2010-05-07,21,33.49
2010-05-14,19,32.88
2010-05-21,20,32.04
2010-05-28,18,33.69
2010-06-04,18,33.17
2010-06-11,19,34.86
2010-06-18,18,35.67
2010-06-25,18,35.93
2010-07-02,18,34.22
2010-07-09,21,36.30
2010-07-16,19,35.91
2010-07-23,18,34.87
2010-07-30,17,34.46
2010-08-06,17,34.98
2010-08-13,17,35.00
2010-08-20,16,34.44
2010-08-27,17,35.00
2010-09-03,18,35.59
2010-09-10,18,36.65
2010-09-17,19,36.33
