Date,Michael Kors,Price
2004-01-09,0,
2004-01-16,1,
2004-01-23,1,
2004-01-30,1,
2004-02-06,1,
2004-02-13,1,
2004-02-20,1,
2004-02-27,1,
2004-03-05,2,
2004-03-12,1,
2004-03-19,1,
2004-03-26,1,
2004-04-02,1,
2004-04-09,1,
2004-04-16,1,
2004-04-23,1,
2004-04-30,1,
2004-05-07,1,
2004-05-14,1,
2004-05-21,1,
2004-05-28,1,
2004-06-04,1,
2004-06-11,1,
2004-06-18,1,
2004-06-25,2,
2004-07-02,1,
2004-07-09,1,
2004-07-16,1,
2004-07-23,2,
2004-07-30,1,
2004-08-06,2,
2004-08-13,2,
2004-08-20,3,
2004-08-27,2,
2004-09-03,3,
2004-09-10,2,
2004-09-17,2,
2004-09-24,2,
2004-10-01,3,
2004-10-08,3,
2004-10-15,3,
2004-10-22,6,
2004-10-29,3,
2004-11-05,2,
2004-11-12,2,
2004-11-19,3,
2004-11-26,3,
2004-12-03,2,
2004-12-10,3,
2004-12-17,3,
2004-12-24,4,
2004-12-31,3,
2005-01-07,3,
2005-01-14,3,
2005-01-21,3,
2005-01-28,3,
2005-02-04,3,
2005-02-11,3,
2005-02-18,3,
2005-02-25,3,
2005-03-04,3,
2005-03-11,3,
2005-03-18,2,
2005-03-25,3,
2005-04-01,2,
2005-04-08,3,
2005-04-15,2,
2005-04-22,2,
2005-04-29,3,
2005-05-06,3,
2005-05-13,3,
2005-05-20,3,
2005-05-27,2,
2005-06-03,2,
2005-06-10,2,
2005-06-17,2,
2005-06-24,2,
2005-07-01,2,
2005-07-08,2,
2005-07-15,2,
2005-07-22,2,
2005-07-29,2,
2005-08-05,3,
2005-08-12,3,
2005-08-19,3,
2005-08-26,3,
2005-09-02,2,
2005-09-09,2,
2005-09-16,3,
2005-09-23,3,
2005-09-30,4,
2005-10-07,3,
2005-10-14,3,
2005-10-21,4,
2005-10-28,3,
2005-11-04,3,
2005-11-11,3,
2005-11-18,3,
2005-11-25,3,
2005-12-02,4,
2005-12-09,4,
2005-12-16,4,
2005-12-23,4,
2005-12-30,4,
2006-01-06,3,
2006-01-13,3,
2006-01-20,3,
2006-01-27,3,
2006-02-03,3,
2006-02-10,4,
2006-02-17,3,
2006-02-24,4,
2006-03-03,3,
2006-03-10,3,
2006-03-17,4,
2006-03-24,3,
2006-03-31,3,
2006-04-07,3,
2006-04-14,3,
2006-04-21,3,
2006-04-28,4,
2006-05-05,3,
2006-05-12,3,
2006-05-19,3,
2006-05-26,2,
2006-06-02,2,
2006-06-09,3,
2006-06-16,3,
2006-06-23,3,
2006-06-30,3,
2006-07-07,3,
2006-07-14,4,
2006-07-21,3,
2006-07-28,3,
2006-08-04,3,
2006-08-11,3,
2006-08-18,3,
2006-08-25,3,
2006-09-01,4,
2006-09-08,3,
2006-09-15,4,
2006-09-22,3,
2006-09-29,3,
2006-10-06,3,
2006-10-13,3,
2006-10-20,4,
2006-10-27,3,
2006-11-03,3,
2006-11-10,3,
2006-11-17,3,
2006-11-24,3,
2006-12-01,4,
2006-12-08,3,
2006-12-15,4,
2006-12-22,4,
2006-12-29,4,
2007-01-05,3,
2007-01-12,4,
2007-01-19,3,
2007-01-26,3,
2007-02-02,3,
2007-02-09,3,
2007-02-16,4,
2007-02-23,3,
2007-03-02,3,
2007-03-09,3,
2007-03-16,3,
2007-03-23,3,
2007-03-30,3,
2007-04-06,3,
2007-04-13,3,
2007-04-20,3,
2007-04-27,3,
2007-05-04,3,
2007-05-11,3,
2007-05-18,3,
2007-05-25,3,
2007-06-01,3,
2007-06-08,3,
2007-06-15,3,
2007-06-22,3,
2007-06-29,3,
2007-07-06,3,
2007-07-13,3,
2007-07-20,3,
2007-07-27,3,
2007-08-03,3,
2007-08-10,3,
2007-08-17,4,
2007-08-24,4,
2007-08-31,4,
2007-09-07,4,
2007-09-14,4,
2007-09-21,4,
2007-09-28,3,
2007-10-05,3,
2007-10-12,3,
2007-10-19,4,
2007-10-26,4,
2007-11-02,3,
2007-11-09,4,
2007-11-16,4,
2007-11-23,5,
2007-11-30,5,
2007-12-07,6,
2007-12-14,5,
2007-12-21,5,
2007-12-28,6,
2008-01-04,5,
2008-01-11,4,
2008-01-18,3,
2008-01-25,4,
2008-02-01,4,
2008-02-08,4,
2008-02-15,4,
2008-02-22,4,
2008-02-29,4,
2008-03-07,4,
2008-03-14,4,
2008-03-21,4,
2008-03-28,4,
2008-04-04,4,
2008-04-11,4,
2008-04-18,4,
2008-04-25,4,
2008-05-02,4,
2008-05-09,4,
2008-05-16,4,
2008-05-23,4,
2008-05-30,4,
2008-06-06,4,
2008-06-13,4,
2008-06-20,3,
2008-06-27,3,
2008-07-04,4,
2008-07-11,3,
2008-07-18,4,
2008-07-25,4,
2008-08-01,4,
2008-08-08,4,
2008-08-15,4,
2008-08-22,4,
2008-08-29,4,
2008-09-05,4,
2008-09-12,5,
2008-09-19,5,
2008-09-26,5,
2008-10-03,5,
2008-10-10,4,
2008-10-17,4,
2008-10-24,4,
2008-10-31,4,
2008-11-07,4,
2008-11-14,5,
2008-11-21,5,
2008-11-28,5,
2008-12-05,6,
2008-12-12,6,
2008-12-19,6,
2008-12-26,6,
2009-01-02,6,
2009-01-09,5,
2009-01-16,4,
2009-01-23,4,
2009-01-30,4,
2009-02-06,4,
2009-02-13,4,
2009-02-20,5,
2009-02-27,4,
2009-03-06,4,
2009-03-13,4,
2009-03-20,4,
2009-03-27,4,
2009-04-03,5,
2009-04-10,5,
2009-04-17,5,
2009-04-24,5,
2009-05-01,5,
2009-05-08,5,
2009-05-15,5,
2009-05-22,5,
2009-05-29,5,
2009-06-05,5,
2009-06-12,5,
2009-06-19,4,
2009-06-26,4,
2009-07-03,4,
2009-07-10,5,
2009-07-17,5,
2009-07-24,5,
2009-07-31,5,
2009-08-07,5,
2009-08-14,5,
2009-08-21,6,
2009-08-28,5,
2009-09-04,5,
2009-09-11,6,
2009-09-18,6,
2009-09-25,6,
2009-10-02,5,
2009-10-09,6,
2009-10-16,6,
2009-10-23,5,
2009-10-30,5,
2009-11-06,5,
2009-11-13,6,
2009-11-20,6,
2009-11-27,7,
2009-12-04,8,
2009-12-11,8,
2009-12-18,9,
2009-12-25,9,
2010-01-01,8,
2010-01-08,6,
2010-01-15,6,
2010-01-22,6,
2010-01-29,6,
2010-02-05,6,
2010-02-12,6,
2010-02-19,7,
2010-02-26,7,
2010-03-05,6,
2010-03-12,7,
2010-03-19,7,
2010-03-26,7,
2010-04-02,6,
2010-04-09,8,
2010-04-16,7,
2010-04-23,8,
2010-04-30,8,
2010-05-07,8,
2010-05-14,8,
2010-05-21,8,
2010-05-28,7,
2010-06-04,7,
2010-06-11,8,
2010-06-18,8,
2010-06-25,8,
2010-07-02,8,
2010-07-09,8,
2010-07-16,8,
2010-07-23,8,
2010-07-30,8,
2010-08-06,9,
2010-08-13,9,
2010-08-20,10,
2010-08-27,9,
2010-09-03,9,
2010-09-10,10,
2010-09-17,11,
2010-09-24,10,
2010-10-01,10,
2010-10-08,9,
2010-10-15,9,
2010-10-22,10,
2010-10-29,10,
2010-11-05,10,
2010-11-12,12,
2010-11-19,12,
2010-11-26,14,
2010-12-03,16,
2010-12-10,15,
2010-12-17,16,
2010-12-24,17,
2010-12-31,17,
2011-01-07,12,
2011-01-14,11,
2011-01-21,11,
2011-01-28,11,
2011-02-04,12,
2011-02-11,12,
2011-02-18,13,
2011-02-25,12,
2011-03-04,12,
2011-03-11,12,
2011-03-18,12,
2011-03-25,12,
2011-04-01,13,
2011-04-08,13,
2011-04-15,13,
2011-04-22,13,
2011-04-29,14,
2011-05-06,14,
2011-05-13,14,
2011-05-20,14,
2011-05-27,13,
2011-06-03,13,
2011-06-10,12,
2011-06-17,13,
2011-06-24,13,
2011-07-01,13,
2011-07-08,13,
2011-07-15,14,
2011-07-22,13,
2011-07-29,14,
2011-08-05,14,
2011-08-12,15,
2011-08-19,16,
2011-08-26,16,
2011-09-02,14,
2011-09-09,15,
2011-09-16,16,
2011-09-23,16,
2011-09-30,16,
2011-10-07,16,
2011-10-14,16,
2011-10-21,17,
2011-10-28,17,
2011-11-04,18,
2011-11-11,20,
2011-11-18,21,
2011-11-25,26,
2011-12-02,30,
2011-12-09,30,
