Date,Micron Technology,Price
2004-01-09,100,
2004-01-16,96,
2004-01-23,96,
2004-01-30,71,
2004-02-06,71,16.15
2004-02-13,71,15.73
2004-02-20,71,15.57
2004-02-27,71,15.04
2004-03-05,0,16.31
2004-03-12,0,14.71
2004-03-19,0,15.69
2004-03-26,0,15.91
2004-04-02,0,17.70
2004-04-09,67,
2004-04-16,61,15.91
2004-04-23,61,15.54
2004-04-30,55,13.62
2004-05-07,55,14.38
2004-05-14,0,13.86
2004-05-21,0,13.61
2004-05-28,0,15.03
2004-06-04,0,14.52
2004-06-11,0,
2004-06-18,54,13.69
2004-06-25,66,14.77
2004-07-02,0,14.68
2004-07-09,0,14.40
2004-07-16,0,13.23
2004-07-23,0,12.99
2004-07-30,0,13.53
2004-08-06,62,12.43
2004-08-13,62,11.11
2004-08-20,62,11.96
2004-08-27,62,11.88
2004-09-03,62,11.23
2004-09-10,79,12.28
2004-09-17,96,12.76
2004-09-24,47,12.40
2004-10-01,56,12.36
2004-10-08,57,12.01
2004-10-15,55,11.38
2004-10-22,55,11.53
2004-10-29,58,12.18
2004-11-05,0,11.88
2004-11-12,0,12.01
2004-11-19,0,11.70
2004-11-26,0,11.40
2004-12-03,0,11.54
2004-12-10,0,11.30
2004-12-17,0,11.31
2004-12-24,0,
2004-12-31,0,12.35
2005-01-07,0,11.46
2005-01-14,52,11.21
2005-01-21,56,10.41
2005-01-28,43,10.36
2005-02-04,43,11.10
2005-02-11,43,11.73
2005-02-18,43,11.50
2005-02-25,43,11.68
2005-03-04,43,10.76
2005-03-11,37,10.42
2005-03-18,42,10.29
2005-03-25,47,
2005-04-01,53,10.26
2005-04-08,41,10.20
2005-04-15,41,9.52
2005-04-22,41,9.41
2005-04-29,41,9.71
2005-05-06,41,10.13
2005-05-13,38,10.57
2005-05-20,44,10.54
2005-05-27,51,11.07
2005-06-03,44,10.82
2005-06-10,44,10.90
2005-06-17,44,10.83
2005-06-24,44,10.58
2005-07-01,44,10.20
2005-07-08,47,11.42
2005-07-15,51,11.92
2005-07-22,0,11.93
2005-07-29,0,11.88
2005-08-05,0,11.86
2005-08-12,0,11.11
2005-08-19,0,11.15
2005-08-26,0,11.18
2005-09-02,40,11.67
2005-09-09,33,12.49
2005-09-16,33,12.81
2005-09-23,33,12.15
2005-09-30,33,13.30
2005-10-07,33,13.18
2005-10-14,36,12.87
2005-10-21,38,12.67
2005-10-28,35,12.67
2005-11-04,32,13.92
2005-11-11,37,13.65
2005-11-18,46,14.18
2005-11-25,55,14.59
2005-12-02,28,14.37
2005-12-09,28,13.41
2005-12-16,28,13.67
2005-12-23,52,13.65
2005-12-30,53,13.31
2006-01-06,55,14.47
2006-01-13,47,14.51
2006-01-20,48,14.01
2006-01-27,40,14.70
2006-02-03,40,14.89
2006-02-10,30,16.40
2006-02-17,36,16.65
2006-02-24,25,15.88
2006-03-03,26,15.89
2006-03-10,30,14.47
2006-03-17,33,14.77
2006-03-24,39,14.47
2006-03-31,23,14.72
2006-04-07,33,15.25
2006-04-14,27,
2006-04-21,39,16.40
2006-04-28,30,16.97
